logFC logCPM PValue adj.PValue
284656 1.94582626764916 2.71381494463698 1.34477126248686e-36 1.96619006288204e-32
7205 -1.31932120564265 5.6330575505212 4.34889045092058e-35 3.17925636414549e-31
5104 -6.88285823568018 6.70598032038924 1.49043041397074e-33 7.26386102755539e-30
23475 -2.71724014625472 3.90827341196848 1.9178051134588e-32 7.01005714097029e-29
84879 -6.39717097959971 5.68352893858288 5.76638865546341e-32 1.68620737063061e-28
1191 -2.93131498770225 10.2894756065083 9.58046040967235e-32 2.33459852749699e-28
23600 2.9684033061811 6.28540599799326 1.31945013778745e-31 2.75595435208433e-28
2950 -2.41846000551476 7.85740748218903 1.72762650503503e-31 3.15745339126465e-28
1947 -1.27821938540315 5.11407563500304 2.54694446120737e-31 4.05850960616961e-28
55715 -1.23459214624339 4.59684765049246 2.7758084988507e-31 4.05850960616961e-28
1489 -1.51032495244216 3.47025592217926 3.20898643764132e-31 4.26532642770489e-28
55118 -4.65721969996828 4.5558640502414 7.20745291017657e-31 8.78168074997431e-28
27350 -1.83696938074238 6.00018647660196 1.26378215281744e-30 1.4213660658726e-27
26084 1.64838253659204 6.14483682617967 7.80379432405631e-30 8.14994834371624e-27
6623 -2.18189019084937 4.56076858215483 1.04490104950643e-29 1.0184998829889e-26
57186 1.37389343130374 7.01785779147819 2.05488320956675e-29 1.87777796294222e-26
1410 -1.9330010715794 6.6272916466532 1.06740565768976e-28 9.18031654181292e-26
81831 2.13846502890224 2.88914723405979 1.3596414267901e-28 1.08662756953335e-25
2628 -1.46628496244195 3.96271237933625 1.41207330696489e-28 1.08662756953335e-25
23225 1.31454429370963 5.98122898987145 1.54815705157648e-28 1.13178021255499e-25
30008 -1.28783386670902 5.7436470597277 4.85850386355109e-28 3.22891749949911e-25
2948 -1.30872075844622 4.49902227614102 4.68132663311532e-28 3.22891749949911e-25
10645 1.75301952030938 8.08983469769829 5.4840679351377e-28 3.36970045638472e-25
4145 2.4741071419258 2.64829784304292 5.53127767958644e-28 3.36970045638472e-25
55224 -1.26366024424301 4.03834772829572 7.3234587296836e-28 4.28305160346816e-25
9919 0.956159807390254 8.10533051395842 7.98146505398103e-28 4.48834617516372e-25
3400 -1.81172261719945 5.38702530523331 9.99329966230103e-28 5.41155682824086e-25
26353 -1.90623816179108 7.45603480183925 1.78149340156568e-27 9.30257679438995e-25
231 -4.0967786372452 7.48855914615435 3.38639366012422e-27 1.70732626567849e-24
83439 -1.34045033201962 4.49443998794042 7.66636244566377e-27 3.73632951060167e-24
53834 1.45098914822226 5.81882612674082 1.0373195047049e-26 4.89246725106142e-24
3249 2.238857017493 7.19456569963631 1.22228873426378e-26 5.58471361989709e-24
6585 2.89032336824167 3.45357492100958 1.29577940020447e-26 5.74108806375439e-24
316 -2.12969105532394 6.04121240175854 1.34092316362256e-26 5.76636399274277e-24
51301 -2.26412299224646 2.50289945739212 1.40518492701212e-26 5.87005966224122e-24
858 -1.33026943520396 5.2224718911292 1.72179835993769e-26 6.99289272795804e-24
51375 -1.12323737549219 3.90039277261701 1.90827416544701e-26 7.54077745216234e-24
169714 0.881145650985533 4.38347300593249 2.2911059884612e-26 8.81533175191872e-24
1767 2.6437887582349 5.183303728695 2.66165973182637e-26 9.97849408693164e-24
6277 -1.63305787306288 7.77293201596077 3.9257488743078e-26 1.39996034856718e-23
5947 -1.93703218631637 4.22740122779765 3.86040602989194e-26 1.39996034856718e-23
8153 -1.56153536472384 2.68080924526915 5.42515278772121e-26 1.88859902164933e-23
9638 -1.42649941814512 3.70127639801177 6.49455548219061e-26 2.20829990011881e-23
23305 -5.06441369850442 4.48404445051667 9.90141618308834e-26 3.29019559120306e-23
57565 -4.08967341948545 3.47052556387057 1.04980364263629e-25 3.41092867977448e-23
10039 -0.909084740957411 4.34924356660112 1.33412046132531e-25 4.24047288370378e-23
79656 -1.31148542648531 2.07003130842841 1.56734870267794e-25 4.8757883791179e-23
2781 -1.86251957649727 4.38987496100532 2.73335126543283e-25 8.32590184414445e-23
84443 2.0771929661319 2.76110260112944 2.83300895623335e-25 8.35761651560943e-23
65009 -3.54425323454459 4.5684411345408 2.85808649053055e-25 8.35761651560943e-23
101928099 2.31520535839212 0.624593051119183 3.02725422728735e-25 8.67872236415066e-23
80004 1.29993022865364 6.10106060052958 5.04478528094261e-25 1.41845779985888e-22
342892 1.28105025007012 2.32903044950553 7.00856680048856e-25 1.93343877716874e-22
27293 1.87141428770013 4.45110678691199 8.48139251866374e-25 2.29641555584042e-22
84899 1.25840799255267 5.59772041882829 1.05966096801609e-24 2.81696418424785e-22
6665 -1.51442142304039 2.47927292089281 1.29358117905191e-24 3.37740186052105e-22
100750225 2.66915492433204 1.4797635650871 1.53564199694936e-24 3.93905642761343e-22
284 -1.73291597938109 4.96474532650528 2.09725527293876e-24 5.28689126648924e-22
70 -3.32941802479929 6.35781808164224 2.2304930913377e-24 5.52746432007602e-22
27090 -2.00943944099827 3.8859543410171 2.64474840282819e-24 6.44481106629182e-22
390940 -1.39759023240577 1.63314384665144 3.13536703229234e-24 7.51511498018792e-22
81611 -1.17016456337317 4.98563073410202 4.21862715457549e-24 9.94847542371746e-22
6616 -3.2522683952069 3.49991945622884 4.97398289258273e-24 1.14701673205407e-21
57447 -1.41223302369421 7.42930222681814 5.02079685735999e-24 1.14701673205407e-21
117245 -2.13406366983643 1.1873494496788 5.52618339328429e-24 1.24305119066476e-21
23632 -2.47144655095324 2.85920971276025 6.51280770440191e-24 1.44278426433425e-21
5046 1.77650553177209 3.80220427829787 6.77983735196594e-24 1.4795224167626e-21
257407 2.42792363534555 5.55312590368348 7.01951435183644e-24 1.50929881379707e-21
50486 -2.58424849391092 3.80637571727524 1.03953569116334e-23 2.20276106384047e-21
57524 1.65887507479344 1.35338749781837 1.21073995700135e-23 2.52888984447382e-21
51435 -1.69034439378122 6.08492527751228 1.46154846971113e-23 3.00976058811921e-21
2947 -2.17624644327238 6.78826661786144 1.71323016808558e-23 3.479046984386e-21
9185 1.52087561751369 7.09895157326088 1.99708631329547e-23 3.99991766941e-21
64168 -1.6520346507632 3.13924401707403 2.12298450713535e-23 4.19461574038189e-21
64129 -1.33725977000854 5.80803274208525 2.64445067096949e-23 5.15526843469932e-21
857 -1.67269151809413 7.13825307416237 3.230426366451e-23 6.21474525051054e-21
2775 -2.36635246305164 4.86385367543535 3.3292398977565e-23 6.24061750578176e-21
309 -1.29427536133649 7.57780721312311 3.29642156571361e-23 6.24061750578176e-21
284439 0.939810832795391 5.19882232059442 3.3724864176243e-23 6.24166125469428e-21
100127983 -1.72055986051259 2.09073720937917 3.58624588383571e-23 6.55431263344524e-21
379 -2.00628496293809 3.78904787857438 3.92496159360772e-23 7.08479795804179e-21
643988 2.16365548423789 2.57129082196999 4.15498899701944e-23 7.39804066400931e-21
5355 -1.11320695180937 5.96274773272262 4.19969478908948e-23 7.39804066400931e-21
5831 1.40524220242865 7.08033115333239 5.38224944360321e-23 9.36831775177648e-21
256309 1.33066684494353 2.11220766573696 5.53518273717544e-23 9.52116550591084e-21
285463 2.23548309079446 2.25594288401213 7.05017642489047e-23 1.19861197102702e-20
1465 -1.52029419562166 10.4534608010826 7.63381306506259e-23 1.268340691185e-20
387882 -1.66707189272888 5.48621585915472 7.60575005629275e-23 1.268340691185e-20
3762 -3.21138974070021 4.49284909515503 1.12441244579887e-22 1.84719487303655e-20
83648 -3.24882721299288 3.57858447622641 1.19033181311841e-22 1.93376015995604e-20
91608 -3.66556520144948 3.67611058522286 1.34194605758019e-22 2.15610915471209e-20
56606 -2.52268860440475 3.65472552952727 1.48397765063722e-22 2.35839535108334e-20
85315 -2.54525681425158 4.94692880626036 1.66491541924667e-22 2.61749767148447e-20
404550 -1.83790063418264 1.78565615849926 1.70546956573736e-22 2.65273090645169e-20
724102 2.01884273530049 1.38366758487457 2.5589752626708e-22 3.93839761215892e-20
57523 -1.70739564039345 5.19847647071647 2.6307299030447e-22 4.00665644921006e-20
170685 -1.57476417338961 4.21704268495174 2.84034317090611e-22 4.28130489709467e-20
84883 -1.09940704740823 3.9290017040467 3.29756678409553e-22 4.91976775002661e-20
84281 -2.03048396572988 3.61143875296495 4.03906493662642e-22 5.96516852913281e-20
3212 -2.16551067396298 3.12956802776874 4.1053425492174e-22 6.00242134121075e-20
338382 -1.44302422811027 3.2354417182042 4.28143816046156e-22 6.19791161822856e-20
57630 1.40560471851524 6.87133392631457 4.32621923257101e-22 6.20133837249222e-20
84632 -1.58495375136603 5.22046816784114 4.84594382560856e-22 6.87888783244881e-20
6491 1.33449964827865 2.74730862374696 5.21650147624361e-22 7.33369885424595e-20
6573 1.32322983856484 5.14921182272742 6.07278169297256e-22 8.45620391742398e-20
