logFC logCPM PValue adj.PValue
284656 1.93995165799863 2.6853295814819 7.1176331132738e-35 1.38823926002598e-30
7205 -1.33249738499603 5.60522222875795 7.81644244264506e-35 1.38823926002598e-30
5104 -6.87805862153004 6.65303214909225 9.81580784857734e-34 1.16222436863105e-29
23475 -2.71923742759958 3.87433440293208 3.78761004829438e-32 2.77275439480996e-28
84879 -6.38477756640223 5.62531058013074 3.9029790754905e-32 2.77275439480996e-28
1191 -2.92691958683558 10.2509769437581 5.63563919404974e-32 3.33639233019735e-28
6691 -8.77656447476952 4.96045346798721 8.43440553980699e-32 4.2799788454212e-28
2950 -2.41293607820888 7.81913737640029 1.70475041854156e-31 6.72827106855719e-28
55715 -1.2511747963575 4.56784479317772 1.5532292589814e-31 6.72827106855719e-28
23600 2.96752241874059 6.25876932310345 2.6394906337323e-31 9.37573468008052e-28
1947 -1.29055319290419 5.08595669643745 2.90590580348013e-31 9.38369818594705e-28
27350 -1.84929549353764 5.96882773170904 4.39966291639082e-31 1.20215712656245e-27
101927324 4.96169069610714 -2.67892974312091 4.13621967310384e-31 1.20215712656245e-27
55118 -4.64696425444153 4.51386509639543 9.47883987865212e-31 2.40498479521144e-27
4168 -5.19521887205322 2.99312113339317 1.29669667200931e-30 3.07066416576285e-27
1489 -1.52558386850882 3.44511174641575 2.24363652995038e-30 4.98101332377297e-27
6623 -2.19016864824277 4.53116394942011 1.01285803942686e-29 2.11633708344009e-26
2628 -1.49000247800352 3.93139605893767 1.78352979700441e-29 3.51959788441075e-26
5409 -5.59868596192451 2.93677446085497 1.94064041764959e-29 3.62807833028058e-26
1410 -1.94929042761528 6.5990788864165 2.92816401865447e-29 5.20056570533127e-26
57186 1.34974723469632 6.97989325627547 4.21828957522062e-29 7.1351363810196e-26
2018 -7.1471322701879 4.48804360387898 5.40222358221565e-29 8.72238108472191e-26
26084 1.62682564932278 6.10628113675102 6.16660751009033e-29 9.5236550159095e-26
26353 -1.93726796158914 7.4297468994773 1.06889332637703e-28 1.58200666025993e-25
51151 4.67117597133431 1.63063704660695 1.31114677254418e-28 1.86292978030167e-25
30008 -1.30672751991927 5.71656105381441 1.9146825398943e-28 2.61582455767636e-25
3400 -1.82165566264472 5.35156762562324 2.06632973911494e-28 2.71844809863339e-25
3218 -7.02342687539471 3.23190457613715 2.15158916487125e-28 2.7295213830497e-25
2948 -1.32155549236715 4.47021383201638 4.07305633730902e-28 4.98893221232944e-25
81831 2.13010318428988 2.85481461817515 4.43746922398233e-28 5.25411147683588e-25
858 -1.36203086637606 5.19429359875504 4.84321538873879e-28 5.54954367172228e-25
51301 -2.30443024321951 2.46731506523648 7.4661195086209e-28 8.28762597080385e-25
91662 2.65530934164883 0.691479811374207 8.02651984769344e-28 8.63969731848238e-25
55224 -1.27723161903315 4.00994270471424 1.07278178795839e-27 1.12077299676677e-24
9075 -8.71986144755029 5.51400014855535 2.07437509587267e-27 2.10525365087123e-24
83439 -1.35847294394008 4.46579972578078 3.17194074059451e-27 2.95304619325573e-24
10645 1.74052020642743 8.06052857294741 3.04464801532879e-27 2.95304619325573e-24
359 -10.4685598341483 6.8105172601567 3.2422736279095e-27 2.95304619325573e-24
51375 -1.14742090209937 3.8707977907948 3.19697689281731e-27 2.95304619325573e-24
231 -4.08106068343751 7.43808320832386 3.46217646485465e-27 3.07449925520255e-24
5947 -1.96034503479423 4.19415966378901 4.45356557034926e-27 3.8584171371799e-24
4145 2.46703758573211 2.62005219288932 4.7774620579803e-27 4.04048166098853e-24
316 -2.13870659322126 6.00447791461453 5.04771912489147e-27 4.16976816361092e-24
23225 1.29559212050968 5.94906367212131 5.45590734743075e-27 4.40452920200199e-24
6277 -1.64675906685167 7.74319516830682 7.62661979827965e-27 5.98998811527903e-24
5304 -8.67902870446291 8.78027092641096 7.75708604213946e-27 5.98998811527903e-24
6585 2.89383556354486 3.42411343488746 1.84583850218613e-26 1.39502190289688e-23
100289255 -4.20307861246275 1.83758450261657 2.46611457129012e-26 1.82497616014159e-23
3249 2.23722698575633 7.168242560869 4.5395082917313e-26 3.29077293939974e-23
9638 -1.45074680034391 3.67466593248451 5.26084951599957e-26 3.73741271315641e-23
8153 -1.58281521508376 2.654596847014 6.06152615517661e-26 4.1207042935855e-23
23305 -5.05329589524483 4.42379262019422 6.14538998674426e-26 4.1207042935855e-23
2781 -1.88141075667766 4.35803612188221 6.14840031418122e-26 4.1207042935855e-23
57565 -4.0967735133481 3.42165936786618 6.35454867149577e-26 4.17999858074447e-23
390940 -1.43062940171683 1.59814056816591 8.64632201280223e-26 5.58410916757723e-23
53834 1.43151537300755 5.78248188341036 1.0153826338805e-25 6.4406083103695e-23
1767 2.62027407513307 5.14925668637029 1.3431316400934e-25 8.37006648908031e-23
5288 -4.14432299548716 2.34403167009913 1.59940256806448e-25 9.79523769314109e-23
284 -1.76734637208533 4.93834406089242 1.85180319836905e-25 1.11487968490283e-22
65009 -3.54148455214094 4.51879714294832 2.22828706327884e-25 1.31918307957879e-22
79656 -1.33215507331877 2.04351055541026 2.58179942909949e-25 1.5034114347712e-22
414764 -1.63477690984572 -0.490899426483838 2.82828448323607e-25 1.62037892143595e-22
9919 0.942151198447227 8.07719014327953 3.31494405206641e-25 1.86904964561033e-22
196047 -5.75756945230396 4.79175502943081 3.77529876272429e-25 2.09534980235515e-22
81611 -1.18666169760405 4.95396871565872 4.46091334937467e-25 2.43778620127904e-22
51435 -1.71970910103592 6.05204853893519 7.48112385309572e-25 4.02631818766384e-22
10039 -0.927401948576559 4.32209755687495 9.21339132457604e-25 4.88461004836217e-22
57447 -1.41832911049373 7.39656057064711 1.22519617558014e-24 6.40002843423268e-22
101928099 2.31328866506239 0.587041010234266 1.34594032555715e-24 6.92886178320513e-22
27090 -2.01182095092318 3.84836320377615 2.01538923349278e-24 1.02269487089853e-21
64129 -1.36518796075474 5.77829547680446 2.18793964344128e-24 1.09461695879828e-21
6616 -3.25580662653417 3.44790549042275 2.22546779833352e-24 1.09792835645285e-21
84443 2.05634727606053 2.72429263643928 2.35282596220287e-24 1.14485932881381e-21
6407 -11.767140814929 12.6699012265743 2.4604743700913e-24 1.18106094729747e-21
6665 -1.5267633396507 2.45065861983214 2.71432055619116e-24 1.28553840635288e-21
387882 -1.69975665299979 5.45280376780911 2.90298160548825e-24 1.35680012642826e-21
3216 -5.39859306454799 3.313698573911 3.33871784295185e-24 1.54018956492848e-21
23632 -2.47798244840462 2.82249921783236 4.63629007168784e-24 2.11135461072338e-21
3242 -1.91418092938628 0.728957227859592 4.88412752159297e-24 2.19606447714562e-21
125113 -2.45239237850092 0.0166201694549481 5.36760897403147e-24 2.38328547958215e-21
64168 -1.67561982493845 3.10973154418675 5.48809484987225e-24 2.40484264861626e-21
27293 1.86630189406112 4.42604893093846 5.55156378442423e-24 2.40484264861626e-21
50486 -2.5789870755279 3.75937441011825 5.96701982919151e-24 2.55366881147845e-21
70 -3.31568897109966 6.33079459971683 6.08838534771975e-24 2.55904521331488e-21
2775 -2.3883744242557 4.82594297780237 6.31221732674496e-24 2.55904521331488e-21
80004 1.28614713218459 6.0697959386522 6.339798394519e-24 2.55904521331488e-21
401664 3.47295811888796 -1.74065121325856 6.25288571665679e-24 2.55904521331488e-21
100750225 2.64688347729759 1.43735836760306 6.32826676110116e-24 2.55904521331488e-21
1465 -1.54572534610014 10.4269098562146 7.65605052137143e-24 3.05562438842286e-21
1583 -2.22003805981468 0.406348353819699 7.79196733216156e-24 3.07531635117456e-21
342892 1.24791350139173 2.28569301272781 8.40056533822122e-24 3.24344001498865e-21
26768 5.31244437832778 1.94005395143008 8.39718601769271e-24 3.24344001498865e-21
6406 -12.0268900496823 13.7022650595733 8.78478219018771e-24 3.35531449653395e-21
117245 -2.14202823728572 1.1513885852036 9.25219040822813e-24 3.49624527117736e-21
84281 -2.09321517069599 3.58362132368405 1.15258768757731e-23 4.30958602636142e-21
309 -1.31187819889872 7.55327619960383 1.18235456162563e-23 4.37483503994833e-21
63924 -2.95444428712992 -0.594092283400641 1.25872664757903e-23 4.60940507718088e-21
84899 1.25346168358399 5.5701861640381 1.28781463924083e-23 4.66780242861974e-21
2947 -2.17614196679158 6.75013242149992 1.62012393229648e-23 5.80542452616591e-21
84883 -1.12128899425225 3.8951669118568 1.63436404554092e-23 5.80542452616591e-21
857 -1.69375478807712 7.11769510929637 2.15127842375823e-23 7.56589711785308e-21
84856 -4.47020342089398 1.26868518406578 2.19742585938632e-23 7.65242783835897e-21
169714 0.871019267369983 4.35408702511653 2.25731561362771e-23 7.78467067103592e-21
259236 -1.83302261632908 -0.821436618037284 3.15414918914561e-23 1.07729358988117e-20
5355 -1.12664827258902 5.93463217131729 3.35880185642669e-23 1.1362666737346e-20
57523 -1.73183537237785 5.16697275065905 3.42913441292338e-23 1.14911588190049e-20
257407 2.41413350214298 5.52632906060219 3.51360842969816e-23 1.16641948627391e-20
1588 -5.26962639884751 0.790230598184421 4.02466196578815e-23 1.32370386747001e-20
222537 -5.5922188978358 0.483931076872991 5.21888369914872e-23 1.70073365025194e-20
379 -2.01600460338476 3.75979578703774 5.48997099717021e-23 1.77281145264076e-20
83876 -3.30116788625 1.14310978502597 5.66898623159358e-23 1.81412666605798e-20
100127983 -1.74073816305645 2.06733006473085 6.48069726533579e-23 2.05536471037493e-20
85315 -2.5498374553532 4.90569501664648 6.59642186843002e-23 2.07355310786286e-20
192666 -5.68423204234778 -0.21844297714415 7.43092628543067e-23 2.30298076742045e-20
9185 1.51207654426991 7.06941585786517 7.52078401567446e-23 2.30298076742045e-20
55217 -1.47091845589846 2.28423768220323 7.48657320044507e-23 2.30298076742045e-20
10826 -1.29630092411431 5.41781685493464 7.90911620403187e-23 2.40119415968732e-20
84632 -1.59774411581134 5.18456136694168 8.79346327081683e-23 2.64705600714139e-20
3762 -3.20812722494287 4.44600403537105 9.17404320411008e-23 2.72493304028557e-20
153218 -5.93598785388367 1.66940716117934 9.28230899677809e-23 2.72493304028557e-20
56606 -2.5261643323039 3.61538354467247 9.21383239912085e-23 2.72493304028557e-20
91608 -3.65891544982252 3.62070970605546 1.14375656905788e-22 3.33011287618894e-20
404550 -1.84967098545797 1.75111707251729 1.18165662724103e-22 3.41248984196981e-20
84141 -2.80276440096551 1.2185811178939 1.32961118175328e-22 3.80879990218213e-20
59339 -1.17374209271347 5.11369174124346 1.37336744769268e-22 3.90267080875933e-20
6764 -1.07747595005325 6.17919547466376 1.4014982021007e-22 3.95100139974755e-20
83648 -3.24698332393728 3.53257383388269 1.45505635824972e-22 4.06968951979437e-20
159296 3.91328687942936 -0.185972712442242 1.56702805672756e-22 4.3486252814859e-20
285463 2.20433733422371 2.19921217588 1.61201378596587e-22 4.43878617761966e-20
338382 -1.46843774376743 3.20705006911598 1.64784949843097e-22 4.4681879415089e-20
302 -1.1442396005657 8.32175526807169 1.64576987827668e-22 4.4681879415089e-20
400660 -2.17816659038075 -0.0323828395110802 1.66723692305938e-22 4.48650929878729e-20
79887 -1.58596307111072 3.63510017704987 1.70515794966402e-22 4.5540537992493e-20
5046 1.76302557281368 3.77938055298026 1.72087883573547e-22 4.56174157642982e-20
157869 -2.43517966266152 4.49672137554855 1.80205709127542e-22 4.74154592142179e-20
57524 1.6510865351629 1.32453957793628 2.29932731816212e-22 6.00547100503209e-20
51704 -1.66581188720126 5.23672282915933 2.35907441886886e-22 6.11654616296647e-20
9127 -2.23113241605512 0.0999682723944642 2.55399209332584e-22 6.54794413787908e-20
643988 2.13800580854011 2.52941747937276 2.56232717312348e-22 6.54794413787908e-20
3212 -2.16717494039742 3.08566385880662 2.71945371232733e-22 6.89983680825565e-20
1073 -1.48889434540544 6.51875967838172 2.77216547611614e-22 6.98369431752634e-20
2525 -4.36302491967008 2.14426449204293 2.79398966329663e-22 6.9891061147859e-20
8604 -0.786834248941734 4.90837401395857 2.97872583312319e-22 7.39911330897683e-20
51285 -1.68571470000324 5.96069165546214 3.47667987672212e-22 8.57605179868377e-20
4010 2.71987906349598 0.352451434652944 3.83787992288612e-22 9.40174708557502e-20
9058 -6.98082882676209 3.21296290597767 3.94443416652414e-22 9.59659219377423e-20
114780 -5.73253951594597 2.04011128356729 4.0380816677093e-22 9.7575985658981e-20
