logFC	logCPM	PValue	adj.PValue
79054	-4.01865720421445	2.43925500666794	2.90254910237146e-23	4.5015634028679e-19
2823	3.92401769341827	4.25406151790202	9.60689884774594e-23	7.44966971148459e-19
9723	4.06884056899232	2.49830735745372	4.01538040012361e-22	2.07581782085057e-18
84366	-6.2630682091286	4.09631226118338	2.06298789821159e-21	7.99871982834088e-18
79098	-3.47564939711767	2.33687648979923	5.96220309676957e-20	1.84935615655599e-16
10551	-3.64660246250125	2.61237491515668	1.73260729764443e-19	4.47850109652792e-16
10103	-3.28536301400851	4.44731981631154	8.06486711675727e-17	1.78682891591126e-13
354	-5.09263373835183	8.26781712656065	1.23818477947885e-16	2.40037596811719e-13
1158	3.50586167415281	2.74714213820283	1.43204341174788e-16	2.46772903031087e-13
6967	-4.37463542339035	6.92106535630323	2.4392715192829e-16	3.78306619925586e-13
658	-3.1239145555383	1.61824717056669	1.2459977804853e-15	1.75674359795877e-12
445347	-3.63769656473983	5.34933849464541	3.47021961268881e-15	4.48496966443257e-12
10563	7.88845819710062	6.85133338167754	3.0548822769383e-14	3.64447455638739e-11
3817	-3.43532436649608	4.05907847041798	7.17839911848548e-14	7.95212799489938e-11
114569	-4.5173309821737	2.82924765847385	1.72457313150288e-13	1.78309364643188e-10
653	4.88052097150593	4.12165409591625	2.3833114170775e-13	2.31017354796594e-10
4948	2.99828865007454	1.86181376511174	3.35904649122565e-13	3.06443835484815e-10
25925	-2.40583466788004	1.03830248506121	5.81744222294204e-13	5.01237285753378e-10
94234	4.55974875241209	4.9995525490523	1.56511263890892e-12	1.27754378509676e-09
158038	3.6633862009587	2.8960448157286	2.49133631186626e-12	1.93190674303669e-09
10481	-3.40498716441418	2.27880018141616	3.51369771490348e-12	2.59494942192562e-09
100507632	2.07178518889377	0.992217024026169	6.22905078291415e-12	4.39119766328252e-09
1675	4.1181887926588	12.9849381222775	6.77019706705975e-12	4.56517331795781e-09
26996	-3.91838620244144	2.89431502879264	1.54534559579992e-11	9.98615201885875e-09
6769	3.65328531086019	7.63949663166387	1.61800964830766e-11	1.00374846542414e-08
3760	2.78803397549544	1.37483219686789	2.09292608097405e-11	1.24843040730102e-08
3006	-3.40428873071116	4.61655838612662	1.13002238551742e-10	6.49093228777396e-08
3239	1.89361917108593	1.72152205586776	1.28385828757488e-10	7.0154286836458e-08
4753	6.07515469293311	10.1308936931166	1.31180238458784e-10	7.0154286836458e-08
3249	-1.83089537926432	2.18401920912651	1.39781313748036e-10	7.22622798306098e-08
26223	2.91884578250155	1.14256772189628	1.89790139851691e-10	9.49501702890283e-08
1404	2.44963152769626	1.18160371383515	2.08598554453085e-10	1.01098593156653e-07
1047	4.277586582086	3.90211966944036	2.9200814019569e-10	1.33198654302793e-07
1114	5.4738747958366	4.21609740316922	2.87570841985293e-10	1.33198654302793e-07
5502	2.94125949461892	2.3860336332779	6.52710795270404e-10	2.81191436773575e-07
79802	4.68349509766329	3.45762524885862	6.46203022361887e-10	2.81191436773575e-07
1123	2.99252151656321	9.44482372530129	1.11219414950068e-09	4.66189704448811e-07
11013	-5.49846231467148	7.5754367884973	1.44411764963946e-09	5.89390016533116e-07
2078	-1.67023070009364	1.4058891583557	1.53579744716825e-09	6.10735451490575e-07
5742	3.33104613546816	5.46916166088048	1.59228267056938e-09	6.17367798446513e-07
79083	-2.11954802370052	5.44417114056815	1.65845613690393e-09	6.27341371396173e-07
115908	-5.67157668022713	9.38992430792611	1.78967603503611e-09	6.60859181604167e-07
54829	-3.19896519781221	3.39932428781841	1.97812754050183e-09	7.13460000596346e-07
146556	1.82001287029875	2.81722346914182	2.68953984391695e-09	9.4800166907518e-07
255480	1.68700420590569	0.760840139305675	3.16954496058027e-09	1.09236606208088e-06
306	-3.88666048686419	2.24033361124921	3.30864683452871e-09	1.11551747297186e-06
10631	-1.744620234743	0.849675852965383	4.00837500043129e-09	1.32267846556785e-06
645369	1.70234420023568	0.758113065951637	4.19217001983207e-09	1.35450760078282e-06
115948	3.57960572452475	2.93104775168352	4.42660759263214e-09	1.4010664725333e-06
2346	-2.64468214172666	2.09161509464392	5.27837406975439e-09	1.59950274300761e-06
643911	-2.76491014775531	2.59370212200961	5.36295974185284e-09	1.59950274300761e-06
7060	-5.9284158830328	8.34317365734677	5.17185425776086e-09	1.59950274300761e-06
85415	-3.21390560617666	2.90276710978654	6.8992867633954e-09	2.01888751723584e-06
81285	-2.76535342229297	2.51343456625086	7.28036938405794e-09	2.09094905143249e-06
51365	-4.68972563567977	8.57521080969774	7.46320525781285e-09	2.10448818806217e-06
29953	3.90916545658605	3.37276353879153	8.48075462073365e-09	2.34871470380282e-06
84870	-3.57106292461161	6.45775630723923	8.79801801972224e-09	2.39383265733109e-06
53826	2.38405616603906	9.10530075750861	1.10348655054914e-08	2.95068498490805e-06
3223	-3.1175764201797	2.54830785609212	1.15624945449292e-08	3.03936826944589e-06
80004	-2.27288301824665	2.0341296116879	1.18981391693062e-08	3.07547067294616e-06
57535	-1.53763766006477	0.99606152977912	1.34695012615067e-08	3.42456549286405e-06
24147	-2.64897575129123	3.57975280120912	1.85320047871166e-08	4.63569132650632e-06
7079	2.90838324133923	2.3137311355815	1.91222482583326e-08	4.70741187680127e-06
342527	3.48201710544673	3.2838995871957	2.10127942424322e-08	5.09199102977938e-06
157869	2.44554600997258	3.96719214785913	2.23447338243035e-08	5.28785906352264e-06
4852	-5.24083206477178	5.66784616824552	2.25029787989229e-08	5.28785906352264e-06
6489	2.37360281049629	1.78895038918361	2.4189348853822e-08	5.59929270707352e-06
57111	-3.26001923837271	1.66678755286008	2.60541409779531e-08	5.94225988863346e-06
4824	-1.6744327773949	2.87962159268423	2.88737422297857e-08	6.48989664118472e-06
1008	4.42116130891036	6.30987919676207	3.29520414502111e-08	7.19793254720175e-06
4133	2.46042574661668	2.80686872542841	3.26447906681103e-08	7.19793254720175e-06
57633	2.61292503319136	2.95270423086844	3.6734401138977e-08	7.9126920453388e-06
286191	3.69915585130633	6.12645601284593	3.7824118910571e-08	8.0358117833431e-06
4604	-3.74650908679629	2.17213003747784	4.14919715452873e-08	8.69593225264676e-06
6262	2.91649155055445	2.90561862655146	4.72601281748996e-08	9.7727643715269e-06
6424	-6.77476570445113	8.02138828509915	5.38105452737684e-08	1.09172907375496e-05
9699	-2.01988755577415	1.00510597516991	5.42028104191967e-08	1.09172907375496e-05
3872	3.14222723716292	4.65035393111394	6.78666626881489e-08	1.34941547644936e-05
2326	-2.25674771798366	0.810237114163471	6.98171058655038e-08	1.37062467704822e-05
2668	-1.11726857714346	0.937085140771226	7.35457632266816e-08	1.42577655235326e-05
79822	1.49706267360438	0.305129355552596	7.89771692995705e-08	1.51216903539141e-05
2018	3.87124259239441	2.69214625653607	8.2190286987346e-08	1.55449897669116e-05
8988	3.54602363212154	3.5410806605103	8.62125793827294e-08	1.6109287875262e-05
114880	2.36315131723618	3.22235463915773	9.40428347465386e-08	1.73632181438579e-05
124220	-2.3673901689119	2.90991356740442	9.52966746817578e-08	1.73877191486986e-05
150378	3.12433659791379	4.56669352646477	9.65632867691042e-08	1.74139536570004e-05
5730	3.04810486418436	11.2558496832029	1.13678251220987e-07	2.02647815883481e-05
79977	-1.40482705874486	1.02510385034189	1.30621035710631e-07	2.30204732140475e-05
23209	3.11073614946297	2.91043963414098	1.379936249365e-07	2.35280086287557e-05
4477	-6.39922675638426	5.81988136066722	1.38004510846095e-07	2.35280086287557e-05
5318	-1.6595658033364	0.365860374367249	1.38052020453722e-07	2.35280086287557e-05
5137	1.5743509808689	0.474573931728173	1.89422288782505e-07	3.1932068225303e-05
5493	1.97642783960783	5.63412940045827	1.92975930271364e-07	3.21813301352536e-05
1848	-2.03810846867395	5.23525390367846	2.00627355713295e-07	3.31013793591223e-05
5179	5.46394919934413	8.84968917635332	2.2532349988095e-07	3.67846543121437e-05
283383	2.53640069512049	6.20814553411353	2.31809892778119e-07	3.74493711155817e-05
143503	-2.44972335626463	2.1202763028819	2.34645568484611e-07	3.75166816662664e-05
144100	-1.86059542076889	2.2046844960601	2.67590117202445e-07	4.2347501302987e-05
59352	2.16858186688302	3.76833736788259	2.82633074094892e-07	4.38335634613767e-05
8612	-2.74275543414343	2.15497383118708	2.82420749741433e-07	4.38335634613767e-05
100505730	-1.27331963222279	1.07875866577826	3.35987441577503e-07	5.15923686279752e-05
4151	-2.09610534100433	1.97069133106307	3.88836855610204e-07	5.91222626829279e-05
100287411	-1.51209000593978	1.49202600361318	4.02899759521035e-07	6.06657511690459e-05
6422	-2.78162562204059	5.34930153994178	4.58290736990814e-07	6.83426061537552e-05
79625	2.25677153470684	8.65520717992309	5.30071637655472e-07	7.82941050323688e-05
7163	-1.99300567688253	1.7838743696286	5.71533147556424e-07	8.36217696740809e-05
3777	2.07573168890255	4.17891202126849	6.36060747440431e-07	9.16055065180558e-05
57538	1.18503796514964	0.409246844217332	6.37913128115934e-07	9.16055065180558e-05
100506542	2.45503291049226	5.90638159748714	6.60000432624419e-07	9.39077679777258e-05
100131187	-2.20685671684554	6.84464836848694	7.71823478825242e-07	0.000108820093937279
79170	-3.86420264800685	4.63472407659892	8.06403321780656e-07	0.000112671253310776
729680	1.98357083875494	2.35739961000539	8.38054757590743e-07	0.000116048136031025
5349	-2.00250668735679	3.16194863702832	8.49347799664133e-07	0.00011657110641585
58	2.08142804587271	1.06117811993011	8.58947807394473e-07	0.000116854574955095
5950	2.38881439568067	2.51130310841182	9.00784088834905e-07	0.000121480525510787
254427	-1.53370831840658	2.25695124931069	9.1966978451935e-07	0.000122958264552678
27253	-2.19513385314791	3.11905022479746	9.5814839452361e-07	0.000127007892740741
