id	3e19bb94-c3f1-4d42-868e-0bbc5defd999	f12fbfdf-efd4-462a-a34c-8c01947bfb78
285550	1938.0	3468.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	5.0	28.0
3640	0.0	3.0
3638	7098.0	48550.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2006.0	4659.0
100873313	0.0	0.0
3632	2493.0	1411.0
100873312	1.0	5.0
100873311	0.0	0.0
3633	2051.0	1219.0
100873318	0.0	2.0
3635	1479.0	779.0
100873317	0.0	0.0
3636	4159.0	5828.0
100128771	84.0	182.0
100873316	9.0	7.0
100873315	0.0	0.0
100128766	2.0	2.0
3651	0.0	0.0
1	12.0	25.0
2	128437.0	59185.0
100873309	0.0	0.0
100873308	0.0	0.0
3	29.0	6.0
3641	0.0	0.0
100873303	0.0	0.0
9	438.0	17335.0
3642	0.0	0.0
100873302	0.0	0.0
3643	8568.0	9107.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	37.0	14.0
100873307	0.0	0.0
3646	18461.0	49670.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	96.0	282.0
100873304	0.0	0.0
100873332	6.0	0.0
3660	2675.0	4954.0
100873331	0.0	0.0
3661	1188.0	576.0
100873330	0.0	0.0
285577	5.0	81.0
3662	925.0	13.0
100128756	0.0	0.0
1000	72.0	441.0
3652	1043.0	3182.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	388.0	30.0
3654	3435.0	5190.0
100873334	0.0	0.0
3655	13031.0	4652.0
100873333	0.0	0.0
3656	901.0	185.0
100873339	0.0	0.0
3658	5127.0	15489.0
100873338	0.0	0.0
3659	4105.0	1229.0
100873337	0.0	0.0
3670	1.0	0.0
100873321	0.0	0.0
3671	15038.0	7851.0
100873320	0.0	0.0
3672	13279.0	9928.0
285588	0.0	4.0
3673	1721.0	10146.0
1011	0.0	0.0
1010	38.0	8.0
1008	54.0	1.0
1007	2.0	0.0
1006	22.0	65.0
1005	2.0	72.0
1004	915.0	761.0
1003	16508.0	4798.0
1002	93.0	49.0
1001	1074.0	234.0
3663	284.0	2007.0
100873325	2.0	0.0
3664	2114.0	10423.0
100873324	0.0	0.0
3665	317.0	198.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	4422.0	8651.0
100873329	0.0	0.0
285590	6550.0	4056.0
100873328	0.0	0.0
3669	243.0	309.0
100873327	0.0	0.0
1009	3064.0	7938.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	3.0	4.0
728477	2.0	9.0
3680	4396.0	2009.0
3681	24.0	43.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	804.0	1151.0
100873353	1.0	0.0
3683	323.0	1777.0
100873352	2.0	0.0
128710	496.0	2284.0
3684	814.0	606.0
100873351	0.0	0.0
285512	93.0	21.0
1022	923.0	3377.0
285513	1166.0	2293.0
1021	2209.0	1418.0
1020	313.0	3069.0
440299	1.0	0.0
1019	2966.0	7433.0
128709	1.0	0.0
