id	cbfa8434-6acf-4122-ab58-991efcc6aa6b	dd538c2f-a55d-4f4c-a83a-1507bf365403
285550	1297.0	643.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	1.0	3.0
3640	6.0	3.0
3638	2810.0	4427.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	1.0
3631	710.0	1413.0
100873313	0.0	0.0
3632	1529.0	819.0
100873312	0.0	1.0
100873311	0.0	0.0
3633	542.0	445.0
100873318	0.0	0.0
3635	939.0	690.0
100873317	0.0	0.0
3636	2521.0	8217.0
100128771	37.0	123.0
100873316	0.0	3.0
100873315	0.0	0.0
100128766	0.0	3.0
3651	0.0	1.0
1	2.0	23.0
2	80550.0	22823.0
100873309	0.0	0.0
100873308	0.0	0.0
3	13.0	5.0
3641	0.0	0.0
100873303	0.0	0.0
9	127.0	11893.0
3642	13.0	1.0
100873302	0.0	0.0
3643	3947.0	6667.0
100128764	5.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	9.0	5.0
100873307	0.0	0.0
3646	13360.0	14770.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	15.0	29.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	1583.0	2078.0
100873331	0.0	0.0
3661	1591.0	1846.0
100873330	0.0	0.0
285577	3.0	0.0
3662	120.0	56.0
100128756	0.0	0.0
1000	16.0	94.0
3652	328.0	914.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	211.0	30.0
3654	3647.0	8477.0
100873334	0.0	0.0
3655	7302.0	4599.0
100873333	1.0	0.0
3656	590.0	158.0
100873339	0.0	0.0
3658	1600.0	3639.0
100873338	0.0	0.0
3659	1410.0	1094.0
100873337	0.0	0.0
3670	0.0	8.0
100873321	0.0	0.0
3671	6962.0	4615.0
100873320	0.0	0.0
3672	6599.0	2066.0
285588	0.0	0.0
3673	242.0	8398.0
1011	0.0	0.0
1010	0.0	4.0
1008	7.0	1.0
1007	0.0	0.0
1006	19.0	19.0
1005	0.0	165.0
1004	437.0	193.0
1003	13373.0	1729.0
1002	22.0	29.0
1001	14.0	815.0
3663	163.0	352.0
100873325	0.0	0.0
3664	413.0	13239.0
100873324	0.0	0.0
3665	500.0	1125.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	1478.0	8546.0
100873329	0.0	0.0
285590	1651.0	7653.0
100873328	0.0	0.0
3669	277.0	202.0
100873327	0.0	0.0
1009	666.0	4656.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	2.0
728477	0.0	1.0
3680	1107.0	479.0
3681	9.0	28.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	954.0	976.0
100873353	0.0	0.0
3683	165.0	810.0
100873352	0.0	0.0
128710	225.0	788.0
