id	47f0749e-01c7-4d8c-8926-06293c4a9b4e	7e56863a-53f2-4c94-9cf0-053d72b4d5ee
285550	1366.0	848.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	17.0	18.0
3640	7.0	10.0
3638	2221.0	2302.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	1.0
3631	1740.0	1533.0
100873313	0.0	0.0
3632	1750.0	852.0
100873312	1.0	1.0
100873311	0.0	0.0
3633	2097.0	1038.0
100873318	0.0	0.0
3635	2370.0	1486.0
100873317	0.0	0.0
3636	5669.0	4731.0
100128771	69.0	109.0
100873316	12.0	16.0
100873315	0.0	0.0
100128766	1.0	0.0
3651	0.0	0.0
1	24.0	38.0
2	104972.0	35669.0
100873309	0.0	0.0
100873308	0.0	0.0
3	38.0	6.0
3641	0.0	1.0
100873303	0.0	0.0
9	1502.0	9231.0
3642	0.0	110.0
100873302	0.0	0.0
3643	7901.0	9199.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	42.0	6.0
100873307	0.0	0.0
3646	23232.0	20665.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	283.0	100.0
100873304	0.0	0.0
100873332	5.0	6.0
3660	4014.0	2604.0
100873331	0.0	0.0
3661	2427.0	1751.0
100873330	0.0	0.0
285577	2.0	0.0
3662	156.0	153.0
100128756	0.0	0.0
1000	71.0	128.0
3652	1105.0	854.0
100873336	1.0	1.0
100873335	0.0	0.0
100128750	95.0	47.0
3654	4484.0	5587.0
100873334	0.0	0.0
3655	10760.0	8139.0
100873333	0.0	0.0
3656	213.0	424.0
100873339	0.0	0.0
3658	4313.0	2264.0
100873338	0.0	0.0
3659	1413.0	6936.0
100873337	0.0	0.0
3670	0.0	4.0
100873321	0.0	0.0
3671	16582.0	9604.0
100873320	0.0	0.0
3672	5474.0	2293.0
285588	0.0	0.0
3673	9524.0	4531.0
1011	0.0	0.0
1010	131.0	1.0
1008	8.0	7.0
1007	0.0	0.0
1006	100.0	26.0
1005	23.0	221.0
1004	384.0	275.0
1003	4566.0	2471.0
1002	235.0	18.0
1001	16139.0	4358.0
3663	396.0	503.0
100873325	0.0	0.0
3664	15777.0	8688.0
100873324	0.0	0.0
3665	566.0	1528.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	16758.0	3255.0
100873329	0.0	0.0
285590	5018.0	6145.0
100873328	0.0	0.0
3669	560.0	401.0
100873327	0.0	0.0
1009	4371.0	12060.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	0.0
728477	7.0	4.0
3680	3289.0	1395.0
3681	9.0	33.0
100128733	0.0	1.0
100873354	0.0	0.0
3682	439.0	472.0
100873353	0.0	0.0
3683	730.0	1778.0
100873352	0.0	0.0
128710	1004.0	1015.0
3684	571.0	3300.0
100873351	0.0	0.0
285512	170.0	100.0
1022	1303.0	2131.0
285513	933.0	1032.0
1021	1444.0	1097.0
1020	638.0	1015.0
440299	1.0	0.0
1019	3740.0	3198.0
128709	0.0	0.0
1018	2.0	6.0
1017	1883.0	1348.0
1016	3.0	1.0
1015	23.0	14.0
1014	5.0	0.0
1013	9.0	19.0
1012	2608.0	807.0
116730	61.0	47.0
3674	19.0	42.0
100873358	0.0	0.0
3675	15954.0	5775.0
100873357	0.0	0.0
3676	399.0	566.0
100128731	4936.0	4599.0
100873356	0.0	0.0
3678	3845.0	5133.0
3679	2559.0	900.0
100873359	0.0	0.0
728464	40.0	19.0
728463	42.0	58.0
100128725	0.0	0.0
3690	197.0	264.0
3691	25302.0	7342.0
100873343	0.0	0.0
3692	4625.0	3498.0
3693	15157.0	19840.0
285521	1164.0	828.0
100873342	0.0	0.0
3694	6511.0	2878.0
100873341	0.0	0.0
3695	132.0	125.0
100873340	0.0	0.0
100128723	0.0	1.0
1033	35.0	241.0
1032	216.0	327.0
285525	4.0	1.0
1031	866.0	430.0
285527	5079.0	2749.0
1030	1270.0	1671.0
728468	0.0	0.0
440288	201.0	70.0
1029	321.0	741.0
440295	133.0	63.0
1028	2663.0	907.0
1027	5604.0	6965.0
1026	4219.0	3987.0
1025	3398.0	2438.0
1024	623.0	461.0
3685	8457.0	14445.0
100873347	0.0	1.0
100873346	0.0	0.0
3687	466.0	1041.0
100873345	0.0	0.0
3688	42786.0	16160.0
100873344	0.0	0.0
3689	2181.0	3862.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	2.0	0.0
100873371	2.0	2.0
100873370	0.0	0.0
728498	56.0	10.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	89.0	33.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	205.0	122.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	6.0	7.0
1043	785.0	1031.0
1041	5.0	2.0
1040	3217.0	3043.0
1039	2084.0	2564.0
1038	2.0	1.0
1036	1009.0	224.0
3696	3977.0	7657.0
3697	0.0	4.0
100873379	0.0	0.0
3698	244.0	41.0
100873378	0.0	1.0
3699	75.0	45.0
100873377	0.0	0.0
728486	4.0	7.0
100873361	0.0	0.0
105373869	5.0	299.0
100873360	0.0	0.0
285540	151.0	195.0
100128705	2.0	6.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	0.0
100873362	0.0	0.0
100128701	0.0	2.0
1054	2157.0	1670.0
285547	0.0	0.0
1053	3.0	7.0
285548	3.0	6.0
1052	4188.0	6060.0
1051	2422.0	3230.0
728489	10.0	1.0
