id	e84e835c-ce99-46bd-a50b-068cfb983143	512b0f65-4ee9-4d01-b453-075499fe9d83
285550	1169.0	1775.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	6.0	19.0
3640	23.0	7.0
3638	2407.0	3104.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1224.0	3595.0
100873313	0.0	1.0
3632	1495.0	1886.0
100873312	0.0	3.0
100873311	0.0	0.0
3633	1359.0	2083.0
100873318	0.0	0.0
3635	1633.0	2300.0
100873317	0.0	0.0
3636	3053.0	9521.0
100128771	46.0	75.0
100873316	1.0	5.0
100873315	0.0	0.0
100128766	2.0	1.0
3651	0.0	0.0
1	12.0	34.0
2	53261.0	113037.0
100873309	0.0	0.0
100873308	0.0	0.0
3	28.0	30.0
3641	0.0	1.0
100873303	0.0	0.0
9	229.0	1021.0
3642	5.0	147.0
100873302	0.0	0.0
3643	3453.0	5955.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	6.0	60.0
100873307	0.0	0.0
3646	20529.0	17697.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	150.0	161.0
100873304	0.0	0.0
100873332	3.0	4.0
3660	1933.0	2922.0
100873331	0.0	0.0
3661	1094.0	2047.0
100873330	0.0	1.0
285577	3.0	3.0
3662	468.0	385.0
100128756	0.0	0.0
1000	60.0	801.0
3652	721.0	1908.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	71.0	48.0
3654	3615.0	6206.0
100873334	0.0	0.0
3655	10083.0	13753.0
100873333	0.0	1.0
3656	349.0	408.0
100873339	0.0	0.0
3658	2913.0	6856.0
100873338	0.0	0.0
3659	3351.0	2357.0
100873337	1.0	0.0
3670	0.0	2.0
100873321	0.0	0.0
3671	9777.0	15600.0
100873320	0.0	0.0
3672	3202.0	6968.0
285588	0.0	1.0
3673	2816.0	6483.0
1011	0.0	0.0
1010	133.0	72.0
1008	8.0	4.0
1007	0.0	0.0
1006	34.0	39.0
1005	2.0	4.0
1004	352.0	1137.0
1003	5639.0	6419.0
1002	123.0	70.0
1001	4739.0	5022.0
3663	457.0	559.0
100873325	0.0	0.0
3664	7170.0	11434.0
100873324	0.0	0.0
3665	620.0	1046.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	4222.0	5693.0
100873329	0.0	0.0
285590	4221.0	26024.0
100873328	0.0	0.0
3669	535.0	1221.0
100873327	0.0	0.0
1009	1638.0	26136.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	1.0
728477	2.0	11.0
3680	2364.0	5031.0
3681	8.0	18.0
100128733	0.0	0.0
100873354	1.0	0.0
3682	707.0	724.0
100873353	0.0	0.0
3683	551.0	900.0
100873352	0.0	0.0
128710	270.0	1588.0
3684	1147.0	1104.0
100873351	0.0	0.0
285512	84.0	116.0
1022	934.0	1326.0
285513	672.0	1507.0
1021	2202.0	2914.0
1020	346.0	843.0
440299	0.0	1.0
1019	2623.0	4910.0
128709	0.0	0.0
1018	14.0	20.0
1017	1363.0	2048.0
1016	2.0	5.0
1015	11.0	47.0
1014	0.0	0.0
1013	5.0	23.0
1012	2628.0	1078.0
116730	55.0	62.0
3674	23.0	47.0
100873358	0.0	0.0
3675	5888.0	9298.0
100873357	1.0	0.0
3676	490.0	1501.0
100128731	3823.0	5935.0
100873356	0.0	0.0
3678	4974.0	13450.0
3679	3420.0	2358.0
100873359	0.0	0.0
728464	45.0	176.0
728463	18.0	31.0
100128725	0.0	0.0
3690	393.0	413.0
3691	11859.0	9035.0
100873343	0.0	0.0
3692	3526.0	3766.0
3693	9092.0	24367.0
285521	849.0	1545.0
100873342	0.0	0.0
3694	5090.0	4703.0
100873341	0.0	0.0
3695	65.0	177.0
100873340	0.0	0.0
100128723	1.0	2.0
1033	96.0	147.0
1032	288.0	347.0
285525	3.0	6.0
1031	1499.0	1194.0
285527	2687.0	6984.0
1030	1393.0	1148.0
728468	0.0	0.0
440288	107.0	175.0
1029	114.0	316.0
440295	111.0	171.0
1028	2497.0	2117.0
1027	2138.0	5717.0
1026	11945.0	9321.0
1025	2485.0	3269.0
1024	453.0	754.0
3685	6464.0	25851.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	677.0	692.0
100873345	0.0	0.0
3688	21383.0	47504.0
100873344	0.0	0.0
3689	2713.0	3219.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	2.0	0.0
100873371	0.0	3.0
100873370	0.0	0.0
728498	2.0	21.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	44.0	61.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	138.0	170.0
100873374	1.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	5.0	30.0
1043	501.0	420.0
1041	0.0	24.0
1040	1799.0	4561.0
1039	1802.0	3926.0
1038	22.0	16.0
1036	1794.0	743.0
3696	3388.0	5418.0
3697	3.0	2.0
100873379	0.0	0.0
3698	57.0	201.0
100873378	2.0	3.0
3699	42.0	74.0
100873377	0.0	0.0
728486	3.0	5.0
100873361	0.0	1.0
105373869	2.0	513.0
100873360	0.0	1.0
285540	77.0	180.0
100128705	0.0	5.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	0.0
100873362	0.0	0.0
100128701	4.0	1.0
1054	2633.0	3823.0
285547	1.0	0.0
1053	3.0	5.0
285548	3.0	2.0
1052	3352.0	1697.0
1051	2409.0	1580.0
728489	7.0	10.0
1050	1165.0	594.0
100128707	0.0	0.0
1048	6.0	22330.0
1047	47.0	349.0
1046	0.0	0.0
1045	0.0	0.0
100873369	1.0	24.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	3.0	4.0
1066	2427.0	540.0
1063	571.0	1734.0
1062	185.0	628.0
1061	2.0	2.0
1060	1694.0	2807.0
440253	128.0	161.0
1059	4042.0	13859.0
1058	67.0	97.0
1057	0.0	2.0
85379	6789.0	14046.0
114112	491.0	1065.0
1056	12.0	146.0
85377	2734.0	3236.0
85378	1511.0	3050.0
128745	0.0	9.0
