id	f4a128be-6910-49c3-9f0c-b6bd702ab7ce	62299b4e-203a-4f74-a2d9-94e0617acfb8
285550	1713.0	862.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	23.0	2.0
3640	11.0	11.0
3638	3186.0	2993.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2179.0	2065.0
100873313	0.0	0.0
3632	1887.0	1007.0
100873312	5.0	0.0
100873311	0.0	0.0
3633	2050.0	1125.0
100873318	0.0	0.0
3635	2465.0	1128.0
100873317	0.0	0.0
3636	5659.0	4670.0
100128771	182.0	19.0
100873316	17.0	10.0
100873315	0.0	0.0
100128766	1.0	0.0
3651	0.0	1.0
1	47.0	39.0
2	83772.0	29663.0
100873309	0.0	0.0
100873308	0.0	0.0
3	73.0	2.0
3641	0.0	0.0
100873303	0.0	0.0
9	1516.0	340.0
3642	0.0	121.0
100873302	0.0	0.0
3643	7715.0	2714.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	50.0	6.0
100873307	0.0	0.0
3646	21355.0	19613.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	209.0	61.0
100873304	0.0	2.0
100873332	6.0	1.0
3660	3293.0	1985.0
100873331	0.0	0.0
3661	2518.0	4543.0
100873330	0.0	1.0
285577	9.0	2.0
3662	574.0	1609.0
100128756	0.0	0.0
1000	100.0	552.0
3652	1312.0	527.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	106.0	25.0
3654	5054.0	24406.0
100873334	0.0	0.0
3655	15298.0	6530.0
100873333	1.0	0.0
3656	397.0	291.0
100873339	0.0	0.0
3658	5935.0	2442.0
100873338	0.0	0.0
3659	4541.0	8594.0
100873337	0.0	0.0
3670	13.0	2.0
100873321	0.0	0.0
3671	7067.0	8784.0
100873320	0.0	0.0
3672	6366.0	2828.0
285588	4.0	0.0
3673	5718.0	1700.0
1011	0.0	0.0
1010	29.0	3.0
1008	2.0	3.0
1007	0.0	0.0
1006	122.0	35.0
1005	36.0	6.0
1004	625.0	397.0
1003	6272.0	1056.0
1002	269.0	29.0
1001	6132.0	22164.0
3663	574.0	947.0
100873325	0.0	0.0
3664	11057.0	4005.0
100873324	0.0	0.0
3665	1506.0	2844.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	6116.0	1516.0
100873329	0.0	0.0
285590	4669.0	6034.0
100873328	0.0	0.0
3669	786.0	1442.0
100873327	0.0	0.0
1009	2723.0	6274.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	3.0	15.0
728477	7.0	1.0
3680	3525.0	844.0
3681	29.0	12.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1005.0	881.0
100873353	0.0	0.0
3683	1834.0	1322.0
100873352	2.0	0.0
128710	1100.0	674.0
3684	806.0	1572.0
100873351	0.0	0.0
285512	369.0	72.0
1022	1380.0	897.0
285513	1498.0	608.0
1021	2676.0	1676.0
1020	400.0	880.0
440299	1.0	0.0
1019	3548.0	5639.0
128709	0.0	0.0
1018	35.0	20.0
1017	1977.0	3227.0
1016	1.0	1.0
1015	29.0	5.0
1014	7.0	40.0
1013	7.0	19.0
1012	2124.0	598.0
116730	66.0	30.0
3674	44.0	68.0
100873358	0.0	0.0
3675	7951.0	7399.0
100873357	1.0	0.0
3676	1115.0	554.0
100128731	4184.0	7281.0
100873356	0.0	0.0
3678	4193.0	11718.0
3679	4923.0	186.0
100873359	0.0	0.0
728464	49.0	11.0
728463	48.0	71.0
100128725	0.0	0.0
3690	409.0	131.0
3691	13165.0	12278.0
100873343	2.0	0.0
3692	4207.0	8040.0
3693	10601.0	10429.0
285521	1211.0	504.0
100873342	0.0	0.0
3694	4593.0	27174.0
100873341	3.0	0.0
3695	194.0	350.0
100873340	0.0	0.0
100128723	1.0	0.0
1033	71.0	1756.0
1032	298.0	1143.0
285525	4.0	0.0
1031	2343.0	3121.0
285527	6550.0	2443.0
1030	1150.0	3996.0
728468	0.0	0.0
440288	186.0	69.0
1029	218.0	7159.0
440295	241.0	107.0
1028	3017.0	839.0
1027	8349.0	2647.0
1026	3258.0	3585.0
1025	3524.0	2259.0
1024	757.0	1042.0
3685	9777.0	8299.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	818.0	1791.0
100873345	0.0	0.0
3688	31149.0	37827.0
100873344	0.0	0.0
3689	4196.0	7691.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	4.0	2.0
100873370	0.0	0.0
728498	31.0	9.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	39.0	29.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	173.0	104.0
100873374	1.0	0.0
728495	3.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	28.0	19.0
1043	1354.0	1209.0
1041	1.0	4.0
1040	2913.0	2679.0
1039	1585.0	2760.0
1038	10.0	1.0
1036	2658.0	47.0
3696	5422.0	1283.0
3697	11.0	3.0
100873379	0.0	0.0
3698	623.0	9.0
100873378	2.0	5.0
3699	298.0	11.0
100873377	0.0	0.0
728486	15.0	11.0
100873361	0.0	0.0
105373869	0.0	274.0
100873360	0.0	0.0
285540	93.0	13.0
100128705	3.0	3.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	1.0
100873362	0.0	0.0
100128701	9.0	4.0
1054	3712.0	6087.0
285547	0.0	0.0
1053	4.0	8.0
285548	2.0	10.0
1052	2206.0	1745.0
1051	2998.0	6236.0
728489	5.0	8.0
1050	2929.0	553.0
100128707	0.0	0.0
1048	45.0	154.0
1047	366.0	177.0
1046	0.0	0.0
1045	0.0	2.0
100873369	10.0	3.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	5.0
1066	2557.0	1661.0
1063	782.0	14737.0
1062	205.0	1977.0
1061	0.0	0.0
1060	3212.0	869.0
440253	328.0	40.0
1059	5709.0	8022.0
1058	40.0	1814.0
1057	6.0	1.0
85379	12049.0	5457.0
114112	975.0	749.0
1056	31.0	71.0
85377	2892.0	5101.0
85378	3867.0	1055.0
128745	0.0	0.0
85376	15.0	15.0
440248	1209.0	203.0
1075	5378.0	9699.0
1074	8.0	2.0
1073	3284.0	1246.0
1072	25282.0	76433.0
1071	72.0	65.0
440243	1.0	0.0
1070	1052.0	594.0
1069	3307.0	3734.0
1068	0.0	0.0
85369	2635.0	2062.0
85366	4.0	15.0
85364	2474.0	1170.0
85365	2737.0	1557.0
85363	2233.0	1231.0
85360	1047.0	1714.0
1080	238.0	10.0
85391	25.0	22.0
403296	0.0	0.0
403297	0.0	2.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	0.0
153733	715.0	891.0
1087	13.0	7.0
1086	1.0	0.0
440279	23.0	1.0
1085	6.0	1.0
1084	2.0	0.0
440278	107.0	166.0
1082	0.0	1.0
403294	0.0	0.0
440275	4735.0	4373.0
1081	2.0	12.0
85397	7.0	25.0
85395	463.0	760.0
403285	0.0	0.0
1091	0.0	0.0
1090	4.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	1.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	1.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	3306.0	275.0
1089	14.0	9.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	47.0	3.0
285598	1228.0	526.0
126133	1530.0	2226.0
128790	0.0	0.0
126129	184.0	269.0
126123	0.0	1.0
442862	0.0	0.0
126119	441.0	1137.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	1.0
114132	23.0	31.0
442897	0.0	0.0
442898	5.0	0.0
114134	1043.0	209.0
442899	0.0	0.0
100128790	0.0	0.0
128760	11.0	0.0
100128788	89.0	29.0
100128787	0.0	0.0
440225	0.0	0.0
440224	14.0	0.0
442890	0.0	0.0
442891	0.0	2.0
442892	0.0	0.0
128756	0.0	0.0
100128782	197.0	92.0
100128781	2.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	4.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	110.0	8.0
102466616	0.0	0.0
126052	0.0	0.0
151009	115.0	79.0
403227	0.0	0.0
403228	0.0	0.0
138046	6.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	3.0	0.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1261.0	4311.0
107131122	0.0	0.0
138050	8722.0	6381.0
403219	3.0	0.0
151011	5924.0	4164.0
645587	10.0	8.0
165679	412.0	91.0
126037	97.0	46.0
114049	3656.0	4568.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	879.0	1038.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2597.0	1754.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	278.0	59.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	208.0	11.0
645598	0.0	0.0
163007	3.0	0.0
114038	1.0	2.0
645591	0.0	1.0
106481495	1.0	0.0
114041	96.0	71.0
106481496	0.0	0.0
114042	8.0	2.0
106481493	0.0	0.0
114043	13.0	4.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	500.0	165.0
126017	1037.0	729.0
106481497	1.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	12.0	0.0
85301	3546.0	2442.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2242.0	486.0
106481459	0.0	0.0
26994	9017.0	4903.0
106481457	12.0	4.0
26995	2315.0	2019.0
106481458	0.0	0.0
403271	0.0	0.0
26998	8.0	32.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1967.0	2300.0
403273	0.0	0.0
102466658	6.0	1.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	9.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3113.0	2177.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	1.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	2.0	0.0
106481471	0.0	0.0
85329	1353.0	42.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	1.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	986.0	18.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1293.0	434.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	4.0
106481437	0.0	0.0
26974	443.0	339.0
153657	213.0	13.0
106481438	1.0	0.0
106481435	0.0	0.0
26973	1659.0	1892.0
165631	271.0	128.0
106481436	2.0	2.0
26978	18.0	10.0
126075	1121.0	334.0
106481439	0.0	0.0
403250	0.0	0.0
126074	238.0	116.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1450.0	1526.0
106481444	23.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3345.0	946.0
85354	0.0	0.0
85352	122.0	243.0
403241	0.0	0.0
344462	2.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	466.0	284.0
153643	9.0	5.0
403247	0.0	0.0
403248	0.0	0.0
26985	4697.0	2526.0
106481448	0.0	0.0
26986	65704.0	129430.0
126069	313.0	74.0
106481449	0.0	0.0
126068	1700.0	224.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1138.0	950.0
106481447	0.0	0.0
106481451	4.0	0.0
106481452	1.0	0.0
106481450	0.0	0.0
114088	326.0	79.0
106481455	0.0	0.0
85349	130.0	114.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	2.0	0.0
85347	0.0	0.0
26980	5.0	0.0
106481454	0.0	0.0
403238	0.0	0.0
85344	2.0	5.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	28.0	0.0
85340	0.0	0.0
100873394	0.0	1.0
100873393	2.0	0.0
100873392	8.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	2.0
106481413	0.0	0.0
106481414	1.0	0.0
63901	3835.0	3506.0
100873390	0.0	0.0
728556	37.0	164.0
106481419	0.0	1.0
100128817	0.0	0.0
728558	96.0	87.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	755.0	699.0
106481423	2.0	1.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	4.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	1.0	0.0
100128801	0.0	0.0
285600	218.0	40.0
100873384	0.0	0.0
285601	25.0	30.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	3.0	0.0
63910	166.0	436.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	870.0	202.0
222008	1.0	1.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3304.0	3203.0
63904	0.0	0.0
106481430	2.0	0.0
163071	52.0	92.0
63906	989.0	864.0
106481433	0.0	0.0
63908	1017.0	359.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	1.0
100873389	0.0	0.0
100873388	2.0	3.0
285613	54.0	185.0
63920	783.0	164.0
63923	1312.0	513.0
63922	638.0	1433.0
728577	365.0	69.0
63925	2178.0	1530.0
63924	5795.0	107.0
63916	3353.0	2507.0
63917	4437.0	1804.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	0.0
728564	3.0	11.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1924.0	1469.0
106481402	0.0	0.0
63931	2480.0	1423.0
106481403	1.0	0.0
63934	1056.0	592.0
728567	6.0	1.0
106481408	0.0	0.0
163088	10.0	7.0
63933	2809.0	3838.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3758.0	2606.0
163087	1535.0	458.0
728568	470.0	356.0
106481407	9.0	6.0
3704	1642.0	2593.0
3705	4369.0	4773.0
63926	977.0	862.0
3706	6.0	53.0
63929	1384.0	783.0
3707	4550.0	4437.0
63928	3.0	7.0
3708	15518.0	1089.0
106481411	0.0	0.0
3709	18079.0	1924.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	40.0	10.0
3702	484.0	221.0
3703	9661.0	17063.0
645506	0.0	0.0
151050	1324.0	433.0
645520	0.0	0.0
63941	1159.0	486.0
63940	1262.0	1182.0
63943	407.0	838.0
728517	0.0	0.0
163033	370.0	800.0
258010	2919.0	1060.0
63947	1.0	0.0
63946	1.0	0.0
728513	1.0	3.0
100033803	0.0	0.0
3716	18195.0	16376.0
100033804	0.0	0.0
3717	2417.0	1200.0
100033805	0.0	0.0
3718	867.0	893.0
63939	2043.0	831.0
100033806	0.0	0.0
100190799	6.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	194.0	44.0
3710	3459.0	9014.0
3712	6374.0	1673.0
3713	10.0	846.0
3714	3163.0	2590.0
63950	1.0	10.0
728505	1.0	0.0
63951	387.0	218.0
100033807	0.0	0.0
728501	21.0	14.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	13004.0	5998.0
100033814	0.0	0.0
3727	7950.0	8124.0
63948	1.0	1.0
100033815	0.0	0.0
222052	1.0	0.0
3728	18651.0	27770.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2148.0	1993.0
151056	406.0	280.0
3725	30708.0	11384.0
645528	3.0	2.0
728532	27.0	19.0
163059	562.0	273.0
728538	1.0	4.0
728537	455.0	116.0
63967	51.0	912.0
3737	36.0	21.0
3738	140.0	115.0
3739	10.0	2.0
645538	0.0	0.0
3730	2035.0	607.0
3732	5401.0	6776.0
3734	1.0	0.0
3735	8390.0	10866.0
3736	118.0	1.0
63970	156.0	22.0
3750	309.0	93.0
63971	8156.0	4479.0
63974	0.0	0.0
163049	3508.0	1141.0
63973	75.0	0.0
63976	275.0	27.0
222068	6572.0	5185.0
63978	0.0	1.0
63977	930.0	541.0
63979	1033.0	1187.0
728524	0.0	0.0
3748	798.0	971.0
163051	69.0	21.0
3749	2507.0	669.0
163050	66.0	26.0
3741	92.0	13.0
645548	2.0	18.0
3743	8.0	12.0
3744	0.0	0.0
3745	1022.0	23.0
3746	28.0	7.0
3747	589.0	0.0
285671	1042.0	101.0
285672	2146.0	987.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	119.0	3.0
285676	96.0	55.0
3761	0.0	2.0
100128657	0.0	0.0
285679	1.0	4.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1101.0	234.0
283008	0.0	0.0
3751	236.0	180.0
100873435	0.0	0.0
3752	1889.0	84.0
100873434	0.0	0.0
3753	86.0	4.0
100873433	0.0	0.0
3754	11.0	27.0
100873432	0.0	0.0
3755	42.0	593.0
100873439	0.0	0.0
3756	16.0	6.0
100873438	0.0	0.0
3757	96.0	313.0
100873437	0.0	0.0
3758	8.0	5.0
100873436	0.0	0.0
100873420	5.0	0.0
3770	168.0	127.0
3772	90.0	127.0
100861458	0.0	1.0
100861453	30.0	12.0
100861455	0.0	0.0
1107	18422.0	7273.0
1106	12471.0	4514.0
1105	4951.0	2072.0
1104	2154.0	4458.0
100873429	0.0	0.0
1103	0.0	1.0
1102	1893.0	590.0
1101	1077.0	23.0
3762	399.0	303.0
100873424	0.0	0.0
3763	8.0	19.0
100128640	269.0	59.0
100873423	0.0	0.0
3764	1642.0	257.0
100873422	0.0	0.0
3765	3.0	12.0
100873421	0.0	0.0
3766	10.0	72.0
100873428	0.0	0.0
3767	368.0	68.0
100873427	0.0	0.0
3768	136.0	42.0
1109	1.0	0.0
100873426	2.0	2.0
1108	17426.0	16846.0
3769	33.0	2.0
100873425	1.0	2.0
100128637	5.0	0.0
100128639	0.0	0.0
3780	38.0	14.0
100873453	0.0	0.0
3781	28.0	20.0
100873452	0.0	0.0
3782	507.0	547.0
100873451	0.0	0.0
3783	2154.0	3384.0
100873450	0.0	0.0
1121	2281.0	747.0
100861468	0.0	0.0
1120	320.0	160.0
100861469	0.0	0.0
1118	279.0	120.0
1117	3328.0	9730.0
1116	4636.0	2776.0
1114	6.0	5.0
1113	12.0	21.0
1112	7656.0	2647.0
1111	434.0	2261.0
3773	461.0	2.0
100873457	4.0	0.0
100873456	0.0	0.0
3775	614.0	1681.0
100873455	0.0	0.0
3776	676.0	18.0
100873454	0.0	0.0
3777	194.0	1224.0
3778	3436.0	558.0
3779	2338.0	621.0
100873459	0.0	0.0
1119	2664.0	2919.0
100128627	3.0	2.0
100128626	0.0	0.0
3790	1397.0	2012.0
100128628	9.0	0.0
3791	5856.0	1433.0
100873442	0.0	0.0
3792	62.0	44.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	7.0	3.0
1131	130.0	292.0
1130	5162.0	2778.0
100861476	0.0	1.0
1129	1.0	0.0
1128	415.0	96.0
1124	466.0	87.0
1123	889.0	569.0
1122	1768.0	2921.0
100861470	0.0	0.0
3784	870.0	365.0
100873446	0.0	0.0
3785	0.0	2.0
100873445	0.0	0.0
3786	303.0	170.0
100873444	0.0	0.0
3787	277.0	12.0
100873443	0.0	0.0
3788	52.0	10.0
100873449	12.0	4.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	174.0	63.0
100128618	1.0	2.0
728597	19.0	0.0
100128617	1.0	0.0
100873475	1.0	0.0
100873474	0.0	0.0
728591	93.0	10.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	14.0	78.0
285634	4.0	3.0
1142	0.0	0.0
1141	119.0	50.0
285636	3201.0	989.0
1140	753.0	748.0
728599	3.0	0.0
1139	44.0	8.0
1138	61.0	371.0
1137	1.0	1.0
100861485	0.0	0.0
1136	12.0	37.0
1135	26.0	2.0
1134	29.0	111.0
1133	31.0	12.0
3795	397.0	781.0
100873479	7.0	0.0
3796	1765.0	1199.0
100873478	0.0	0.0
3797	1442.0	1523.0
100873477	7.0	0.0
3798	240.0	37.0
100873476	0.0	0.0
3799	17699.0	9043.0
100873460	0.0	0.0
728586	17.0	6.0
285641	0.0	0.0
100873464	7.0	3.0
100873463	0.0	1.0
100873462	2.0	3.0
285643	0.0	3.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1137.0	1698.0
1153	30010.0	8434.0
1152	1930.0	2132.0
285647	29.0	15.0
728589	39.0	14.0
728588	1.0	0.0
1149	1198.0	51.0
1147	2072.0	1350.0
1146	9.0	1.0
1145	52.0	44.0
1144	0.0	1.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	346.0	3710.0
1163	931.0	9369.0
285659	0.0	0.0
1161	589.0	293.0
1160	271.0	24.0
1159	115.0	209.0
1158	11.0	2.0
1157	0.0	0.0
1155	2161.0	5199.0
550643	1448.0	1050.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2439.0	3344.0
1175	2202.0	7543.0
285668	31.0	3.0
1174	1705.0	2910.0
1173	14694.0	32447.0
550631	170.0	97.0
100873489	0.0	0.0
283014	16.0	5.0
100873488	1.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	95.0	13.0
1186	3084.0	2944.0
1185	2349.0	678.0
1184	515.0	684.0
1183	509.0	854.0
1182	8560.0	3310.0
1181	301.0	781.0
440375	36.0	22.0
1180	47.0	12.0
1179	0.0	0.0
1178	15.0	0.0
283089	23.0	3.0
85495	0.0	0.0
85480	261.0	11.0
283080	0.0	0.0
1198	3732.0	1931.0
1197	1.0	1.0
1196	2892.0	3976.0
1195	13354.0	2098.0
440366	2.0	2.0
1193	2022.0	606.0
1192	13418.0	32357.0
1191	85890.0	62576.0
1188	31.0	4.0
283078	174.0	98.0
85486	23.0	8.0
128615	0.0	0.0
85481	1.0	0.0
128611	307.0	68.0
440396	99.0	125.0
128609	0.0	0.0
128602	2.0	4.0
440387	0.0	1.0
128674	0.0	13.0
128676	0.0	0.0
114026	0.0	0.0
100861402	4.0	3.0
126014	127.0	486.0
440335	837.0	1411.0
100128690	0.0	0.0
114034	766.0	860.0
126006	155.0	16.0
114036	77.0	16.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	68.0	30.0
100861412	2.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	1.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	0.0	28.0
200728	214.0	117.0
440356	3.0	12.0
440354	104.0	53.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	3.0	3.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	12.0	7.0
100873410	0.0	0.0
100873417	0.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	27.0	2.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	254.0	97.0
200734	3886.0	1264.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	4.0	3.0
100873408	0.0	0.0
100873407	0.0	3.0
100861430	0.0	1.0
100873402	0.0	0.0
100873401	2.0	0.0
100873400	0.0	0.0
100128665	1.0	0.0
128637	4714.0	2434.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	7.0	2.0
165530	102.0	47.0
85409	256.0	349.0
106481385	0.0	0.0
106481386	1.0	0.0
85416	11.0	6.0
106481383	6.0	3.0
85417	65.0	19.0
106481384	0.0	0.0
103106903	1.0	4.0
85414	372.0	734.0
106481389	0.0	0.0
85415	3297.0	963.0
106481387	0.0	0.0
85413	14.0	8.0
106481388	8.0	1.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	40.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	1926.0	681.0
12	231.0	160.0
13	102.0	26.0
14	7527.0	4910.0
15	8.0	7.0
16	8084.0	16316.0
645455	10.0	9.0
18	1751.0	299.0
19	5234.0	1295.0
128580	19.0	6.0
85407	271.0	276.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1762.0	1256.0
106481395	0.0	0.0
85403	1733.0	2118.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	3971.0	1900.0
106481390	0.0	0.0
21	3214.0	3387.0
106481391	0.0	0.0
22	1843.0	1465.0
153571	550.0	906.0
153572	4781.0	3215.0
23	5250.0	8841.0
24	290.0	68.0
25	7963.0	5542.0
26	42.0	29.0
27	3321.0	4515.0
28	1296.0	521.0
29	7343.0	5277.0
153579	6080.0	69.0
728615	1.0	0.0
728614	0.0	0.0
200765	414.0	362.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	12.0	3.0
102466518	0.0	0.0
102466516	4.0	0.0
