id	d5f0ea64-6660-49ac-a37e-3cd747045147	f01c01c8-97d9-4ba6-98cd-4ac9ac85ed82
285550	646.0	796.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	2.0	5.0
3640	1.0	4.0
3638	1120.0	59130.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1605.0	2567.0
100873313	0.0	0.0
3632	5446.0	1702.0
100873312	1.0	3.0
100873311	0.0	0.0
3633	730.0	1556.0
100873318	0.0	0.0
3635	309.0	2913.0
100873317	0.0	0.0
3636	8350.0	11361.0
100128771	70.0	13.0
100873316	0.0	9.0
100873315	0.0	0.0
100128766	1.0	0.0
3651	0.0	0.0
1	4.0	45.0
2	39076.0	60038.0
100873309	0.0	0.0
100873308	0.0	0.0
3	6.0	14.0
3641	0.0	0.0
100873303	0.0	0.0
9	47.0	1086.0
3642	0.0	6.0
100873302	0.0	0.0
3643	5961.0	25875.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	5.0	71.0
100873307	0.0	0.0
3646	13917.0	12857.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	50.0	69.0
100873304	0.0	1.0
100873332	0.0	1.0
3660	1538.0	2583.0
100873331	0.0	0.0
3661	590.0	1631.0
100873330	0.0	0.0
285577	0.0	0.0
3662	22.0	110.0
100128756	0.0	0.0
1000	72.0	267.0
3652	1676.0	1129.0
100873336	0.0	0.0
100873335	0.0	1.0
100128750	2.0	110.0
3654	2223.0	8381.0
100873334	0.0	0.0
3655	4557.0	3784.0
100873333	0.0	0.0
3656	448.0	293.0
100873339	0.0	0.0
3658	4600.0	3571.0
100873338	0.0	0.0
3659	1217.0	5938.0
100873337	0.0	0.0
3670	0.0	1.0
100873321	0.0	0.0
3671	3755.0	12099.0
100873320	0.0	0.0
3672	3784.0	6471.0
285588	0.0	0.0
3673	207.0	1440.0
1011	0.0	0.0
1010	0.0	3.0
1008	2.0	3.0
1007	0.0	0.0
1006	85.0	51.0
1005	2.0	1.0
1004	376.0	667.0
1003	7219.0	5563.0
1002	115.0	54.0
1001	1.0	427.0
3663	38.0	1268.0
100873325	0.0	1.0
3664	95.0	8617.0
100873324	0.0	0.0
3665	440.0	1060.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	5363.0	3032.0
100873329	0.0	0.0
285590	922.0	6069.0
100873328	0.0	0.0
3669	35.0	2311.0
100873327	0.0	0.0
1009	388.0	21005.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	23405.0	0.0
728477	1.0	11.0
3680	1479.0	1603.0
3681	52.0	69.0
100128733	0.0	1.0
100873354	0.0	1.0
3682	734.0	620.0
100873353	0.0	0.0
3683	96.0	1259.0
100873352	0.0	0.0
128710	159.0	871.0
3684	257.0	1888.0
100873351	0.0	0.0
285512	37.0	68.0
1022	732.0	1834.0
285513	503.0	2123.0
1021	836.0	6472.0
1020	272.0	948.0
440299	0.0	0.0
1019	1307.0	5092.0
128709	0.0	1.0
1018	7.0	19.0
1017	512.0	892.0
1016	17.0	5.0
1015	17.0	18.0
1014	6.0	0.0
1013	2003.0	8.0
1012	7661.0	1948.0
116730	28.0	37.0
3674	16.0	10.0
100873358	0.0	0.0
3675	946.0	3254.0
100873357	0.0	3.0
3676	99.0	1337.0
100128731	4825.0	4320.0
100873356	0.0	0.0
3678	2777.0	7704.0
3679	22055.0	1138.0
100873359	0.0	0.0
728464	4.0	61.0
728463	121.0	25.0
100128725	0.0	11.0
3690	82.0	712.0
3691	810.0	1303.0
100873343	0.0	0.0
3692	1139.0	5159.0
3693	2999.0	17218.0
285521	1017.0	2417.0
100873342	0.0	0.0
3694	10118.0	11040.0
100873341	0.0	0.0
3695	23.0	128.0
100873340	0.0	0.0
100128723	0.0	2.0
1033	120.0	57.0
1032	469.0	800.0
285525	1986.0	2.0
1031	474.0	533.0
285527	2285.0	2449.0
1030	547.0	2073.0
728468	0.0	1.0
440288	78.0	104.0
1029	3.0	846.0
440295	60.0	198.0
1028	1719.0	559.0
1027	5338.0	10433.0
1026	7622.0	5433.0
1025	1143.0	4706.0
1024	580.0	940.0
3685	6923.0	17889.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	102.0	2222.0
100873345	0.0	0.0
3688	15332.0	25870.0
100873344	0.0	0.0
3689	432.0	7706.0
100873349	0.0	2.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	3.0
100873370	0.0	0.0
728498	26.0	16.0
100873376	0.0	1.0
728493	0.0	0.0
100128711	0.0	0.0
728492	60.0	50.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	7.0	107.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	1.0	14.0
1043	110.0	512.0
1041	0.0	6.0
1040	18.0	3048.0
1039	396.0	2803.0
1038	4.0	10.0
1036	204.0	158.0
3696	43.0	166.0
3697	4.0	5.0
100873379	0.0	0.0
3698	12.0	9.0
100873378	0.0	4.0
3699	71.0	86.0
100873377	0.0	0.0
728486	1.0	15.0
100873361	0.0	5.0
105373869	0.0	442.0
100873360	0.0	0.0
285540	120.0	75.0
100128705	0.0	3.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	0.0
100128701	0.0	1.0
1054	4667.0	3481.0
285547	0.0	0.0
1053	0.0	11.0
285548	1.0	13.0
1052	2676.0	3390.0
1051	4307.0	2752.0
728489	5.0	24.0
1050	185.0	1169.0
100128707	1.0	0.0
1048	0.0	3481.0
1047	91.0	1664.0
1046	0.0	0.0
1045	0.0	0.0
100873369	3.0	18.0
100873368	0.0	2.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	7.0	0.0
1066	175.0	545.0
1063	176.0	568.0
1062	51.0	182.0
1061	0.0	2.0
1060	702.0	1412.0
440253	130.0	105.0
1059	4777.0	4130.0
1058	10.0	21.0
1057	0.0	2.0
85379	3097.0	12065.0
114112	601.0	844.0
1056	9.0	61.0
85377	935.0	1876.0
85378	1401.0	2007.0
128745	6.0	0.0
85376	0.0	6.0
440248	255.0	502.0
1075	2160.0	13571.0
1074	3.0	71.0
1073	71634.0	1359.0
1072	8734.0	38801.0
1071	116.0	110.0
440243	0.0	0.0
1070	492.0	755.0
1069	790.0	4332.0
1068	0.0	0.0
85369	1196.0	2062.0
85366	37694.0	17.0
85364	762.0	1432.0
85365	585.0	3958.0
85363	362.0	1221.0
85360	402.0	1226.0
1080	0.0	59.0
85391	1.0	2.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	261.0	636.0
1087	1.0	41.0
1086	0.0	4.0
440279	530.0	23.0
