id	f50438de-b313-4b2e-97e1-302cdfb9d9d7	23aca662-0b7d-4e3f-97f2-3f35c143bdd8
285550	1795.0	1221.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	1.0	10.0
3640	2.0	15.0
3638	3756.0	3904.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1930.0	3012.0
100873313	0.0	0.0
3632	2120.0	1604.0
100873312	4.0	2.0
100873311	0.0	0.0
3633	1510.0	694.0
100873318	0.0	0.0
3635	1606.0	483.0
100873317	0.0	0.0
3636	3862.0	3531.0
100128771	86.0	84.0
100873316	7.0	1.0
100873315	0.0	0.0
100128766	1.0	1.0
3651	0.0	0.0
1	7.0	40.0
2	112063.0	9998.0
100873309	0.0	0.0
100873308	0.0	0.0
3	18.0	2.0
3641	2.0	0.0
100873303	0.0	0.0
9	271.0	285.0
3642	9.0	1.0
100873302	1.0	0.0
3643	8242.0	4379.0
100128764	0.0	0.0
100873301	0.0	1.0
100873300	0.0	0.0
3645	56.0	49.0
100873307	0.0	0.0
3646	21156.0	10939.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	129.0	57.0
100873304	0.0	0.0
100873332	4.0	1.0
3660	2250.0	5519.0
100873331	0.0	0.0
3661	1217.0	1443.0
100873330	0.0	0.0
285577	2.0	485.0
3662	420.0	371.0
100128756	0.0	0.0
1000	44.0	214.0
3652	1004.0	1197.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	218.0	33.0
3654	3219.0	6018.0
100873334	0.0	0.0
3655	10943.0	3684.0
100873333	0.0	2.0
3656	408.0	92.0
100873339	0.0	0.0
3658	4578.0	8329.0
100873338	0.0	0.0
3659	2236.0	2245.0
100873337	0.0	0.0
3670	32.0	0.0
100873321	0.0	0.0
3671	11967.0	5757.0
100873320	0.0	0.0
3672	10086.0	2669.0
285588	0.0	1.0
3673	1805.0	554.0
1011	0.0	0.0
1010	10.0	0.0
1008	18.0	0.0
1007	1.0	0.0
1006	127.0	15.0
1005	1.0	4.0
1004	507.0	155.0
1003	10029.0	816.0
1002	61.0	12.0
1001	1263.0	32813.0
3663	395.0	447.0
100873325	0.0	3.0
3664	2129.0	2991.0
100873324	0.0	0.0
3665	375.0	362.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	5233.0	544.0
100873329	0.0	0.0
285590	3501.0	13437.0
100873328	0.0	0.0
3669	223.0	367.0
100873327	0.0	0.0
1009	2033.0	9617.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	25.0
728477	0.0	29.0
3680	3430.0	690.0
3681	15.0	30.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	807.0	394.0
100873353	0.0	0.0
3683	498.0	705.0
100873352	10.0	0.0
128710	584.0	1353.0
3684	1212.0	1287.0
100873351	0.0	0.0
285512	177.0	39.0
1022	712.0	1106.0
285513	683.0	609.0
1021	1803.0	679.0
1020	320.0	932.0
440299	0.0	0.0
1019	2819.0	6117.0
128709	0.0	0.0
1018	21.0	13.0
1017	841.0	6808.0
1016	3.0	2.0
1015	7.0	4.0
1014	0.0	45.0
1013	2.0	68.0
1012	3119.0	1610.0
116730	61.0	123.0
3674	49.0	66.0
100873358	0.0	0.0
3675	3236.0	5751.0
100873357	0.0	0.0
3676	375.0	618.0
100128731	5197.0	10521.0
100873356	0.0	0.0
3678	5154.0	9825.0
3679	27122.0	68.0
100873359	0.0	0.0
728464	59.0	72.0
728463	36.0	102.0
