id	78847e00-15b8-45a5-8b5a-db379f48a1c1	20ff57b5-eeb2-4312-a5e0-11ac8c8d573a
285550	2665.0	768.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	24.0	6.0
3640	10.0	3.0
3638	7137.0	2309.0
100873319	0.0	0.0
100873314	2.0	0.0
3630	0.0	0.0
3631	3565.0	1317.0
100873313	1.0	1.0
3632	3010.0	1588.0
100873312	10.0	5.0
100873311	0.0	0.0
3633	2900.0	1879.0
100873318	0.0	0.0
3635	3202.0	634.0
100873317	0.0	0.0
3636	6328.0	6421.0
100128771	118.0	98.0
100873316	12.0	4.0
100873315	0.0	0.0
100128766	3.0	2.0
3651	0.0	29.0
1	36.0	27.0
2	146238.0	20149.0
100873309	0.0	0.0
100873308	1.0	0.0
3	41.0	13.0
3641	1.0	0.0
100873303	1.0	0.0
9	1485.0	19453.0
3642	4.0	84.0
100873302	0.0	0.0
3643	10945.0	6754.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	39.0	9.0
100873307	0.0	0.0
3646	37761.0	16005.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	543.0	107.0
100873304	0.0	0.0
100873332	7.0	0.0
3660	4103.0	1462.0
100873331	0.0	0.0
3661	1709.0	2272.0
100873330	0.0	1.0
285577	1.0	0.0
3662	598.0	41.0
100128756	0.0	0.0
1000	144.0	354.0
3652	2108.0	1853.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	146.0	24.0
3654	4678.0	3692.0
100873334	0.0	0.0
3655	22795.0	9178.0
100873333	1.0	1.0
3656	738.0	112.0
100873339	0.0	0.0
3658	10448.0	4227.0
100873338	0.0	4.0
3659	4259.0	1520.0
100873337	1.0	0.0
3670	3.0	11.0
100873321	0.0	0.0
3671	13233.0	9691.0
100873320	0.0	0.0
3672	8139.0	3798.0
285588	3.0	0.0
3673	17432.0	2963.0
1011	0.0	0.0
1010	171.0	1.0
1008	82.0	2.0
1007	0.0	0.0
1006	479.0	23.0
1005	10.0	4.0
1004	672.0	243.0
1003	8123.0	1772.0
1002	269.0	33.0
1001	10052.0	2875.0
3663	724.0	315.0
100873325	0.0	1.0
3664	17004.0	14494.0
100873324	0.0	0.0
3665	505.0	2093.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	14239.0	2761.0
100873329	0.0	0.0
285590	10222.0	3343.0
100873328	1.0	0.0
3669	657.0	868.0
100873327	0.0	0.0
1009	6820.0	12330.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	5.0	3.0
728477	6.0	1.0
3680	4958.0	426.0
3681	40.0	33.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	1088.0	538.0
100873353	0.0	0.0
3683	1033.0	692.0
100873352	1.0	1.0
128710	1384.0	1291.0
3684	1551.0	744.0
100873351	1.0	0.0
285512	291.0	22.0
1022	1970.0	1528.0
285513	2152.0	658.0
1021	8500.0	749.0
1020	515.0	382.0
440299	0.0	0.0
1019	4508.0	3863.0
128709	0.0	0.0
1018	36.0	13.0
1017	3101.0	3366.0
1016	5.0	3.0
1015	54.0	9.0
1014	3.0	0.0
1013	1.0	7.0
1012	3880.0	1145.0
116730	88.0	42.0
3674	51.0	28.0
100873358	0.0	0.0
3675	10090.0	2898.0
100873357	1.0	0.0
3676	1771.0	457.0
100128731	6216.0	7129.0
100873356	0.0	0.0
3678	6122.0	6087.0
3679	6161.0	256.0
100873359	0.0	0.0
728464	163.0	27.0
728463	64.0	24.0
100128725	0.0	0.0
3690	975.0	144.0
3691	13673.0	5768.0
100873343	3.0	1.0
3692	4672.0	4548.0
3693	13451.0	35526.0
285521	1785.0	626.0
100873342	0.0	0.0
3694	13158.0	23272.0
100873341	0.0	0.0
3695	186.0	192.0
100873340	0.0	0.0
100128723	0.0	20.0
1033	278.0	529.0
1032	250.0	351.0
285525	4.0	0.0
1031	6298.0	387.0
285527	10370.0	4183.0
1030	2154.0	1590.0
728468	0.0	0.0
440288	260.0	180.0
1029	194.0	315.0
440295	353.0	99.0
1028	3414.0	539.0
1027	6627.0	2849.0
1026	10880.0	4973.0
1025	3593.0	3262.0
1024	1396.0	1212.0
3685	23173.0	11486.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	947.0	988.0
100873345	0.0	0.0
3688	52615.0	31733.0
100873344	0.0	0.0
3689	3849.0	3371.0
100873349	0.0	2.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	2.0	0.0
100873370	0.0	0.0
728498	31.0	19.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	1.0
728492	104.0	28.0
100873375	0.0	0.0
100128710	1.0	1.0
285533	330.0	54.0
100873374	1.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	12.0	14.0
1043	645.0	126.0
1041	3.0	12.0
1040	5322.0	1762.0
1039	4238.0	2913.0
1038	79.0	8.0
1036	3911.0	49.0
3696	10716.0	126.0
3697	1.0	3.0
100873379	0.0	0.0
3698	88.0	22.0
100873378	3.0	5.0
3699	90.0	47.0
100873377	0.0	0.0
728486	11.0	1.0
100873361	0.0	2.0
105373869	5.0	698.0
100873360	0.0	0.0
285540	255.0	85.0
100128705	4.0	5.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	6.0
100873362	0.0	0.0
100128701	3.0	3.0
1054	5464.0	2347.0
285547	0.0	3.0
1053	4.0	2.0
285548	11.0	24.0
1052	5291.0	477.0
1051	5988.0	1076.0
728489	5.0	4.0
1050	2999.0	1258.0
100128707	1.0	0.0
1048	17.0	1375.0
1047	198.0	1365.0
1046	0.0	6.0
1045	1.0	2.0
100873369	13.0	4.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	9.0
1066	1869.0	31.0
1063	5440.0	7295.0
1062	860.0	1110.0
1061	12.0	3.0
1060	4298.0	934.0
440253	481.0	67.0
1059	4442.0	4413.0
1058	156.0	176.0
1057	6.0	0.0
85379	16750.0	10411.0
114112	1602.0	280.0
1056	52.0	96.0
85377	4268.0	849.0
85378	2935.0	2308.0
128745	0.0	6.0
85376	2.0	13.0
440248	1728.0	165.0
1075	9700.0	3407.0
1074	10.0	64.0
1073	7731.0	493.0
1072	32185.0	41203.0
1071	608.0	58.0
440243	0.0	0.0
1070	1758.0	1006.0
1069	5321.0	5731.0
1068	0.0	0.0
85369	3248.0	1558.0
85366	1.0	9.0
85364	1971.0	1599.0
85365	4241.0	2482.0
85363	3565.0	790.0
85360	1278.0	733.0
1080	831.0	2.0
85391	14.0	5.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	0.0
153733	1237.0	683.0
1087	9.0	114.0
1086	0.0	3.0
440279	49.0	2.0
1085	6.0	30.0
1084	7.0	5.0
440278	230.0	232.0
1082	0.0	1.0
403294	1.0	0.0
440275	8247.0	11975.0
1081	2.0	1.0
85397	7.0	16.0
85395	285.0	432.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	1.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	1.0
