id	73bcbb60-38af-4143-95e9-1a842cdf9c20	5c0f9cb8-cc53-49ce-8384-6acb54cb1855
285550	770.0	945.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	12.0	12.0
3640	15.0	8.0
3638	3295.0	5052.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1969.0	1587.0
100873313	0.0	1.0
3632	1330.0	1110.0
100873312	7.0	3.0
100873311	0.0	0.0
3633	1270.0	1428.0
100873318	0.0	1.0
3635	2048.0	2054.0
100873317	0.0	0.0
3636	4273.0	4906.0
100128771	44.0	62.0
100873316	1.0	29.0
100873315	0.0	0.0
100128766	0.0	0.0
3651	0.0	0.0
1	30.0	33.0
2	72333.0	44434.0
100873309	0.0	0.0
100873308	0.0	0.0
3	9.0	19.0
3641	1.0	0.0
100873303	0.0	0.0
9	392.0	5446.0
3642	1.0	1.0
100873302	0.0	0.0
3643	6449.0	15624.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	98.0	23.0
100873307	2.0	0.0
3646	17297.0	12914.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	203.0	87.0
100873304	0.0	1.0
100873332	4.0	2.0
3660	2318.0	2598.0
100873331	0.0	0.0
3661	1378.0	2344.0
100873330	0.0	0.0
285577	8.0	1.0
3662	737.0	641.0
100128756	0.0	0.0
1000	119.0	70.0
3652	703.0	1035.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	78.0	65.0
3654	3783.0	4166.0
100873334	0.0	0.0
3655	14461.0	7852.0
100873333	1.0	0.0
3656	305.0	228.0
100873339	0.0	0.0
3658	3993.0	3979.0
100873338	0.0	0.0
3659	1951.0	2896.0
100873337	0.0	1.0
3670	16.0	16.0
100873321	0.0	0.0
3671	8098.0	4006.0
100873320	0.0	0.0
3672	5389.0	5934.0
285588	0.0	0.0
3673	4621.0	5020.0
1011	0.0	0.0
1010	99.0	18.0
1008	5.0	6.0
1007	0.0	0.0
1006	20.0	41.0
1005	1.0	84.0
1004	246.0	592.0
1003	5343.0	5355.0
1002	174.0	60.0
1001	6897.0	1982.0
3663	388.0	371.0
100873325	0.0	0.0
3664	7318.0	22064.0
100873324	0.0	0.0
3665	504.0	1356.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	5353.0	3020.0
100873329	0.0	0.0
285590	6495.0	5345.0
100873328	0.0	0.0
3669	731.0	1876.0
100873327	0.0	0.0
1009	3215.0	5807.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	3.0
728477	19.0	3.0
3680	3318.0	2387.0
3681	17.0	12.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	539.0	815.0
100873353	0.0	0.0
3683	947.0	2031.0
100873352	1.0	0.0
128710	550.0	1595.0
3684	799.0	839.0
100873351	0.0	0.0
285512	117.0	133.0
1022	703.0	2149.0
285513	980.0	1302.0
1021	2573.0	1682.0
1020	412.0	1133.0
440299	1.0	0.0
1019	2711.0	3563.0
128709	0.0	0.0
1018	16.0	22.0
1017	1231.0	2778.0
1016	1.0	1.0
1015	259.0	23.0
1014	0.0	0.0
1013	65.0	4.0
1012	1549.0	1389.0
116730	10.0	42.0
3674	30.0	33.0
100873358	0.0	0.0
3675	9004.0	3369.0
100873357	3.0	0.0
3676	1048.0	1148.0
100128731	3625.0	5244.0
100873356	0.0	0.0
3678	3866.0	5358.0
3679	5769.0	2194.0
100873359	0.0	0.0
728464	82.0	42.0
728463	11.0	19.0
100128725	0.0	0.0
3690	320.0	145.0
3691	13473.0	4858.0
100873343	2.0	1.0
3692	3379.0	5118.0
3693	9957.0	21449.0
285521	796.0	1172.0
100873342	0.0	0.0
3694	3467.0	4239.0
100873341	0.0	0.0
3695	295.0	206.0
100873340	1.0	0.0
100128723	1.0	6.0
1033	69.0	425.0
1032	203.0	501.0
285525	0.0	0.0
1031	1934.0	726.0
285527	4049.0	4197.0
1030	1916.0	1504.0
728468	0.0	0.0
440288	130.0	126.0
1029	154.0	163.0
440295	111.0	125.0
1028	2165.0	813.0
1027	4189.0	2496.0
1026	5015.0	2442.0
1025	2123.0	4053.0
1024	600.0	656.0
3685	8318.0	12494.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	387.0	601.0
100873345	0.0	1.0
3688	28631.0	21064.0
100873344	0.0	0.0
3689	2904.0	2809.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	1.0	3.0
100873371	1.0	2.0
100873370	0.0	0.0
728498	13.0	8.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	47.0	21.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	79.0	43.0
100873374	0.0	2.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	4.0	14.0
1043	572.0	976.0
1041	0.0	154.0
1040	1626.0	3471.0
1039	1105.0	7946.0
1038	20.0	11.0
1036	1818.0	438.0
3696	2782.0	1260.0
3697	0.0	1.0
100873379	0.0	0.0
3698	813.0	10.0
100873378	0.0	6.0
3699	43.0	86.0
100873377	0.0	0.0
728486	2.0	29.0
100873361	0.0	0.0
105373869	5.0	115.0
100873360	0.0	0.0
285540	84.0	114.0
100128705	0.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	1.0
100873362	0.0	0.0
100128701	1.0	1.0
1054	2196.0	3292.0
285547	0.0	0.0
1053	2.0	4.0
285548	0.0	1.0
1052	4261.0	3066.0
1051	3346.0	1568.0
728489	6.0	8.0
1050	3069.0	1572.0
100128707	0.0	1.0
1048	5894.0	6153.0
1047	258.0	2758.0
1046	0.0	0.0
1045	34.0	0.0
100873369	0.0	3.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	1.0
1066	11085.0	594.0
1063	913.0	6057.0
1062	104.0	749.0
1061	2.0	4.0
1060	1358.0	1472.0
440253	83.0	68.0
1059	4098.0	6576.0
1058	35.0	120.0
1057	1.0	0.0
85379	7606.0	7675.0
114112	664.0	396.0
1056	38.0	251.0
85377	2426.0	1545.0
85378	2063.0	2699.0
128745	0.0	0.0
85376	6.0	9.0
