id	7403bf3f-1678-4b86-b094-c87c993e583f	0d6f8d7e-2709-41be-a986-163c3763724d
285550	2062.0	1388.0
100873310	0.0	0.0
100128777	0.0	4.0
285555	41.0	36.0
3640	21.0	20.0
3638	3470.0	4609.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2710.0	3596.0
100873313	0.0	1.0
3632	1686.0	2153.0
100873312	4.0	2.0
100873311	0.0	1.0
3633	2118.0	1793.0
100873318	0.0	0.0
3635	2628.0	3587.0
100873317	0.0	0.0
3636	4205.0	7629.0
100128771	138.0	86.0
100873316	24.0	16.0
100873315	0.0	0.0
100128766	1.0	0.0
3651	0.0	0.0
1	53.0	37.0
2	70989.0	107354.0
100873309	0.0	0.0
100873308	0.0	0.0
3	43.0	22.0
3641	0.0	3.0
100873303	1.0	1.0
9	259.0	8951.0
3642	0.0	80.0
100873302	0.0	0.0
3643	10793.0	7331.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	43.0	16.0
100873307	0.0	0.0
3646	55359.0	34594.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	675.0	153.0
100873304	1.0	0.0
100873332	12.0	4.0
3660	3479.0	4152.0
100873331	0.0	0.0
3661	912.0	1416.0
100873330	0.0	0.0
285577	8.0	0.0
3662	1060.0	919.0
100128756	0.0	0.0
1000	74.0	713.0
3652	1739.0	1945.0
100873336	0.0	1.0
100873335	0.0	0.0
100128750	119.0	28.0
3654	2333.0	5643.0
100873334	1.0	0.0
3655	41257.0	9342.0
100873333	0.0	0.0
3656	495.0	570.0
100873339	0.0	0.0
3658	8883.0	9061.0
100873338	0.0	0.0
3659	1780.0	4763.0
100873337	0.0	0.0
3670	24.0	10.0
100873321	0.0	1.0
3671	3442.0	13058.0
100873320	0.0	0.0
3672	8909.0	7903.0
285588	2.0	2.0
3673	12365.0	17259.0
1011	0.0	0.0
1010	222.0	9.0
1008	3.0	2.0
1007	0.0	0.0
1006	480.0	103.0
1005	6.0	13.0
1004	272.0	697.0
1003	3680.0	4665.0
1002	164.0	68.0
1001	6550.0	5982.0
3663	297.0	645.0
100873325	0.0	2.0
3664	15870.0	10974.0
100873324	0.0	0.0
3665	337.0	2946.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	6980.0	6311.0
100873329	0.0	0.0
285590	5370.0	12571.0
100873328	2.0	0.0
3669	690.0	815.0
100873327	0.0	0.0
1009	3181.0	21538.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	3.0	6.0
728477	14.0	3.0
3680	3245.0	2719.0
3681	10.0	84.0
100128733	1.0	2.0
100873354	0.0	0.0
3682	990.0	914.0
100873353	0.0	0.0
3683	1353.0	4080.0
100873352	0.0	0.0
128710	1095.0	2921.0
3684	419.0	948.0
100873351	0.0	0.0
285512	332.0	91.0
1022	1859.0	2524.0
285513	1385.0	2153.0
1021	8257.0	3889.0
1020	336.0	1208.0
440299	1.0	1.0
1019	3205.0	6881.0
128709	2.0	0.0
1018	36.0	10.0
1017	2446.0	4977.0
1016	4.0	0.0
1015	41.0	81.0
1014	0.0	0.0
1013	12.0	10.0
1012	1823.0	1967.0
116730	149.0	71.0
3674	43.0	55.0
100873358	0.0	0.0
3675	5381.0	8117.0
100873357	0.0	0.0
3676	1896.0	3242.0
100128731	4949.0	9201.0
100873356	0.0	0.0
3678	3174.0	11676.0
3679	1412.0	494.0
100873359	0.0	0.0
728464	81.0	143.0
728463	8.0	15.0
100128725	0.0	0.0
3690	214.0	710.0
3691	9618.0	5873.0
100873343	1.0	0.0
3692	3305.0	5514.0
3693	8096.0	21352.0
285521	1470.0	2046.0
100873342	0.0	0.0
3694	12518.0	16830.0
100873341	0.0	0.0
3695	215.0	545.0
100873340	0.0	3.0
100128723	1.0	0.0
1033	122.0	751.0
1032	86.0	393.0
285525	3.0	2.0
1031	1523.0	897.0
285527	8240.0	11160.0
1030	688.0	1375.0
728468	0.0	1.0
440288	230.0	237.0
1029	78.0	150.0
440295	309.0	155.0
1028	2472.0	684.0
1027	4896.0	6868.0
1026	3829.0	4244.0
1025	2439.0	4854.0
1024	998.0	1190.0
3685	11797.0	24349.0
100873347	1.0	0.0
100873346	0.0	1.0
3687	496.0	1423.0
100873345	0.0	0.0
3688	36511.0	60892.0
100873344	0.0	0.0
3689	1068.0	5432.0
100873349	0.0	2.0
100873348	0.0	0.0
100873372	1.0	1.0
100873371	4.0	5.0
100873370	0.0	0.0
728498	32.0	14.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	75.0	75.0
100873375	0.0	0.0
100128710	0.0	2.0
285533	124.0	77.0
100873374	1.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	4.0	40.0
1043	795.0	3557.0
1041	3.0	376.0
1040	3748.0	6581.0
1039	1782.0	2888.0
1038	36.0	9.0
1036	1335.0	326.0
3696	8401.0	3699.0
3697	0.0	9.0
100873379	0.0	0.0
3698	45.0	13.0
100873378	0.0	2.0
3699	105.0	60.0
100873377	0.0	0.0
728486	6.0	14.0
100873361	0.0	0.0
105373869	7.0	870.0
100873360	0.0	0.0
285540	247.0	206.0
100128705	7.0	8.0
100873365	2.0	2.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	1.0
100873362	1.0	0.0
100128701	4.0	1.0
1054	3404.0	3496.0
285547	0.0	0.0
1053	0.0	3.0
285548	5.0	10.0
1052	1519.0	1176.0
1051	2581.0	1726.0
728489	5.0	7.0
1050	514.0	413.0
100128707	0.0	0.0
1048	8.0	69.0
1047	273.0	401.0
1046	0.0	0.0
1045	0.0	1.0
100873369	16.0	5.0
100873368	1.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	4.0	2.0
1066	1105.0	525.0
1063	1285.0	12091.0
1062	435.0	2793.0
1061	10.0	9.0
1060	4531.0	2678.0
440253	494.0	126.0
1059	2282.0	4136.0
1058	28.0	516.0
1057	5.0	0.0
85379	18433.0	12645.0
114112	1209.0	911.0
1056	35.0	24.0
85377	3585.0	2687.0
85378	2694.0	2158.0
128745	1.0	0.0
85376	4.0	18.0
440248	1250.0	672.0
1075	3931.0	9053.0
1074	15.0	28.0
1073	3421.0	1429.0
1072	13126.0	54715.0
1071	30.0	142.0
440243	0.0	0.0
1070	1296.0	1326.0
1069	3080.0	5962.0
1068	0.0	0.0
