id	96ddce60-2be5-4f57-814b-35722aa00fd9	be8c6402-fb97-4c31-8a18-a5b4783a1726
285550	1760.0	1045.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	50.0	5.0
3640	12.0	7.0
3638	2630.0	1973.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2659.0	1440.0
100873313	1.0	0.0
3632	1750.0	1433.0
100873312	7.0	0.0
100873311	0.0	0.0
3633	2676.0	881.0
100873318	6.0	0.0
3635	2852.0	1310.0
100873317	0.0	0.0
3636	7794.0	4886.0
100128771	71.0	41.0
100873316	15.0	7.0
100873315	0.0	0.0
100128766	0.0	0.0
3651	0.0	0.0
1	44.0	23.0
2	120510.0	64528.0
100873309	0.0	0.0
100873308	0.0	0.0
3	51.0	7.0
3641	1.0	3.0
100873303	0.0	0.0
9	745.0	5875.0
3642	2.0	64.0
100873302	1.0	0.0
3643	7658.0	5343.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	99.0	86.0
100873307	0.0	0.0
3646	27894.0	10910.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	442.0	108.0
100873304	0.0	0.0
100873332	6.0	1.0
3660	3736.0	2415.0
100873331	0.0	0.0
3661	2986.0	1219.0
100873330	0.0	0.0
285577	8.0	0.0
3662	494.0	202.0
100128756	0.0	0.0
1000	1265.0	549.0
3652	1629.0	807.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	56.0	10.0
3654	4141.0	2498.0
100873334	0.0	0.0
3655	21901.0	7164.0
100873333	0.0	0.0
3656	318.0	328.0
100873339	0.0	0.0
3658	6563.0	2724.0
100873338	0.0	0.0
3659	2182.0	2708.0
100873337	1.0	0.0
3670	19.0	14.0
100873321	0.0	0.0
3671	13946.0	25564.0
100873320	0.0	0.0
3672	8217.0	6283.0
285588	0.0	0.0
3673	13152.0	5204.0
1011	0.0	0.0
1010	356.0	5.0
1008	5.0	0.0
1007	0.0	0.0
1006	73.0	30.0
1005	21.0	3.0
1004	385.0	746.0
1003	6302.0	5111.0
1002	794.0	49.0
1001	12896.0	2881.0
3663	457.0	482.0
100873325	2.0	0.0
3664	16479.0	13334.0
100873324	0.0	0.0
3665	804.0	1258.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	16118.0	2781.0
100873329	0.0	0.0
285590	13229.0	12204.0
100873328	0.0	0.0
3669	717.0	903.0
100873327	0.0	0.0
1009	8947.0	27997.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	4.0	0.0
728477	16.0	4.0
3680	4505.0	1798.0
3681	82.0	22.0
100128733	2.0	0.0
100873354	0.0	0.0
3682	733.0	669.0
100873353	0.0	0.0
3683	1080.0	849.0
100873352	0.0	0.0
128710	1303.0	672.0
3684	875.0	585.0
100873351	0.0	0.0
285512	237.0	68.0
1022	1633.0	1266.0
285513	988.0	2781.0
1021	3680.0	1228.0
1020	538.0	603.0
440299	1.0	4.0
1019	3585.0	2666.0
128709	1.0	0.0
1018	35.0	9.0
1017	1973.0	1103.0
1016	1.0	3.0
1015	53.0	18.0
1014	1.0	0.0
1013	10.0	21.0
1012	2523.0	1942.0
116730	43.0	47.0
3674	105.0	33.0
100873358	0.0	0.0
3675	14349.0	7433.0
100873357	1.0	0.0
3676	1217.0	740.0
100128731	4421.0	7556.0
100873356	0.0	0.0
3678	5367.0	11083.0
3679	2253.0	945.0
100873359	0.0	0.0
728464	95.0	53.0
728463	36.0	2.0
100128725	0.0	0.0
3690	354.0	236.0
3691	22709.0	8289.0
100873343	1.0	0.0
3692	3867.0	4487.0
3693	16025.0	26289.0
285521	1430.0	979.0
100873342	0.0	0.0
3694	7409.0	3837.0
100873341	0.0	0.0
3695	128.0	87.0
100873340	1.0	0.0
100128723	2.0	2.0
1033	35.0	243.0
1032	255.0	316.0
285525	6.0	0.0
1031	809.0	799.0
285527	6250.0	2322.0
1030	588.0	2253.0
728468	0.0	0.0
440288	227.0	90.0
1029	89.0	407.0
440295	251.0	68.0
1028	2634.0	1013.0
1027	8505.0	2168.0
1026	8911.0	4508.0
1025	3451.0	2618.0
1024	829.0	438.0
3685	14983.0	12046.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	983.0	668.0
100873345	0.0	0.0
3688	42334.0	32664.0
