id	019a5486-ad80-44b4-a9e3-7e7f93e8e6fa	0d6bb28b-f5d1-4847-9aa9-bd58af1a7198
285550	1835.0	1115.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	12.0	15.0
3640	35.0	33.0
3638	3925.0	2736.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	1.0
3631	2914.0	3384.0
100873313	0.0	0.0
3632	2203.0	2573.0
100873312	1.0	11.0
100873311	0.0	0.0
3633	2250.0	2502.0
100873318	0.0	0.0
3635	4687.0	5332.0
100873317	0.0	0.0
3636	4563.0	7221.0
100128771	37.0	80.0
100873316	13.0	6.0
100873315	0.0	0.0
100128766	1.0	7.0
3651	1.0	4.0
1	22.0	36.0
2	196275.0	41155.0
100873309	0.0	0.0
100873308	0.0	0.0
3	160.0	51.0
3641	3.0	1.0
100873303	0.0	0.0
9	590.0	1322.0
3642	14.0	34.0
100873302	1.0	1.0
3643	8592.0	26301.0
100128764	1.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	33.0	8.0
100873307	0.0	0.0
3646	26757.0	52331.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	371.0	122.0
100873304	0.0	0.0
100873332	4.0	2.0
3660	4409.0	5235.0
100873331	0.0	0.0
3661	1529.0	2112.0
100873330	0.0	1.0
285577	3.0	0.0
3662	913.0	3982.0
100128756	0.0	0.0
1000	165.0	79.0
3652	1274.0	870.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	95.0	15.0
3654	5440.0	10415.0
100873334	0.0	0.0
3655	25838.0	3952.0
100873333	1.0	1.0
3656	662.0	694.0
100873339	0.0	0.0
3658	6667.0	4133.0
100873338	0.0	1.0
3659	4829.0	11257.0
100873337	0.0	1.0
3670	1.0	0.0
100873321	1.0	0.0
3671	9120.0	3408.0
100873320	0.0	0.0
3672	16443.0	3327.0
285588	4.0	5.0
3673	7418.0	1162.0
1011	0.0	0.0
1010	35.0	0.0
1008	30.0	0.0
1007	0.0	0.0
1006	380.0	7.0
1005	0.0	0.0
1004	1035.0	183.0
1003	14815.0	2376.0
1002	251.0	28.0
1001	7680.0	150.0
3663	804.0	1638.0
100873325	0.0	0.0
3664	8444.0	10461.0
100873324	0.0	0.0
3665	1805.0	3224.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	4303.0	4134.0
100873329	0.0	0.0
285590	5845.0	5954.0
100873328	1.0	0.0
3669	1035.0	3051.0
100873327	0.0	0.0
1009	4090.0	5702.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	9.0
728477	7.0	0.0
3680	4512.0	1955.0
3681	42.0	108.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	978.0	2138.0
100873353	0.0	0.0
3683	2562.0	8797.0
100873352	3.0	0.0
128710	1274.0	1296.0
3684	738.0	1167.0
100873351	2.0	0.0
285512	167.0	106.0
1022	1301.0	2389.0
285513	2009.0	2711.0
1021	5343.0	1612.0
1020	516.0	1319.0
440299	0.0	0.0
1019	3702.0	5922.0
128709	0.0	0.0
1018	18.0	33.0
1017	1916.0	4766.0
1016	4.0	3.0
1015	46.0	7.0
1014	2.0	0.0
1013	4.0	7.0
1012	4649.0	631.0
116730	96.0	75.0
3674	32.0	195.0
100873358	0.0	0.0
3675	8284.0	1888.0
100873357	3.0	0.0
3676	1513.0	2953.0
100128731	5761.0	6407.0
100873356	0.0	0.0
3678	7925.0	6047.0
3679	7564.0	441.0
100873359	0.0	0.0
728464	96.0	41.0
728463	8.0	17.0
100128725	0.0	0.0
3690	586.0	175.0
3691	14883.0	387.0
100873343	0.0	0.0
3692	4477.0	6555.0
3693	15879.0	6151.0
285521	1422.0	1566.0
100873342	0.0	0.0
3694	6708.0	1680.0
100873341	0.0	0.0
3695	261.0	1019.0
100873340	0.0	0.0
100128723	4.0	2.0
1033	138.0	2206.0
1032	303.0	2490.0
285525	4.0	0.0
1031	2422.0	1257.0
285527	8631.0	4914.0
1030	3066.0	375.0
728468	0.0	0.0
440288	176.0	232.0
1029	173.0	152.0
440295	104.0	99.0
1028	2494.0	184.0
1027	6136.0	6259.0
1026	4523.0	3458.0
1025	3284.0	2697.0
1024	977.0	6158.0
3685	15708.0	6765.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	1439.0	3960.0
100873345	0.0	0.0
3688	55805.0	21084.0
100873344	0.0	0.0
3689	5087.0	12656.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	0.0	4.0
100873371	13.0	7.0
100873370	1.0	0.0
728498	25.0	22.0
