id	ed666213-31b2-47c1-b33f-f4ad44b05ded	04268bf5-f4de-4c02-bd76-a64ac21b6136
285550	1301.0	1317.0
100873310	0.0	0.0
100128777	0.0	1.0
285555	26.0	29.0
3640	29.0	25.0
3638	2033.0	2720.0
100873319	0.0	0.0
100873314	1.0	0.0
3630	0.0	0.0
3631	3122.0	3294.0
100873313	0.0	0.0
3632	1199.0	528.0
100873312	6.0	1.0
100873311	0.0	0.0
3633	2007.0	1658.0
100873318	0.0	0.0
3635	6002.0	4330.0
100873317	0.0	0.0
3636	5750.0	9636.0
100128771	43.0	21.0
100873316	11.0	28.0
100873315	0.0	0.0
100128766	0.0	0.0
3651	1.0	0.0
1	30.0	9.0
2	87974.0	186880.0
100873309	1.0	0.0
100873308	0.0	0.0
3	44.0	12.0
3641	1.0	0.0
100873303	1.0	0.0
9	323.0	278.0
3642	24.0	4.0
100873302	1.0	1.0
3643	9319.0	5745.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	1.0	7.0
3645	33.0	35.0
100873307	0.0	0.0
3646	20044.0	9202.0
100873306	1.0	0.0
100873305	0.0	8.0
3647	160.0	109.0
100873304	1.0	0.0
100873332	3.0	1.0
3660	3275.0	5053.0
100873331	0.0	0.0
3661	2723.0	3029.0
100873330	1.0	0.0
285577	0.0	0.0
3662	2578.0	623.0
100128756	0.0	0.0
1000	154.0	329.0
3652	1016.0	1884.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	60.0	17.0
3654	5548.0	12460.0
100873334	0.0	1.0
3655	12752.0	18143.0
100873333	0.0	1.0
3656	523.0	687.0
100873339	0.0	0.0
3658	4905.0	6460.0
100873338	0.0	0.0
3659	4290.0	5515.0
100873337	0.0	0.0
3670	5.0	4.0
100873321	0.0	0.0
3671	8128.0	7589.0
100873320	0.0	0.0
3672	4031.0	3187.0
285588	0.0	0.0
3673	6888.0	6008.0
1011	0.0	0.0
1010	515.0	2.0
1008	16.0	0.0
1007	0.0	0.0
1006	33.0	29.0
1005	14.0	41.0
1004	486.0	200.0
1003	4109.0	1304.0
1002	221.0	50.0
1001	9891.0	56091.0
3663	1534.0	1735.0
100873325	0.0	0.0
3664	7273.0	11160.0
100873324	0.0	0.0
3665	1498.0	4109.0
100873323	1.0	0.0
100873322	0.0	0.0
3667	3499.0	626.0
100873329	0.0	0.0
285590	6005.0	7138.0
100873328	0.0	0.0
3669	2186.0	2873.0
100873327	0.0	0.0
1009	3597.0	3843.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	11.0
728477	4.0	5.0
3680	2027.0	470.0
3681	125.0	4.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	1482.0	734.0
100873353	0.0	0.0
3683	7106.0	3288.0
100873352	2.0	0.0
128710	1006.0	2064.0
3684	1689.0	2725.0
100873351	0.0	0.0
285512	340.0	243.0
1022	1058.0	842.0
285513	3668.0	1689.0
1021	4890.0	7393.0
1020	455.0	476.0
440299	1.0	0.0
1019	2911.0	2009.0
128709	0.0	0.0
1018	47.0	30.0
1017	1758.0	1748.0
1016	3.0	11.0
1015	44.0	57.0
1014	2.0	1.0
1013	7.0	3.0
1012	1248.0	409.0
116730	56.0	22.0
3674	29.0	15.0
100873358	0.0	0.0
