id	071c5b23-9ae3-4bc7-8a07-ce39445c8429	33fa1673-1d0d-4838-a313-1929c5af60d1
285550	1294.0	1511.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	5.0	12.0
3640	8.0	5.0
3638	3555.0	2876.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1736.0	2159.0
100873313	0.0	0.0
3632	1700.0	1804.0
100873312	0.0	3.0
100873311	0.0	0.0
3633	1312.0	1790.0
100873318	0.0	1.0
3635	1606.0	3076.0
100873317	0.0	0.0
3636	3678.0	6672.0
100128771	60.0	70.0
100873316	12.0	3.0
100873315	0.0	0.0
100128766	3.0	4.0
3651	0.0	1.0
1	4.0	33.0
2	85247.0	86547.0
100873309	0.0	0.0
100873308	0.0	0.0
3	18.0	7.0
3641	0.0	0.0
100873303	0.0	0.0
9	301.0	8267.0
3642	10.0	3.0
100873302	0.0	0.0
3643	6181.0	8674.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	23.0	48.0
100873307	0.0	0.0
3646	15018.0	18689.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	84.0	86.0
100873304	0.0	0.0
100873332	6.0	3.0
3660	2058.0	4207.0
100873331	0.0	0.0
3661	1501.0	3167.0
100873330	0.0	0.0
285577	5.0	0.0
3662	342.0	147.0
100128756	0.0	0.0
1000	56.0	1062.0
3652	865.0	1155.0
100873336	1.0	1.0
100873335	0.0	0.0
100128750	124.0	23.0
3654	4783.0	5841.0
100873334	0.0	0.0
3655	10492.0	13375.0
100873333	0.0	2.0
3656	873.0	388.0
100873339	1.0	0.0
3658	3578.0	5011.0
100873338	0.0	0.0
3659	2868.0	3483.0
100873337	2.0	0.0
3670	1.0	6.0
100873321	0.0	0.0
3671	11873.0	27038.0
100873320	0.0	0.0
3672	14049.0	11843.0
285588	0.0	0.0
3673	2282.0	2212.0
1011	0.0	0.0
1010	45.0	0.0
1008	3.0	0.0
1007	0.0	0.0
1006	54.0	61.0
1005	4.0	20.0
1004	428.0	1006.0
1003	10366.0	6636.0
1002	61.0	15.0
1001	1715.0	2397.0
3663	581.0	1247.0
100873325	0.0	0.0
3664	3753.0	6127.0
100873324	0.0	0.0
3665	776.0	2379.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	5345.0	5061.0
100873329	0.0	0.0
285590	4226.0	9255.0
100873328	0.0	0.0
3669	330.0	911.0
100873327	0.0	0.0
1009	1920.0	46053.0
100873326	0.0	0.0
100873350	1.0	0.0
116729	0.0	1.0
728477	4.0	3.0
3680	2632.0	1294.0
3681	17.0	7.0
100128733	0.0	1.0
100873354	0.0	0.0
3682	778.0	1218.0
100873353	0.0	0.0
3683	582.0	1376.0
100873352	0.0	0.0
128710	419.0	1062.0
3684	1890.0	4665.0
100873351	0.0	0.0
285512	112.0	58.0
1022	817.0	1841.0
285513	730.0	2541.0
1021	2111.0	2442.0
1020	262.0	1038.0
440299	0.0	1.0
1019	2027.0	4426.0
128709	0.0	1.0
1018	7.0	13.0
1017	1148.0	2486.0
1016	2.0	11.0
1015	9.0	13.0
1014	0.0	1.0
1013	0.0	13.0
1012	3752.0	5720.0
116730	35.0	57.0
3674	10.0	13.0
100873358	0.0	0.0
3675	4430.0	9496.0
100873357	0.0	0.0
3676	469.0	2140.0
100128731	3959.0	8207.0
100873356	0.0	0.0
3678	7423.0	21048.0
3679	18423.0	293.0
100873359	0.0	0.0
728464	42.0	26.0
728463	50.0	132.0
100128725	1.0	0.0
3690	659.0	348.0
3691	6873.0	14198.0
100873343	0.0	0.0
3692	2906.0	5902.0
3693	21756.0	49773.0
285521	773.0	1625.0
100873342	0.0	0.0
3694	2560.0	12879.0
100873341	0.0	0.0
3695	75.0	218.0
100873340	0.0	0.0
100128723	1.0	2.0
1033	69.0	379.0
1032	353.0	445.0
285525	2.0	3.0
1031	1062.0	609.0
285527	4562.0	4863.0
1030	5887.0	5741.0
728468	0.0	1.0
440288	90.0	114.0
1029	434.0	1014.0
440295	52.0	71.0
1028	4485.0	714.0
1027	3289.0	6409.0
1026	16788.0	14644.0
1025	2576.0	3920.0
1024	613.0	1216.0
3685	10718.0	29794.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	580.0	2037.0
100873345	1.0	0.0
3688	64751.0	72000.0
100873344	0.0	0.0
3689	3925.0	14491.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	1.0
100873370	0.0	0.0
728498	11.0	11.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	16.0	17.0
100873375	0.0	0.0
100128710	2.0	3.0
285533	42.0	168.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	5.0	36.0
1043	657.0	610.0
1041	8.0	77.0
1040	904.0	3379.0
1039	1863.0	4760.0
1038	20.0	5.0
1036	3664.0	264.0
3696	1315.0	4859.0
3697	3.0	2.0
100873379	0.0	0.0
3698	77.0	4.0
100873378	4.0	2.0
3699	59.0	40.0
100873377	0.0	0.0
728486	12.0	21.0
100873361	0.0	0.0
105373869	1.0	4275.0
100873360	0.0	3.0
285540	90.0	112.0
100128705	2.0	3.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	1.0
100873362	0.0	0.0
100128701	3.0	4.0
1054	3908.0	2669.0
285547	0.0	5.0
1053	6.0	16.0
285548	2.0	92.0
1052	5317.0	1490.0
1051	5357.0	3817.0
728489	5.0	12.0
1050	7472.0	591.0
100128707	1.0	0.0
1048	12.0	22996.0
1047	45.0	2305.0
1046	0.0	0.0
1045	0.0	0.0
100873369	15.0	2.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	2.0
1066	11837.0	1254.0
1063	450.0	3235.0
1062	167.0	572.0
1061	4.0	0.0
1060	1501.0	2074.0
440253	223.0	247.0
1059	4721.0	7206.0
1058	31.0	149.0
1057	1.0	0.0
85379	5054.0	5039.0
114112	708.0	617.0
1056	15.0	10.0
85377	1527.0	1338.0
85378	1878.0	1499.0
128745	1.0	0.0
85376	4.0	13.0
440248	626.0	334.0
1075	11823.0	9091.0
1074	10.0	25.0
1073	3739.0	1674.0
1072	21723.0	63186.0
1071	500.0	219.0
440243	0.0	0.0
1070	737.0	1188.0
1069	2258.0	4922.0
1068	0.0	0.0
85369	1728.0	2883.0
85366	9.0	19.0
85364	983.0	1384.0
85365	1726.0	2013.0
85363	1246.0	2320.0
85360	1489.0	2570.0
1080	32.0	4.0
85391	4.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	5.0	2.0
153733	529.0	1145.0
1087	3.0	98.0
1086	0.0	0.0
440279	21.0	2.0
1085	19.0	26.0
1084	11.0	10.0
440278	112.0	139.0
1082	1.0	11.0
403294	0.0	0.0
440275	5324.0	8118.0
1081	2.0	7.0
85397	10.0	44.0
85395	367.0	551.0
403285	0.0	0.0
1091	1.0	0.0
1090	2.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	2.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	2.0	11.0
440270	500.0	292.0
1089	14.0	41.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	1.0
285596	18.0	0.0
285598	634.0	1419.0
126133	1315.0	2015.0
128790	0.0	0.0
126129	118.0	540.0
126123	0.0	0.0
442862	0.0	0.0
126119	501.0	1225.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	95.0	45.0
442897	0.0	0.0
442898	1.0	0.0
114134	666.0	622.0
442899	0.0	0.0
100128790	0.0	0.0
128760	1.0	7.0
100128788	23.0	43.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	11.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	1.0
128756	0.0	1.0
100128782	77.0	55.0
100128781	0.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	7.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	418.0	11.0
102466616	0.0	0.0
126052	0.0	0.0
151009	41.0	50.0
403227	9.0	0.0
403228	0.0	0.0
138046	2.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	3.0	2.0
645572	0.0	0.0
645571	2.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	164.0	635.0
107131122	0.0	0.0
138050	7752.0	9624.0
403219	0.0	0.0
151011	6585.0	6161.0
645587	1.0	1.0
165679	112.0	6136.0
126037	25.0	36.0
114049	2450.0	4545.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	2.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	678.0	1025.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1977.0	3620.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	248.0	234.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	54.0	154.0
645598	1.0	1.0
163007	2.0	11.0
114038	1.0	2.0
645591	1.0	0.0
106481495	0.0	0.0
114041	20.0	64.0
106481496	0.0	0.0
114042	1.0	0.0
106481493	0.0	0.0
114043	17.0	2.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	112.0	114.0
126017	298.0	995.0
106481497	2.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	0.0
85301	705.0	1129.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	727.0	2487.0
106481459	0.0	0.0
26994	9350.0	10852.0
106481457	0.0	5.0
26995	1208.0	3195.0
106481458	0.0	0.0
403271	0.0	0.0
26998	2.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	472.0	3591.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
