id	8659f2c4-7492-46b3-9bbe-ea8ae7bbdd53	892b14a6-b2b6-4860-a7fc-f65beac8530e
285550	1532.0	1671.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	21.0	31.0
3640	15.0	0.0
3638	2969.0	2373.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2565.0	1819.0
100873313	0.0	2.0
3632	2187.0	1720.0
100873312	9.0	1.0
100873311	0.0	0.0
3633	2576.0	904.0
100873318	0.0	0.0
3635	2090.0	1057.0
100873317	0.0	0.0
3636	6277.0	6339.0
100128771	34.0	62.0
100873316	21.0	17.0
100873315	0.0	0.0
100128766	0.0	1.0
3651	3.0	0.0
1	35.0	30.0
2	106671.0	26859.0
100873309	0.0	0.0
100873308	0.0	0.0
3	17.0	0.0
3641	2.0	0.0
100873303	0.0	0.0
9	1280.0	2357.0
3642	4.0	317.0
100873302	0.0	0.0
3643	8273.0	10364.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	77.0	10.0
100873307	1.0	0.0
3646	20698.0	20805.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	197.0	77.0
100873304	0.0	0.0
100873332	7.0	2.0
3660	3235.0	2382.0
100873331	0.0	0.0
3661	2615.0	2831.0
100873330	0.0	0.0
285577	3.0	0.0
3662	442.0	8.0
100128756	0.0	0.0
1000	148.0	184.0
3652	1337.0	1423.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	152.0	21.0
3654	5663.0	9052.0
100873334	0.0	0.0
3655	16453.0	6663.0
100873333	0.0	1.0
3656	526.0	215.0
100873339	0.0	0.0
3658	4808.0	4910.0
100873338	0.0	0.0
3659	2487.0	1312.0
100873337	0.0	1.0
3670	15.0	4.0
100873321	0.0	0.0
3671	8978.0	3577.0
100873320	0.0	0.0
3672	8205.0	4860.0
285588	0.0	2.0
3673	5096.0	810.0
1011	0.0	0.0
1010	90.0	1.0
1008	41.0	0.0
1007	0.0	0.0
1006	31.0	152.0
1005	8.0	10.0
1004	582.0	620.0
1003	10073.0	3072.0
1002	153.0	46.0
1001	4741.0	1875.0
3663	573.0	1259.0
100873325	2.0	0.0
3664	9555.0	5788.0
100873324	0.0	0.0
3665	852.0	567.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	10225.0	10963.0
100873329	0.0	0.0
285590	5557.0	2947.0
100873328	0.0	0.0
3669	493.0	829.0
100873327	0.0	0.0
1009	3584.0	2972.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	7.0	0.0
728477	8.0	30.0
3680	2884.0	1254.0
3681	13.0	2.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	732.0	783.0
100873353	0.0	0.0
3683	1087.0	3312.0
100873352	4.0	0.0
128710	919.0	1546.0
3684	1288.0	914.0
100873351	0.0	0.0
285512	228.0	54.0
1022	1187.0	2501.0
285513	919.0	1332.0
1021	2352.0	429.0
1020	457.0	820.0
440299	0.0	2.0
1019	3094.0	4075.0
128709	0.0	0.0
1018	49.0	18.0
1017	1786.0	2768.0
1016	3.0	16.0
1015	25.0	4.0
1014	0.0	0.0
1013	2.0	9.0
1012	3687.0	2279.0
116730	50.0	65.0
3674	47.0	33.0
100873358	0.0	0.0
3675	8890.0	8307.0
100873357	0.0	0.0
