id	8ab96801-8d29-476a-908a-7a99f11f713d	95c9a871-c81b-4a30-92a4-9227a0058553
285550	2044.0	1799.0
100873310	0.0	0.0
100128777	0.0	1.0
285555	18.0	10.0
3640	21.0	2.0
3638	5341.0	6285.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2928.0	2238.0
100873313	0.0	0.0
3632	2719.0	1469.0
100873312	5.0	3.0
100873311	0.0	0.0
3633	2847.0	1262.0
100873318	1.0	0.0
3635	2613.0	690.0
100873317	0.0	0.0
3636	7384.0	4252.0
100128771	67.0	51.0
100873316	14.0	7.0
100873315	0.0	0.0
100128766	3.0	0.0
3651	0.0	1.0
1	36.0	19.0
2	137749.0	45617.0
100873309	0.0	0.0
100873308	0.0	1.0
3	43.0	13.0
3641	0.0	1.0
100873303	0.0	0.0
9	354.0	6344.0
3642	3.0	11.0
100873302	0.0	0.0
3643	10688.0	6255.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	154.0	33.0
100873307	0.0	0.0
3646	24707.0	40302.0
100873306	0.0	0.0
100873305	1.0	0.0
3647	229.0	91.0
100873304	0.0	0.0
100873332	15.0	0.0
3660	3624.0	3109.0
100873331	0.0	0.0
3661	2334.0	863.0
100873330	0.0	0.0
285577	12.0	0.0
3662	1197.0	109.0
100128756	0.0	0.0
1000	35.0	371.0
3652	1741.0	1445.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	233.0	38.0
3654	4591.0	2834.0
100873334	1.0	0.0
3655	19378.0	10127.0
100873333	0.0	1.0
3656	1172.0	328.0
100873339	0.0	0.0
3658	7903.0	10130.0
100873338	0.0	0.0
3659	4531.0	1733.0
100873337	0.0	0.0
3670	23.0	9.0
100873321	0.0	0.0
3671	11481.0	9725.0
100873320	0.0	0.0
3672	11338.0	5987.0
285588	0.0	0.0
3673	5681.0	4456.0
1011	0.0	0.0
1010	64.0	2.0
1008	1.0	0.0
1007	0.0	0.0
1006	176.0	35.0
1005	11.0	355.0
1004	676.0	603.0
1003	15014.0	4121.0
1002	159.0	26.0
1001	7293.0	1040.0
3663	297.0	440.0
100873325	0.0	0.0
3664	9625.0	9149.0
100873324	0.0	0.0
3665	790.0	1425.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	11498.0	5469.0
100873329	0.0	0.0
285590	9796.0	8351.0
100873328	0.0	0.0
3669	610.0	320.0
100873327	0.0	0.0
1009	3219.0	20947.0
100873326	0.0	0.0
