id	20b241da-8e69-4eb0-a7f2-4eb24cf76059	8e21887e-f3ca-4c2c-819a-538952264c23
285550	1560.0	781.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	8.0	25.0
3640	60.0	3.0
3638	2237.0	3275.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	905.0	2724.0
100873313	0.0	0.0
3632	1000.0	2061.0
100873312	0.0	11.0
100873311	0.0	0.0
3633	1456.0	3095.0
100873318	0.0	0.0
3635	1480.0	1800.0
100873317	0.0	1.0
3636	4575.0	8696.0
100128771	55.0	36.0
100873316	0.0	5.0
100873315	0.0	0.0
100128766	1.0	1.0
3651	0.0	258.0
1	20.0	8.0
2	39990.0	23284.0
100873309	0.0	0.0
100873308	0.0	0.0
3	7.0	10.0
3641	0.0	1.0
100873303	0.0	0.0
9	294.0	219.0
3642	4.0	2.0
100873302	0.0	0.0
3643	4713.0	16361.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	35.0	18.0
100873307	0.0	0.0
3646	27556.0	40512.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	88.0	55.0
100873304	0.0	0.0
100873332	0.0	1.0
3660	1841.0	2834.0
100873331	0.0	0.0
3661	4650.0	2238.0
100873330	0.0	0.0
285577	2.0	1.0
3662	385.0	341.0
100128756	0.0	0.0
1000	49.0	275.0
3652	413.0	1047.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	82.0	62.0
3654	4327.0	30442.0
100873334	0.0	0.0
3655	5270.0	3158.0
100873333	0.0	0.0
3656	177.0	566.0
100873339	0.0	0.0
3658	1849.0	6315.0
100873338	1.0	0.0
3659	2249.0	8127.0
100873337	0.0	0.0
3670	4.0	20.0
100873321	0.0	0.0
3671	12817.0	17277.0
100873320	0.0	0.0
3672	1627.0	2661.0
285588	0.0	0.0
3673	1401.0	1792.0
1011	0.0	0.0
1010	12.0	0.0
1008	1.0	0.0
1007	0.0	0.0
1006	31.0	16.0
1005	2.0	10.0
1004	169.0	184.0
1003	2801.0	2269.0
1002	100.0	24.0
1001	5156.0	30227.0
3663	470.0	3282.0
100873325	0.0	0.0
3664	8134.0	25228.0
100873324	0.0	0.0
3665	1312.0	1107.0
100873323	0.0	0.0
100873322	0.0	1.0
3667	3954.0	1518.0
100873329	0.0	0.0
285590	3472.0	9620.0
100873328	0.0	0.0
3669	950.0	997.0
100873327	0.0	0.0
1009	1635.0	6381.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	0.0
728477	8.0	18.0
3680	941.0	4826.0
3681	19.0	20.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	835.0	933.0
100873353	0.0	0.0
3683	592.0	1344.0
100873352	0.0	0.0
128710	428.0	722.0
3684	580.0	3164.0
100873351	0.0	1.0
285512	176.0	49.0
1022	1376.0	849.0
285513	256.0	1461.0
1021	1093.0	28638.0
1020	716.0	518.0
440299	0.0	1.0
1019	2835.0	4352.0
128709	1.0	0.0
1018	25.0	24.0
1017	1431.0	2894.0
1016	0.0	4.0
1015	34.0	19.0
1014	2.0	0.0
1013	5.0	7.0
1012	1102.0	2065.0
116730	204.0	27.0
3674	57.0	4.0
100873358	0.0	0.0
3675	6263.0	1242.0
100873357	0.0	1.0
3676	68.0	1219.0
100128731	6310.0	7630.0
100873356	0.0	0.0
3678	3843.0	8582.0
3679	3977.0	266.0
100873359	0.0	0.0
728464	10.0	34.0
728463	7.0	88.0
100128725	0.0	0.0
3690	42.0	317.0
3691	12620.0	1007.0
100873343	0.0	1.0
3692	7702.0	3195.0
3693	12231.0	10335.0
285521	633.0	902.0
100873342	0.0	0.0
3694	2875.0	4628.0
100873341	0.0	0.0
3695	57.0	399.0
100873340	0.0	1.0
100128723	6.0	0.0
1033	66.0	852.0
1032	486.0	756.0
285525	8.0	0.0
1031	1620.0	1007.0
285527	1633.0	2522.0
1030	720.0	143.0
728468	0.0	0.0
440288	146.0	169.0
1029	138.0	17.0
440295	121.0	180.0
1028	3626.0	202.0
1027	3992.0	4685.0
1026	11361.0	3296.0
1025	4311.0	2622.0
1024	473.0	2126.0
3685	1487.0	54862.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	427.0	2046.0
100873345	1.0	1.0
3688	5242.0	27497.0
100873344	0.0	0.0
3689	2907.0	11610.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	4.0
100873370	0.0	0.0
728498	19.0	9.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	63.0	27.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	163.0	73.0
100873374	0.0	0.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	10.0	739.0
1043	753.0	670.0
1041	3.0	0.0
1040	1609.0	1977.0
1039	1504.0	6496.0
1038	5.0	65.0
1036	1374.0	126.0
3696	1127.0	2876.0
3697	3.0	5.0
100873379	0.0	0.0
3698	814.0	11.0
100873378	0.0	1.0
3699	103.0	21.0
100873377	0.0	0.0
728486	6.0	20.0
100873361	0.0	4.0
105373869	2.0	238.0
100873360	0.0	1.0
285540	103.0	64.0
100128705	4.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	0.0
100128701	1.0	0.0
1054	1952.0	6882.0
285547	0.0	2.0
1053	2.0	7.0
285548	3.0	20.0
1052	4155.0	871.0
1051	4656.0	6006.0
728489	18.0	8.0
1050	1349.0	206.0
100128707	0.0	0.0
1048	0.0	40.0
1047	109.0	17.0
1046	0.0	0.0
1045	1.0	145.0
100873369	0.0	2.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	25.0
1066	6712.0	86.0
1063	133.0	26704.0
1062	73.0	7396.0
1061	0.0	1.0
1060	981.0	902.0
440253	139.0	93.0
1059	5783.0	3350.0
1058	5.0	1686.0
1057	0.0	0.0
85379	6977.0	4126.0
114112	416.0	2617.0
1056	40.0	17.0
85377	2084.0	8501.0
85378	3239.0	2148.0
128745	2.0	0.0
85376	2.0	10.0
440248	571.0	483.0
1075	3191.0	15343.0
1074	8.0	4.0
1073	1526.0	1052.0
1072	32941.0	76123.0
1071	111.0	105.0
440243	0.0	0.0
1070	920.0	592.0
1069	3310.0	2825.0
1068	0.0	0.0
85369	1757.0	1308.0
85366	3.0	65.0
85364	1657.0	671.0
85365	1710.0	3115.0
85363	940.0	1196.0
85360	855.0	771.0
1080	12.0	26.0
85391	7.0	7.0
403296	0.0	0.0
403297	3.0	0.0
85390	0.0	0.0
403299	2.0	0.0
1088	3.0	0.0
153733	318.0	611.0
1087	6.0	3.0
1086	0.0	0.0
440279	12.0	2.0
1085	0.0	7.0
1084	14.0	28.0
440278	43.0	152.0
1082	1.0	0.0
403294	0.0	0.0
440275	2388.0	8193.0
1081	1.0	5.0
85397	2.0	10.0
85395	811.0	725.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	2232.0	496.0
1089	9.0	23.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	2.0	1.0
285598	474.0	886.0
126133	1866.0	1023.0
128790	0.0	2.0
126129	191.0	247.0
126123	1.0	219.0
442862	0.0	0.0
126119	781.0	283.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	1.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	1.0
442896	0.0	0.0
114132	38.0	35.0
442897	0.0	0.0
442898	7.0	2.0
114134	134.0	547.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	2.0
100128788	154.0	31.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	1.0
442892	0.0	1.0
128756	0.0	0.0
100128782	290.0	284.0
100128781	1.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	32.0	6.0
102466616	0.0	0.0
126052	0.0	0.0
151009	61.0	88.0
403227	18.0	0.0
403228	0.0	0.0
138046	3.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	0.0
645572	0.0	0.0
645571	3.0	3.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1640.0	2049.0
107131122	0.0	0.0
138050	3612.0	5035.0
403219	0.0	0.0
151011	1628.0	6687.0
645587	0.0	0.0
165679	447.0	211.0
126037	53.0	20.0
114049	3916.0	6110.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	368.0	571.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1203.0	1285.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	159.0	107.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	143.0	0.0
645598	2.0	0.0
163007	5.0	2.0
114038	3.0	4.0
645591	0.0	0.0
106481495	0.0	0.0
114041	135.0	36.0
106481496	0.0	0.0
114042	8.0	0.0
106481493	0.0	0.0
114043	24.0	12.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	116.0	325.0
126017	299.0	697.0
106481497	0.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	1.0
85301	1391.0	5025.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	3.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	628.0	183.0
106481459	0.0	0.0
26994	3976.0	3776.0
106481457	9.0	6.0
26995	2312.0	2647.0
106481458	0.0	0.0
403271	0.0	0.0
26998	6.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	835.0	1145.0
403273	0.0	0.0
102466658	2.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	2.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2562.0	2118.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	1.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	4.0	1.0
106481471	0.0	0.0
