id	40633fb7-6665-4897-ba2d-76502e35dcd7	432d86b3-b5d0-46c0-96d8-d7d5f4e6c3b6
285550	1765.0	393.0
100873310	0.0	0.0
100128777	0.0	1.0
285555	23.0	13.0
3640	29.0	22.0
3638	3467.0	3385.0
100873319	0.0	0.0
100873314	1.0	0.0
3630	0.0	0.0
3631	2282.0	1628.0
100873313	1.0	0.0
3632	2137.0	1327.0
100873312	5.0	2.0
100873311	0.0	0.0
3633	2572.0	1042.0
100873318	0.0	1.0
3635	6305.0	2722.0
100873317	0.0	0.0
3636	6555.0	4621.0
100128771	193.0	60.0
100873316	14.0	0.0
100873315	0.0	0.0
100128766	1.0	6.0
3651	0.0	0.0
1	43.0	37.0
2	89682.0	26398.0
100873309	0.0	1.0
100873308	0.0	0.0
3	36.0	2.0
3641	0.0	3.0
100873303	0.0	0.0
9	933.0	5675.0
3642	4.0	38.0
100873302	1.0	0.0
3643	11721.0	8752.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	75.0	15.0
100873307	0.0	0.0
3646	33910.0	19611.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	456.0	35.0
100873304	0.0	0.0
100873332	22.0	0.0
3660	4025.0	2107.0
100873331	0.0	0.0
3661	2583.0	1731.0
100873330	0.0	0.0
285577	1.0	0.0
3662	622.0	1209.0
100128756	0.0	0.0
1000	237.0	86.0
3652	1583.0	893.0
100873336	2.0	0.0
100873335	0.0	0.0
100128750	78.0	16.0
3654	6097.0	12671.0
100873334	0.0	0.0
3655	24316.0	2188.0
100873333	1.0	0.0
3656	449.0	764.0
100873339	0.0	0.0
3658	5321.0	2435.0
100873338	0.0	1.0
3659	3025.0	7780.0
100873337	0.0	0.0
3670	37.0	2.0
100873321	0.0	0.0
3671	8780.0	3170.0
100873320	0.0	0.0
3672	9187.0	2135.0
285588	0.0	0.0
3673	8906.0	931.0
1011	0.0	0.0
1010	204.0	5.0
1008	18.0	0.0
1007	0.0	0.0
1006	204.0	13.0
1005	34.0	0.0
1004	671.0	152.0
1003	5836.0	1508.0
1002	153.0	29.0
1001	10245.0	565.0
3663	488.0	1182.0
100873325	0.0	0.0
3664	17309.0	4158.0
100873324	0.0	0.0
3665	1415.0	2497.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	9461.0	386.0
100873329	0.0	0.0
285590	5714.0	1933.0
100873328	0.0	0.0
3669	748.0	2369.0
100873327	0.0	0.0
