id	9151bbcc-ecef-40fc-8834-e24ff848e1a2	5891f699-0097-48dd-b35a-0f8999af21c8
285550	1410.0	760.0
100873310	0.0	0.0
100128777	0.0	1.0
285555	11.0	12.0
3640	25.0	3.0
3638	3227.0	2178.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1989.0	2290.0
100873313	0.0	1.0
3632	1537.0	1340.0
100873312	3.0	4.0
100873311	0.0	0.0
3633	1613.0	995.0
100873318	0.0	1.0
3635	3566.0	1977.0
100873317	0.0	0.0
3636	5895.0	9558.0
100128771	128.0	47.0
100873316	3.0	16.0
100873315	0.0	0.0
100128766	1.0	0.0
3651	0.0	0.0
1	34.0	42.0
2	83554.0	62223.0
100873309	0.0	0.0
100873308	0.0	0.0
3	21.0	10.0
3641	0.0	0.0
100873303	0.0	0.0
9	600.0	3317.0
3642	3.0	3.0
100873302	0.0	1.0
3643	14946.0	8731.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	115.0	9.0
100873307	0.0	0.0
3646	31526.0	11726.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	289.0	47.0
100873304	2.0	0.0
100873332	7.0	2.0
3660	2747.0	1749.0
100873331	0.0	0.0
3661	1929.0	1920.0
100873330	0.0	0.0
285577	8.0	0.0
3662	1545.0	499.0
100128756	0.0	0.0
1000	18.0	119.0
3652	1018.0	872.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	79.0	81.0
3654	4437.0	6131.0
100873334	0.0	0.0
3655	15948.0	7538.0
100873333	0.0	0.0
3656	325.0	490.0
100873339	0.0	0.0
3658	4175.0	4730.0
100873338	0.0	0.0
3659	2027.0	3424.0
100873337	0.0	0.0
3670	64.0	26.0
100873321	0.0	1.0
3671	6713.0	8482.0
100873320	0.0	0.0
3672	5706.0	7109.0
285588	0.0	0.0
3673	6633.0	1814.0
1011	0.0	0.0
1010	55.0	9.0
1008	0.0	2.0
1007	0.0	0.0
1006	126.0	5.0
1005	2.0	16.0
1004	331.0	773.0
1003	3323.0	7103.0
1002	266.0	18.0
1001	9527.0	223.0
3663	401.0	855.0
100873325	0.0	0.0
3664	9430.0	6198.0
100873324	0.0	0.0
3665	498.0	1377.0
100873323	0.0	1.0
100873322	0.0	0.0
3667	8018.0	8875.0
100873329	0.0	0.0
285590	6190.0	7413.0
100873328	0.0	0.0
3669	603.0	723.0
100873327	0.0	0.0
1009	3512.0	9705.0
100873326	0.0	0.0
100873350	0.0	1.0
116729	2.0	7.0
728477	10.0	28.0
3680	3315.0	2265.0
3681	26.0	205.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	741.0	573.0
100873353	0.0	0.0
3683	1468.0	2396.0
100873352	0.0	0.0
128710	815.0	1052.0
3684	505.0	1206.0
100873351	0.0	0.0
285512	321.0	55.0
1022	1192.0	973.0
285513	720.0	1335.0
1021	4399.0	1611.0
1020	417.0	1170.0
440299	0.0	0.0
1019	3456.0	3545.0
128709	0.0	1.0
1018	52.0	17.0
1017	1671.0	2078.0
1016	1.0	5.0
1015	89.0	30.0
1014	5.0	0.0
1013	14.0	14.0
1012	1689.0	2024.0
116730	87.0	33.0
3674	51.0	97.0
100873358	0.0	0.0
3675	9924.0	3960.0
100873357	2.0	1.0
3676	837.0	1121.0
100128731	4593.0	5255.0
100873356	0.0	0.0
3678	2646.0	6783.0
3679	1609.0	4459.0
100873359	0.0	0.0
728464	93.0	47.0
728463	15.0	13.0
100128725	0.0	0.0
3690	199.0	233.0
3691	14867.0	6631.0
100873343	0.0	1.0
3692	4583.0	3562.0
3693	9673.0	16446.0
285521	1094.0	1167.0
100873342	0.0	0.0
3694	4684.0	949.0
100873341	0.0	0.0
3695	277.0	195.0
100873340	0.0	0.0
100128723	0.0	1.0
1033	53.0	449.0
1032	141.0	504.0
285525	3.0	3.0
1031	1308.0	2984.0
285527	5132.0	5022.0
1030	297.0	1317.0
728468	0.0	0.0
