id	60cc2580-b21c-4526-ab37-e5dadb4fa9b7	8fd4ceba-6ad2-4726-bf8b-f0316640305c
285550	2210.0	2872.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	27.0	24.0
3640	11.0	8.0
3638	4262.0	1854.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	1.0	0.0
3631	3611.0	3207.0
100873313	0.0	1.0
3632	2591.0	2663.0
100873312	8.0	11.0
100873311	0.0	0.0
3633	3834.0	2923.0
100873318	0.0	1.0
3635	3561.0	3316.0
100873317	0.0	0.0
3636	7867.0	8419.0
100128771	134.0	160.0
100873316	24.0	10.0
100873315	0.0	0.0
100128766	1.0	1.0
3651	0.0	0.0
1	56.0	62.0
2	160779.0	65447.0
100873309	0.0	0.0
100873308	0.0	0.0
3	62.0	38.0
3641	0.0	0.0
100873303	2.0	0.0
9	1008.0	80756.0
3642	1.0	603.0
100873302	0.0	1.0
3643	10195.0	13455.0
100128764	2.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	62.0	10.0
100873307	0.0	0.0
3646	31174.0	23727.0
100873306	0.0	0.0
100873305	1.0	0.0
3647	378.0	143.0
100873304	0.0	0.0
100873332	13.0	1.0
3660	4354.0	6376.0
100873331	0.0	0.0
3661	2970.0	1867.0
100873330	0.0	0.0
285577	4.0	0.0
3662	1124.0	343.0
100128756	0.0	0.0
1000	101.0	139.0
3652	1798.0	3271.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	178.0	68.0
3654	5633.0	5525.0
100873334	0.0	0.0
3655	24149.0	30775.0
100873333	0.0	0.0
3656	614.0	361.0
100873339	0.0	0.0
3658	8793.0	9360.0
100873338	0.0	0.0
3659	4275.0	6345.0
100873337	2.0	0.0
3670	14.0	4.0
100873321	0.0	0.0
3671	11091.0	4883.0
100873320	0.0	0.0
3672	14312.0	9546.0
285588	1.0	1.0
3673	8158.0	2867.0
1011	0.0	0.0
1010	143.0	11.0
1008	2.0	1.0
1007	0.0	0.0
1006	47.0	44.0
1005	1.0	56.0
1004	1077.0	1204.0
1003	19201.0	6214.0
1002	133.0	42.0
1001	5131.0	959.0
3663	592.0	703.0
100873325	0.0	0.0
3664	12544.0	18769.0
100873324	1.0	0.0
3665	826.0	1477.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	11060.0	12035.0
100873329	0.0	0.0
285590	11034.0	9521.0
100873328	0.0	0.0
3669	597.0	1590.0
100873327	0.0	0.0
1009	3855.0	16848.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	4.0	1.0
728477	6.0	5.0
3680	6019.0	2467.0
3681	12.0	22.0
100128733	3.0	0.0
100873354	0.0	0.0
3682	1027.0	1419.0
100873353	0.0	0.0
3683	1329.0	4519.0
100873352	3.0	0.0
128710	1078.0	2761.0
3684	1052.0	997.0
100873351	0.0	0.0
285512	430.0	134.0
1022	1524.0	3769.0
285513	2054.0	3539.0
1021	4071.0	1814.0
1020	416.0	1756.0
440299	1.0	0.0
1019	3971.0	5925.0
128709	1.0	0.0
1018	47.0	22.0
1017	2643.0	3451.0
1016	5.0	300.0
1015	31.0	35.0
1014	0.0	0.0
1013	7.0	13.0
1012	4914.0	2595.0
116730	70.0	48.0
3674	69.0	25.0
100873358	0.0	0.0
3675	8603.0	5596.0
100873357	0.0	0.0
3676	979.0	2332.0
100128731	5160.0	11545.0
100873356	0.0	0.0
3678	9830.0	8392.0
3679	9246.0	794.0
100873359	0.0	0.0
728464	85.0	49.0
728463	18.0	5.0
100128725	0.0	0.0
3690	648.0	276.0
3691	16766.0	10527.0
100873343	0.0	0.0
3692	4231.0	5389.0
3693	18439.0	21119.0
285521	1589.0	4497.0
100873342	0.0	0.0
3694	5771.0	6244.0
100873341	0.0	0.0
3695	193.0	177.0
100873340	1.0	2.0
100128723	7.0	14.0
1033	45.0	224.0
1032	440.0	243.0
285525	6.0	2.0
1031	2002.0	831.0
285527	11628.0	9608.0
1030	2601.0	2080.0
728468	0.0	0.0
440288	189.0	254.0
1029	140.0	259.0
440295	258.0	134.0
1028	4992.0	509.0
1027	9572.0	10138.0
1026	9756.0	3814.0
1025	4907.0	4903.0
1024	1159.0	1711.0
3685	18450.0	33742.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	541.0	1245.0
100873345	0.0	0.0
3688	54957.0	49563.0
100873344	2.0	0.0
3689	2520.0	2891.0
100873349	0.0	3.0
100873348	0.0	0.0
100873372	0.0	6.0
100873371	2.0	5.0
100873370	0.0	0.0
728498	49.0	6.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	83.0	75.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	170.0	114.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	11.0	20.0
1043	534.0	602.0
1041	11.0	6.0
1040	3063.0	8794.0
1039	2599.0	5352.0
1038	16.0	1.0
1036	3134.0	363.0
3696	6529.0	2892.0
3697	8.0	1.0
100873379	0.0	0.0
3698	71.0	20.0
100873378	2.0	8.0
3699	241.0	82.0
100873377	0.0	0.0
728486	14.0	4.0
100873361	0.0	2.0
105373869	10.0	463.0
100873360	0.0	2.0
285540	262.0	238.0
100128705	3.0	11.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	1.0
100873362	0.0	0.0
100128701	1.0	2.0
1054	5630.0	5139.0
285547	0.0	0.0
1053	2.0	6.0
285548	2.0	1.0
1052	4138.0	1337.0
1051	3798.0	1414.0
728489	17.0	10.0
1050	3146.0	1254.0
100128707	0.0	2.0
1048	5.0	19862.0
1047	427.0	8600.0
1046	0.0	1.0
1045	0.0	3.0
100873369	13.0	12.0
100873368	1.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	2.0
1066	6991.0	478.0
1063	421.0	2601.0
1062	277.0	588.0
1061	12.0	14.0
1060	4210.0	3594.0
440253	535.0	111.0
1059	6258.0	8151.0
1058	84.0	128.0
1057	8.0	0.0
85379	20145.0	9201.0
114112	1197.0	1623.0
1056	32.0	18.0
85377	4011.0	1253.0
85378	5154.0	1799.0
128745	0.0	1.0
85376	16.0	16.0
440248	2585.0	939.0
1075	8727.0	5673.0
1074	31.0	54.0
1073	4757.0	1547.0
1072	25054.0	51294.0
1071	216.0	72.0
440243	0.0	0.0
1070	1487.0	1744.0
1069	3706.0	8012.0
1068	0.0	0.0
85369	4009.0	3865.0
85366	35.0	17.0
85364	2445.0	2822.0
85365	3270.0	4958.0
85363	2165.0	2314.0
85360	1945.0	779.0
1080	64.0	7.0
85391	7.0	7.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	4.0	2.0
153733	1133.0	1251.0
1087	17.0	224.0
1086	1.0	0.0
440279	42.0	12.0
1085	8.0	20.0
1084	5.0	49.0
440278	106.0	267.0
1082	0.0	0.0
403294	0.0	1.0
440275	7606.0	15823.0
1081	1.0	0.0
85397	12.0	43.0
85395	389.0	218.0
403285	0.0	0.0
1091	3.0	0.0
1090	4.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	2.0	3.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	2.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	8.0	2.0
440270	2938.0	381.0
1089	16.0	6.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	16.0	3.0
285598	2259.0	878.0
126133	1609.0	1927.0
128790	0.0	0.0
126129	240.0	99.0
126123	1.0	0.0
442862	0.0	0.0
126119	454.0	376.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
