id	a0c9781b-0c1e-4dc0-a3f6-84e938b07641	4a775326-e623-47d4-b105-d32fc21afb8a
285550	1718.0	1726.0
100873310	0.0	0.0
100128777	0.0	1.0
285555	7.0	20.0
3640	2.0	26.0
3638	5912.0	7380.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2163.0	1158.0
100873313	0.0	0.0
3632	3238.0	647.0
100873312	2.0	12.0
100873311	0.0	0.0
3633	2002.0	540.0
100873318	0.0	0.0
3635	965.0	900.0
100873317	0.0	0.0
3636	5113.0	3154.0
100128771	94.0	49.0
100873316	9.0	5.0
100873315	0.0	0.0
100128766	0.0	0.0
3651	0.0	0.0
1	4.0	14.0
2	84671.0	34080.0
100873309	0.0	0.0
100873308	0.0	0.0
3	42.0	53.0
3641	1.0	0.0
100873303	0.0	0.0
9	174.0	325.0
3642	1.0	1.0
100873302	0.0	0.0
3643	10710.0	12648.0
100128764	1.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	12.0	2.0
100873307	0.0	0.0
3646	21935.0	27325.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	91.0	115.0
100873304	0.0	0.0
100873332	6.0	3.0
3660	2504.0	2920.0
100873331	0.0	0.0
3661	1182.0	841.0
100873330	0.0	0.0
285577	2.0	0.0
3662	251.0	28.0
100128756	0.0	0.0
1000	56.0	32.0
3652	1443.0	469.0
100873336	0.0	2.0
100873335	0.0	1.0
100128750	277.0	46.0
3654	3237.0	2190.0
100873334	0.0	0.0
3655	9712.0	36991.0
100873333	1.0	0.0
3656	1624.0	176.0
100873339	0.0	2.0
3658	7480.0	2670.0
100873338	0.0	0.0
3659	3453.0	559.0
100873337	0.0	0.0
3670	1.0	1.0
100873321	0.0	0.0
3671	5827.0	7475.0
100873320	0.0	0.0
3672	16467.0	1595.0
285588	0.0	0.0
3673	474.0	3502.0
1011	0.0	0.0
1010	7.0	2.0
1008	2.0	0.0
1007	1.0	0.0
1006	13.0	35.0
1005	0.0	6.0
1004	866.0	263.0
1003	12428.0	2592.0
1002	20.0	26.0
1001	217.0	7615.0
3663	86.0	268.0
100873325	0.0	0.0
3664	788.0	20450.0
100873324	0.0	0.0
3665	311.0	196.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	11093.0	3535.0
100873329	0.0	0.0
285590	2400.0	4884.0
100873328	0.0	0.0
3669	222.0	149.0
100873327	0.0	0.0
1009	1592.0	1456.0
100873326	0.0	0.0
100873350	0.0	1.0
116729	0.0	0.0
728477	1.0	1.0
3680	3725.0	1555.0
3681	6.0	5.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	943.0	350.0
100873353	0.0	0.0
3683	333.0	147.0
100873352	6.0	0.0
128710	515.0	1840.0
3684	275.0	106.0
100873351	0.0	0.0
285512	115.0	329.0
1022	948.0	1284.0
285513	734.0	339.0
1021	2176.0	565.0
1020	385.0	1230.0
440299	0.0	0.0
1019	2818.0	2718.0
128709	0.0	0.0
1018	17.0	6.0
1017	1102.0	1249.0
1016	10.0	0.0
1015	21.0	59.0
1014	1.0	0.0
1013	0.0	3.0
1012	4618.0	1232.0
116730	54.0	95.0
3674	80.0	1.0
100873358	0.0	0.0
3675	989.0	476.0
100873357	0.0	2.0
3676	244.0	181.0
100128731	6145.0	17406.0
100873356	0.0	0.0
3678	4195.0	1598.0
3679	31393.0	187.0
100873359	0.0	0.0
728464	64.0	10.0
728463	8.0	32.0
100128725	0.0	0.0
3690	321.0	26.0
3691	2031.0	5214.0
100873343	0.0	0.0
3692	3300.0	8069.0
3693	12519.0	6438.0
285521	1627.0	1622.0
100873342	0.0	0.0
3694	159.0	2703.0
100873341	0.0	0.0
3695	101.0	40.0
100873340	0.0	1.0
100128723	2.0	56.0
1033	18.0	187.0
1032	406.0	85.0
285525	6.0	2.0
1031	16651.0	147.0
285527	6345.0	2334.0
1030	4686.0	516.0
728468	0.0	0.0
440288	110.0	124.0
1029	55.0	362.0
440295	48.0	231.0
1028	5227.0	3165.0
1027	5404.0	3868.0
1026	13986.0	479.0
1025	3167.0	1890.0
1024	1317.0	622.0
3685	9218.0	3818.0
100873347	0.0	1.0
100873346	0.0	0.0
3687	143.0	231.0
100873345	1.0	3.0
3688	70087.0	10816.0
100873344	0.0	0.0
3689	710.0	1167.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	1.0
100873370	0.0	0.0
728498	172.0	8.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	1.0	0.0
728492	32.0	18.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	94.0	154.0
100873374	0.0	1.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	3.0	5.0
1043	216.0	147.0
1041	2.0	0.0
1040	208.0	5283.0
1039	2757.0	3872.0
1038	111.0	421.0
1036	8939.0	30.0
3696	370.0	9874.0
3697	10.0	0.0
100873379	0.0	0.0
3698	8.0	32.0
100873378	0.0	4.0
3699	88.0	2.0
100873377	0.0	0.0
728486	0.0	0.0
100873361	1.0	1.0
105373869	4.0	37.0
100873360	0.0	0.0
285540	138.0	147.0
100128705	0.0	8.0
