id	08ca348b-8c35-4f2e-ba37-c5bcb02c7896	b3ae3d7d-e056-444a-8d27-39faa849ae37
285550	1071.0	636.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	12.0	3.0
3640	52.0	6.0
3638	3188.0	2654.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1839.0	1492.0
100873313	0.0	0.0
3632	1431.0	1631.0
100873312	4.0	2.0
100873311	0.0	0.0
3633	1523.0	553.0
100873318	0.0	1.0
3635	2205.0	758.0
100873317	0.0	0.0
3636	4702.0	9512.0
100128771	56.0	23.0
100873316	4.0	15.0
100873315	0.0	0.0
100128766	3.0	4.0
3651	0.0	0.0
1	15.0	11.0
2	62819.0	17005.0
100873309	0.0	0.0
100873308	0.0	0.0
3	24.0	1.0
3641	0.0	1.0
100873303	0.0	0.0
9	320.0	10803.0
3642	6.0	120.0
100873302	0.0	1.0
3643	6933.0	2917.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	44.0	45.0
100873307	0.0	0.0
3646	18389.0	13727.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	142.0	61.0
100873304	0.0	0.0
100873332	4.0	0.0
3660	2205.0	1639.0
100873331	0.0	0.0
3661	2150.0	1986.0
100873330	0.0	0.0
285577	6.0	0.0
3662	316.0	45.0
100128756	0.0	0.0
1000	50.0	711.0
3652	966.0	1047.0
100873336	2.0	0.0
100873335	0.0	0.0
100128750	128.0	5.0
3654	5458.0	7844.0
100873334	0.0	0.0
3655	10779.0	7327.0
100873333	1.0	2.0
3656	498.0	200.0
100873339	0.0	0.0
3658	2994.0	2662.0
100873338	0.0	1.0
3659	2412.0	1770.0
100873337	0.0	0.0
3670	23.0	1.0
100873321	0.0	0.0
3671	6372.0	16000.0
100873320	0.0	0.0
3672	5699.0	3827.0
285588	0.0	0.0
3673	3785.0	3309.0
1011	0.0	0.0
1010	86.0	1.0
1008	2.0	1.0
1007	0.0	0.0
1006	148.0	20.0
1005	5.0	51.0
1004	477.0	254.0
1003	6014.0	2050.0
1002	228.0	59.0
1001	5104.0	2215.0
3663	508.0	615.0
100873325	0.0	1.0
3664	8596.0	9738.0
100873324	0.0	0.0
3665	671.0	2593.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	4763.0	4866.0
100873329	0.0	0.0
285590	4859.0	13943.0
100873328	0.0	0.0
3669	753.0	693.0
100873327	0.0	0.0
1009	2259.0	14541.0
100873326	0.0	0.0
100873350	1.0	0.0
116729	0.0	0.0
728477	9.0	2.0
3680	2136.0	440.0
3681	176.0	27.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	600.0	841.0
100873353	0.0	0.0
3683	1259.0	941.0
100873352	0.0	0.0
128710	329.0	715.0
3684	892.0	841.0
100873351	0.0	2.0
285512	157.0	76.0
1022	974.0	1714.0
285513	936.0	583.0
1021	2425.0	1156.0
1020	320.0	705.0
440299	0.0	0.0
1019	2747.0	5197.0
128709	1.0	2.0
1018	26.0	8.0
1017	1503.0	2240.0
1016	5.0	826.0
1015	30.0	5.0
1014	0.0	2.0
1013	7.0	27.0
1012	2046.0	671.0
116730	75.0	39.0
3674	47.0	26.0
100873358	0.0	0.0
3675	5344.0	936.0
100873357	0.0	0.0
3676	596.0	409.0
100128731	2903.0	4003.0
100873356	0.0	0.0
3678	5478.0	10095.0
3679	8036.0	191.0
100873359	0.0	0.0
728464	61.0	26.0
728463	50.0	18.0
100128725	0.0	0.0
3690	251.0	142.0
3691	17208.0	1190.0
100873343	0.0	0.0
3692	3329.0	5043.0
3693	10309.0	18920.0
285521	752.0	906.0
100873342	0.0	0.0
3694	4500.0	2302.0
100873341	0.0	0.0
3695	180.0	59.0
100873340	2.0	0.0
100128723	1.0	0.0
1033	60.0	572.0
1032	240.0	342.0
285525	3.0	3.0
1031	1439.0	490.0
285527	3436.0	2584.0
1030	2439.0	1447.0
728468	0.0	0.0
440288	95.0	53.0
1029	135.0	547.0
440295	107.0	83.0
1028	2506.0	479.0
1027	3447.0	1311.0
1026	10155.0	3973.0
1025	2771.0	3524.0
1024	496.0	588.0
3685	6679.0	12579.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	1130.0	1433.0
100873345	0.0	0.0
3688	31504.0	26085.0
100873344	0.0	0.0
3689	4206.0	3863.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	2.0	1.0
100873370	0.0	0.0
728498	21.0	1.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	27.0	24.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	104.0	45.0
100873374	1.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	9.0	42.0
1043	1003.0	555.0
1041	2.0	17.0
1040	1809.0	3144.0
1039	1854.0	2702.0
1038	23.0	2.0
1036	1262.0	55.0
3696	5048.0	592.0
3697	2.0	1.0
100873379	0.0	0.0
3698	259.0	10.0
100873378	0.0	2.0
3699	43.0	9.0
100873377	0.0	0.0
728486	7.0	12.0
100873361	0.0	0.0
105373869	0.0	1229.0
100873360	0.0	1.0
285540	82.0	50.0
100128705	1.0	3.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	4.0
100873362	0.0	0.0
100128701	2.0	1.0
1054	2443.0	3257.0
285547	0.0	1.0
1053	4.0	5.0
285548	1.0	28.0
1052	2661.0	1024.0
1051	3461.0	1977.0
728489	4.0	4.0
1050	3106.0	823.0
100128707	0.0	0.0
1048	3.0	10.0
1047	62.0	149.0
1046	0.0	0.0
1045	1.0	0.0
100873369	18.0	2.0
100873368	0.0	0.0
100873367	0.0	1.0
100873366	0.0	0.0
105373877	1.0	1.0
1066	12571.0	137.0
1063	494.0	5749.0
1062	166.0	1936.0
1061	7.0	1.0
1060	1735.0	800.0
440253	176.0	70.0
1059	3923.0	4851.0
1058	34.0	330.0
1057	8.0	0.0
85379	9482.0	4358.0
114112	738.0	633.0
1056	26.0	12.0
85377	3476.0	2253.0
85378	3251.0	1806.0
128745	0.0	0.0
85376	4.0	12.0
440248	564.0	263.0
1075	4164.0	3147.0
1074	9.0	13.0
1073	2593.0	950.0
1072	20278.0	64092.0
1071	35.0	48.0
440243	0.0	0.0
1070	593.0	710.0
1069	1952.0	3979.0
1068	0.0	0.0
85369	1850.0	1337.0
85366	1.0	19.0
85364	1033.0	964.0
85365	1724.0	1847.0
85363	1518.0	1521.0
85360	1057.0	933.0
1080	54.0	13.0
85391	4.0	83.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	422.0	858.0
1087	5.0	6.0
1086	0.0	0.0
440279	35.0	0.0
1085	5.0	0.0
1084	6.0	0.0
440278	87.0	70.0
1082	0.0	0.0
403294	0.0	0.0
440275	4404.0	5231.0
1081	1.0	17.0
85397	5.0	5.0
85395	452.0	340.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	1.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	1.0	0.0
1092	6.0	1.0
440270	1446.0	219.0
1089	8.0	1.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	11.0	0.0
285598	661.0	459.0
126133	1301.0	2379.0
128790	0.0	0.0
126129	195.0	142.0
126123	0.0	0.0
442862	0.0	0.0
126119	348.0	528.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	1.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	30.0	7.0
442897	0.0	0.0
442898	4.0	0.0
114134	429.0	625.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	2.0
100128788	90.0	63.0
100128787	0.0	0.0
440225	0.0	0.0
440224	4.0	3.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	0.0
128756	0.0	0.0
100128782	159.0	87.0
100128781	2.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	3.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	267.0	686.0
102466616	0.0	0.0
126052	0.0	2.0
151009	75.0	6.0
403227	0.0	0.0
403228	0.0	0.0
138046	21.0	4.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	2.0
645572	0.0	0.0
645571	6.0	3.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	783.0	710.0
107131122	1.0	0.0
138050	6671.0	7892.0
403219	0.0	0.0
151011	5098.0	4281.0
645587	0.0	3.0
165679	219.0	280.0
126037	43.0	109.0
114049	2734.0	2685.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	5.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	506.0	326.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2122.0	1730.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	308.0	106.0
100033820	0.0	0.0
106481480	3.0	0.0
106481481	0.0	0.0
138065	69.0	6.0
645598	1.0	0.0
163007	0.0	1.0
114038	2.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	154.0	8.0
106481496	0.0	0.0
114042	2.0	6.0
106481493	0.0	0.0
114043	9.0	23.0
106481494	0.0	1.0
106481499	0.0	0.0
114044	213.0	147.0
126017	334.0	461.0
106481497	0.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	2.0
85301	2981.0	848.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	735.0	1384.0
106481459	0.0	0.0
26994	6824.0	5092.0
106481457	9.0	3.0
26995	1717.0	2174.0
106481458	0.0	0.0
403271	0.0	0.0
26998	20.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1091.0	533.0
403273	0.0	0.0
102466658	7.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	3.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2308.0	2245.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	1108.0	132.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	630.0	9299.0
106481470	1.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	584.0	1017.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	0.0
106481437	0.0	0.0
26974	167.0	80.0
153657	43.0	16.0
106481438	2.0	71.0
106481435	0.0	0.0
26973	1565.0	3813.0
165631	151.0	57.0
106481436	7.0	1.0
26978	15.0	23.0
126075	568.0	607.0
106481439	0.0	0.0
403250	0.0	0.0
126074	125.0	166.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	935.0	1453.0
106481444	7.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3689.0	904.0
85354	0.0	0.0
85352	45.0	128.0
403241	0.0	0.0
344462	1.0	12.0
403244	0.0	0.0
403245	0.0	0.0
153642	391.0	267.0
153643	22.0	4.0
403247	0.0	0.0
403248	0.0	0.0
26985	2896.0	5080.0
106481448	0.0	0.0
26986	67666.0	83974.0
126069	130.0	170.0
106481449	0.0	0.0
126068	417.0	321.0
106481446	0.0	0.0
26983	0.0	0.0
26984	682.0	643.0
106481447	0.0	0.0
106481451	2.0	2.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	213.0	72.0
106481455	0.0	1.0
85349	245.0	37.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	8.0	7.0
106481454	0.0	2.0
403238	0.0	0.0
85344	3.0	1.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	1.0
344454	3.0	4.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	3.0	3.0
100873391	0.0	0.0
100873398	1.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	2.0
63901	1815.0	2592.0
100873390	0.0	0.0
728556	30.0	78.0
106481419	0.0	0.0
100128817	0.0	1.0
728558	109.0	84.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	421.0	364.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	5.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	169.0	219.0
100873384	0.0	0.0
285601	19.0	6.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	4.0	2.0
63910	197.0	199.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	503.0	653.0
222008	4.0	595.0
106481428	0.0	0.0
106481429	0.0	1.0
63905	2395.0	1994.0
63904	0.0	0.0
106481430	1.0	0.0
163071	23.0	7.0
63906	682.0	555.0
106481433	0.0	0.0
63908	663.0	397.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	1.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	44.0	56.0
63920	230.0	290.0
63923	764.0	130.0
63922	533.0	1420.0
728577	341.0	1.0
63925	1809.0	1524.0
63924	11702.0	7.0
63916	2314.0	3133.0
63917	2922.0	2154.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	6.0	2.0
728564	2.0	10.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1486.0	1098.0
106481402	0.0	0.0
63931	1323.0	1234.0
106481403	0.0	0.0
63934	763.0	132.0
728567	3.0	7.0
106481408	0.0	0.0
163088	3.0	2.0
63933	1842.0	1735.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2726.0	1846.0
163087	588.0	335.0
728568	272.0	331.0
106481407	9.0	2.0
3704	1232.0	2067.0
3705	4622.0	3734.0
63926	502.0	1538.0
3706	5.0	67.0
63929	831.0	1660.0
3707	3845.0	2655.0
63928	0.0	4.0
3708	6222.0	993.0
106481411	0.0	0.0
3709	8317.0	2582.0
106481412	0.0	0.0
106481410	3.0	0.0
3700	32.0	17.0
3702	415.0	80.0
3703	7394.0	14428.0
645506	1.0	1.0
151050	963.0	604.0
645520	0.0	0.0
63941	741.0	1280.0
63940	985.0	688.0
63943	243.0	387.0
728517	0.0	0.0
163033	260.0	223.0
258010	1398.0	1404.0
63947	0.0	0.0
63946	0.0	25.0
728513	0.0	0.0
100033803	0.0	0.0
3716	14040.0	13339.0
100033804	0.0	0.0
3717	1521.0	1267.0
100033805	0.0	0.0
3718	745.0	258.0
63939	534.0	563.0
100033806	0.0	0.0
100190799	5.0	13.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	54.0	12.0
3710	3767.0	2372.0
3712	4820.0	3394.0
3713	1.0	207.0
3714	2922.0	988.0
63950	0.0	7.0
728505	0.0	2.0
63951	55.0	3.0
100033807	0.0	0.0
728501	37.0	10.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	8172.0	4540.0
100033814	0.0	0.0
3727	13512.0	6534.0
63948	0.0	1.0
100033815	0.0	0.0
222052	0.0	4.0
3728	15697.0	22015.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1333.0	1398.0
151056	450.0	82.0
3725	41372.0	21502.0
645528	3.0	0.0
728532	45.0	45.0
163059	307.0	336.0
728538	1.0	2.0
728537	249.0	69.0
63967	89.0	443.0
3737	60.0	1.0
3738	112.0	4.0
3739	19.0	0.0
645538	0.0	0.0
3730	874.0	508.0
3732	3960.0	5510.0
3734	0.0	0.0
3735	6859.0	7607.0
3736	39.0	7.0
63970	342.0	13.0
3750	211.0	115.0
63971	5278.0	3501.0
63974	0.0	0.0
163049	2182.0	1007.0
63973	32.0	0.0
63976	169.0	52.0
222068	4043.0	4755.0
63978	0.0	0.0
63977	615.0	642.0
63979	482.0	915.0
728524	0.0	0.0
3748	611.0	57.0
163051	17.0	19.0
3749	2242.0	192.0
163050	42.0	33.0
3741	18.0	0.0
645548	8.0	22.0
3743	5.0	0.0
3744	0.0	1.0
3745	1222.0	6.0
3746	35.0	1.0
3747	374.0	0.0
285671	672.0	486.0
285672	1224.0	1205.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	42.0	33.0
285676	128.0	81.0
3761	1.0	2.0
100128657	0.0	1.0
285679	3.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	529.0	250.0
283008	0.0	0.0
3751	356.0	414.0
100873435	0.0	0.0
3752	680.0	829.0
100873434	0.0	0.0
3753	24.0	5.0
100873433	0.0	0.0
3754	39.0	881.0
100873432	0.0	0.0
3755	50.0	48.0
100873439	0.0	0.0
3756	21.0	150.0
100873438	0.0	0.0
3757	43.0	29.0
100873437	0.0	0.0
3758	9.0	5.0
100873436	0.0	0.0
100873420	2.0	4.0
3770	173.0	21.0
3772	116.0	141.0
100861458	0.0	0.0
100861453	23.0	1.0
100861455	0.0	0.0
1107	11274.0	9808.0
1106	7926.0	3631.0
1105	4295.0	3228.0
1104	1921.0	3192.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1481.0	639.0
1101	318.0	119.0
3762	648.0	298.0
100873424	0.0	0.0
3763	2.0	18.0
100128640	199.0	43.0
100873423	0.0	0.0
3764	818.0	445.0
100873422	0.0	0.0
3765	3.0	16.0
100873421	1.0	0.0
3766	24.0	66.0
100873428	0.0	0.0
3767	192.0	181.0
100873427	0.0	0.0
3768	164.0	36.0
1109	0.0	0.0
100873426	0.0	4.0
1108	13915.0	13578.0
3769	7.0	2.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
