id	f40edd33-8549-48a2-9fc7-a9313468b155	97745843-751b-4437-82e0-31ed8c323e91
285550	1520.0	1091.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	16.0	11.0
3640	28.0	13.0
3638	3448.0	2004.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2542.0	1524.0
100873313	0.0	1.0
3632	1924.0	775.0
100873312	7.0	4.0
100873311	0.0	0.0
3633	1942.0	1071.0
100873318	0.0	0.0
3635	3349.0	1143.0
100873317	1.0	0.0
3636	7276.0	7128.0
100128771	22.0	21.0
100873316	10.0	9.0
100873315	0.0	0.0
100128766	0.0	5.0
3651	1.0	1.0
1	40.0	28.0
2	98008.0	37512.0
100873309	0.0	0.0
100873308	0.0	0.0
3	39.0	6.0
3641	0.0	0.0
100873303	0.0	0.0
9	463.0	123.0
3642	10.0	9.0
100873302	1.0	0.0
3643	8800.0	9694.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	39.0	141.0
100873307	0.0	0.0
3646	26202.0	31587.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	238.0	90.0
100873304	0.0	0.0
100873332	3.0	0.0
3660	3474.0	2227.0
100873331	0.0	0.0
3661	3349.0	2727.0
100873330	0.0	1.0
285577	7.0	1.0
3662	654.0	58.0
100128756	0.0	0.0
1000	103.0	1533.0
3652	1055.0	1141.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	75.0	52.0
3654	6047.0	19954.0
100873334	1.0	0.0
3655	21526.0	26908.0
100873333	0.0	0.0
3656	516.0	391.0
100873339	0.0	0.0
3658	5064.0	3386.0
100873338	0.0	0.0
3659	2784.0	2047.0
100873337	0.0	0.0
3670	0.0	12.0
100873321	1.0	0.0
3671	18242.0	8729.0
100873320	0.0	0.0
3672	6901.0	1682.0
285588	1.0	1.0
3673	6021.0	5281.0
1011	0.0	0.0
1010	166.0	0.0
1008	18.0	1.0
1007	0.0	3.0
1006	96.0	5.0
1005	4.0	7.0
1004	542.0	302.0
1003	9749.0	1016.0
1002	193.0	84.0
1001	7659.0	21882.0
3663	650.0	1081.0
100873325	0.0	1.0
3664	13167.0	16781.0
100873324	0.0	0.0
3665	1100.0	1349.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	7338.0	2865.0
100873329	0.0	0.0
285590	8430.0	7190.0
100873328	0.0	0.0
3669	1224.0	1762.0
100873327	0.0	0.0
1009	3101.0	12635.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	2.0
728477	4.0	5.0
3680	4014.0	823.0
3681	6.0	6.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	935.0	927.0
100873353	0.0	0.0
3683	918.0	413.0
100873352	0.0	0.0
128710	641.0	650.0
3684	1624.0	2389.0
100873351	0.0	0.0
285512	156.0	80.0
1022	1484.0	1921.0
285513	1104.0	1086.0
1021	3525.0	7090.0
1020	484.0	760.0
440299	0.0	2.0
1019	3740.0	7577.0
128709	0.0	0.0
1018	38.0	33.0
1017	2233.0	3152.0
1016	1.0	2.0
1015	22.0	20.0
1014	0.0	253.0
1013	0.0	29.0
1012	3783.0	825.0
116730	7.0	13.0
3674	62.0	73.0
100873358	0.0	0.0
3675	9505.0	4093.0
100873357	1.0	0.0
3676	617.0	1159.0
100128731	5365.0	10173.0
100873356	0.0	0.0
3678	10410.0	4129.0
3679	4428.0	313.0
100873359	0.0	0.0
728464	88.0	22.0
728463	36.0	621.0
100128725	0.0	0.0
3690	556.0	216.0
3691	21171.0	33486.0
100873343	0.0	0.0
3692	4538.0	6223.0
3693	15085.0	11822.0
285521	891.0	1627.0
100873342	0.0	0.0
3694	10167.0	1944.0
100873341	0.0	0.0
3695	196.0	227.0
100873340	0.0	0.0
100128723	2.0	0.0
1033	115.0	569.0
1032	426.0	1412.0
285525	4.0	14.0
1031	1443.0	2613.0
285527	5808.0	4056.0
1030	1860.0	1398.0
728468	0.0	1.0
440288	154.0	108.0
1029	310.0	1412.0
440295	179.0	244.0
1028	2864.0	652.0
1027	4407.0	9291.0
1026	42113.0	2867.0
1025	4380.0	1711.0
1024	723.0	1271.0
3685	11044.0	16337.0
100873347	0.0	1.0
100873346	0.0	0.0
3687	815.0	1039.0
100873345	1.0	0.0
3688	34809.0	37612.0
100873344	0.0	1.0
3689	4248.0	11668.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	4.0
100873370	0.0	1.0
728498	14.0	5.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	82.0	55.0
100873375	0.0	0.0
100128710	0.0	2.0
285533	171.0	491.0
100873374	0.0	0.0
728495	2.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	14.0	4.0
1043	644.0	374.0
1041	3.0	5.0
1040	2701.0	3586.0
1039	2932.0	2680.0
1038	8.0	36.0
1036	1281.0	30.0
3696	5650.0	9656.0
3697	2.0	44.0
100873379	0.0	0.0
3698	142.0	15.0
100873378	3.0	7.0
3699	102.0	102.0
100873377	0.0	0.0
728486	4.0	7.0
100873361	0.0	2.0
105373869	0.0	343.0
100873360	0.0	1.0
285540	166.0	91.0
100128705	3.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	0.0
100873362	0.0	0.0
100128701	2.0	1.0
1054	4411.0	6357.0
285547	0.0	0.0
1053	6.0	2.0
285548	2.0	56.0
1052	7978.0	1602.0
1051	5567.0	4369.0
728489	41.0	31.0
1050	1685.0	200.0
100128707	0.0	0.0
1048	10.0	124.0
1047	68.0	2154.0
1046	0.0	0.0
1045	0.0	37.0
100873369	21.0	6.0
100873368	0.0	1.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	5.0
1066	6849.0	130.0
1063	722.0	11099.0
1062	226.0	1744.0
1061	4.0	2.0
1060	2716.0	2222.0
440253	287.0	53.0
1059	5915.0	5899.0
1058	37.0	835.0
1057	7.0	0.0
85379	12732.0	10694.0
114112	833.0	820.0
1056	28.0	58.0
85377	4648.0	7099.0
85378	4495.0	2905.0
128745	2.0	1.0
85376	3.0	2.0
440248	1004.0	215.0
1075	8728.0	6622.0
1074	8.0	5.0
1073	3289.0	1007.0
1072	32880.0	53402.0
1071	149.0	75.0
440243	0.0	0.0
1070	1244.0	673.0
1069	3135.0	3431.0
1068	0.0	3.0
85369	2553.0	1411.0
85366	17.0	61.0
85364	1825.0	524.0
85365	2876.0	2390.0
85363	2250.0	1149.0
85360	1668.0	847.0
1080	55.0	14.0
85391	9.0	20.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	1.0
153733	926.0	869.0
1087	3.0	0.0
1086	0.0	0.0
440279	22.0	6.0
1085	5.0	7.0
1084	23.0	1.0
440278	126.0	86.0
1082	1.0	0.0
403294	0.0	0.0
440275	5377.0	3173.0
1081	1.0	1.0
85397	9.0	18.0
85395	688.0	2729.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	2.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	0.0
440270	2032.0	331.0
1089	11.0	5.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	147.0	2.0
285598	1215.0	758.0
126133	2216.0	1487.0
128790	0.0	0.0
126129	383.0	454.0
126123	0.0	1.0
442862	0.0	0.0
126119	706.0	1435.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	1.0
442894	0.0	2.0
442895	1.0	0.0
114131	1.0	1.0
442896	0.0	0.0
114132	82.0	19.0
442897	0.0	0.0
442898	6.0	1.0
114134	725.0	1290.0
442899	0.0	0.0
100128790	0.0	0.0
128760	13.0	3.0
100128788	125.0	72.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	2.0	1.0
442892	3.0	0.0
128756	0.0	0.0
100128782	359.0	343.0
100128781	2.0	4.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	1.0
645560	2.0	4.0
403234	0.0	0.0
403235	2.0	0.0
403236	0.0	0.0
63982	133.0	5.0
102466616	0.0	0.0
126052	0.0	0.0
151009	105.0	51.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	4.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	0.0
645572	0.0	0.0
645571	10.0	29.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1179.0	3198.0
107131122	0.0	0.0
138050	9177.0	13406.0
403219	0.0	0.0
151011	8579.0	4383.0
645587	2.0	3.0
165679	370.0	246.0
126037	41.0	45.0
114049	3960.0	6164.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1050.0	1467.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3251.0	2075.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	41.0	22.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	2.0
138065	187.0	13.0
645598	1.0	0.0
163007	1.0	0.0
114038	5.0	1.0
645591	0.0	3.0
106481495	0.0	0.0
114041	310.0	114.0
106481496	0.0	0.0
114042	2.0	5.0
106481493	0.0	0.0
114043	36.0	24.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	282.0	701.0
126017	456.0	467.0
106481497	3.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	2.0	0.0
85301	4504.0	3945.0
106481491	0.0	2.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	2.0	0.0
