id	85c33017-be81-4bcb-b452-d297c2016992	8970e6da-5904-483d-8770-0ede67f98cf4
285550	1257.0	2336.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	14.0	31.0
3640	9.0	12.0
3638	1273.0	4809.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1389.0	5011.0
100873313	0.0	0.0
3632	1232.0	2172.0
100873312	2.0	8.0
100873311	0.0	0.0
3633	1124.0	3444.0
100873318	2.0	1.0
3635	963.0	6431.0
100873317	0.0	0.0
3636	2703.0	10106.0
100128771	23.0	159.0
100873316	16.0	40.0
100873315	0.0	0.0
100128766	0.0	1.0
3651	0.0	0.0
1	29.0	96.0
2	42660.0	127732.0
100873309	1.0	0.0
100873308	1.0	0.0
3	31.0	94.0
3641	0.0	0.0
100873303	0.0	2.0
9	351.0	75574.0
3642	10.0	214.0
100873302	0.0	0.0
3643	3892.0	13933.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	24.0	19.0
100873307	0.0	0.0
3646	14370.0	30919.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	164.0	178.0
100873304	1.0	0.0
100873332	3.0	7.0
3660	1676.0	5174.0
100873331	0.0	0.0
3661	1024.0	2304.0
100873330	0.0	2.0
285577	3.0	0.0
3662	221.0	1690.0
100128756	0.0	0.0
1000	59.0	154.0
3652	834.0	2401.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	70.0	98.0
3654	1950.0	8085.0
100873334	0.0	0.0
3655	8705.0	19388.0
100873333	0.0	1.0
3656	191.0	741.0
100873339	0.0	0.0
3658	3234.0	11118.0
100873338	0.0	0.0
3659	1470.0	8777.0
100873337	0.0	0.0
3670	70.0	2.0
100873321	0.0	0.0
3671	6003.0	11516.0
100873320	1.0	0.0
3672	2998.0	9985.0
285588	0.0	1.0
3673	4461.0	9848.0
1011	0.0	0.0
1010	118.0	31.0
1008	7.0	10.0
1007	1.0	0.0
1006	156.0	76.0
1005	6.0	144.0
1004	176.0	1033.0
1003	3507.0	10190.0
1002	36.0	119.0
1001	3661.0	1109.0
3663	324.0	1958.0
100873325	0.0	0.0
3664	7568.0	16006.0
100873324	0.0	0.0
3665	352.0	1559.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	5196.0	14696.0
100873329	0.0	0.0
285590	3313.0	14184.0
100873328	0.0	0.0
3669	180.0	958.0
100873327	0.0	0.0
1009	1575.0	17213.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	4.0
728477	1.0	12.0
3680	2145.0	3961.0
3681	18.0	298.0
100128733	1.0	1.0
100873354	0.0	0.0
3682	430.0	1411.0
100873353	0.0	0.0
3683	441.0	5985.0
100873352	0.0	0.0
128710	529.0	2020.0
3684	648.0	3657.0
100873351	0.0	0.0
285512	201.0	347.0
1022	759.0	2149.0
285513	1003.0	6473.0
1021	2326.0	4166.0
1020	159.0	1211.0
440299	0.0	0.0
1019	1666.0	5912.0
128709	1.0	0.0
1018	25.0	41.0
1017	1146.0	3450.0
1016	3.0	0.0
1015	22.0	52.0
1014	1.0	0.0
1013	2.0	9.0
1012	2295.0	2210.0
116730	27.0	104.0
3674	20.0	36.0
100873358	0.0	0.0
3675	4258.0	6407.0
100873357	1.0	0.0
3676	346.0	5260.0
100128731	2344.0	6670.0
100873356	0.0	0.0
3678	2454.0	10300.0
3679	1830.0	2929.0
100873359	0.0	0.0
728464	30.0	107.0
728463	34.0	29.0
100128725	0.0	0.0
3690	230.0	508.0
3691	7186.0	5851.0
100873343	0.0	0.0
3692	2068.0	5778.0
3693	6507.0	26276.0
285521	669.0	1920.0
100873342	0.0	0.0
3694	4875.0	7946.0
100873341	0.0	0.0
3695	86.0	837.0
100873340	0.0	1.0
100128723	2.0	5.0
1033	26.0	403.0
1032	112.0	583.0
285525	3.0	3.0
1031	599.0	1385.0
285527	4171.0	13600.0
1030	1073.0	2795.0
728468	0.0	0.0
440288	105.0	341.0
1029	70.0	453.0
440295	207.0	435.0
1028	993.0	1208.0
1027	3101.0	16505.0
1026	1807.0	5820.0
1025	1739.0	5646.0
1024	549.0	1315.0
3685	8622.0	36048.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	337.0	4698.0
100873345	0.0	1.0
3688	21636.0	50389.0
100873344	0.0	0.0
3689	1029.0	13987.0
100873349	0.0	2.0
100873348	0.0	0.0
100873372	1.0	4.0
100873371	2.0	5.0
100873370	0.0	0.0
728498	19.0	42.0
