id	01f17467-b7de-49d4-a9d7-00108f4de1f9	27a9c6bd-6e26-4055-867c-ab7276492464
285550	803.0	2052.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	5.0	29.0
3640	4.0	7.0
3638	2480.0	2978.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1392.0	3009.0
100873313	0.0	0.0
3632	2517.0	464.0
100873312	1.0	4.0
100873311	0.0	0.0
3633	1146.0	3280.0
100873318	1.0	0.0
3635	977.0	2936.0
100873317	0.0	0.0
3636	3189.0	7116.0
100128771	31.0	62.0
100873316	3.0	10.0
100873315	0.0	0.0
100128766	1.0	2.0
3651	0.0	6.0
1	10.0	39.0
2	57875.0	31852.0
100873309	0.0	0.0
100873308	0.0	0.0
3	25.0	4.0
3641	0.0	0.0
100873303	1.0	0.0
9	135.0	149.0
3642	34.0	487.0
100873302	0.0	0.0
3643	4339.0	13327.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	10.0	1.0
100873307	0.0	0.0
3646	9942.0	37869.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	58.0	268.0
100873304	0.0	0.0
100873332	7.0	15.0
3660	1478.0	3427.0
100873331	0.0	0.0
3661	1006.0	3271.0
100873330	0.0	1.0
285577	0.0	4.0
3662	284.0	148.0
100128756	0.0	0.0
1000	35.0	108.0
3652	624.0	1373.0
100873336	0.0	1.0
100873335	0.0	0.0
100128750	182.0	66.0
3654	3005.0	8002.0
100873334	0.0	0.0
3655	6128.0	24469.0
100873333	0.0	0.0
3656	369.0	844.0
100873339	0.0	0.0
3658	2593.0	7164.0
100873338	0.0	0.0
3659	742.0	1915.0
100873337	1.0	0.0
3670	0.0	0.0
100873321	0.0	0.0
3671	6987.0	1260.0
100873320	0.0	0.0
3672	7523.0	1033.0
285588	0.0	0.0
3673	670.0	647.0
1011	0.0	0.0
1010	1.0	0.0
1008	9.0	0.0
1007	0.0	0.0
1006	12.0	33.0
1005	23.0	0.0
1004	873.0	103.0
1003	6268.0	719.0
1002	30.0	31.0
1001	368.0	5013.0
3663	247.0	291.0
100873325	0.0	0.0
3664	1288.0	18160.0
100873324	0.0	0.0
3665	381.0	355.0
100873323	0.0	1.0
100873322	0.0	0.0
3667	3404.0	928.0
100873329	0.0	0.0
285590	2178.0	2485.0
100873328	0.0	0.0
3669	214.0	1550.0
100873327	0.0	1.0
1009	2097.0	1174.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	15.0
728477	1.0	4.0
3680	3727.0	19345.0
3681	12.0	22.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	424.0	632.0
100873353	0.0	0.0
3683	366.0	433.0
100873352	1.0	0.0
128710	307.0	2039.0
3684	1088.0	256.0
100873351	1.0	0.0
285512	78.0	130.0
1022	477.0	1632.0
285513	287.0	264.0
1021	1676.0	236.0
1020	260.0	1476.0
440299	1.0	0.0
1019	1708.0	4839.0
128709	0.0	0.0
1018	7.0	48.0
1017	628.0	1881.0
1016	13.0	1.0
1015	10.0	1.0
1014	1.0	0.0
1013	6.0	35.0
1012	3038.0	510.0
116730	16.0	189.0
3674	112.0	57.0
100873358	0.0	0.0
3675	4051.0	384.0
100873357	0.0	0.0
3676	263.0	204.0
100128731	3215.0	11577.0
100873356	0.0	0.0
3678	6770.0	1083.0
3679	14869.0	18316.0
100873359	0.0	0.0
728464	116.0	9.0
728463	21.0	6.0
100128725	0.0	0.0
3690	618.0	45.0
3691	6245.0	73762.0
100873343	0.0	0.0
3692	2054.0	3282.0
3693	12288.0	13535.0
285521	698.0	1186.0
100873342	0.0	0.0
3694	360.0	22.0
100873341	0.0	0.0
3695	74.0	83.0
100873340	0.0	0.0
100128723	1.0	5.0
1033	39.0	661.0
1032	292.0	470.0
285525	0.0	21.0
1031	3853.0	1641.0
285527	3382.0	3497.0
