id	ab574ed8-1dcc-437e-9471-7caa4b7fc4a6	e9cbd268-573f-41fc-9f17-d25e1d1c9759
285550	990.0	603.0
100873310	0.0	0.0
100128777	1.0	0.0
285555	4.0	6.0
3640	0.0	2.0
3638	2944.0	1067.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2267.0	967.0
100873313	0.0	0.0
3632	1628.0	1214.0
100873312	2.0	2.0
100873311	0.0	0.0
3633	1460.0	751.0
100873318	0.0	1.0
3635	2122.0	911.0
100873317	0.0	0.0
3636	4031.0	4213.0
100128771	72.0	40.0
100873316	7.0	2.0
100873315	0.0	0.0
100128766	2.0	1.0
3651	0.0	0.0
1	11.0	16.0
2	83423.0	27652.0
100873309	0.0	0.0
100873308	0.0	0.0
3	42.0	8.0
3641	0.0	1.0
100873303	0.0	0.0
9	179.0	9113.0
3642	24.0	5.0
100873302	0.0	1.0
3643	6844.0	5135.0
100128764	1.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	18.0	52.0
100873307	0.0	0.0
3646	10653.0	11497.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	33.0	44.0
100873304	0.0	0.0
100873332	3.0	2.0
3660	2123.0	1639.0
100873331	0.0	0.0
3661	1683.0	1821.0
100873330	0.0	0.0
285577	0.0	0.0
3662	620.0	45.0
100128756	0.0	0.0
1000	15.0	436.0
3652	832.0	563.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	74.0	7.0
3654	5693.0	3423.0
100873334	0.0	0.0
3655	9247.0	6655.0
100873333	1.0	0.0
3656	867.0	112.0
100873339	0.0	0.0
3658	3873.0	2059.0
100873338	0.0	1.0
3659	1663.0	1899.0
100873337	0.0	0.0
3670	1.0	0.0
100873321	0.0	0.0
3671	15370.0	19510.0
100873320	0.0	0.0
3672	14131.0	6936.0
285588	0.0	3.0
3673	293.0	1355.0
1011	0.0	0.0
1010	6.0	3.0
1008	1.0	3.0
1007	0.0	0.0
1006	9.0	83.0
1005	0.0	0.0
1004	490.0	476.0
1003	11540.0	3387.0
1002	7.0	40.0
1001	7.0	342.0
3663	1018.0	563.0
100873325	1.0	0.0
3664	167.0	6315.0
100873324	0.0	0.0
3665	493.0	1246.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2399.0	6380.0
100873329	0.0	0.0
285590	6007.0	3400.0
100873328	0.0	0.0
3669	238.0	529.0
100873327	0.0	0.0
1009	2093.0	25223.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	1.0
728477	1.0	3.0
3680	4190.0	434.0
3681	41.0	43.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	781.0	398.0
100873353	0.0	0.0
3683	701.0	692.0
100873352	11.0	0.0
128710	423.0	756.0
3684	6061.0	710.0
100873351	0.0	0.0
285512	146.0	43.0
1022	539.0	1118.0
285513	997.0	700.0
1021	2693.0	1082.0
1020	241.0	637.0
440299	0.0	1.0
1019	2299.0	2497.0
128709	0.0	0.0
1018	20.0	12.0
1017	715.0	1258.0
1016	0.0	3.0
1015	7.0	17.0
1014	1.0	0.0
1013	2.0	20.0
1012	2783.0	2463.0
116730	26.0	48.0
3674	32.0	16.0
100873358	0.0	0.0
3675	2907.0	1442.0
100873357	0.0	0.0
3676	503.0	764.0
100128731	3745.0	5902.0
100873356	0.0	0.0
3678	11276.0	10307.0
3679	24045.0	330.0
100873359	0.0	0.0
728464	30.0	21.0
728463	16.0	11.0
100128725	0.0	0.0
3690	1195.0	159.0
3691	3945.0	2744.0
100873343	1.0	0.0
3692	2511.0	3853.0
3693	34626.0	28956.0
285521	834.0	982.0
100873342	0.0	0.0
3694	11.0	2347.0
100873341	0.0	0.0
3695	110.0	68.0
100873340	0.0	0.0
100128723	1.0	5.0
1033	68.0	466.0
1032	339.0	370.0
285525	5.0	0.0
1031	1454.0	447.0
285527	4759.0	1663.0
1030	6430.0	1228.0
728468	0.0	0.0
440288	96.0	96.0
1029	237.0	386.0
440295	45.0	96.0
1028	2750.0	506.0
1027	3395.0	1871.0
1026	4546.0	2751.0
1025	2747.0	2276.0
1024	564.0	478.0
3685	12275.0	15171.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	1428.0	798.0
100873345	0.0	0.0
3688	52487.0	29288.0
100873344	0.0	0.0
3689	9071.0	4946.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	2.0	6.0
100873370	0.0	0.0
728498	34.0	7.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	47.0	31.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	29.0	52.0
100873374	0.0	0.0
728495	3.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	3.0	26.0
1043	1027.0	445.0
1041	3.0	1.0
1040	260.0	574.0
1039	1496.0	2227.0
1038	40.0	6.0
1036	4770.0	107.0
3696	147.0	315.0
3697	5.0	0.0
100873379	0.0	0.0
3698	8.0	4.0
100873378	1.0	3.0
3699	340.0	49.0
100873377	0.0	0.0
728486	8.0	4.0
100873361	0.0	0.0
105373869	3.0	826.0
100873360	0.0	0.0
285540	120.0	69.0
100128705	2.0	2.0
100873365	2.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	0.0
100128701	3.0	3.0
1054	3690.0	1416.0
285547	0.0	0.0
1053	2.0	4.0
285548	0.0	36.0
1052	3226.0	835.0
1051	2557.0	1173.0
728489	6.0	11.0
1050	8441.0	346.0
100128707	1.0	0.0
1048	0.0	575.0
1047	7.0	157.0
1046	0.0	0.0
1045	0.0	0.0
100873369	7.0	1.0
100873368	1.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	6.0	8.0
1066	16699.0	700.0
1063	368.0	1307.0
1062	215.0	367.0
1061	1.0	0.0
1060	1291.0	982.0
440253	329.0	82.0
1059	5343.0	6023.0
1058	58.0	134.0
1057	0.0	1.0
85379	4680.0	1838.0
114112	639.0	557.0
1056	13.0	190.0
85377	1652.0	918.0
85378	2272.0	1129.0
128745	0.0	4.0
85376	32.0	21.0
440248	551.0	244.0
1075	10280.0	2668.0
1074	7.0	7.0
1073	3886.0	858.0
1072	22487.0	35805.0
1071	208.0	120.0
440243	0.0	0.0
1070	531.0	502.0
1069	1453.0	2359.0
1068	1.0	0.0
85369	2082.0	1230.0
85366	2.0	28.0
85364	869.0	972.0
85365	1254.0	1562.0
85363	1137.0	878.0
85360	1865.0	1557.0
1080	38.0	5.0
85391	0.0	3.0
403296	0.0	0.0
403297	2.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	3.0	0.0
153733	402.0	327.0
1087	0.0	21.0
1086	1.0	0.0
440279	21.0	2.0
1085	10.0	1.0
1084	42.0	8.0
440278	96.0	140.0
1082	0.0	0.0
403294	0.0	0.0
440275	5010.0	3983.0
1081	0.0	5.0
85397	5.0	13.0
85395	278.0	239.0
403285	0.0	0.0
1091	0.0	0.0
1090	3.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	1.0	0.0
