id	327a6650-be57-412e-bc3a-3aaf68d44022	883728dd-ee8e-41ff-9507-1893977ad754
285550	1296.0	618.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	12.0	21.0
3640	15.0	4.0
3638	2571.0	2125.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1924.0	3216.0
100873313	0.0	2.0
3632	1818.0	1751.0
100873312	2.0	3.0
100873311	0.0	0.0
3633	1735.0	1074.0
100873318	0.0	0.0
3635	2358.0	1773.0
100873317	0.0	0.0
3636	5750.0	12851.0
100128771	45.0	107.0
100873316	3.0	4.0
100873315	0.0	0.0
100128766	0.0	0.0
3651	0.0	1.0
1	15.0	47.0
2	87913.0	18526.0
100873309	0.0	0.0
100873308	0.0	0.0
3	32.0	2.0
3641	0.0	0.0
100873303	0.0	0.0
9	1371.0	3540.0
3642	8.0	62.0
100873302	1.0	0.0
3643	5850.0	14969.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	33.0	23.0
100873307	0.0	0.0
3646	15548.0	19197.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	101.0	35.0
100873304	0.0	0.0
100873332	3.0	3.0
3660	2408.0	3354.0
100873331	0.0	0.0
3661	2356.0	2835.0
100873330	0.0	0.0
285577	0.0	0.0
3662	421.0	110.0
100128756	0.0	0.0
1000	100.0	563.0
3652	1088.0	1052.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	210.0	123.0
3654	8547.0	13709.0
100873334	0.0	0.0
3655	10659.0	8383.0
100873333	0.0	0.0
3656	439.0	175.0
100873339	0.0	0.0
3658	4043.0	4572.0
100873338	0.0	0.0
3659	2717.0	4312.0
100873337	0.0	0.0
3670	8.0	0.0
100873321	0.0	0.0
3671	10605.0	14718.0
100873320	0.0	0.0
3672	8558.0	3521.0
285588	0.0	1.0
3673	3441.0	19623.0
1011	0.0	0.0
1010	160.0	18.0
1008	16.0	12.0
1007	0.0	0.0
1006	39.0	23.0
