id	b85e2c85-8baa-4c95-9d23-84d77c1e2c48	2de4e8e1-2f87-43ca-aba6-19720e119397
285550	2055.0	864.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	21.0	5.0
3640	15.0	7.0
3638	3111.0	6584.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2263.0	2925.0
100873313	0.0	2.0
3632	2027.0	2170.0
100873312	11.0	3.0
100873311	1.0	0.0
3633	2359.0	1106.0
100873318	0.0	0.0
3635	2776.0	1198.0
100873317	0.0	0.0
3636	4872.0	9601.0
100128771	88.0	93.0
100873316	14.0	21.0
100873315	0.0	0.0
100128766	0.0	1.0
3651	0.0	0.0
1	38.0	18.0
2	92643.0	32182.0
100873309	0.0	0.0
100873308	0.0	0.0
3	23.0	27.0
3641	0.0	1.0
100873303	0.0	0.0
9	591.0	842.0
3642	3.0	1.0
100873302	0.0	5.0
3643	10718.0	3423.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	30.0	12.0
100873307	0.0	0.0
3646	28990.0	34089.0
100873306	0.0	0.0
100873305	0.0	1.0
3647	376.0	106.0
100873304	0.0	0.0
100873332	8.0	1.0
3660	3199.0	2410.0
100873331	0.0	0.0
3661	1232.0	3160.0
100873330	0.0	0.0
285577	6.0	0.0
3662	340.0	598.0
100128756	0.0	0.0
1000	82.0	354.0
3652	1525.0	884.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	236.0	10.0
3654	3117.0	4430.0
100873334	0.0	0.0
3655	21521.0	4934.0
100873333	3.0	0.0
3656	389.0	133.0
100873339	0.0	0.0
3658	6454.0	6494.0
100873338	0.0	0.0
3659	1710.0	3054.0
100873337	0.0	0.0
3670	43.0	0.0
100873321	2.0	0.0
3671	5625.0	6150.0
100873320	0.0	0.0
3672	11924.0	4228.0
285588	0.0	3.0
3673	7506.0	1671.0
1011	0.0	0.0
1010	200.0	2.0
1008	29.0	1.0
1007	1.0	0.0
1006	115.0	15.0
1005	6.0	1.0
1004	663.0	355.0
1003	8000.0	2149.0
1002	343.0	107.0
1001	6422.0	3669.0
3663	318.0	702.0
100873325	1.0	0.0
3664	9558.0	6492.0
100873324	1.0	1.0
3665	416.0	2128.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	8313.0	2518.0
100873329	0.0	0.0
285590	3649.0	6288.0
100873328	0.0	0.0
3669	393.0	671.0
100873327	0.0	0.0
1009	1923.0	7034.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	18.0
728477	1.0	3.0
3680	2843.0	522.0
3681	14.0	23.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	910.0	1188.0
100873353	0.0	0.0
3683	790.0	1781.0
100873352	3.0	0.0
128710	1033.0	3026.0
3684	459.0	964.0
100873351	0.0	0.0
285512	275.0	247.0
1022	1240.0	1648.0
285513	1796.0	1074.0
1021	4906.0	901.0
1020	360.0	825.0
440299	1.0	0.0
1019	2611.0	5169.0
128709	0.0	0.0
1018	29.0	31.0
1017	1693.0	3315.0
1016	7.0	0.0
1015	26.0	39.0
1014	3.0	0.0
1013	6.0	31.0
1012	4515.0	874.0
116730	77.0	214.0
3674	43.0	54.0
100873358	0.0	0.0
3675	7573.0	2724.0
100873357	0.0	2.0
3676	562.0	656.0
100128731	4384.0	6969.0
100873356	0.0	0.0
3678	3417.0	7286.0
3679	11662.0	498.0
100873359	0.0	0.0
728464	36.0	29.0
728463	14.0	20.0
100128725	0.0	0.0
3690	299.0	147.0
3691	13294.0	6286.0
100873343	2.0	1.0
3692	2597.0	4638.0
3693	10683.0	7986.0
285521	1265.0	2916.0
100873342	0.0	0.0
3694	8915.0	34780.0
100873341	0.0	0.0
3695	115.0	178.0
100873340	1.0	0.0
100128723	0.0	33.0
1033	71.0	1609.0
1032	177.0	284.0
285525	3.0	1.0
1031	2418.0	576.0
285527	7255.0	4535.0
1030	5243.0	1567.0
728468	0.0	0.0
440288	167.0	171.0
1029	173.0	269.0
440295	237.0	230.0
1028	3507.0	792.0
1027	5683.0	3691.0
1026	3559.0	2982.0
1025	2789.0	3417.0
1024	945.0	2244.0
3685	14079.0	13871.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	454.0	1703.0
100873345	1.0	0.0
3688	54215.0	14894.0
100873344	0.0	0.0
3689	1596.0	6103.0
100873349	0.0	2.0
100873348	0.0	0.0
100873372	2.0	0.0
100873371	1.0	6.0
100873370	0.0	0.0
728498	62.0	9.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	32.0	35.0
100873375	0.0	0.0
100128710	1.0	1.0
285533	153.0	90.0
100873374	0.0	0.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	3.0	20.0
1043	312.0	1530.0
1041	2.0	2.0
1040	2044.0	1805.0
1039	1195.0	1624.0
1038	71.0	4.0
1036	2794.0	107.0
3696	9041.0	1031.0
3697	2.0	7.0
100873379	0.0	0.0
3698	349.0	25.0
100873378	2.0	6.0
3699	63.0	33.0
100873377	0.0	0.0
728486	3.0	11.0
100873361	0.0	1.0
105373869	1.0	692.0
100873360	3.0	1.0
285540	239.0	54.0
100128705	2.0	3.0
100873365	1.0	2.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	5.0
100873362	0.0	0.0
100128701	2.0	2.0
1054	4640.0	4742.0
285547	0.0	0.0
1053	4.0	8.0
285548	8.0	4.0
1052	2105.0	678.0
1051	3959.0	4593.0
728489	8.0	4.0
1050	4154.0	1226.0
100128707	0.0	1.0
1048	25.0	48.0
1047	350.0	1007.0
1046	0.0	0.0
1045	1.0	0.0
100873369	11.0	10.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	1.0
1066	7796.0	164.0
1063	835.0	11086.0
1062	240.0	1999.0
1061	3.0	4.0
1060	2866.0	2046.0
440253	444.0	86.0
1059	3219.0	3750.0
1058	32.0	903.0
1057	3.0	0.0
85379	15118.0	13170.0
114112	1138.0	494.0
1056	26.0	291.0
85377	3146.0	2025.0
85378	2773.0	2386.0
128745	0.0	1.0
85376	7.0	12.0
440248	1143.0	412.0
1075	3634.0	7664.0
1074	15.0	21.0
1073	5048.0	1036.0
1072	19033.0	82313.0
1071	77.0	53.0
440243	0.0	1.0
1070	1204.0	1366.0
1069	3000.0	2665.0
1068	0.0	0.0
85369	2351.0	1362.0
85366	3.0	19.0
85364	1678.0	990.0
85365	2623.0	5115.0
85363	2053.0	1500.0
85360	1082.0	448.0
1080	95.0	4.0
85391	15.0	27.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	9.0	0.0
153733	795.0	1095.0
1087	6.0	65.0
1086	0.0	0.0
440279	44.0	3.0
1085	5.0	2.0
1084	0.0	5.0
440278	150.0	96.0
1082	0.0	0.0
403294	3.0	1.0
440275	5740.0	3805.0
1081	1.0	0.0
85397	2.0	9.0
85395	233.0	506.0
403285	0.0	0.0
1091	0.0	0.0
1090	3.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	2668.0	499.0
1089	4.0	16.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	23.0	2.0
285598	1528.0	344.0
126133	758.0	2245.0
128790	0.0	0.0
126129	106.0	111.0
126123	1.0	0.0
442862	0.0	1.0
126119	299.0	764.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	2.0	0.0
442894	0.0	0.0
442895	1.0	0.0
114131	2.0	0.0
442896	1.0	0.0
114132	10.0	13.0
442897	0.0	0.0
442898	0.0	1.0
114134	752.0	431.0
442899	0.0	0.0
100128790	0.0	0.0
128760	7.0	5.0
100128788	71.0	193.0
100128787	0.0	0.0
440225	0.0	0.0
440224	4.0	11.0
442890	0.0	0.0
442891	0.0	0.0
442892	3.0	1.0
128756	0.0	0.0
100128782	233.0	270.0
100128781	1.0	4.0
403230	0.0	0.0
403231	1.0	0.0
403232	0.0	0.0
645560	3.0	1.0
403234	0.0	0.0
403235	2.0	0.0
403236	0.0	0.0
63982	250.0	2.0
102466616	0.0	0.0
126052	0.0	0.0
151009	49.0	22.0
403227	12.0	0.0
403228	0.0	0.0
138046	3.0	1.0
645558	0.0	0.0
