id	8b86fbec-ded3-4910-9a7b-c9e9d1c7a377	b98a0c48-8404-47bd-a781-22dfc6c1475a
285550	781.0	662.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	29.0	7.0
3640	45.0	12.0
3638	3374.0	1763.0
100873319	0.0	0.0
100873314	1.0	0.0
3630	0.0	0.0
3631	1725.0	1024.0
100873313	1.0	0.0
3632	1410.0	1006.0
100873312	7.0	0.0
100873311	0.0	0.0
3633	1680.0	979.0
100873318	2.0	0.0
3635	1652.0	1331.0
100873317	0.0	0.0
3636	4279.0	3398.0
100128771	102.0	146.0
100873316	17.0	1.0
100873315	0.0	0.0
100128766	2.0	3.0
3651	0.0	0.0
1	25.0	18.0
2	98984.0	46002.0
100873309	0.0	0.0
100873308	0.0	0.0
3	39.0	20.0
3641	1.0	0.0
100873303	0.0	0.0
9	468.0	12595.0
3642	4.0	1.0
100873302	0.0	0.0
3643	7693.0	6741.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	95.0	32.0
100873307	0.0	0.0
3646	22082.0	15905.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	196.0	70.0
100873304	0.0	0.0
100873332	2.0	0.0
3660	2322.0	1972.0
100873331	0.0	0.0
3661	1450.0	1630.0
100873330	0.0	0.0
285577	3.0	0.0
3662	161.0	110.0
100128756	0.0	0.0
1000	141.0	513.0
3652	1025.0	699.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	128.0	44.0
3654	3838.0	4997.0
100873334	0.0	0.0
3655	14883.0	4559.0
100873333	0.0	0.0
3656	363.0	337.0
100873339	0.0	0.0
3658	4613.0	2135.0
100873338	0.0	0.0
3659	1915.0	4216.0
100873337	1.0	0.0
3670	0.0	1.0
100873321	0.0	0.0
3671	6538.0	10998.0
100873320	0.0	0.0
3672	5104.0	3411.0
285588	0.0	0.0
3673	10534.0	5426.0
1011	0.0	0.0
1010	173.0	0.0
1008	0.0	2.0
1007	0.0	0.0
1006	47.0	36.0
1005	0.0	9.0
1004	335.0	274.0
1003	4050.0	2661.0
1002	194.0	36.0
1001	9979.0	3147.0
3663	351.0	432.0
100873325	0.0	1.0
3664	11342.0	10345.0
100873324	0.0	0.0
3665	759.0	2734.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	6256.0	2850.0
100873329	0.0	0.0
285590	9549.0	6004.0
100873328	0.0	0.0
3669	585.0	917.0
100873327	0.0	0.0
1009	5006.0	14746.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	7.0	3.0
728477	8.0	2.0
3680	4253.0	1570.0
3681	43.0	37.0
100128733	9.0	0.0
100873354	0.0	0.0
3682	453.0	455.0
100873353	0.0	0.0
3683	944.0	1152.0
100873352	0.0	0.0
128710	624.0	811.0
3684	726.0	3925.0
100873351	0.0	0.0
285512	180.0	25.0
1022	1023.0	1385.0
285513	992.0	540.0
1021	3583.0	1025.0
1020	392.0	857.0
440299	0.0	0.0
1019	2760.0	3486.0
128709	0.0	0.0
1018	26.0	4.0
1017	1674.0	1309.0
1016	0.0	0.0
1015	31.0	16.0
1014	2.0	0.0
1013	5.0	17.0
1012	1662.0	1132.0
116730	82.0	39.0
3674	30.0	19.0
100873358	0.0	0.0
3675	10602.0	10042.0
100873357	0.0	1.0
3676	890.0	507.0
100128731	3240.0	6218.0
100873356	0.0	0.0
3678	5177.0	7842.0
3679	2889.0	471.0
100873359	0.0	0.0
728464	87.0	45.0
728463	36.0	63.0
100128725	0.0	0.0
3690	325.0	160.0
3691	19862.0	12151.0
100873343	0.0	0.0
3692	3184.0	4893.0
3693	10312.0	35865.0
285521	1080.0	1042.0
100873342	0.0	0.0
