id	e91a54c8-5b35-47e6-a65d-0e3b07b31d40	999edb9e-8a45-4115-84d5-fca75dcfa639
285550	798.0	713.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	2.0	10.0
3640	9.0	3.0
3638	2856.0	2828.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1363.0	1796.0
100873313	0.0	0.0
3632	1533.0	1129.0
100873312	4.0	3.0
100873311	0.0	0.0
3633	1183.0	920.0
100873318	0.0	0.0
3635	1392.0	793.0
100873317	0.0	0.0
3636	3771.0	4389.0
100128771	49.0	49.0
100873316	4.0	0.0
100873315	0.0	0.0
100128766	2.0	0.0
3651	0.0	0.0
1	8.0	34.0
2	79344.0	41053.0
100873309	0.0	0.0
100873308	0.0	0.0
3	15.0	4.0
3641	0.0	0.0
100873303	0.0	0.0
9	192.0	2476.0
3642	1.0	18.0
100873302	0.0	0.0
3643	6145.0	6999.0
100128764	1.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	39.0	11.0
100873307	0.0	0.0
3646	13166.0	8355.0
100873306	0.0	0.0
100873305	0.0	2.0
3647	98.0	65.0
100873304	0.0	0.0
100873332	2.0	0.0
3660	1417.0	2243.0
100873331	0.0	0.0
3661	1420.0	2650.0
100873330	0.0	0.0
285577	1.0	0.0
3662	103.0	16.0
100128756	0.0	0.0
1000	29.0	1137.0
3652	799.0	912.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	132.0	13.0
3654	4665.0	4441.0
100873334	0.0	0.0
3655	11933.0	13297.0
100873333	0.0	0.0
3656	386.0	184.0
100873339	0.0	1.0
3658	3288.0	3201.0
100873338	1.0	0.0
3659	1007.0	2815.0
100873337	0.0	0.0
3670	0.0	2.0
100873321	0.0	0.0
3671	6691.0	18807.0
100873320	0.0	0.0
3672	8226.0	6303.0
285588	0.0	1.0
3673	2500.0	6716.0
1011	0.0	0.0
1010	33.0	2.0
1008	1.0	0.0
1007	0.0	0.0
1006	178.0	145.0
1005	1.0	8.0
1004	438.0	569.0
1003	7312.0	3260.0
1002	102.0	83.0
1001	3499.0	3890.0
3663	294.0	828.0
100873325	1.0	0.0
3664	5844.0	8224.0
100873324	0.0	0.0
3665	428.0	2674.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	6292.0	4144.0
100873329	0.0	0.0
285590	4742.0	6217.0
100873328	0.0	0.0
3669	409.0	948.0
100873327	0.0	0.0
1009	1504.0	25428.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	12.0
728477	4.0	5.0
3680	2396.0	634.0
3681	24.0	7.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	578.0	596.0
100873353	0.0	1.0
3683	471.0	787.0
100873352	1.0	1.0
128710	372.0	845.0
3684	820.0	823.0
100873351	0.0	0.0
285512	90.0	25.0
