id	891fa657-fa9c-46b3-b751-e337d88e08ae	7aa14420-27a6-4d42-82e0-f30878a8ab1c
285550	814.0	936.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	5.0	2.0
3640	6.0	4.0
3638	1514.0	3946.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	1.0	0.0
3631	1685.0	2376.0
100873313	0.0	0.0
3632	1429.0	4261.0
100873312	4.0	2.0
100873311	0.0	0.0
3633	1364.0	1426.0
100873318	0.0	0.0
3635	2063.0	1018.0
100873317	0.0	0.0
3636	4834.0	11258.0
100128771	91.0	41.0
100873316	11.0	1.0
100873315	0.0	0.0
100128766	0.0	0.0
3651	0.0	0.0
1	31.0	45.0
2	56633.0	27225.0
100873309	0.0	0.0
100873308	0.0	0.0
3	28.0	3.0
3641	2.0	0.0
100873303	0.0	0.0
9	724.0	12993.0
3642	0.0	33.0
100873302	0.0	0.0
3643	8372.0	7543.0
100128764	0.0	0.0
100873301	3.0	0.0
100873300	0.0	0.0
3645	21.0	25.0
100873307	0.0	0.0
3646	18449.0	14089.0
100873306	0.0	0.0
100873305	1.0	0.0
3647	159.0	66.0
100873304	0.0	0.0
100873332	7.0	1.0
3660	1948.0	2060.0
100873331	0.0	0.0
3661	2035.0	3749.0
100873330	0.0	0.0
285577	1.0	0.0
3662	481.0	42.0
100128756	0.0	0.0
1000	23.0	448.0
3652	814.0	1191.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	118.0	23.0
3654	4307.0	6432.0
100873334	0.0	0.0
3655	12582.0	10204.0
100873333	0.0	1.0
3656	350.0	210.0
100873339	0.0	0.0
3658	3274.0	2303.0
100873338	0.0	0.0
3659	1945.0	3923.0
100873337	0.0	0.0
3670	0.0	11.0
100873321	0.0	0.0
3671	4461.0	10465.0
100873320	0.0	0.0
3672	5159.0	5090.0
285588	0.0	2.0
3673	4280.0	3410.0
1011	0.0	0.0
1010	115.0	0.0
1008	0.0	0.0
1007	0.0	0.0
1006	248.0	60.0
1005	4.0	15.0
1004	300.0	697.0
1003	5118.0	3357.0
1002	159.0	22.0
1001	5057.0	4781.0
3663	355.0	959.0
100873325	0.0	0.0
3664	9424.0	18375.0
100873324	0.0	0.0
3665	702.0	2833.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	5806.0	3157.0
100873329	0.0	0.0
285590	4189.0	8311.0
100873328	0.0	0.0
3669	573.0	823.0
100873327	0.0	0.0
1009	1351.0	11484.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	3.0	1.0
728477	6.0	10.0
3680	2243.0	716.0
3681	30.0	29.0
100128733	0.0	0.0
100873354	4.0	0.0
3682	487.0	513.0
100873353	0.0	0.0
3683	780.0	576.0
100873352	0.0	0.0
128710	666.0	1520.0
3684	652.0	1259.0
100873351	0.0	0.0
285512	122.0	24.0
1022	924.0	2435.0
285513	722.0	605.0
1021	2111.0	2458.0
1020	398.0	1612.0
440299	0.0	0.0
1019	2459.0	4406.0
128709	0.0	0.0
1018	29.0	29.0
1017	1525.0	2619.0
1016	0.0	0.0
1015	23.0	9.0
1014	0.0	0.0
1013	3.0	17.0
1012	2328.0	1351.0
116730	52.0	54.0
3674	12.0	25.0
100873358	0.0	0.0
3675	7427.0	5537.0
100873357	1.0	2.0
3676	410.0	648.0
100128731	3567.0	8492.0
100873356	0.0	0.0
3678	4826.0	10589.0
3679	7369.0	346.0
100873359	0.0	0.0
728464	29.0	23.0
728463	90.0	50.0
100128725	0.0	0.0
3690	248.0	108.0
3691	13413.0	14877.0
100873343	0.0	1.0
3692	3177.0	5779.0
3693	10748.0	33848.0
285521	606.0	2343.0
100873342	0.0	0.0
3694	5715.0	8524.0
100873341	0.0	0.0
3695	26.0	61.0
100873340	0.0	0.0
100128723	3.0	12.0
1033	87.0	658.0
1032	214.0	978.0
285525	3.0	0.0
1031	1243.0	639.0
285527	4257.0	4063.0
1030	1495.0	2964.0
728468	0.0	0.0
440288	133.0	76.0
1029	132.0	377.0
440295	135.0	152.0
1028	2063.0	428.0
1027	3239.0	6547.0
1026	10906.0	15291.0
1025	2699.0	4778.0
1024	570.0	988.0
3685	5871.0	9705.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	919.0	823.0
100873345	1.0	1.0
3688	28765.0	32491.0
100873344	0.0	0.0
3689	3531.0	4660.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	2.0	0.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	24.0	1.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	1.0	0.0
728492	51.0	85.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	118.0	47.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	3.0	16.0
1043	621.0	294.0
1041	1.0	170.0
1040	1652.0	2332.0
1039	1752.0	2844.0
1038	4.0	6.0
1036	1095.0	30.0
3696	3140.0	852.0
3697	6.0	0.0
100873379	0.0	0.0
3698	34.0	8.0
100873378	12.0	3.0
3699	43.0	41.0
100873377	0.0	0.0
728486	5.0	8.0
100873361	0.0	1.0
105373869	0.0	580.0
100873360	0.0	0.0
285540	157.0	118.0
100128705	7.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	0.0
100128701	0.0	5.0
1054	2708.0	2804.0
285547	0.0	0.0
1053	5.0	5.0
285548	0.0	39.0
1052	2767.0	1412.0
1051	3819.0	3302.0
728489	7.0	25.0
1050	3202.0	641.0
100128707	0.0	0.0
1048	41.0	195.0
1047	125.0	823.0
1046	0.0	0.0
1045	0.0	0.0
100873369	4.0	4.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	5.0	1.0
1066	5770.0	1453.0
1063	875.0	7297.0
1062	210.0	818.0
1061	0.0	3.0
1060	1413.0	1496.0
440253	245.0	103.0
1059	4237.0	7258.0
1058	106.0	323.0
1057	0.0	0.0
85379	9936.0	4451.0
114112	549.0	646.0
1056	18.0	32.0
85377	3320.0	1189.0
85378	3522.0	1377.0
128745	0.0	0.0
85376	0.0	27.0
440248	498.0	141.0
1075	2848.0	2201.0
1074	22.0	40.0
1073	1869.0	895.0
1072	20163.0	68821.0
1071	354.0	87.0
440243	0.0	0.0
1070	785.0	1117.0
1069	2086.0	5559.0
1068	0.0	0.0
85369	1885.0	2547.0
85366	0.0	21.0
85364	1331.0	1538.0
85365	2016.0	2392.0
85363	1280.0	1854.0
85360	970.0	1548.0
1080	37.0	9.0
85391	4.0	0.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	3.0	0.0
153733	351.0	938.0
1087	38.0	8.0
1086	0.0	0.0
440279	13.0	0.0
1085	12.0	1.0
1084	8.0	0.0
440278	157.0	107.0
1082	0.0	0.0
403294	0.0	0.0
440275	4096.0	3697.0
1081	5.0	129.0
85397	5.0	20.0
85395	420.0	538.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	3.0
440270	1260.0	126.0
1089	21.0	3.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	27.0	0.0
285598	727.0	385.0
126133	1172.0	1976.0
128790	0.0	0.0
126129	101.0	196.0
126123	2.0	0.0
442862	0.0	0.0
126119	387.0	1275.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	27.0	5.0
442897	0.0	0.0
442898	4.0	0.0
114134	525.0	639.0
442899	0.0	0.0
100128790	0.0	0.0
128760	6.0	2.0
100128788	104.0	47.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	129.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	1.0
128756	0.0	0.0
100128782	255.0	173.0
100128781	0.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	2.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	141.0	0.0
102466616	0.0	0.0
126052	0.0	0.0
151009	30.0	22.0
403227	0.0	0.0
403228	0.0	0.0
138046	5.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	3.0
645572	0.0	0.0
645571	4.0	0.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	684.0	401.0
107131122	0.0	0.0
138050	7148.0	3605.0
403219	0.0	0.0
151011	4206.0	2047.0
645587	4.0	0.0
165679	1335.0	4649.0
126037	34.0	95.0
114049	2563.0	5534.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	1.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	493.0	449.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1631.0	2528.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	165.0	197.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	91.0	11.0
645598	0.0	0.0
163007	14.0	12.0
114038	0.0	0.0
645591	0.0	1.0
106481495	2.0	0.0
114041	145.0	255.0
106481496	0.0	0.0
114042	0.0	1.0
106481493	0.0	0.0
114043	14.0	40.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	255.0	98.0
126017	420.0	832.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	1.0
85301	2332.0	886.0
106481491	0.0	2.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1212.0	3208.0
106481459	0.0	0.0
26994	5878.0	7455.0
106481457	11.0	6.0
26995	1856.0	2498.0
106481458	0.0	0.0
403271	0.0	0.0
26998	6.0	1.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1024.0	3450.0
403273	0.0	0.0
102466658	1.0	1.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1862.0	2456.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	1723.0	3.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	2128.0	329.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	933.0	795.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	0.0	2.0
106481437	0.0	0.0
26974	200.0	462.0
153657	34.0	27.0
106481438	0.0	19.0
106481435	0.0	0.0
26973	1532.0	766.0
165631	115.0	50.0
106481436	0.0	0.0
26978	4.0	18.0
126075	723.0	1811.0
106481439	0.0	0.0
403250	0.0	0.0
126074	187.0	315.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1219.0	1567.0
106481444	1.0	3.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	4219.0	1095.0
85354	0.0	0.0
85352	23.0	202.0
403241	0.0	0.0
344462	1.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	364.0	682.0
153643	5.0	46.0
403247	0.0	0.0
403248	0.0	0.0
26985	3112.0	5925.0
106481448	0.0	0.0
26986	70512.0	82387.0
126069	100.0	75.0
106481449	0.0	0.0
126068	674.0	268.0
106481446	0.0	0.0
26983	0.0	1.0
26984	604.0	1227.0
106481447	0.0	0.0
106481451	10.0	3.0
106481452	0.0	0.0
106481450	0.0	2.0
114088	104.0	52.0
106481455	0.0	1.0
85349	120.0	28.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	3.0	2.0
106481454	0.0	0.0
403238	0.0	0.0
85344	1.0	8.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	13.0	7.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	1.0
100873392	0.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	1.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	3.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2091.0	4082.0
100873390	0.0	0.0
728556	26.0	85.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	107.0	85.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	1.0
163081	456.0	373.0
106481423	0.0	0.0
106481420	0.0	1.0
106481421	0.0	0.0
100873399	2.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	5.0	4.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	148.0	225.0
100873384	0.0	0.0
285601	9.0	8.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	0.0	2.0
63910	196.0	277.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	482.0	571.0
222008	12.0	28.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	2618.0	2900.0
63904	0.0	0.0
106481430	0.0	1.0
163071	45.0	52.0
63906	617.0	742.0
106481433	0.0	0.0
63908	750.0	828.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	3.0
285613	39.0	43.0
63920	234.0	457.0
63923	1050.0	263.0
63922	419.0	1053.0
728577	99.0	3.0
63925	1491.0	1861.0
63924	11291.0	0.0
63916	2077.0	4340.0
63917	2560.0	4286.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	1.0
728564	0.0	7.0
285622	0.0	2.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1257.0	1559.0
106481402	1.0	0.0
63931	1350.0	972.0
106481403	0.0	2.0
63934	515.0	318.0
728567	1.0	4.0
106481408	0.0	0.0
163088	6.0	6.0
63933	1541.0	3160.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2662.0	2683.0
163087	625.0	439.0
728568	263.0	360.0
106481407	4.0	3.0
3704	1387.0	2475.0
3705	3776.0	4123.0
63926	744.0	1460.0
3706	0.0	77.0
63929	882.0	870.0
3707	4060.0	6263.0
63928	2.0	1.0
3708	9299.0	6093.0
106481411	0.0	0.0
3709	6384.0	8520.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	38.0	16.0
3702	202.0	50.0
3703	7399.0	11795.0
645506	0.0	0.0
151050	903.0	469.0
645520	0.0	0.0
63941	929.0	1350.0
63940	794.0	676.0
63943	249.0	782.0
728517	0.0	0.0
163033	376.0	815.0
258010	1133.0	1440.0
63947	0.0	0.0
63946	3.0	54.0
728513	2.0	8.0
100033803	0.0	0.0
3716	13838.0	15239.0
100033804	0.0	0.0
3717	1148.0	1030.0
100033805	0.0	0.0
3718	438.0	360.0
63939	584.0	679.0
100033806	0.0	0.0
100190799	7.0	0.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	66.0	63.0
3710	3588.0	6119.0
3712	4445.0	2746.0
3713	2.0	1.0
3714	3044.0	2445.0
63950	1.0	1.0
728505	0.0	0.0
63951	36.0	19.0
100033807	0.0	0.0
728501	23.0	58.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	12264.0	13954.0
100033814	0.0	0.0
3727	14784.0	13724.0
63948	0.0	1.0
100033815	0.0	0.0
222052	1.0	0.0
3728	15609.0	21088.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1678.0	3513.0
151056	296.0	126.0
3725	24853.0	7065.0
645528	11.0	1.0
728532	9.0	25.0
163059	293.0	220.0
728538	0.0	0.0
728537	195.0	79.0
63967	66.0	306.0
3737	62.0	0.0
3738	47.0	21.0
3739	24.0	2.0
645538	0.0	1.0
3730	830.0	2420.0
3732	4378.0	4658.0
3734	0.0	0.0
3735	5581.0	6404.0
3736	32.0	1.0
63970	288.0	18.0
3750	162.0	137.0
63971	5006.0	4748.0
63974	0.0	0.0
163049	1857.0	2533.0
63973	35.0	2.0
63976	119.0	63.0
222068	3915.0	7382.0
63978	0.0	1.0
63977	719.0	860.0
63979	742.0	856.0
728524	0.0	0.0
3748	566.0	429.0
163051	6.0	56.0
3749	2243.0	594.0
163050	68.0	128.0
3741	21.0	19.0
645548	5.0	27.0
3743	2.0	5.0
3744	0.0	0.0
3745	1159.0	68.0
3746	21.0	8.0
3747	2.0	0.0
285671	597.0	346.0
285672	1254.0	1928.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	6.0	453.0
285676	120.0	31.0
3761	0.0	0.0
100128657	0.0	0.0
285679	2.0	0.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	427.0	326.0
283008	4.0	4.0
3751	157.0	403.0
100873435	0.0	0.0
3752	2076.0	839.0
100873434	0.0	0.0
3753	73.0	4.0
100873433	0.0	0.0
3754	60.0	705.0
100873432	0.0	0.0
3755	25.0	82.0
100873439	0.0	0.0
3756	6.0	116.0
100873438	0.0	0.0
3757	36.0	222.0
100873437	0.0	0.0
3758	7.0	1.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	107.0	218.0
3772	104.0	165.0
100861458	0.0	0.0
100861453	9.0	16.0
100861455	0.0	0.0
1107	10151.0	9957.0
1106	7187.0	6821.0
1105	4214.0	3332.0
1104	1764.0	3739.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1298.0	857.0
1101	819.0	560.0
3762	493.0	608.0
100873424	0.0	0.0
3763	18.0	50.0
100128640	160.0	36.0
100873423	0.0	0.0
3764	1309.0	1184.0
100873422	0.0	0.0
3765	0.0	4.0
100873421	0.0	1.0
3766	16.0	16.0
100873428	0.0	0.0
3767	479.0	1682.0
100873427	0.0	0.0
3768	101.0	176.0
1109	0.0	0.0
100873426	4.0	14.0
1108	11662.0	31225.0
3769	18.0	4.0
100873425	0.0	3.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	2.0	15.0
100873453	0.0	0.0
3781	21.0	69.0
100873452	0.0	1.0
3782	176.0	156.0
100873451	0.0	0.0
3783	1937.0	308.0
100873450	0.0	0.0
1121	1313.0	1126.0
100861468	0.0	0.0
1120	199.0	93.0
100861469	0.0	1.0
1118	755.0	505.0
1117	962.0	1240.0
1116	6710.0	1530.0
1114	0.0	2.0
1113	6.0	3.0
1112	5976.0	2322.0
1111	320.0	540.0
3773	120.0	4.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	466.0	587.0
100873455	0.0	0.0
3776	1230.0	100.0
100873454	0.0	0.0
3777	605.0	733.0
3778	4365.0	853.0
3779	2675.0	237.0
100873459	0.0	0.0
1119	1812.0	2257.0
100128627	1.0	1.0
100128626	0.0	0.0
3790	806.0	6240.0
100128628	4.0	6.0
3791	3186.0	1944.0
100873442	0.0	0.0
3792	188.0	12.0
100873441	0.0	1.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	4.0	10.0
1131	99.0	39.0
1130	3250.0	1139.0
100861476	9.0	0.0
1129	9.0	0.0
1128	327.0	16.0
1124	162.0	1032.0
1123	563.0	1667.0
1122	1036.0	2126.0
100861470	0.0	0.0
3784	642.0	929.0
100873446	0.0	0.0
3785	2.0	1.0
100873445	0.0	0.0
3786	260.0	472.0
100873444	0.0	0.0
3787	546.0	17.0
100873443	0.0	0.0
3788	17.0	12.0
100873449	4.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	112.0	38.0
100128618	0.0	0.0
728597	3.0	0.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	87.0	37.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	3.0	3.0
285634	2.0	2.0
1142	0.0	0.0
1141	173.0	7.0
285636	1897.0	2248.0
1140	439.0	584.0
728599	7.0	1.0
1139	25.0	7.0
1138	26.0	38.0
1137	0.0	26.0
100861485	0.0	0.0
1136	9.0	13.0
1135	23.0	0.0
1134	5.0	181.0
1133	20.0	5.0
3795	320.0	425.0
100873479	2.0	0.0
3796	1293.0	2212.0
100873478	0.0	0.0
3797	1024.0	2334.0
100873477	4.0	0.0
3798	169.0	56.0
100873476	0.0	0.0
3799	12736.0	18012.0
100873460	0.0	0.0
728586	36.0	29.0
285641	0.0	0.0
100873464	0.0	5.0
100873463	0.0	0.0
100873462	13.0	0.0
285643	0.0	6.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	767.0	1533.0
1153	14179.0	8346.0
1152	2184.0	678.0
285647	27.0	34.0
728589	37.0	10.0
728588	15.0	1.0
1149	3963.0	2.0
1147	1350.0	2526.0
1146	0.0	0.0
1145	41.0	30.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	255.0	1929.0
1163	715.0	3111.0
285659	0.0	0.0
1161	339.0	518.0
1160	96.0	35.0
1159	116.0	0.0
1158	0.0	3.0
1157	0.0	0.0
1155	1426.0	4820.0
