id	5d4c3e4c-0f1b-4e23-af3a-7644cab6c70f	2d71fd22-4dd1-4954-87cf-a7c5879b8bec
285550	1667.0	1088.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	20.0	22.0
3640	31.0	8.0
3638	5569.0	16474.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1978.0	1522.0
100873313	4.0	0.0
3632	1705.0	1282.0
100873312	7.0	5.0
100873311	0.0	0.0
3633	1972.0	1505.0
100873318	0.0	0.0
3635	3223.0	1545.0
100873317	0.0	0.0
3636	4829.0	8061.0
100128771	134.0	116.0
100873316	7.0	16.0
100873315	0.0	0.0
100128766	3.0	2.0
3651	0.0	0.0
1	26.0	30.0
2	70460.0	52844.0
100873309	0.0	0.0
100873308	0.0	0.0
3	40.0	18.0
3641	0.0	0.0
100873303	0.0	0.0
9	1039.0	9123.0
3642	6.0	229.0
100873302	0.0	1.0
3643	10933.0	21766.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	111.0	47.0
100873307	0.0	0.0
3646	33620.0	15971.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	372.0	114.0
100873304	0.0	0.0
100873332	5.0	3.0
3660	2751.0	2664.0
100873331	0.0	0.0
3661	1891.0	2664.0
100873330	0.0	0.0
285577	2.0	1.0
3662	661.0	285.0
100128756	0.0	0.0
1000	31.0	33.0
3652	1183.0	1150.0
100873336	0.0	0.0
100873335	1.0	0.0
100128750	78.0	67.0
3654	5132.0	4387.0
100873334	0.0	0.0
3655	23885.0	8553.0
100873333	0.0	0.0
3656	410.0	246.0
100873339	0.0	0.0
3658	5255.0	4089.0
100873338	1.0	6.0
3659	3636.0	2222.0
100873337	0.0	0.0
3670	9.0	18.0
100873321	0.0	0.0
3671	5959.0	4869.0
100873320	0.0	0.0
3672	5626.0	3354.0
285588	1.0	0.0
3673	7233.0	4343.0
1011	0.0	0.0
1010	225.0	35.0
1008	5.0	0.0
1007	0.0	0.0
1006	83.0	65.0
1005	46.0	62.0
1004	396.0	475.0
1003	4058.0	3149.0
1002	200.0	58.0
1001	7827.0	3960.0
3663	304.0	335.0
100873325	0.0	0.0
3664	11650.0	20394.0
100873324	0.0	0.0
3665	494.0	1768.0
100873323	0.0	0.0
