id	c1a570df-7a5f-44a1-9569-8a7eecb651d0	6c6c01b5-ee5b-4ef0-a44f-2b982033fe4c
285550	3296.0	1515.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	20.0	31.0
3640	4.0	4.0
3638	3329.0	5127.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1267.0	1147.0
100873313	0.0	0.0
3632	2159.0	1298.0
100873312	0.0	0.0
100873311	0.0	0.0
3633	1457.0	692.0
100873318	0.0	0.0
3635	547.0	521.0
100873317	0.0	0.0
3636	1429.0	3016.0
100128771	86.0	66.0
100873316	0.0	0.0
100873315	0.0	0.0
100128766	1.0	1.0
3651	0.0	0.0
1	10.0	18.0
2	61061.0	17448.0
100873309	0.0	0.0
100873308	0.0	0.0
3	46.0	2.0
3641	0.0	1.0
100873303	0.0	0.0
9	2220.0	11622.0
3642	5.0	4.0
100873302	0.0	0.0
3643	5273.0	4775.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	1.0	3.0
100873307	0.0	0.0
3646	45431.0	42185.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	208.0	37.0
100873304	0.0	0.0
100873332	0.0	1.0
3660	3941.0	2813.0
100873331	0.0	0.0
3661	645.0	1473.0
100873330	0.0	0.0
285577	0.0	1.0
3662	186.0	66.0
100128756	0.0	1.0
1000	50.0	68.0
3652	708.0	1657.0
100873336	1.0	1.0
100873335	0.0	1.0
100128750	143.0	14.0
3654	1366.0	5415.0
100873334	0.0	0.0
3655	13212.0	2148.0
100873333	0.0	0.0
3656	314.0	374.0
100873339	0.0	0.0
3658	4753.0	3672.0
100873338	1.0	0.0
3659	1178.0	2193.0
100873337	0.0	0.0
3670	9.0	4.0
100873321	3.0	0.0
3671	7009.0	3607.0
100873320	0.0	0.0
3672	4826.0	1131.0
285588	0.0	0.0
3673	4434.0	3196.0
1011	0.0	0.0
1010	214.0	4.0
1008	11.0	3.0
1007	0.0	0.0
1006	196.0	14.0
1005	8.0	20.0
1004	412.0	207.0
1003	4688.0	1759.0
1002	58.0	13.0
1001	2967.0	404.0
3663	311.0	713.0
100873325	0.0	0.0
3664	11485.0	5295.0
100873324	0.0	0.0
3665	251.0	3236.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	7414.0	2440.0
100873329	0.0	0.0
285590	3137.0	2381.0
100873328	0.0	0.0
3669	220.0	648.0
100873327	0.0	0.0
1009	1568.0	3476.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	1.0
728477	0.0	2.0
3680	1202.0	397.0
3681	11.0	3.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	897.0	394.0
100873353	0.0	0.0
3683	473.0	3121.0
100873352	0.0	0.0
128710	777.0	1442.0
3684	299.0	464.0
100873351	0.0	0.0
285512	137.0	24.0
1022	1593.0	1186.0
285513	1141.0	470.0
1021	2070.0	236.0
1020	218.0	1303.0
440299	0.0	0.0
1019	1762.0	3434.0
128709	0.0	1.0
1018	1.0	5.0
1017	1634.0	2596.0
1016	3.0	0.0
1015	14.0	6.0
1014	0.0	0.0
1013	3.0	26.0
1012	4868.0	491.0
116730	116.0	67.0
3674	19.0	14.0
100873358	0.0	0.0
3675	2672.0	5376.0
100873357	0.0	0.0
3676	77.0	364.0
100128731	8841.0	11013.0
100873356	0.0	0.0
3678	2108.0	2845.0
3679	1660.0	154.0
100873359	0.0	0.0
728464	17.0	7.0
728463	55.0	0.0
100128725	0.0	0.0
3690	201.0	63.0
3691	5682.0	4060.0
100873343	0.0	0.0
3692	2141.0	7842.0
3693	5477.0	7997.0
285521	1212.0	1925.0
100873342	0.0	0.0
3694	11019.0	1084.0
100873341	0.0	0.0
3695	39.0	184.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	126.0	303.0
1032	98.0	473.0
285525	6.0	2.0
1031	1778.0	633.0
285527	3856.0	3651.0
1030	1480.0	511.0
728468	0.0	0.0
440288	106.0	182.0
1029	167.0	124.0
440295	229.0	61.0
1028	4427.0	425.0
1027	10278.0	7737.0
