id	c4261805-d89d-4cf0-8dd6-24a8f504a9ed	c443bbe4-b053-47fa-a7a9-97457e44e2a0
285550	1331.0	872.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	24.0	3.0
3640	34.0	5.0
3638	1427.0	1983.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1554.0	1650.0
100873313	0.0	0.0
3632	1513.0	1054.0
100873312	1.0	1.0
100873311	0.0	0.0
3633	1893.0	1036.0
100873318	0.0	0.0
3635	2051.0	1676.0
100873317	0.0	0.0
3636	5148.0	7974.0
100128771	119.0	114.0
100873316	12.0	7.0
100873315	0.0	0.0
100128766	0.0	0.0
3651	0.0	1.0
1	23.0	34.0
2	80318.0	52777.0
100873309	0.0	0.0
100873308	0.0	0.0
3	10.0	7.0
3641	0.0	0.0
100873303	0.0	0.0
9	617.0	41537.0
3642	1.0	0.0
100873302	0.0	1.0
3643	8953.0	10318.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	96.0	16.0
100873307	0.0	0.0
3646	29300.0	16514.0
100873306	0.0	0.0
100873305	0.0	1.0
3647	251.0	57.0
100873304	0.0	0.0
100873332	2.0	4.0
3660	3145.0	2376.0
100873331	0.0	0.0
3661	1593.0	2455.0
100873330	0.0	0.0
285577	10.0	0.0
3662	218.0	285.0
100128756	0.0	0.0
1000	76.0	197.0
3652	1089.0	1190.0
100873336	2.0	2.0
100873335	0.0	0.0
100128750	100.0	45.0
3654	5177.0	7519.0
100873334	0.0	0.0
3655	21604.0	11166.0
100873333	1.0	0.0
3656	491.0	270.0
100873339	0.0	0.0
3658	4172.0	4102.0
100873338	0.0	0.0
3659	2209.0	4388.0
100873337	0.0	0.0
3670	40.0	9.0
100873321	0.0	0.0
3671	10802.0	12751.0
100873320	0.0	0.0
3672	4598.0	5033.0
285588	0.0	1.0
3673	8806.0	6592.0
1011	0.0	0.0
1010	293.0	6.0
1008	8.0	1.0
1007	0.0	0.0
1006	573.0	110.0
1005	4.0	924.0
1004	347.0	468.0
1003	4109.0	4402.0
1002	253.0	14.0
1001	8723.0	2107.0
3663	382.0	766.0
100873325	0.0	0.0
3664	12026.0	22238.0
100873324	0.0	0.0
3665	542.0	1529.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	7791.0	6966.0
100873329	0.0	0.0
285590	10126.0	7920.0
100873328	0.0	0.0
3669	768.0	274.0
100873327	0.0	0.0
1009	4533.0	10354.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	0.0
728477	14.0	8.0
3680	4170.0	1446.0
3681	12.0	28.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	520.0	724.0
100873353	0.0	0.0
3683	614.0	1007.0
100873352	0.0	0.0
128710	717.0	972.0
3684	541.0	777.0
100873351	0.0	0.0
285512	55.0	36.0
1022	1418.0	2086.0
285513	1133.0	1287.0
1021	3339.0	1561.0
1020	476.0	794.0
440299	2.0	1.0
1019	3382.0	4093.0
128709	1.0	0.0
1018	25.0	9.0
1017	1602.0	1568.0
1016	8.0	11.0
1015	55.0	23.0
1014	4.0	0.0
1013	4.0	24.0
1012	3506.0	1050.0
116730	80.0	32.0
3674	28.0	23.0
100873358	0.0	0.0
3675	12398.0	4077.0
100873357	0.0	0.0
3676	637.0	944.0
100128731	3842.0	6834.0
100873356	0.0	0.0
3678	3758.0	8306.0
3679	1313.0	936.0
100873359	0.0	0.0
728464	75.0	48.0
728463	46.0	174.0
100128725	0.0	0.0
3690	261.0	623.0
3691	19072.0	7474.0
100873343	0.0	0.0
3692	4002.0	5190.0
3693	11177.0	21138.0
285521	1050.0	744.0
100873342	0.0	0.0
3694	11039.0	5930.0
100873341	0.0	0.0
3695	69.0	124.0
100873340	0.0	0.0
100128723	1.0	2.0
1033	82.0	194.0
1032	261.0	446.0
285525	1.0	1.0
1031	730.0	843.0
285527	5091.0	3991.0
1030	242.0	2214.0
728468	0.0	0.0
440288	151.0	101.0
1029	88.0	390.0
440295	123.0	69.0
1028	2113.0	1162.0
1027	3989.0	4393.0
1026	6394.0	3173.0
1025	2838.0	2945.0
1024	585.0	477.0
3685	7442.0	14467.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	404.0	679.0
100873345	0.0	0.0
3688	28068.0	29763.0
100873344	1.0	0.0
3689	1757.0	3031.0
100873349	0.0	2.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	12.0	7.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	1.0
728492	29.0	51.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	92.0	47.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	36.0	17.0
1043	522.0	818.0
1041	6.0	4.0
1040	2421.0	3292.0
1039	1612.0	2260.0
1038	4.0	0.0
1036	712.0	247.0
3696	4107.0	3667.0
3697	0.0	0.0
100873379	0.0	0.0
3698	65.0	10.0
100873378	0.0	1.0
3699	79.0	42.0
100873377	0.0	0.0
728486	7.0	3.0
100873361	0.0	0.0
105373869	6.0	301.0
100873360	0.0	0.0
285540	148.0	68.0
100128705	5.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	3.0
100873362	0.0	0.0
100128701	3.0	3.0
1054	2759.0	3118.0
285547	0.0	0.0
1053	3.0	7.0
285548	0.0	0.0
1052	1875.0	2181.0
1051	3376.0	1602.0
728489	5.0	4.0
1050	650.0	740.0
100128707	0.0	0.0
1048	66.0	37.0
1047	65.0	424.0
1046	0.0	0.0
1045	0.0	0.0
100873369	4.0	3.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	0.0
1066	1674.0	362.0
1063	904.0	3306.0
1062	248.0	282.0
1061	13.0	1.0
1060	2213.0	1034.0
440253	133.0	76.0
1059	4271.0	6419.0
1058	72.0	112.0
1057	4.0	0.0
85379	15048.0	5364.0
114112	991.0	842.0
1056	46.0	13.0
85377	3965.0	1454.0
85378	2512.0	1231.0
128745	1.0	0.0
85376	10.0	27.0
440248	795.0	168.0
1075	3013.0	3460.0
1074	13.0	9.0
1073	1651.0	806.0
1072	22622.0	44568.0
1071	51.0	82.0
440243	0.0	0.0
1070	948.0	1155.0
1069	2769.0	5950.0
1068	0.0	0.0
85369	2271.0	1440.0
85366	2.0	10.0
85364	1691.0	1332.0
85365	2449.0	2646.0
85363	1712.0	915.0
85360	953.0	1014.0
1080	66.0	30.0
85391	0.0	10.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	1.0
153733	717.0	684.0
1087	9.0	14.0
1086	0.0	0.0
440279	21.0	2.0
1085	3.0	4.0
1084	3.0	2.0
440278	144.0	216.0
1082	0.0	0.0
403294	0.0	0.0
440275	4734.0	3754.0
1081	2.0	2.0
85397	10.0	9.0
85395	468.0	474.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	2.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	1086.0	411.0
1089	11.0	6.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	15.0	2.0
285598	1275.0	663.0
126133	1287.0	4140.0
128790	0.0	0.0
126129	181.0	170.0
126123	0.0	0.0
442862	0.0	0.0
126119	290.0	1168.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	1.0	0.0
442895	0.0	2.0
114131	0.0	0.0
442896	0.0	0.0
114132	14.0	16.0
442897	0.0	0.0
442898	2.0	0.0
114134	337.0	1504.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	1.0
100128788	94.0	93.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	89.0
442890	0.0	0.0
442891	1.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	253.0	152.0
100128781	0.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	0.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	48.0	17.0
102466616	0.0	0.0
126052	1.0	0.0
151009	63.0	16.0
403227	1.0	5.0
403228	0.0	0.0
138046	1.0	72.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	1.0
645572	0.0	0.0
645571	7.0	14.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1278.0	2219.0
107131122	0.0	0.0
138050	7747.0	8629.0
403219	0.0	0.0
151011	5660.0	3789.0
645587	0.0	4.0
165679	528.0	44.0
126037	74.0	117.0
114049	2759.0	4912.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	718.0	771.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2396.0	1543.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	347.0	157.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	161.0	3.0
645598	1.0	0.0
163007	0.0	0.0
114038	1.0	0.0
645591	1.0	0.0
106481495	0.0	0.0
114041	313.0	26.0
106481496	1.0	0.0
114042	10.0	0.0
106481493	0.0	0.0
114043	2.0	3.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	311.0	139.0
126017	778.0	763.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	0.0
85301	3035.0	496.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	733.0	5191.0
106481459	0.0	0.0
26994	4999.0	7579.0
106481457	5.0	9.0
26995	2229.0	2053.0
106481458	0.0	0.0
403271	0.0	0.0
26998	35.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1216.0	3220.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	3.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2690.0	2027.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	1.0
106481471	0.0	1.0
85329	90.0	72.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	502.0	5422.0
106481470	3.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	836.0	1060.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	4.0
106481437	0.0	0.0
26974	418.0	557.0
153657	50.0	84.0
106481438	0.0	77.0
106481435	0.0	0.0
26973	1405.0	1418.0
165631	51.0	54.0
106481436	0.0	0.0
26978	19.0	8.0
126075	626.0	1081.0
106481439	0.0	0.0
403250	0.0	0.0
126074	219.0	324.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1228.0	1730.0
106481444	6.0	3.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1907.0	1594.0
85354	0.0	0.0
85352	73.0	112.0
403241	1.0	1.0
344462	3.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	431.0	449.0
153643	50.0	29.0
403247	0.0	0.0
403248	0.0	0.0
26985	3925.0	4277.0
106481448	0.0	0.0
26986	99852.0	72811.0
126069	136.0	208.0
106481449	0.0	0.0
126068	725.0	953.0
106481446	0.0	0.0
26983	0.0	0.0
26984	971.0	1111.0
106481447	0.0	0.0
106481451	3.0	1.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	862.0	264.0
106481455	0.0	0.0
85349	196.0	41.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	2.0
85347	0.0	0.0
26980	9.0	4.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	3.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	11.0	20.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	1.0
100873392	1.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	2.0	1.0
106481413	0.0	0.0
106481414	1.0	0.0
63901	3033.0	3375.0
100873390	0.0	0.0
728556	46.0	40.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	124.0	118.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	717.0	545.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	7.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	255.0	548.0
100873384	0.0	0.0
285601	6.0	22.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	1.0	1.0
63910	102.0	154.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	534.0	1013.0
222008	3.0	4713.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	2939.0	3232.0
63904	0.0	0.0
106481430	0.0	0.0
163071	73.0	33.0
63906	795.0	882.0
106481433	1.0	0.0
63908	1000.0	606.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	49.0	68.0
63920	472.0	658.0
63923	1743.0	2160.0
63922	439.0	461.0
728577	531.0	74.0
63925	1540.0	1683.0
63924	375.0	227.0
63916	3311.0	2975.0
63917	3868.0	2470.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	1.0
728564	4.0	5.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1712.0	1462.0
106481402	0.0	1.0
63931	1926.0	3468.0
106481403	0.0	0.0
63934	1250.0	363.0
728567	20.0	0.0
106481408	0.0	0.0
163088	6.0	1.0
63933	2359.0	2562.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2854.0	2384.0
163087	732.0	559.0
728568	514.0	385.0
106481407	12.0	5.0
3704	1604.0	2078.0
3705	2992.0	3376.0
63926	1045.0	2121.0
3706	8.0	56.0
63929	953.0	584.0
3707	3767.0	4915.0
63928	11.0	0.0
3708	10259.0	3520.0
106481411	0.0	0.0
3709	13060.0	8457.0
106481412	0.0	0.0
106481410	2.0	0.0
3700	19.0	4.0
3702	153.0	243.0
3703	9634.0	19135.0
645506	1.0	1.0
151050	1027.0	449.0
645520	0.0	0.0
63941	725.0	1594.0
63940	759.0	1247.0
63943	377.0	501.0
728517	0.0	0.0
163033	366.0	839.0
258010	1330.0	3138.0
63947	0.0	1.0
63946	0.0	1.0
728513	0.0	0.0
100033803	0.0	0.0
3716	15807.0	14786.0
100033804	0.0	0.0
3717	1232.0	1538.0
100033805	0.0	0.0
3718	409.0	499.0
63939	1301.0	957.0
100033806	0.0	0.0
100190799	4.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	83.0	47.0
3710	4044.0	4588.0
3712	5758.0	5740.0
3713	3.0	0.0
3714	3506.0	2118.0
63950	5.0	2.0
728505	1.0	0.0
63951	29.0	10.0
100033807	0.0	0.0
728501	23.0	16.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	17724.0	12576.0
100033814	0.0	0.0
3727	11495.0	8645.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	20680.0	25268.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2595.0	2047.0
151056	513.0	140.0
3725	73897.0	14510.0
645528	0.0	0.0
728532	49.0	18.0
163059	350.0	375.0
728538	2.0	0.0
728537	280.0	77.0
63967	88.0	192.0
3737	28.0	15.0
3738	64.0	54.0
3739	1.0	0.0
645538	0.0	0.0
3730	1275.0	3302.0
3732	6797.0	6990.0
3734	0.0	0.0
3735	9205.0	9077.0
3736	607.0	162.0
63970	440.0	42.0
3750	335.0	248.0
63971	6528.0	4249.0
63974	0.0	0.0
163049	2742.0	2307.0
63973	109.0	6.0
63976	151.0	92.0
222068	5361.0	8008.0
63978	0.0	0.0
63977	875.0	653.0
63979	976.0	1173.0
728524	0.0	0.0
3748	587.0	116.0
163051	24.0	41.0
3749	2930.0	432.0
163050	62.0	66.0
3741	22.0	24.0
645548	10.0	16.0
3743	3.0	1.0
3744	2.0	0.0
3745	691.0	147.0
3746	91.0	13.0
3747	345.0	5524.0
285671	755.0	1137.0
285672	1674.0	1914.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	55.0	1416.0
285676	193.0	63.0
3761	2.0	1.0
100128657	0.0	0.0
285679	3.0	5.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1250.0	372.0
283008	4.0	2.0
3751	162.0	490.0
100873435	0.0	0.0
3752	826.0	3348.0
100873434	0.0	0.0
3753	99.0	14.0
100873433	0.0	0.0
3754	43.0	492.0
100873432	0.0	0.0
3755	93.0	32.0
100873439	0.0	0.0
3756	10.0	371.0
100873438	0.0	0.0
3757	83.0	59.0
100873437	0.0	0.0
3758	6.0	0.0
100873436	0.0	0.0
100873420	3.0	2.0
3770	159.0	64.0
3772	77.0	158.0
100861458	0.0	0.0
100861453	19.0	9.0
100861455	0.0	0.0
1107	16562.0	16738.0
1106	9400.0	5414.0
1105	4294.0	4758.0
1104	2322.0	2540.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1549.0	968.0
1101	376.0	1910.0
3762	366.0	369.0
100873424	0.0	0.0
3763	7.0	2.0
100128640	324.0	97.0
100873423	0.0	0.0
3764	732.0	566.0
100873422	0.0	0.0
3765	4.0	2.0
100873421	1.0	0.0
3766	9.0	25.0
100873428	0.0	0.0
3767	248.0	1881.0
100873427	0.0	0.0
3768	131.0	66.0
1109	1.0	0.0
100873426	0.0	0.0
1108	21376.0	22526.0
3769	16.0	1.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	47.0	16.0
100873453	0.0	0.0
3781	81.0	56.0
100873452	2.0	0.0
3782	461.0	490.0
100873451	0.0	0.0
3783	5480.0	386.0
100873450	0.0	0.0
1121	1544.0	2044.0
100861468	0.0	0.0
1120	117.0	56.0
100861469	0.0	0.0
1118	32.0	35.0
1117	2311.0	632.0
1116	8542.0	823.0
1114	55.0	7.0
1113	55.0	14.0
1112	4414.0	3159.0
1111	428.0	874.0
3773	205.0	12.0
100873457	0.0	0.0
100873456	0.0	1.0
3775	638.0	155.0
100873455	0.0	0.0
3776	1647.0	103.0
100873454	0.0	0.0
3777	458.0	43.0
3778	3409.0	485.0
3779	3283.0	239.0
100873459	0.0	0.0
1119	3084.0	1748.0
100128627	2.0	4.0
100128626	0.0	0.0
3790	997.0	1535.0
100128628	2.0	5.0
3791	4316.0	3747.0
100873442	0.0	0.0
3792	17.0	18.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	5.0	15.0
1131	308.0	83.0
1130	3087.0	5434.0
100861476	0.0	0.0
1129	0.0	0.0
1128	835.0	39.0
1124	185.0	571.0
1123	1347.0	397.0
1122	1255.0	1401.0
100861470	0.0	0.0
3784	788.0	675.0
100873446	0.0	0.0
3785	5.0	1.0
100873445	0.0	0.0
3786	207.0	419.0
100873444	0.0	0.0
3787	243.0	11.0
100873443	0.0	0.0
3788	30.0	45.0
100873449	5.0	7.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	169.0	32.0
100128618	2.0	1.0
