id	913970e0-54a5-44b3-a93d-a3d8218fb006	6533d5fa-8631-4e68-ba3b-2039aa8c96cb
285550	1066.0	690.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	20.0	0.0
3640	10.0	30.0
3638	1631.0	1429.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1276.0	733.0
100873313	0.0	1.0
3632	1174.0	455.0
100873312	3.0	2.0
100873311	0.0	0.0
3633	1481.0	371.0
100873318	0.0	0.0
3635	2632.0	1175.0
100873317	0.0	0.0
3636	4177.0	2288.0
100128771	47.0	13.0
100873316	2.0	4.0
100873315	0.0	0.0
100128766	0.0	0.0
3651	0.0	0.0
1	30.0	21.0
2	44518.0	39949.0
100873309	0.0	0.0
100873308	0.0	0.0
3	15.0	13.0
3641	0.0	1.0
100873303	0.0	1.0
9	542.0	75.0
3642	0.0	1.0
100873302	0.0	0.0
3643	5073.0	2473.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	16.0	9.0
100873307	0.0	0.0
3646	16952.0	13687.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	227.0	41.0
100873304	0.0	0.0
100873332	5.0	1.0
3660	2789.0	1353.0
100873331	0.0	0.0
3661	2013.0	1920.0
100873330	0.0	0.0
285577	2.0	1.0
3662	209.0	852.0
100128756	0.0	0.0
1000	39.0	89.0
3652	817.0	267.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	50.0	14.0
3654	4024.0	3529.0
100873334	0.0	0.0
3655	11922.0	5703.0
100873333	2.0	0.0
3656	281.0	90.0
100873339	0.0	0.0
3658	3052.0	878.0
100873338	0.0	0.0
3659	1924.0	4492.0
100873337	0.0	0.0
3670	4.0	2.0
100873321	0.0	0.0
3671	3010.0	7604.0
100873320	0.0	0.0
3672	2404.0	1496.0
285588	1.0	0.0
3673	5774.0	319.0
1011	0.0	0.0
1010	73.0	5.0
1008	6.0	0.0
1007	0.0	0.0
1006	103.0	28.0
1005	11.0	0.0
1004	108.0	134.0
1003	2134.0	1323.0
1002	76.0	126.0
1001	5964.0	5780.0
3663	431.0	561.0
100873325	0.0	0.0
3664	10645.0	17686.0
100873324	0.0	0.0
3665	902.0	2472.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	6238.0	242.0
100873329	0.0	0.0
285590	2828.0	6936.0
100873328	0.0	1.0
3669	557.0	4510.0
100873327	0.0	0.0
1009	1395.0	1768.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	7.0
728477	8.0	0.0
3680	2199.0	1327.0
3681	62.0	28.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	598.0	473.0
100873353	0.0	0.0
3683	1007.0	1663.0
100873352	0.0	0.0
128710	769.0	465.0
3684	393.0	740.0
100873351	0.0	0.0
285512	110.0	83.0
1022	1084.0	730.0
285513	649.0	583.0
1021	1530.0	1507.0
1020	469.0	768.0
440299	0.0	0.0
1019	2709.0	875.0
128709	0.0	0.0
1018	15.0	13.0
1017	1399.0	731.0
1016	2.0	1.0
1015	15.0	9.0
1014	0.0	1.0
1013	24.0	7.0
1012	983.0	257.0
116730	28.0	16.0
3674	33.0	72.0
