id	284f0774-1db5-4f86-a26c-0f967fa05d2f	9ad28472-32f0-4cb5-ba51-17d3e75fe85d
285550	1692.0	1226.0
100873310	0.0	0.0
100128777	1.0	0.0
285555	22.0	4.0
3640	11.0	9.0
3638	4742.0	2432.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2686.0	1507.0
100873313	0.0	0.0
3632	2056.0	833.0
100873312	10.0	5.0
100873311	0.0	0.0
3633	2966.0	1492.0
100873318	0.0	0.0
3635	3208.0	1122.0
100873317	0.0	0.0
3636	6553.0	6453.0
100128771	127.0	44.0
100873316	19.0	11.0
100873315	0.0	0.0
100128766	0.0	2.0
3651	0.0	10.0
1	52.0	30.0
2	84976.0	103750.0
100873309	0.0	0.0
100873308	0.0	0.0
3	46.0	14.0
3641	0.0	2.0
100873303	0.0	0.0
9	378.0	227.0
3642	2.0	0.0
100873302	1.0	2.0
3643	8270.0	9018.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	150.0	12.0
100873307	0.0	0.0
3646	24873.0	33944.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	402.0	244.0
100873304	0.0	0.0
100873332	10.0	1.0
3660	3387.0	2245.0
100873331	0.0	0.0
3661	2617.0	2623.0
100873330	0.0	0.0
285577	9.0	5.0
3662	838.0	183.0
100128756	0.0	0.0
1000	323.0	146.0
3652	1506.0	1010.0
100873336	0.0	1.0
100873335	0.0	0.0
100128750	111.0	70.0
3654	4063.0	12228.0
100873334	0.0	0.0
3655	23504.0	46963.0
100873333	1.0	0.0
3656	484.0	361.0
100873339	0.0	0.0
3658	6701.0	4295.0
100873338	0.0	0.0
3659	3154.0	5674.0
100873337	0.0	0.0
3670	39.0	2.0
100873321	0.0	0.0
3671	9409.0	16595.0
100873320	0.0	0.0
3672	8204.0	1809.0
285588	0.0	1.0
3673	8674.0	3031.0
1011	0.0	0.0
1010	88.0	18.0
1008	6.0	0.0
1007	0.0	0.0
1006	49.0	34.0
1005	21.0	9.0
1004	546.0	148.0
1003	6286.0	2849.0
1002	156.0	67.0
1001	8262.0	10986.0
3663	498.0	468.0
100873325	2.0	1.0
3664	15628.0	20483.0
100873324	0.0	0.0
3665	659.0	1158.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	12554.0	2719.0
100873329	0.0	0.0
285590	6625.0	4946.0
100873328	0.0	0.0
3669	487.0	837.0
100873327	1.0	0.0
1009	3383.0	3039.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	3.0
728477	12.0	3.0
3680	6111.0	3112.0
3681	11.0	15.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	892.0	835.0
100873353	0.0	0.0
3683	1254.0	1495.0
100873352	0.0	0.0
128710	997.0	1158.0
3684	827.0	413.0
100873351	0.0	0.0
285512	323.0	182.0
1022	1344.0	1685.0
285513	1252.0	920.0
1021	3453.0	11402.0
1020	381.0	277.0
440299	0.0	1.0
1019	3500.0	5241.0
128709	1.0	0.0
1018	43.0	52.0
1017	1967.0	4822.0
1016	1.0	2.0
1015	36.0	28.0
1014	2.0	2.0
1013	16.0	6.0
1012	2459.0	1248.0
116730	50.0	82.0
3674	72.0	38.0
100873358	0.0	0.0
3675	11529.0	3552.0
100873357	0.0	1.0
3676	1136.0	702.0
100128731	4366.0	3119.0
100873356	0.0	0.0
3678	5152.0	2004.0
3679	4077.0	3160.0
100873359	0.0	0.0
728464	88.0	37.0
728463	44.0	125.0
100128725	0.0	0.0
3690	309.0	159.0
3691	16979.0	19122.0
100873343	0.0	0.0
3692	3844.0	7101.0
3693	9643.0	4283.0
285521	1415.0	597.0
100873342	0.0	0.0
3694	11138.0	2964.0
100873341	0.0	0.0
3695	262.0	306.0
100873340	0.0	1.0
100128723	3.0	2.0
1033	56.0	456.0
1032	254.0	680.0
285525	12.0	2.0
1031	2703.0	2989.0
285527	7029.0	3411.0
1030	1413.0	1111.0
728468	0.0	1.0
440288	203.0	144.0
1029	214.0	4614.0
440295	325.0	258.0
1028	3217.0	504.0
1027	6640.0	5718.0
1026	7296.0	2534.0
1025	3967.0	1772.0
1024	1000.0	658.0
3685	15280.0	5934.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	424.0	678.0
100873345	0.0	0.0
3688	35370.0	29262.0
100873344	0.0	0.0
3689	1930.0	3862.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	3.0	7.0
100873370	0.0	0.0
728498	44.0	7.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	36.0	33.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	142.0	113.0
100873374	0.0	0.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	8.0	8.0
1043	609.0	585.0
1041	8.0	1.0
1040	2546.0	1564.0
1039	1979.0	2133.0
1038	26.0	21.0
1036	1485.0	1073.0
3696	5357.0	4396.0
3697	2.0	4.0
100873379	0.0	0.0
3698	93.0	131.0
100873378	5.0	3.0
3699	117.0	25.0
100873377	0.0	0.0
728486	8.0	1.0
100873361	0.0	0.0
105373869	1.0	36.0
100873360	0.0	1.0
285540	198.0	117.0
100128705	7.0	3.0
100873365	2.0	1.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	0.0
100128701	1.0	3.0
1054	3397.0	5214.0
285547	0.0	0.0
1053	3.0	2.0
285548	0.0	57.0
1052	1868.0	463.0
1051	2251.0	3818.0
728489	7.0	10.0
1050	2549.0	1399.0
100128707	1.0	0.0
1048	42.0	56.0
1047	227.0	44.0
1046	0.0	0.0
1045	0.0	1.0
100873369	18.0	13.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	10.0	1.0
1066	4161.0	751.0
1063	1456.0	11361.0
1062	228.0	1662.0
1061	4.0	1.0
1060	3638.0	1358.0
440253	428.0	89.0
1059	5032.0	6634.0
1058	42.0	306.0
1057	5.0	6.0
85379	13836.0	15336.0
114112	1167.0	1188.0
