id	fe6c451e-0747-4a02-9d35-59d0a9f4a468	7411d69d-b4ea-4099-9709-451756f03af1
285550	1519.0	702.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	21.0	10.0
3640	6.0	5.0
3638	9902.0	3395.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1823.0	1794.0
100873313	0.0	0.0
3632	1742.0	1111.0
100873312	2.0	0.0
100873311	0.0	0.0
3633	1811.0	1056.0
100873318	2.0	0.0
3635	1765.0	2396.0
100873317	0.0	0.0
3636	7750.0	3620.0
100128771	98.0	17.0
100873316	14.0	2.0
100873315	0.0	0.0
100128766	2.0	0.0
3651	0.0	0.0
1	12.0	31.0
2	91470.0	74779.0
100873309	0.0	0.0
100873308	0.0	0.0
3	23.0	10.0
3641	0.0	0.0
100873303	0.0	0.0
9	6476.0	3601.0
3642	215.0	1.0
100873302	2.0	0.0
3643	6429.0	6117.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	30.0	24.0
100873307	0.0	0.0
3646	18587.0	13095.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	131.0	44.0
100873304	0.0	0.0
100873332	5.0	4.0
3660	3280.0	3328.0
100873331	0.0	0.0
3661	2582.0	1691.0
100873330	0.0	0.0
285577	6.0	0.0
3662	100.0	634.0
100128756	0.0	0.0
1000	184.0	225.0
3652	1673.0	649.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	63.0	10.0
3654	7346.0	4352.0
100873334	0.0	0.0
3655	19649.0	8473.0
100873333	0.0	0.0
3656	355.0	377.0
100873339	0.0	0.0
3658	5574.0	2335.0
100873338	0.0	1.0
3659	1344.0	3970.0
100873337	0.0	0.0
3670	8.0	3.0
100873321	0.0	0.0
3671	10478.0	11702.0
100873320	0.0	0.0
3672	5235.0	8266.0
285588	1.0	0.0
3673	10891.0	3665.0
1011	0.0	0.0
1010	152.0	13.0
1008	5.0	0.0
1007	0.0	0.0
1006	65.0	53.0
1005	18.0	25.0
1004	264.0	880.0
1003	2800.0	5494.0
1002	297.0	21.0
1001	10992.0	3341.0
3663	429.0	758.0
100873325	0.0	0.0
3664	23167.0	6388.0
100873324	0.0	0.0
3665	962.0	2308.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	11084.0	2453.0
100873329	0.0	0.0
285590	7956.0	3520.0
100873328	0.0	0.0
3669	1173.0	2581.0
100873327	0.0	0.0
1009	2998.0	9166.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	0.0
728477	10.0	6.0
3680	2831.0	1102.0
3681	104.0	135.0
100128733	1.0	1.0
100873354	0.0	0.0
