id	f76b3ebd-e168-41b4-ac1f-e58b583a0506	89898350-742a-4b99-b1b0-4db42205fdba
285550	1122.0	898.0
100873310	0.0	0.0
100128777	0.0	1.0
285555	8.0	9.0
3640	5.0	3.0
3638	3355.0	4853.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1900.0	1761.0
100873313	0.0	2.0
3632	1397.0	1319.0
100873312	3.0	7.0
100873311	0.0	0.0
3633	1661.0	1540.0
100873318	1.0	6.0
3635	2016.0	1423.0
100873317	0.0	0.0
3636	4885.0	6789.0
100128771	36.0	70.0
100873316	10.0	16.0
100873315	0.0	0.0
100128766	1.0	1.0
3651	0.0	0.0
1	27.0	28.0
2	83824.0	45585.0
100873309	0.0	0.0
100873308	0.0	1.0
3	33.0	13.0
3641	0.0	0.0
100873303	0.0	0.0
9	718.0	4569.0
3642	17.0	56.0
100873302	1.0	0.0
3643	5520.0	5854.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	25.0	13.0
100873307	0.0	0.0
3646	12851.0	13325.0
100873306	0.0	0.0
100873305	0.0	2.0
3647	124.0	116.0
100873304	0.0	0.0
100873332	4.0	1.0
3660	2393.0	2757.0
100873331	0.0	0.0
3661	1958.0	1982.0
100873330	0.0	0.0
285577	3.0	0.0
3662	454.0	188.0
100128756	0.0	0.0
1000	50.0	352.0
3652	989.0	1283.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	104.0	47.0
3654	4387.0	6903.0
100873334	0.0	0.0
3655	10151.0	5786.0
100873333	0.0	0.0
3656	366.0	269.0
100873339	0.0	0.0
3658	3644.0	4166.0
100873338	0.0	0.0
3659	2881.0	2913.0
100873337	0.0	0.0
3670	7.0	51.0
100873321	0.0	1.0
3671	8591.0	12879.0
100873320	0.0	0.0
3672	7424.0	4404.0
285588	0.0	0.0
3673	3438.0	4554.0
1011	0.0	0.0
1010	258.0	23.0
1008	6.0	0.0
1007	0.0	0.0
1006	18.0	15.0
1005	7.0	28.0
1004	668.0	348.0
1003	8557.0	3759.0
1002	154.0	50.0
1001	4436.0	2947.0
3663	300.0	437.0
100873325	2.0	0.0
3664	7372.0	8788.0
100873324	0.0	0.0
3665	1009.0	3793.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	6549.0	4976.0
100873329	0.0	0.0
285590	9705.0	8460.0
100873328	0.0	0.0
3669	578.0	546.0
100873327	0.0	0.0
1009	4661.0	12807.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	1.0
728477	6.0	4.0
3680	2526.0	1331.0
3681	42.0	33.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	545.0	690.0
100873353	0.0	0.0
3683	840.0	1243.0
100873352	2.0	0.0
128710	607.0	1199.0
3684	863.0	854.0
100873351	0.0	0.0
285512	169.0	53.0
1022	936.0	2441.0
285513	964.0	888.0
1021	2106.0	2632.0
1020	376.0	715.0
440299	1.0	0.0
1019	2524.0	3983.0
128709	0.0	0.0
1018	23.0	12.0
1017	1502.0	2004.0
1016	0.0	4.0
1015	35.0	11.0
1014	0.0	0.0
1013	9.0	18.0
1012	2371.0	911.0
116730	47.0	63.0
3674	58.0	51.0
100873358	0.0	0.0
3675	5919.0	6148.0
100873357	1.0	1.0
3676	860.0	1810.0
100128731	2978.0	5449.0
100873356	0.0	0.0
3678	8871.0	8111.0
3679	8061.0	1081.0
100873359	0.0	0.0
728464	42.0	69.0
728463	44.0	67.0
100128725	0.0	0.0
3690	427.0	163.0
3691	11754.0	8103.0
100873343	0.0	0.0
3692	3140.0	4961.0
3693	13103.0	16621.0
285521	782.0	1218.0
100873342	0.0	0.0
3694	1800.0	4199.0
100873341	0.0	0.0
3695	102.0	90.0
100873340	0.0	1.0
100128723	1.0	1.0
1033	70.0	309.0
1032	256.0	310.0
285525	1.0	2.0
1031	2339.0	642.0
285527	5364.0	5720.0
1030	2566.0	1947.0
728468	1.0	0.0
440288	142.0	124.0
1029	142.0	158.0
440295	116.0	77.0
1028	2090.0	797.0
1027	4569.0	6911.0
1026	16209.0	13053.0
1025	2811.0	3342.0
1024	570.0	694.0
3685	8294.0	11833.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	642.0	622.0
100873345	0.0	0.0
3688	32758.0	31157.0
100873344	0.0	0.0
3689	2755.0	2974.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	1.0
100873371	2.0	2.0
100873370	0.0	0.0
728498	18.0	11.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	1.0
728492	48.0	73.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	111.0	67.0
100873374	0.0	0.0
728495	1.0	1.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	10.0	20.0
1043	450.0	627.0
1041	6.0	6.0
1040	1441.0	2560.0
1039	2206.0	2022.0
1038	16.0	5.0
1036	2643.0	408.0
3696	2221.0	853.0
3697	0.0	3.0
100873379	0.0	0.0
3698	66.0	37.0
100873378	4.0	2.0
3699	125.0	61.0
100873377	1.0	0.0
728486	7.0	10.0
100873361	0.0	0.0
105373869	82.0	796.0
100873360	1.0	0.0
285540	110.0	167.0
100128705	2.0	4.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	2.0
100873362	0.0	0.0
100128701	2.0	2.0
1054	2598.0	1927.0
285547	0.0	0.0
1053	4.0	9.0
285548	0.0	10.0
1052	2517.0	1612.0
1051	3139.0	1539.0
728489	7.0	13.0
1050	3168.0	627.0
100128707	0.0	0.0
1048	10.0	58.0
1047	189.0	661.0
1046	0.0	0.0
1045	0.0	0.0
100873369	7.0	6.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	2.0
1066	11487.0	1072.0
1063	1146.0	6320.0
1062	254.0	753.0
1061	3.0	12.0
1060	1794.0	1657.0
440253	208.0	84.0
1059	4051.0	4689.0
1058	89.0	248.0
1057	3.0	1.0
85379	6235.0	4767.0
114112	602.0	567.0
1056	49.0	83.0
85377	2375.0	1537.0
85378	2722.0	1603.0
128745	0.0	0.0
85376	15.0	8.0
440248	1030.0	478.0
1075	3889.0	4746.0
1074	17.0	24.0
1073	2276.0	1028.0
1072	23096.0	54306.0
1071	296.0	47.0
440243	0.0	1.0
1070	763.0	1208.0
1069	2088.0	3659.0
1068	0.0	0.0
85369	2166.0	2198.0
85366	4.0	14.0
85364	1544.0	1249.0
85365	1742.0	1834.0
85363	1516.0	3437.0
85360	1280.0	920.0
1080	44.0	24.0
85391	4.0	8.0
403296	0.0	0.0
403297	0.0	1.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	1.0
153733	424.0	792.0
1087	7.0	33.0
1086	2.0	0.0
440279	35.0	12.0
1085	7.0	4.0
1084	16.0	3.0
440278	101.0	139.0
1082	3.0	0.0
403294	0.0	0.0
440275	4219.0	5684.0
1081	94.0	14.0
85397	3.0	18.0
85395	323.0	311.0
403285	0.0	0.0
1091	0.0	0.0
1090	2.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	1419.0	353.0
1089	31.0	9.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	17.0	6.0
285598	850.0	578.0
126133	1147.0	1537.0
128790	1.0	3.0
126129	152.0	151.0
126123	0.0	0.0
442862	0.0	0.0
126119	394.0	550.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	1.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	23.0	9.0
442897	0.0	0.0
442898	4.0	0.0
114134	516.0	517.0
442899	0.0	0.0
100128790	0.0	0.0
128760	2.0	5.0
100128788	78.0	128.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	15.0
442890	0.0	0.0
442891	1.0	0.0
442892	1.0	0.0
128756	1.0	0.0
100128782	172.0	180.0
100128781	0.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	313.0	97.0
102466616	0.0	0.0
126052	0.0	0.0
151009	42.0	30.0
403227	2.0	0.0
403228	0.0	0.0
138046	2.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	5.0
645572	0.0	0.0
645571	6.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	487.0	936.0
107131122	1.0	0.0
138050	6781.0	5816.0
403219	0.0	0.0
151011	4601.0	4702.0
645587	0.0	3.0
165679	586.0	932.0
126037	18.0	47.0
114049	2456.0	3217.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	3.0	1.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	662.0	649.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1818.0	2116.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	218.0	304.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	56.0	51.0
645598	0.0	0.0
163007	2.0	9.0
114038	1.0	2.0
645591	1.0	0.0
106481495	0.0	1.0
114041	41.0	215.0
106481496	0.0	0.0
114042	3.0	0.0
106481493	0.0	0.0
114043	19.0	7.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	267.0	232.0
126017	494.0	891.0
106481497	2.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	5.0	1.0
85301	1520.0	718.0
106481491	0.0	0.0
106481492	0.0	1.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	1.0	0.0
403276	0.0	0.0
403277	2.0	0.0
403278	0.0	0.0
26996	824.0	1915.0
106481459	0.0	0.0
26994	7424.0	6829.0
106481457	11.0	1.0
26995	1707.0	2713.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	1.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1800.0	7008.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	1.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1933.0	1831.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	2.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	2.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	2335.0	213.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	144.0	584.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	696.0	736.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	1.0	2.0
106481437	0.0	0.0
26974	222.0	208.0
153657	86.0	91.0
106481438	1.0	12.0
106481435	0.0	0.0
26973	1897.0	3237.0
165631	90.0	70.0
106481436	1.0	0.0
26978	6.0	11.0
126075	635.0	964.0
106481439	0.0	0.0
403250	0.0	0.0
126074	170.0	208.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1225.0	1325.0
106481444	17.0	6.0
106481445	0.0	0.0
106481442	0.0	0.0
