id	b1e5ed14-a40e-41a1-b424-a6765ed70286	39b74af5-8b63-4788-b05f-d1696605afdc
285550	2812.0	2058.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	28.0	24.0
3640	13.0	2.0
3638	7281.0	9603.0
100873319	0.0	0.0
100873314	1.0	0.0
3630	0.0	0.0
3631	2903.0	2100.0
100873313	0.0	5.0
3632	2724.0	1723.0
100873312	1.0	6.0
100873311	0.0	0.0
3633	2631.0	3334.0
100873318	0.0	0.0
3635	2252.0	602.0
100873317	0.0	0.0
3636	3785.0	8227.0
100128771	128.0	49.0
100873316	19.0	9.0
100873315	0.0	0.0
100128766	2.0	2.0
3651	0.0	0.0
1	16.0	48.0
2	125105.0	17825.0
100873309	0.0	0.0
100873308	0.0	0.0
3	70.0	6.0
3641	3.0	0.0
100873303	0.0	2.0
9	2629.0	42001.0
3642	21.0	0.0
100873302	0.0	2.0
3643	9042.0	12221.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	24.0	11.0
100873307	0.0	0.0
3646	49823.0	18081.0
100873306	0.0	0.0
100873305	0.0	2.0
3647	304.0	176.0
100873304	0.0	0.0
100873332	3.0	7.0
3660	3768.0	4315.0
100873331	0.0	0.0
3661	1072.0	1991.0
100873330	0.0	0.0
285577	7.0	0.0
3662	693.0	20.0
100128756	0.0	0.0
1000	203.0	191.0
3652	1975.0	2022.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	235.0	55.0
3654	3346.0	4288.0
100873334	0.0	0.0
3655	28039.0	19667.0
100873333	2.0	0.0
3656	887.0	321.0
100873339	0.0	0.0
3658	8983.0	7580.0
100873338	0.0	1.0
3659	3847.0	2047.0
100873337	1.0	0.0
3670	6.0	1.0
100873321	0.0	0.0
3671	13284.0	3213.0
100873320	0.0	0.0
3672	9819.0	3297.0
285588	0.0	0.0
3673	9279.0	4272.0
1011	0.0	0.0
1010	471.0	0.0
1008	74.0	0.0
1007	3.0	0.0
1006	75.0	56.0
1005	61.0	1646.0
1004	1290.0	510.0
1003	10878.0	2860.0
1002	57.0	9.0
1001	3659.0	4657.0
3663	513.0	228.0
100873325	0.0	0.0
3664	18150.0	47732.0
100873324	1.0	0.0
3665	424.0	2402.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	9170.0	6449.0
100873329	0.0	0.0
285590	8213.0	3365.0
100873328	0.0	0.0
3669	402.0	697.0
100873327	0.0	0.0
1009	3999.0	5709.0
100873326	2.0	1.0
100873350	0.0	0.0
116729	0.0	2.0
728477	1.0	12.0
3680	4862.0	618.0
3681	11.0	5.0
100128733	2.0	0.0
100873354	0.0	0.0
3682	1168.0	523.0
100873353	0.0	0.0
3683	938.0	231.0
100873352	3.0	0.0
128710	1090.0	2824.0
3684	1227.0	363.0
100873351	0.0	0.0
285512	293.0	47.0
1022	2271.0	3218.0
285513	3239.0	647.0
1021	5177.0	407.0
1020	368.0	2279.0
440299	0.0	0.0
1019	3008.0	5714.0
128709	1.0	0.0
1018	8.0	21.0
1017	2766.0	5797.0
1016	5.0	0.0
1015	38.0	4.0
1014	0.0	11.0
1013	1.0	19.0
1012	5966.0	1627.0
116730	126.0	53.0
3674	28.0	275.0
100873358	0.0	0.0
3675	4598.0	7154.0
100873357	0.0	0.0
3676	1141.0	587.0
100128731	7145.0	9221.0
100873356	0.0	0.0
3678	8111.0	8134.0
3679	3018.0	424.0
100873359	0.0	0.0
728464	104.0	13.0
728463	21.0	74.0
100128725	0.0	0.0
3690	814.0	185.0
3691	10028.0	23437.0
100873343	1.0	1.0
3692	3486.0	5930.0
3693	13705.0	25420.0
285521	1955.0	1738.0
100873342	0.0	0.0
3694	15522.0	11258.0
100873341	1.0	0.0
3695	142.0	59.0
100873340	0.0	0.0
100128723	1.0	11.0
1033	284.0	1387.0
1032	138.0	999.0
285525	5.0	2.0
1031	1531.0	440.0
285527	9769.0	5739.0
1030	3232.0	1282.0
728468	0.0	0.0
440288	263.0	313.0
1029	251.0	349.0
440295	295.0	53.0
1028	2553.0	610.0
1027	5724.0	4852.0
1026	10980.0	5391.0
1025	3216.0	3878.0
1024	991.0	392.0
3685	25784.0	23152.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	668.0	473.0
100873345	1.0	0.0
3688	53948.0	14977.0
100873344	0.0	0.0
3689	1680.0	1094.0
100873349	1.0	0.0
100873348	0.0	0.0
100873372	0.0	1.0
100873371	4.0	0.0
100873370	0.0	0.0
728498	27.0	10.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	2.0
728492	43.0	41.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	177.0	16.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	6.0	8.0
1043	1167.0	132.0
1041	4.0	32.0
1040	6331.0	5566.0
1039	4234.0	4575.0
1038	101.0	32.0
1036	3007.0	36.0
3696	11345.0	1886.0
3697	1.0	7.0
100873379	0.0	0.0
3698	88.0	6.0
100873378	3.0	0.0
3699	109.0	60.0
100873377	0.0	0.0
728486	4.0	3.0
100873361	0.0	0.0
105373869	4.0	517.0
100873360	0.0	0.0
285540	245.0	355.0
100128705	3.0	4.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	1.0
100873362	0.0	0.0
100128701	2.0	3.0
1054	6020.0	3577.0
285547	0.0	0.0
1053	1.0	3.0
285548	2.0	5.0
1052	4291.0	795.0
1051	3637.0	711.0
728489	6.0	7.0
1050	803.0	248.0
100128707	0.0	0.0
1048	1041.0	44362.0
1047	293.0	604.0
1046	0.0	0.0
1045	1.0	1.0
100873369	7.0	7.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	4.0	3.0
1066	9008.0	54.0
1063	1028.0	31200.0
1062	413.0	3753.0
1061	25.0	10.0
1060	4838.0	2728.0
440253	385.0	103.0
1059	3060.0	4871.0
1058	36.0	655.0
1057	7.0	1.0
85379	22147.0	12119.0
114112	1409.0	418.0
1056	15.0	54.0
85377	2734.0	1845.0
85378	1799.0	2611.0
128745	0.0	3.0
85376	3.0	39.0
440248	2006.0	417.0
1075	13307.0	5010.0
1074	11.0	38.0
1073	8333.0	1354.0
1072	24747.0	53299.0
1071	90.0	71.0
440243	0.0	0.0
1070	1640.0	1817.0
1069	5318.0	5040.0
1068	0.0	0.0
85369	2091.0	3147.0
85366	2.0	16.0
85364	1753.0	1592.0
85365	5200.0	3803.0
85363	2964.0	3018.0
85360	850.0	596.0
1080	201.0	4.0
85391	4.0	4.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	1.0
153733	934.0	1138.0
1087	51.0	18.0
1086	1.0	0.0
440279	117.0	13.0
1085	7.0	0.0
1084	6.0	2.0
440278	132.0	140.0
1082	0.0	0.0
403294	0.0	0.0
440275	8099.0	8387.0
1081	28.0	1.0
85397	19.0	38.0
85395	129.0	429.0
403285	0.0	0.0
1091	0.0	0.0
1090	2.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	12.0	0.0
440270	1510.0	809.0
1089	9.0	1.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	118.0	1.0
285598	1053.0	566.0
126133	672.0	1794.0
128790	0.0	3.0
126129	246.0	250.0
126123	3.0	1.0
442862	0.0	0.0
126119	171.0	909.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
