id	6a818968-d75b-44b5-8b1e-53ff8274ea92	c1c978e4-95c1-4d48-9f83-b290656f1995
285550	709.0	761.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	14.0	19.0
3640	15.0	4.0
3638	1383.0	2681.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	1.0
3631	1105.0	1508.0
100873313	0.0	1.0
3632	786.0	1106.0
100873312	0.0	3.0
100873311	0.0	0.0
3633	684.0	918.0
100873318	0.0	0.0
3635	1230.0	1298.0
100873317	1.0	0.0
3636	3781.0	6972.0
100128771	68.0	49.0
100873316	2.0	8.0
100873315	0.0	0.0
100128766	1.0	1.0
3651	0.0	0.0
1	15.0	46.0
2	42266.0	26496.0
100873309	0.0	0.0
100873308	0.0	0.0
3	3.0	8.0
3641	2.0	0.0
100873303	0.0	0.0
9	123.0	5146.0
3642	0.0	27.0
100873302	0.0	0.0
3643	5504.0	3478.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	60.0	39.0
100873307	0.0	0.0
3646	14531.0	8247.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	87.0	51.0
100873304	0.0	0.0
100873332	4.0	2.0
3660	1315.0	1761.0
100873331	0.0	0.0
3661	906.0	2414.0
100873330	0.0	0.0
285577	2.0	0.0
3662	125.0	120.0
100128756	0.0	0.0
1000	72.0	206.0
3652	671.0	873.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	23.0	24.0
3654	4093.0	5411.0
100873334	0.0	0.0
3655	15613.0	4977.0
100873333	0.0	1.0
3656	250.0	359.0
100873339	0.0	0.0
3658	3118.0	3274.0
100873338	0.0	0.0
3659	1208.0	3468.0
100873337	0.0	0.0
3670	14.0	0.0
100873321	0.0	0.0
3671	4718.0	15400.0
100873320	0.0	0.0
3672	4972.0	2944.0
285588	0.0	0.0
3673	4128.0	3079.0
1011	0.0	0.0
1010	47.0	0.0
1008	0.0	0.0
1007	0.0	1.0
1006	187.0	43.0
1005	2.0	9.0
1004	215.0	338.0
1003	1827.0	3000.0
1002	337.0	20.0
1001	4850.0	1047.0
3663	234.0	762.0
100873325	0.0	0.0
3664	5036.0	5721.0
100873324	0.0	0.0
3665	557.0	1298.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	5655.0	6214.0
100873329	0.0	0.0
285590	9759.0	5014.0
100873328	0.0	0.0
3669	798.0	748.0
100873327	0.0	0.0
1009	6124.0	12225.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	3.0
728477	10.0	5.0
3680	2629.0	843.0
3681	34.0	109.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	304.0	505.0
100873353	0.0	0.0
3683	434.0	1320.0
100873352	0.0	1.0
128710	441.0	488.0
3684	549.0	1720.0
100873351	0.0	0.0
285512	41.0	75.0
1022	685.0	1050.0
285513	427.0	1011.0
1021	4669.0	1223.0
1020	359.0	809.0
440299	1.0	0.0
1019	2530.0	2937.0
128709	0.0	0.0
1018	24.0	20.0
1017	1052.0	2505.0
1016	1.0	1.0
1015	17.0	12.0
1014	0.0	0.0
1013	4.0	37.0
1012	698.0	719.0
116730	23.0	21.0
3674	27.0	121.0
100873358	0.0	0.0
3675	5355.0	7277.0
100873357	1.0	0.0
3676	2021.0	815.0
100128731	2453.0	3379.0
100873356	0.0	0.0
3678	3560.0	4982.0
3679	1049.0	1202.0
100873359	0.0	0.0
728464	116.0	8.0
728463	39.0	25.0
100128725	0.0	0.0
3690	196.0	104.0
3691	12653.0	2758.0
100873343	0.0	0.0
3692	2458.0	3991.0
3693	6363.0	16420.0
285521	684.0	945.0
100873342	0.0	0.0
3694	5273.0	783.0
100873341	0.0	1.0
3695	93.0	199.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	219.0	364.0
1032	141.0	534.0
285525	0.0	0.0
1031	983.0	813.0
285527	2560.0	4155.0
1030	238.0	1193.0
728468	0.0	0.0
440288	96.0	113.0
1029	53.0	263.0
440295	64.0	117.0
1028	533.0	490.0
1027	2708.0	6960.0
1026	1172.0	1716.0
1025	1487.0	2569.0
1024	457.0	529.0
3685	5690.0	9535.0
100873347	0.0	1.0
100873346	0.0	0.0
3687	595.0	1285.0
100873345	1.0	0.0
3688	19595.0	18938.0
100873344	0.0	0.0
3689	1685.0	3721.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	1.0
100873370	0.0	0.0
728498	8.0	7.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	1.0
728492	26.0	39.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	39.0	31.0
100873374	1.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	65.0	27.0
1043	258.0	866.0
1041	5.0	6.0
1040	1122.0	2260.0
1039	765.0	2826.0
1038	6.0	6.0
1036	290.0	187.0
3696	2620.0	2101.0
3697	0.0	2.0
100873379	0.0	0.0
3698	172.0	10.0
100873378	0.0	6.0
3699	165.0	39.0
100873377	0.0	1.0
728486	4.0	9.0
100873361	0.0	0.0
105373869	45.0	298.0
100873360	0.0	0.0
285540	26.0	67.0
100128705	0.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	5.0
100873362	0.0	0.0
100128701	4.0	2.0
1054	1064.0	2393.0
285547	0.0	0.0
1053	0.0	9.0
285548	2.0	4.0
1052	410.0	908.0
1051	1232.0	1087.0
728489	1.0	6.0
1050	403.0	810.0
100128707	0.0	0.0
1048	7.0	398.0
1047	29.0	294.0
1046	0.0	0.0
1045	0.0	0.0
100873369	14.0	8.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	724.0	169.0
1063	3320.0	4258.0
1062	737.0	888.0
1061	4.0	3.0
1060	991.0	1289.0
440253	41.0	59.0
1059	3279.0	3611.0
1058	146.0	264.0
1057	2.0	2.0
85379	7992.0	5042.0
114112	832.0	424.0
1056	45.0	36.0
85377	2905.0	1163.0
85378	2256.0	2198.0
128745	0.0	0.0
85376	1.0	14.0
440248	284.0	421.0
1075	1798.0	2289.0
1074	8.0	28.0
1073	640.0	407.0
1072	15915.0	55514.0
1071	54.0	41.0
440243	0.0	0.0
1070	462.0	588.0
1069	1111.0	2499.0
1068	0.0	0.0
85369	1316.0	1681.0
85366	3.0	17.0
85364	909.0	722.0
85365	1010.0	1575.0
85363	1328.0	673.0
85360	644.0	770.0
1080	46.0	4.0
85391	2.0	2.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	304.0	511.0
1087	1.0	9.0
1086	0.0	2.0
440279	7.0	1.0
1085	4.0	3.0
1084	3.0	2.0
440278	88.0	108.0
1082	0.0	0.0
403294	0.0	0.0
440275	3074.0	3379.0
1081	0.0	5.0
85397	2.0	2.0
85395	365.0	250.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	2.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	13.0
440270	698.0	694.0
1089	5.0	7.0
85388	0.0	0.0
85389	0.0	0.0
128718	1.0	0.0
285596	2.0	1.0
285598	1003.0	436.0
126133	970.0	1446.0
128790	0.0	0.0
126129	161.0	347.0
126123	0.0	0.0
442862	0.0	0.0
126119	297.0	624.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	1.0
114131	0.0	0.0
442896	1.0	1.0
114132	23.0	3.0
442897	0.0	0.0
442898	3.0	1.0
114134	245.0	551.0
442899	0.0	0.0
100128790	0.0	0.0
128760	0.0	1.0
100128788	38.0	92.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	9.0
