id	ba92f745-0592-4aca-9924-533486427c1b	e8572c09-d77c-456c-9a8a-7f5351502a01
285550	978.0	458.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	8.0	25.0
3640	2.0	10.0
3638	6354.0	1298.0
100873319	0.0	0.0
100873314	0.0	1.0
3630	0.0	0.0
3631	3047.0	1027.0
100873313	0.0	0.0
3632	3594.0	1622.0
100873312	3.0	6.0
100873311	0.0	0.0
3633	2415.0	1589.0
100873318	0.0	0.0
3635	4762.0	1625.0
100873317	0.0	0.0
3636	9167.0	4852.0
100128771	34.0	31.0
100873316	6.0	14.0
100873315	0.0	0.0
100128766	2.0	2.0
3651	0.0	0.0
1	16.0	12.0
2	798255.0	35751.0
100873309	0.0	1.0
100873308	0.0	0.0
3	25.0	12.0
3641	0.0	2.0
100873303	1.0	0.0
9	257.0	258.0
3642	2.0	1.0
100873302	0.0	0.0
3643	30926.0	2779.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	2.0	11.0
100873307	0.0	0.0
3646	15476.0	10712.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	59.0	26.0
100873304	0.0	1.0
100873332	2.0	3.0
3660	4214.0	1560.0
100873331	0.0	0.0
3661	2200.0	3888.0
100873330	0.0	0.0
285577	5.0	0.0
3662	427.0	935.0
100128756	0.0	0.0
1000	190.0	866.0
3652	798.0	860.0
100873336	0.0	1.0
100873335	0.0	0.0
100128750	236.0	6.0
3654	9038.0	29157.0
100873334	0.0	0.0
3655	32025.0	3815.0
100873333	0.0	1.0
3656	1908.0	573.0
100873339	0.0	0.0
3658	4431.0	3365.0
100873338	0.0	0.0
3659	7649.0	3029.0
100873337	0.0	0.0
3670	0.0	1.0
100873321	0.0	0.0
3671	5336.0	6799.0
100873320	0.0	0.0
3672	25283.0	2583.0
285588	1.0	0.0
3673	10606.0	6544.0
1011	0.0	0.0
1010	3.0	0.0
1008	33.0	3.0
1007	0.0	0.0
1006	11.0	61.0
1005	0.0	1.0
1004	2444.0	227.0
1003	50348.0	1859.0
1002	201.0	39.0
1001	969.0	8707.0
3663	1281.0	1595.0
100873325	0.0	4.0
3664	2488.0	16560.0
100873324	0.0	2.0
3665	1305.0	748.0
100873323	0.0	1.0
100873322	0.0	0.0
3667	4139.0	2925.0
100873329	0.0	0.0
285590	10188.0	8285.0
100873328	0.0	0.0
3669	1304.0	1709.0
100873327	0.0	0.0
1009	20333.0	7626.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	7.0
728477	7.0	8.0
3680	12033.0	782.0
3681	99.0	50.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	689.0	873.0
100873353	0.0	0.0
3683	7368.0	2427.0
100873352	4.0	6.0
128710	486.0	318.0
3684	6566.0	4664.0
100873351	1.0	0.0
285512	69.0	114.0
1022	843.0	1623.0
285513	4920.0	821.0
1021	3957.0	7097.0
1020	847.0	1326.0
440299	0.0	1.0
1019	4335.0	6854.0
128709	0.0	0.0
1018	10.0	42.0
1017	1985.0	2578.0
1016	0.0	1.0
1015	5.0	19.0
1014	46.0	18.0
1013	36.0	56.0
1012	6565.0	817.0
116730	41.0	65.0
3674	101.0	53.0
100873358	0.0	0.0
3675	31586.0	2286.0
100873357	0.0	0.0
3676	2284.0	609.0
100128731	6954.0	11784.0
100873356	0.0	0.0
3678	32287.0	17015.0
3679	911.0	372.0
100873359	0.0	0.0
728464	143.0	25.0
728463	85.0	5.0
100128725	0.0	2.0
3690	199.0	129.0
3691	6248.0	12772.0
100873343	2.0	1.0
3692	5519.0	9174.0
3693	29173.0	17490.0
285521	1009.0	759.0
100873342	0.0	0.0
3694	15089.0	7053.0
100873341	0.0	0.0
3695	313.0	434.0
100873340	1.0	0.0
100128723	0.0	0.0
1033	162.0	710.0
1032	610.0	1084.0
285525	5.0	1.0
1031	1148.0	770.0
285527	5854.0	2147.0
1030	4940.0	352.0
728468	0.0	0.0
