id	c1edcfd5-32b1-40fd-b5e9-bbc4ab00625c	05997328-b037-4fe8-aa48-fd5a0fa4c235
285550	658.0	3011.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	6.0	85.0
3640	11.0	4.0
3638	6085.0	3678.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1366.0	2213.0
100873313	0.0	0.0
3632	2588.0	1076.0
100873312	4.0	0.0
100873311	0.0	0.0
3633	1182.0	1663.0
100873318	0.0	0.0
3635	1501.0	725.0
100873317	0.0	0.0
3636	4515.0	6929.0
100128771	10.0	25.0
100873316	10.0	5.0
100873315	0.0	0.0
100128766	2.0	0.0
3651	0.0	0.0
1	12.0	7.0
2	249995.0	7641.0
100873309	0.0	0.0
100873308	0.0	0.0
3	13.0	6.0
3641	0.0	9.0
100873303	1.0	0.0
9	202.0	149.0
3642	2.0	41.0
100873302	1.0	0.0
3643	2315.0	4283.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	4.0	7.0
100873307	0.0	0.0
3646	8494.0	10821.0
100873306	0.0	1.0
100873305	0.0	0.0
3647	24.0	500.0
100873304	0.0	0.0
100873332	2.0	0.0
3660	1655.0	2381.0
100873331	0.0	0.0
3661	2016.0	1870.0
100873330	1.0	0.0
285577	3.0	0.0
3662	633.0	70.0
100128756	0.0	0.0
1000	200.0	2638.0
3652	431.0	1317.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	164.0	22.0
3654	3798.0	16933.0
100873334	0.0	0.0
3655	3106.0	27140.0
100873333	0.0	0.0
3656	5213.0	303.0
100873339	0.0	0.0
3658	2228.0	6665.0
100873338	0.0	0.0
3659	38688.0	2401.0
100873337	0.0	0.0
3670	0.0	262.0
100873321	0.0	0.0
3671	2440.0	1432.0
100873320	0.0	0.0
3672	10619.0	779.0
285588	1.0	0.0
3673	7193.0	9172.0
1011	0.0	0.0
1010	6.0	9.0
1008	2.0	14.0
1007	1.0	9.0
1006	18.0	320.0
1005	1.0	298.0
1004	579.0	77.0
1003	22343.0	1153.0
1002	126.0	19.0
1001	1043.0	13601.0
3663	868.0	1849.0
100873325	0.0	1.0
3664	2772.0	41695.0
100873324	0.0	0.0
3665	1999.0	1649.0
100873323	0.0	1.0
100873322	0.0	0.0
3667	1066.0	1806.0
100873329	0.0	0.0
285590	1825.0	2728.0
100873328	0.0	0.0
3669	5641.0	1395.0
100873327	0.0	0.0
1009	5932.0	1924.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	4.0	14.0
728477	7.0	10.0
3680	2512.0	197.0
3681	113.0	11.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	453.0	1139.0
100873353	0.0	0.0
3683	3393.0	274.0
