id	dde579e0-d792-456b-a66b-f7ec72969680	856b6c07-2b53-4a35-9722-fd9925793778
285550	877.0	625.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	15.0	9.0
3640	8.0	8.0
3638	6357.0	2859.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1649.0	2580.0
100873313	0.0	0.0
3632	1157.0	1086.0
100873312	4.0	0.0
100873311	0.0	0.0
3633	1766.0	1513.0
100873318	0.0	0.0
3635	3132.0	1718.0
100873317	0.0	0.0
3636	4342.0	7488.0
100128771	20.0	41.0
100873316	11.0	7.0
100873315	0.0	0.0
100128766	4.0	2.0
3651	0.0	90.0
1	40.0	38.0
2	186019.0	94874.0
100873309	2.0	0.0
100873308	0.0	0.0
3	34.0	10.0
3641	1.0	0.0
100873303	0.0	0.0
9	322.0	389.0
3642	26.0	1.0
100873302	0.0	0.0
3643	1094.0	2029.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	11.0	1.0
100873307	0.0	0.0
3646	10526.0	13726.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	46.0	34.0
100873304	2.0	1.0
100873332	0.0	5.0
3660	2304.0	2302.0
100873331	0.0	0.0
3661	2126.0	2497.0
100873330	0.0	1.0
285577	1.0	3.0
3662	1512.0	213.0
100128756	0.0	0.0
1000	83.0	123.0
3652	486.0	609.0
100873336	2.0	0.0
100873335	0.0	0.0
100128750	247.0	123.0
3654	3055.0	17034.0
100873334	0.0	0.0
3655	3575.0	24426.0
100873333	0.0	0.0
3656	365.0	347.0
100873339	0.0	0.0
3658	2143.0	2427.0
100873338	0.0	0.0
3659	7127.0	3385.0
100873337	0.0	1.0
3670	0.0	10.0
100873321	1.0	0.0
3671	1866.0	1831.0
100873320	0.0	0.0
3672	2833.0	2650.0
285588	0.0	0.0
3673	913.0	5157.0
1011	0.0	0.0
1010	0.0	1.0
1008	13.0	16.0
1007	0.0	9.0
1006	15.0	292.0
1005	12.0	2.0
1004	260.0	367.0
1003	5082.0	4421.0
1002	16.0	20.0
1001	1747.0	49867.0
3663	1247.0	957.0
100873325	1.0	4.0
3664	1478.0	25058.0
100873324	0.0	0.0
3665	977.0	662.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	774.0	2313.0
100873329	0.0	0.0
285590	1451.0	6268.0
100873328	0.0	0.0
3669	1301.0	807.0
100873327	0.0	0.0
1009	4388.0	6328.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	9.0
728477	5.0	9.0
3680	1416.0	1045.0
3681	60.0	66.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	1703.0	659.0
100873353	0.0	0.0
3683	4661.0	1802.0
100873352	1.0	5.0
128710	272.0	777.0
3684	2692.0	2270.0
100873351	0.0	0.0
285512	127.0	165.0
1022	694.0	903.0
285513	2011.0	1046.0
1021	1067.0	8468.0
1020	571.0	918.0
440299	2.0	1.0
1019	2212.0	5650.0
128709	1.0	1.0
1018	21.0	52.0
1017	989.0	2241.0
1016	1.0	4.0
1015	15.0	21.0
1014	21.0	159.0
1013	51.0	33.0
1012	774.0	1719.0
116730	7.0	28.0
3674	57.0	78.0
100873358	0.0	0.0
3675	10704.0	26623.0
100873357	0.0	1.0
3676	1329.0	3364.0
100128731	5264.0	5202.0
100873356	0.0	0.0
3678	4335.0	21031.0
3679	798.0	586.0
100873359	0.0	0.0
728464	49.0	27.0
728463	23.0	26.0
100128725	0.0	1.0
3690	121.0	171.0
3691	2394.0	64493.0
100873343	0.0	0.0
3692	3104.0	6274.0
3693	3296.0	12609.0
285521	921.0	1014.0
100873342	0.0	0.0
3694	9415.0	8164.0
100873341	0.0	0.0
3695	565.0	238.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	77.0	406.0
1032	418.0	968.0
285525	0.0	1.0
1031	443.0	173.0
285527	2102.0	4705.0
1030	1373.0	5285.0
728468	0.0	0.0
440288	93.0	78.0
1029	143.0	1414.0
440295	99.0	196.0
1028	1006.0	323.0
1027	4037.0	1809.0
1026	18506.0	14578.0
1025	2260.0	5621.0
1024	531.0	666.0
3685	4423.0	12082.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	5163.0	4963.0
100873345	0.0	1.0
3688	12133.0	35381.0
100873344	0.0	0.0
3689	13897.0	8467.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	1.0	0.0
100873371	0.0	4.0
100873370	0.0	1.0
728498	18.0	21.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	29.0	22.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	123.0	61.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	18.0	9.0
1043	9858.0	1463.0
1041	1.0	3.0
1040	1804.0	1505.0
1039	1143.0	1335.0
1038	5.0	1.0
1036	223.0	93.0
3696	433.0	1836.0
3697	11.0	0.0
100873379	0.0	0.0
3698	38.0	17.0
100873378	1.0	3.0
3699	249.0	85.0
100873377	0.0	0.0
728486	30.0	49.0
100873361	0.0	0.0
105373869	11.0	51.0
100873360	0.0	0.0
285540	107.0	49.0
100128705	1.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	3.0
100873362	0.0	0.0
100128701	1.0	3.0
1054	1339.0	3019.0
285547	0.0	0.0
1053	18.0	8.0
285548	0.0	2.0
1052	7632.0	2615.0
1051	3522.0	3998.0
728489	1.0	11.0
1050	2011.0	1892.0
100128707	0.0	1.0
1048	847.0	161.0
1047	67.0	33.0
1046	0.0	0.0
1045	1.0	27.0
100873369	1.0	6.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	5.0
1066	4479.0	1509.0
1063	168.0	3902.0
1062	84.0	2370.0
1061	2.0	4.0
1060	912.0	1251.0
440253	68.0	143.0
1059	2758.0	6259.0
1058	19.0	511.0
1057	3.0	0.0
85379	2086.0	5569.0
114112	324.0	606.0
1056	21.0	7.0
85377	1468.0	7847.0
85378	2022.0	3685.0
128745	0.0	1.0
85376	14.0	23.0
440248	350.0	369.0
1075	11729.0	10891.0
1074	17.0	10.0
1073	2064.0	759.0
1072	26802.0	87056.0
1071	139.0	158.0
440243	1.0	0.0
1070	789.0	539.0
1069	2161.0	2613.0
1068	0.0	0.0
85369	1240.0	1941.0
85366	2.0	15.0
85364	777.0	1032.0
85365	1764.0	1903.0
85363	1377.0	1016.0
85360	584.0	1593.0
1080	2467.0	1525.0
85391	7.0	14.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	1.0
1088	23.0	1.0
153733	343.0	854.0
1087	6.0	1.0
1086	0.0	0.0
440279	3.0	1.0
1085	0.0	0.0
1084	150.0	109.0
440278	67.0	122.0
1082	0.0	1.0
403294	0.0	0.0
440275	2414.0	3858.0
1081	0.0	0.0
85397	0.0	4.0
85395	255.0	405.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	7.0	0.0
440270	417.0	694.0
1089	165.0	31.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	6.0
285596	40.0	5.0
285598	305.0	1271.0
126133	1205.0	1766.0
128790	0.0	0.0
126129	84.0	846.0
126123	10.0	34.0
442862	0.0	0.0
126119	830.0	1039.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	1.0
442894	0.0	0.0
442895	0.0	0.0
114131	174.0	45.0
442896	0.0	0.0
114132	184.0	48.0
442897	0.0	0.0
442898	1.0	0.0
114134	644.0	1132.0
442899	0.0	0.0
100128790	0.0	0.0
128760	7.0	5.0
100128788	25.0	55.0
100128787	0.0	1.0
440225	0.0	0.0
440224	0.0	1.0
442890	0.0	0.0
442891	0.0	1.0
442892	0.0	0.0
128756	0.0	0.0
100128782	251.0	158.0
100128781	0.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	3.0
403234	0.0	0.0
403235	1.0	1.0
403236	0.0	0.0
63982	24.0	29.0
102466616	0.0	0.0
126052	0.0	2.0
151009	21.0	27.0
403227	0.0	1.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	1.0
645573	0.0	0.0
645572	0.0	0.0
645571	10.0	3.0
403223	0.0	0.0
403224	0.0	0.0
403226	1.0	0.0
200634	757.0	1083.0
107131122	0.0	1.0
138050	3467.0	6228.0
403219	0.0	0.0
151011	3383.0	4167.0
645587	1.0	20.0
165679	1.0	32.0
126037	26.0	54.0
114049	2548.0	4369.0
106481479	2.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	844.0	849.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1214.0	1912.0
106481486	1.0	0.0
106481487	0.0	0.0
645579	141.0	162.0
100033820	0.0	0.0
106481480	1.0	1.0
106481481	0.0	0.0
138065	6.0	3.0
645598	0.0	1.0
163007	1.0	2.0
114038	2.0	3.0
645591	3.0	2.0
106481495	0.0	0.0
114041	6.0	0.0
106481496	0.0	0.0
114042	0.0	0.0
106481493	0.0	0.0
114043	32.0	387.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	118.0	178.0
126017	263.0	391.0
106481497	2.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	7.0
85301	834.0	12939.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1632.0	422.0
106481459	0.0	0.0
26994	4521.0	5659.0
106481457	5.0	2.0
26995	1241.0	2029.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	1.0
403272	1.0	0.0
102466659	0.0	0.0
26999	3072.0	1655.0
403273	0.0	0.0
102466658	1.0	2.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	8.0
106481460	2.0	3.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1423.0	1988.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	3.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	1.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	35.0	2.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	9.0	49.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	441.0	771.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	9.0
106481437	0.0	0.0
26974	38.0	84.0
153657	30.0	28.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	745.0	960.0
165631	1148.0	257.0
106481436	0.0	0.0
26978	15.0	24.0
126075	604.0	461.0
106481439	0.0	0.0
403250	0.0	0.0
126074	162.0	171.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1576.0	2071.0
106481444	5.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2043.0	3091.0
85354	0.0	0.0
85352	62.0	135.0
403241	0.0	0.0
344462	2.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	220.0	357.0
153643	254.0	23.0
403247	0.0	0.0
403248	0.0	0.0
26985	1690.0	2529.0
106481448	0.0	0.0
26986	29823.0	146206.0
126069	69.0	122.0
106481449	0.0	0.0
126068	355.0	212.0
106481446	0.0	0.0
26983	0.0	0.0
26984	591.0	554.0
106481447	0.0	0.0
106481451	1.0	4.0
106481452	0.0	1.0
106481450	1.0	0.0
114088	18.0	286.0
106481455	0.0	0.0
85349	136.0	42.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	5.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	0.0	21.0
100873394	0.0	0.0
100873393	0.0	5.0
100873392	0.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	1.0
106481415	0.0	0.0
106481416	0.0	4.0
106481413	1.0	0.0
106481414	0.0	0.0
63901	2219.0	1262.0
100873390	0.0	0.0
728556	42.0	144.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	67.0	70.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	247.0	141.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	1.0
100128801	0.0	0.0
285600	131.0	140.0
100873384	0.0	0.0
285601	18.0	27.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	2.0	5.0
63910	599.0	2286.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	296.0	296.0
222008	0.0	0.0
106481428	0.0	1.0
106481429	0.0	0.0
63905	1984.0	2495.0
63904	0.0	0.0
106481430	2.0	2.0
163071	16.0	69.0
63906	529.0	940.0
106481433	0.0	0.0
63908	435.0	756.0
106481434	0.0	0.0
106481431	0.0	0.0
