id	c81a6334-9098-4add-8e64-186606676c93	f29ec34d-6066-425a-bccf-1dae2afb43a8
285550	664.0	313.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	8.0	1.0
3640	6.0	20.0
3638	5450.0	1340.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1737.0	2634.0
100873313	0.0	0.0
3632	1590.0	1538.0
100873312	1.0	0.0
100873311	0.0	0.0
3633	1923.0	1070.0
100873318	0.0	0.0
3635	1901.0	2380.0
100873317	0.0	0.0
3636	5534.0	3965.0
100128771	28.0	33.0
100873316	3.0	1.0
100873315	0.0	0.0
100128766	0.0	5.0
3651	0.0	73.0
1	23.0	14.0
2	238071.0	30254.0
100873309	0.0	0.0
100873308	0.0	0.0
3	22.0	8.0
3641	1.0	4.0
100873303	1.0	0.0
9	153.0	133.0
3642	7.0	4.0
100873302	2.0	0.0
3643	2457.0	3367.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	0.0	8.0
100873307	0.0	0.0
3646	7663.0	15845.0
100873306	0.0	0.0
100873305	0.0	1.0
3647	55.0	15.0
100873304	0.0	3.0
100873332	3.0	0.0
3660	1842.0	2005.0
100873331	0.0	0.0
3661	2098.0	2909.0
100873330	0.0	0.0
285577	0.0	0.0
3662	602.0	419.0
100128756	0.0	0.0
1000	57.0	180.0
3652	477.0	330.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	214.0	3.0
3654	3043.0	7020.0
100873334	0.0	0.0
3655	3184.0	22136.0
100873333	0.0	0.0
3656	215.0	1457.0
100873339	0.0	0.0
3658	1959.0	1971.0
100873338	0.0	0.0
3659	8885.0	9938.0
100873337	0.0	0.0
3670	1.0	5.0
100873321	0.0	0.0
3671	2129.0	5927.0
100873320	0.0	0.0
3672	3774.0	1597.0
285588	0.0	0.0
3673	1685.0	5034.0
1011	0.0	0.0
1010	1.0	1.0
1008	2.0	2.0
1007	0.0	0.0
1006	12.0	3.0
1005	3.0	0.0
1004	262.0	148.0
1003	8495.0	1535.0
1002	25.0	134.0
1001	741.0	11591.0
3663	772.0	887.0
100873325	0.0	0.0
3664	2607.0	8395.0
100873324	0.0	0.0
3665	740.0	1390.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	1140.0	654.0
100873329	0.0	0.0
285590	2462.0	6622.0
100873328	0.0	0.0
3669	1661.0	1374.0
100873327	0.0	0.0
1009	3913.0	5992.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	3.0
728477	8.0	1.0
3680	1692.0	1226.0
3681	33.0	20.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1716.0	1221.0
100873353	0.0	0.0
3683	4668.0	3194.0
100873352	1.0	0.0
128710	231.0	292.0
3684	4378.0	1930.0
100873351	0.0	0.0
285512	233.0	37.0
1022	512.0	1173.0
285513	1625.0	1277.0
1021	1274.0	4958.0
1020	410.0	752.0
440299	3.0	0.0
1019	1493.0	5085.0
128709	1.0	0.0
1018	31.0	44.0
1017	1159.0	2038.0
1016	0.0	0.0
1015	4.0	34.0
1014	23.0	4.0
1013	15.0	12.0
1012	1312.0	987.0
116730	6.0	16.0
3674	269.0	106.0
100873358	0.0	0.0
3675	21615.0	18561.0
100873357	0.0	0.0
3676	844.0	1324.0
100128731	3180.0	3880.0
100873356	0.0	0.0
3678	6152.0	20791.0
3679	438.0	259.0
100873359	0.0	0.0
728464	22.0	16.0
728463	23.0	41.0
100128725	0.0	0.0
3690	129.0	1136.0
3691	3277.0	33110.0
100873343	0.0	0.0
3692	2921.0	8369.0
3693	5572.0	9712.0
285521	493.0	655.0
100873342	0.0	0.0
3694	8840.0	5868.0
100873341	0.0	0.0
3695	183.0	447.0
100873340	0.0	1.0
100128723	0.0	0.0
1033	35.0	467.0
1032	468.0	445.0
285525	0.0	3.0
1031	251.0	389.0
285527	2972.0	1763.0
1030	3395.0	490.0
728468	0.0	0.0
440288	90.0	168.0
1029	53.0	781.0
440295	197.0	106.0
1028	783.0	252.0
1027	2198.0	1805.0
1026	28699.0	2529.0
1025	2630.0	2403.0
1024	382.0	1470.0
3685	3825.0	11889.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	6141.0	4237.0
100873345	0.0	0.0
3688	13113.0	22705.0
100873344	1.0	0.0
3689	19460.0	18733.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	1.0
100873371	0.0	5.0
100873370	0.0	0.0
728498	4.0	2.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	11.0	20.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	197.0	113.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	1.0	0.0
1044	5.0	50.0
1043	7735.0	850.0
1041	2.0	0.0
1040	1764.0	537.0
1039	918.0	968.0
1038	2.0	2.0
1036	415.0	37.0
3696	494.0	3725.0
3697	7.0	4.0
100873379	0.0	0.0
3698	33.0	4.0
100873378	0.0	1.0
3699	145.0	55.0
100873377	0.0	0.0
728486	41.0	37.0
100873361	0.0	0.0
105373869	9.0	420.0
100873360	0.0	2.0
285540	37.0	6.0
100128705	3.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	1.0
100873362	0.0	0.0
100128701	0.0	2.0
1054	1620.0	1663.0
285547	0.0	0.0
1053	12.0	18.0
285548	0.0	6.0
1052	6103.0	4537.0
1051	5064.0	4018.0
728489	9.0	5.0
1050	1186.0	885.0
100128707	0.0	0.0
1048	2347.0	3.0
1047	48.0	16.0
1046	0.0	0.0
1045	0.0	129.0
100873369	2.0	1.0
100873368	0.0	0.0
100873367	1.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	7497.0	618.0
1063	179.0	1986.0
1062	113.0	840.0
1061	3.0	3.0
1060	789.0	440.0
440253	43.0	53.0
1059	3531.0	4067.0
1058	17.0	547.0
1057	2.0	0.0
85379	3128.0	3630.0
114112	410.0	607.0
1056	23.0	17.0
85377	1383.0	3638.0
85378	2666.0	1412.0
128745	0.0	0.0
85376	4.0	9.0
440248	425.0	182.0
1075	14687.0	36614.0
1074	12.0	6.0
1073	2875.0	1024.0
1072	30004.0	49270.0
1071	56.0	76.0
440243	0.0	0.0
1070	493.0	397.0
1069	1553.0	1302.0
1068	0.0	0.0
85369	1313.0	1590.0
85366	2.0	28.0
85364	1106.0	940.0
85365	1255.0	1400.0
85363	1341.0	765.0
85360	669.0	846.0
1080	2282.0	30.0
85391	3.0	5.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	14.0	0.0
153733	324.0	404.0
1087	9.0	2.0
1086	1.0	0.0
440279	0.0	1.0
