id	da7e58d4-34e4-4809-95d1-becd983d1da4	b2a41a93-9530-49b8-964d-d58df94fef9f
285550	1387.0	1324.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	6.0	16.0
3640	2.0	26.0
3638	7004.0	3087.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2018.0	6346.0
100873313	0.0	0.0
3632	2418.0	1949.0
100873312	2.0	1.0
100873311	0.0	0.0
3633	1951.0	2413.0
100873318	0.0	0.0
3635	2026.0	937.0
100873317	0.0	0.0
3636	4395.0	4481.0
100128771	47.0	82.0
100873316	7.0	3.0
100873315	0.0	0.0
100128766	0.0	4.0
3651	0.0	0.0
1	12.0	15.0
2	263431.0	44182.0
100873309	0.0	0.0
100873308	0.0	0.0
3	29.0	7.0
3641	0.0	1.0
100873303	0.0	0.0
9	235.0	139.0
3642	4.0	4.0
100873302	1.0	0.0
3643	3798.0	4821.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	0.0	2.0
100873307	0.0	0.0
3646	14816.0	24264.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	50.0	185.0
100873304	0.0	0.0
100873332	3.0	3.0
3660	2599.0	2586.0
100873331	0.0	0.0
3661	1163.0	1085.0
100873330	0.0	0.0
285577	1.0	1.0
3662	288.0	119.0
100128756	0.0	0.0
1000	96.0	416.0
3652	677.0	1714.0
100873336	0.0	1.0
100873335	0.0	0.0
100128750	280.0	94.0
3654	2214.0	7504.0
100873334	0.0	0.0
3655	6334.0	73209.0
100873333	0.0	0.0
3656	329.0	225.0
100873339	1.0	0.0
3658	3759.0	5416.0
100873338	0.0	0.0
3659	4822.0	2060.0
100873337	0.0	0.0
3670	5.0	22.0
100873321	0.0	0.0
3671	1915.0	1962.0
100873320	0.0	0.0
3672	9021.0	4102.0
285588	0.0	1.0
3673	2866.0	15766.0
1011	0.0	0.0
1010	3.0	1729.0
1008	7.0	2.0
1007	0.0	0.0
1006	28.0	169.0
1005	15.0	2.0
1004	761.0	253.0
1003	12738.0	3847.0
1002	50.0	151.0
1001	895.0	11981.0
3663	995.0	1064.0
100873325	0.0	0.0
3664	1696.0	14761.0
100873324	0.0	0.0
3665	648.0	890.0
100873323	0.0	3.0
100873322	0.0	0.0
3667	1726.0	1051.0
100873329	0.0	0.0
285590	1307.0	4916.0
100873328	0.0	0.0
3669	760.0	723.0
100873327	0.0	0.0
1009	6212.0	3051.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	14.0
728477	5.0	4.0
3680	2730.0	799.0
3681	39.0	25.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	1050.0	857.0
100873353	0.0	0.0
3683	4219.0	1137.0
100873352	1.0	10.0
128710	460.0	1646.0
3684	3300.0	1306.0
100873351	0.0	0.0
285512	160.0	56.0
1022	912.0	1196.0
285513	2655.0	863.0
