id	631f56be-6fde-4e67-8ce1-83f01325d489	47190c04-2d8f-4b9b-b0a7-b3ae9b6c26b2
285550	1621.0	1258.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	13.0	0.0
3640	39.0	14.0
3638	9448.0	5692.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	1.0
3631	6639.0	1667.0
100873313	0.0	0.0
3632	3803.0	1161.0
100873312	8.0	1.0
100873311	0.0	0.0
3633	4499.0	738.0
100873318	0.0	0.0
3635	8767.0	231.0
100873317	0.0	0.0
3636	19047.0	6263.0
100128771	73.0	28.0
100873316	28.0	15.0
100873315	0.0	0.0
100128766	4.0	0.0
3651	0.0	80.0
1	99.0	18.0
2	635086.0	7097.0
100873309	0.0	0.0
100873308	0.0	0.0
3	51.0	4.0
3641	0.0	0.0
100873303	1.0	0.0
9	572.0	134.0
3642	10.0	3.0
100873302	1.0	0.0
3643	6900.0	4163.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	15.0	18.0
100873307	0.0	0.0
3646	22365.0	13228.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	136.0	108.0
100873304	1.0	0.0
100873332	3.0	0.0
3660	5348.0	1932.0
100873331	0.0	0.0
3661	8529.0	3053.0
100873330	0.0	5.0
285577	1.0	0.0
3662	2534.0	31.0
100128756	0.0	0.0
1000	188.0	124.0
3652	1296.0	541.0
100873336	32.0	1.0
100873335	15.0	0.0
100128750	1099.0	31.0
3654	16873.0	11864.0
100873334	56.0	0.0
3655	12382.0	16841.0
100873333	2.0	0.0
3656	2272.0	435.0
100873339	0.0	0.0
3658	5510.0	5787.0
100873338	0.0	0.0
3659	21799.0	1369.0
100873337	4.0	1.0
3670	2.0	1.0
100873321	2.0	0.0
3671	12440.0	3073.0
100873320	0.0	0.0
3672	10360.0	3992.0
285588	3.0	0.0
3673	3986.0	7426.0
1011	0.0	0.0
1010	8.0	3.0
1008	93.0	0.0
1007	1.0	2.0
1006	18.0	184.0
1005	4.0	15.0
1004	1295.0	367.0
1003	23870.0	756.0
1002	191.0	130.0
1001	2157.0	4153.0
3663	6011.0	1754.0
100873325	3.0	0.0
3664	4272.0	15796.0
100873324	0.0	0.0
3665	5729.0	501.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	4146.0	1833.0
100873329	0.0	0.0
285590	9886.0	3228.0
100873328	0.0	0.0
3669	5324.0	433.0
100873327	0.0	0.0
1009	24431.0	8109.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	4.0	61.0
728477	10.0	12.0
3680	5961.0	333.0
3681	448.0	2.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	3611.0	1203.0
100873353	0.0	0.0
3683	15832.0	154.0
100873352	13.0	25.0
128710	836.0	1248.0
3684	7524.0	279.0
100873351	1.0	5.0
285512	358.0	63.0
1022	1421.0	1004.0
285513	8538.0	199.0
1021	3421.0	5779.0
1020	1308.0	870.0
440299	3.0	0.0
1019	5977.0	6205.0
128709	1.0	1.0
1018	131.0	116.0
1017	3578.0	2850.0
1016	0.0	0.0
1015	92.0	6.0
1014	44.0	87.0
1013	89.0	17.0
1012	2799.0	4218.0
116730	50.0	40.0
3674	447.0	164.0
100873358	0.0	0.0
3675	33902.0	7534.0
100873357	3.0	0.0
3676	3138.0	1522.0
100128731	11255.0	5027.0
100873356	0.0	0.0
3678	30804.0	7965.0
3679	4721.0	392.0
100873359	0.0	0.0
728464	151.0	254.0
728463	35.0	12.0
100128725	0.0	0.0
3690	502.0	106.0
3691	7032.0	34874.0
100873343	2.0	0.0
3692	8402.0	5974.0
3693	20588.0	12363.0
285521	1916.0	793.0
100873342	0.0	0.0
3694	19489.0	853.0
100873341	0.0	0.0
3695	1801.0	74.0
100873340	5.0	0.0
100128723	0.0	0.0
1033	133.0	1200.0
1032	1119.0	740.0
285525	4.0	0.0
1031	957.0	383.0
285527	5814.0	2050.0
1030	2366.0	109.0
728468	0.0	0.0
440288	235.0	247.0
1029	222.0	10.0
440295	504.0	309.0
1028	2739.0	350.0
1027	6797.0	3595.0
1026	60800.0	6616.0
1025	10590.0	3008.0
1024	1265.0	1660.0
3685	9587.0	12720.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	16971.0	717.0
100873345	2.0	0.0
3688	31714.0	15806.0
