id	652ecf99-1af9-41fc-b0a5-d3e5c07a7b5d	9813b5d6-2309-4e67-85c0-1fae01d9672d
285550	1211.0	648.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	6.0	5.0
3640	5.0	32.0
3638	11056.0	5379.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2221.0	2667.0
100873313	0.0	0.0
3632	2943.0	1778.0
100873312	0.0	1.0
100873311	0.0	0.0
3633	2104.0	1383.0
100873318	0.0	0.0
3635	2979.0	3206.0
100873317	0.0	0.0
3636	6561.0	7146.0
100128771	25.0	35.0
100873316	6.0	7.0
100873315	0.0	0.0
100128766	3.0	1.0
3651	0.0	4.0
1	42.0	31.0
2	223885.0	125373.0
100873309	0.0	0.0
100873308	0.0	0.0
3	25.0	6.0
3641	1.0	0.0
100873303	0.0	0.0
9	562.0	168.0
3642	3.0	53.0
100873302	0.0	0.0
3643	3055.0	3949.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	2.0	19.0
100873307	0.0	0.0
3646	23200.0	14399.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	52.0	69.0
100873304	1.0	2.0
100873332	1.0	1.0
3660	2124.0	2770.0
100873331	0.0	0.0
3661	3206.0	3739.0
100873330	0.0	0.0
285577	5.0	0.0
3662	989.0	1009.0
100128756	0.0	0.0
1000	78.0	1170.0
3652	576.0	603.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	840.0	40.0
3654	6424.0	15127.0
100873334	0.0	0.0
3655	5313.0	10084.0
100873333	0.0	1.0
3656	2561.0	499.0
100873339	0.0	0.0
3658	3748.0	3638.0
100873338	0.0	0.0
3659	26316.0	5390.0
100873337	1.0	0.0
3670	2.0	5.0
100873321	0.0	0.0
3671	2459.0	16047.0
100873320	0.0	0.0
3672	8229.0	3778.0
285588	0.0	0.0
3673	3862.0	4778.0
1011	0.0	0.0
1010	9.0	118.0
1008	37.0	4.0
1007	0.0	0.0
1006	23.0	114.0
1005	2.0	0.0
1004	380.0	320.0
1003	15684.0	2589.0
1002	86.0	112.0
1001	751.0	3883.0
3663	1885.0	3109.0
100873325	0.0	0.0
3664	4263.0	9526.0
100873324	0.0	2.0
3665	1995.0	1832.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	1015.0	2358.0
100873329	0.0	0.0
285590	3207.0	6996.0
