id	378d4b61-b44c-4aed-86e9-be63913aaf66	30a1c765-f211-49e9-b033-a17138a30764
285550	990.0	619.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	12.0	7.0
3640	4.0	17.0
3638	17823.0	7788.0
100873319	0.0	0.0
100873314	1.0	0.0
3630	0.0	0.0
3631	2877.0	1969.0
100873313	0.0	0.0
3632	2786.0	1346.0
100873312	1.0	3.0
100873311	0.0	0.0
3633	2685.0	1224.0
100873318	0.0	0.0
3635	3075.0	2879.0
100873317	0.0	0.0
3636	6807.0	5189.0
100128771	70.0	62.0
100873316	9.0	8.0
100873315	0.0	0.0
100128766	2.0	0.0
3651	0.0	86.0
1	15.0	15.0
2	343450.0	96088.0
100873309	0.0	2.0
100873308	0.0	0.0
3	18.0	9.0
3641	0.0	0.0
100873303	0.0	0.0
9	322.0	285.0
3642	7.0	7.0
100873302	0.0	0.0
3643	4324.0	3622.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	1.0	7.0
100873307	0.0	1.0
3646	13257.0	14312.0
100873306	0.0	1.0
100873305	0.0	0.0
3647	62.0	186.0
100873304	0.0	0.0
100873332	2.0	3.0
3660	3117.0	3726.0
100873331	0.0	0.0
3661	2387.0	3202.0
100873330	0.0	1.0
285577	1.0	2.0
3662	1012.0	1437.0
100128756	0.0	0.0
1000	28.0	2250.0
3652	807.0	485.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	320.0	87.0
3654	4809.0	11632.0
100873334	0.0	1.0
3655	7637.0	30260.0
100873333	1.0	1.0
3656	1220.0	1061.0
100873339	0.0	0.0
3658	3722.0	5387.0
100873338	0.0	0.0
3659	16549.0	7345.0
100873337	0.0	0.0
3670	1.0	32.0
100873321	0.0	0.0
3671	2965.0	5633.0
100873320	0.0	0.0
3672	13669.0	4384.0
285588	0.0	0.0
3673	2235.0	19446.0
1011	0.0	0.0
1010	3.0	9.0
1008	48.0	22.0
1007	0.0	1.0
1006	5.0	696.0
1005	2.0	6.0
1004	834.0	7661.0
1003	19280.0	3929.0
1002	93.0	739.0
1001	707.0	8199.0
3663	847.0	1636.0
100873325	0.0	1.0
3664	4155.0	27283.0
100873324	0.0	0.0
3665	1188.0	1403.0
100873323	0.0	1.0
100873322	0.0	0.0
3667	1735.0	3365.0
100873329	0.0	0.0
285590	3432.0	6138.0
100873328	0.0	0.0
3669	2864.0	2185.0
100873327	0.0	0.0
1009	8251.0	13934.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	20.0
728477	10.0	6.0
3680	4980.0	1809.0
3681	50.0	23.0
100128733	2.0	0.0
100873354	0.0	0.0
3682	1137.0	1305.0
100873353	0.0	0.0
3683	5717.0	3686.0
100873352	3.0	33.0
128710	449.0	999.0
3684	2710.0	2671.0
100873351	0.0	10.0
285512	160.0	80.0
1022	889.0	806.0
285513	3209.0	2164.0
1021	2110.0	6067.0
1020	448.0	758.0
440299	0.0	0.0
1019	2521.0	5950.0
128709	0.0	0.0
1018	12.0	52.0
1017	1585.0	2738.0
1016	0.0	6.0
1015	2.0	21.0
1014	7.0	74.0
1013	121.0	83.0
1012	2844.0	5179.0
116730	3.0	17.0
3674	489.0	53.0
100873358	0.0	0.0
3675	27715.0	13266.0
