id	1ea50a97-2adb-4252-aec8-2fe94d49b0a0	21454a1b-20e1-4a4d-99b6-8ee30b1c979d
285550	746.0	1208.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	6.0	21.0
3640	10.0	6.0
3638	5672.0	8793.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2208.0	3314.0
100873313	0.0	0.0
3632	1682.0	2329.0
100873312	5.0	3.0
100873311	0.0	0.0
3633	2059.0	2654.0
100873318	0.0	0.0
3635	2882.0	3928.0
100873317	0.0	0.0
3636	6703.0	9854.0
100128771	23.0	51.0
100873316	11.0	8.0
100873315	0.0	0.0
100128766	6.0	0.0
3651	1.0	0.0
1	34.0	42.0
2	192562.0	366326.0
100873309	0.0	0.0
100873308	0.0	0.0
3	30.0	46.0
3641	0.0	1.0
100873303	0.0	1.0
9	374.0	812.0
3642	5.0	47.0
100873302	0.0	1.0
3643	1931.0	3417.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	8.0	1.0
100873307	0.0	0.0
3646	6978.0	12778.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	51.0	66.0
100873304	0.0	0.0
100873332	1.0	2.0
3660	2415.0	3863.0
100873331	0.0	0.0
3661	3082.0	4620.0
100873330	0.0	0.0
285577	2.0	5.0
3662	726.0	641.0
100128756	0.0	0.0
1000	145.0	196.0
3652	407.0	617.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	193.0	266.0
3654	4180.0	6896.0
100873334	0.0	0.0
3655	3478.0	4416.0
100873333	1.0	0.0
3656	351.0	618.0
100873339	0.0	0.0
3658	2404.0	3552.0
100873338	0.0	0.0
3659	8583.0	18535.0
100873337	1.0	0.0
3670	1.0	4.0
100873321	0.0	0.0
3671	1903.0	4060.0
100873320	0.0	0.0
3672	5951.0	7529.0
285588	0.0	1.0
3673	1697.0	2649.0
1011	0.0	0.0
1010	5.0	3.0
1008	15.0	11.0
1007	0.0	0.0
1006	34.0	40.0
1005	1.0	2.0
1004	305.0	608.0
1003	10614.0	12570.0
1002	104.0	101.0
1001	1670.0	2170.0
3663	1468.0	2915.0
100873325	0.0	0.0
3664	2195.0	3758.0
100873324	0.0	0.0
3665	1825.0	3030.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	1474.0	2334.0
100873329	0.0	0.0
285590	1354.0	2598.0
100873328	0.0	0.0
3669	1258.0	1600.0
100873327	0.0	0.0
1009	5393.0	9294.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	1.0
728477	3.0	3.0
3680	1981.0	3081.0
3681	21.0	46.0
100128733	1.0	0.0
100873354	0.0	1.0
3682	1304.0	2501.0
100873353	0.0	0.0
3683	6847.0	10124.0
100873352	8.0	12.0
128710	254.0	406.0
3684	5284.0	6882.0
100873351	0.0	1.0
285512	242.0	313.0
1022	780.0	1207.0
285513	2523.0	4886.0
1021	1278.0	1679.0
1020	558.0	906.0
440299	1.0	0.0
1019	1813.0	2783.0
128709	2.0	2.0
1018	35.0	67.0
1017	1048.0	1529.0
1016	1.0	0.0
1015	15.0	62.0
1014	13.0	13.0
1013	98.0	116.0
1012	1346.0	2667.0
