id	fc2fcb44-c5cb-4b1a-822d-552f32866fe3	a80301cb-eca4-4d79-99f9-d32a29c39b6b
285550	838.0	1560.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	5.0	38.0
3640	3.0	19.0
3638	2630.0	3611.0
100873319	0.0	0.0
100873314	0.0	1.0
3630	0.0	0.0
3631	1148.0	1830.0
100873313	0.0	0.0
3632	1807.0	1391.0
100873312	3.0	2.0
100873311	0.0	0.0
3633	1360.0	966.0
100873318	0.0	0.0
3635	1136.0	256.0
100873317	0.0	1.0
3636	4649.0	7444.0
100128771	49.0	79.0
100873316	6.0	12.0
100873315	0.0	0.0
100128766	3.0	1.0
3651	0.0	47.0
1	15.0	28.0
2	136506.0	27988.0
100873309	0.0	0.0
100873308	0.0	0.0
3	16.0	5.0
3641	0.0	1.0
100873303	0.0	0.0
9	453.0	224.0
3642	3.0	2.0
100873302	0.0	1.0
3643	4008.0	5386.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	1.0	4.0
100873307	1.0	0.0
3646	9611.0	12015.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	36.0	314.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	1930.0	3396.0
100873331	0.0	0.0
3661	2200.0	5647.0
100873330	0.0	1.0
285577	2.0	0.0
3662	154.0	52.0
100128756	0.0	0.0
1000	92.0	21.0
3652	345.0	923.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	456.0	173.0
3654	4319.0	15089.0
100873334	0.0	0.0
3655	5163.0	15159.0
100873333	0.0	0.0
3656	826.0	182.0
100873339	0.0	0.0
3658	2038.0	6158.0
100873338	0.0	0.0
3659	8702.0	1977.0
100873337	0.0	1.0
3670	2.0	4.0
100873321	0.0	0.0
3671	1882.0	548.0
100873320	0.0	0.0
3672	3790.0	1972.0
285588	0.0	0.0
3673	1704.0	6967.0
1011	0.0	0.0
1010	0.0	0.0
1008	13.0	2.0
1007	1.0	0.0
1006	6.0	184.0
1005	2.0	0.0
1004	361.0	185.0
1003	11165.0	1624.0
1002	115.0	69.0
1001	1124.0	6910.0
3663	909.0	2587.0
100873325	0.0	1.0
3664	4554.0	23310.0
100873324	0.0	0.0
3665	1177.0	4738.0
100873323	0.0	2.0
100873322	0.0	0.0
3667	1209.0	3673.0
100873329	0.0	0.0
285590	2520.0	2934.0
100873328	0.0	0.0
3669	1736.0	1519.0
100873327	0.0	0.0
1009	2355.0	2074.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	52.0
728477	8.0	11.0
3680	2323.0	245.0
3681	7.0	18.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	496.0	1991.0
100873353	1.0	0.0
3683	2021.0	228.0
100873352	3.0	15.0
128710	336.0	2268.0
3684	1430.0	162.0
100873351	2.0	7.0
285512	119.0	207.0
1022	723.0	1898.0
285513	1030.0	337.0
1021	1093.0	3971.0
1020	599.0	2030.0
440299	1.0	2.0
1019	1942.0	23836.0
128709	0.0	1.0
1018	24.0	171.0
1017	838.0	10872.0
1016	0.0	1.0
1015	8.0	5.0
1014	24.0	85.0
1013	40.0	38.0
1012	1603.0	2568.0
116730	20.0	26.0
3674	49.0	770.0
100873358	0.0	0.0
3675	25331.0	17280.0
100873357	1.0	0.0
3676	314.0	109.0
100128731	5524.0	15376.0
100873356	0.0	0.0
3678	8787.0	7699.0
3679	605.0	1593.0
100873359	0.0	0.0
728464	17.0	1111.0
728463	21.0	0.0
100128725	0.0	1.0
3690	68.0	12.0
3691	5045.0	79199.0
100873343	0.0	0.0
3692	5182.0	12874.0
3693	6359.0	24143.0
285521	574.0	1002.0
100873342	0.0	0.0
3694	10019.0	1898.0
100873341	0.0	0.0
3695	77.0	79.0
100873340	1.0	0.0
100128723	0.0	0.0
1033	46.0	1936.0
1032	472.0	1239.0
285525	1.0	0.0
1031	257.0	1159.0
285527	1541.0	2195.0
1030	2295.0	5176.0
728468	0.0	0.0
440288	59.0	534.0
1029	196.0	2370.0
440295	128.0	472.0
1028	1615.0	1269.0
1027	2101.0	8448.0
1026	12287.0	7095.0
1025	3011.0	5690.0
1024	558.0	1412.0
3685	3725.0	8020.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	3123.0	856.0
100873345	0.0	0.0
3688	9327.0	13441.0
100873344	0.0	1.0
3689	6679.0	987.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	2.0	0.0
100873371	0.0	0.0
100873370	0.0	1.0
728498	12.0	45.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	22.0	70.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	105.0	290.0
100873374	0.0	1.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	2.0	0.0
1043	7672.0	542.0
1041	7.0	50.0
1040	3649.0	3165.0
1039	982.0	1843.0
1038	1.0	1.0
1036	243.0	9.0
3696	638.0	17014.0
3697	5.0	2.0
100873379	0.0	0.0
3698	173.0	66.0
100873378	2.0	5.0
3699	194.0	81.0
100873377	0.0	0.0
728486	18.0	54.0
100873361	0.0	2.0
105373869	3.0	2.0
100873360	0.0	2.0
285540	89.0	153.0
100128705	1.0	2.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	0.0
100128701	1.0	5.0
1054	2569.0	9641.0
285547	0.0	0.0
1053	16.0	7.0
285548	1.0	77.0
1052	10091.0	3200.0
1051	6054.0	3491.0
728489	8.0	14.0
1050	1134.0	1252.0
100128707	1.0	0.0
1048	675.0	3587.0
1047	192.0	1408.0
1046	0.0	0.0
1045	2.0	404.0
100873369	3.0	1.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	7.0
1066	13430.0	111333.0
1063	173.0	10772.0
1062	54.0	2042.0
1061	2.0	1.0
1060	777.0	1504.0
440253	45.0	205.0
1059	6446.0	9866.0
1058	14.0	1584.0
1057	4.0	11.0
85379	4065.0	20212.0
114112	412.0	3079.0
1056	104.0	2201.0
85377	1907.0	9460.0
85378	2172.0	6667.0
128745	0.0	1.0
85376	9.0	34.0
440248	366.0	1368.0
1075	14752.0	25721.0
1074	8.0	13.0
1073	4206.0	1659.0
1072	33037.0	58330.0
1071	123.0	47.0
440243	0.0	0.0
1070	557.0	1563.0
1069	6402.0	7400.0
1068	0.0	0.0
85369	1375.0	2080.0
85366	10.0	12.0
85364	1514.0	5329.0
85365	2256.0	3093.0
85363	993.0	1926.0
85360	1044.0	415.0
