id	18f0b34c-d2f6-4746-b450-8ed3def9e334	382bf075-546c-41bf-930c-4efdf8813958
285550	285.0	383.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	10.0	3.0
3640	3.0	27.0
3638	3152.0	3079.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1582.0	1685.0
100873313	0.0	0.0
3632	1147.0	875.0
100873312	1.0	1.0
100873311	0.0	0.0
3633	985.0	867.0
100873318	0.0	0.0
3635	2600.0	2900.0
100873317	0.0	0.0
3636	3695.0	3318.0
100128771	15.0	21.0
100873316	9.0	1.0
100873315	0.0	0.0
100128766	0.0	0.0
3651	0.0	0.0
1	13.0	31.0
2	302012.0	84271.0
100873309	0.0	0.0
100873308	0.0	0.0
3	29.0	12.0
3641	0.0	0.0
100873303	0.0	0.0
9	333.0	93.0
3642	6.0	4.0
100873302	0.0	0.0
3643	2799.0	3112.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	3.0	7.0
100873307	0.0	0.0
3646	4349.0	10290.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	19.0	50.0
100873304	0.0	2.0
100873332	0.0	2.0
3660	1766.0	2144.0
100873331	0.0	0.0
3661	1310.0	3230.0
100873330	0.0	0.0
285577	0.0	0.0
3662	457.0	855.0
100128756	0.0	0.0
1000	75.0	102.0
3652	342.0	430.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	70.0	29.0
3654	3175.0	6247.0
100873334	0.0	0.0
3655	4498.0	11139.0
100873333	1.0	0.0
3656	382.0	383.0
100873339	0.0	0.0
3658	1898.0	2004.0
100873338	0.0	0.0
3659	5428.0	2869.0
100873337	0.0	0.0
3670	2.0	0.0
100873321	0.0	0.0
3671	2249.0	5833.0
100873320	0.0	0.0
3672	6028.0	2727.0
285588	0.0	1.0
3673	2079.0	3337.0
1011	0.0	0.0
1010	1.0	0.0
1008	58.0	10.0
1007	0.0	0.0
1006	17.0	9.0
1005	5.0	15.0
1004	444.0	273.0
1003	11833.0	3445.0
1002	9.0	15.0
1001	1032.0	9029.0
3663	1232.0	1843.0
100873325	0.0	0.0
3664	1381.0	14607.0
100873324	0.0	0.0
3665	4545.0	6786.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	1335.0	2294.0
100873329	0.0	0.0
285590	4384.0	4583.0
100873328	0.0	0.0
3669	2087.0	6664.0
100873327	0.0	0.0
1009	5460.0	4952.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	6.0
728477	4.0	3.0
3680	1874.0	743.0
3681	21.0	24.0
