id	71550bf2-086d-46ac-aee3-958bbac2d2ab	bc5be208-5934-40dd-81df-567599ea2a51
285550	1162.0	656.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	9.0	9.0
3640	15.0	40.0
3638	7792.0	3193.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2556.0	2492.0
100873313	0.0	0.0
3632	3646.0	1746.0
100873312	0.0	1.0
100873311	0.0	0.0
3633	1936.0	993.0
100873318	0.0	0.0
3635	4523.0	1454.0
100873317	0.0	0.0
3636	6603.0	13524.0
100128771	21.0	198.0
100873316	2.0	5.0
100873315	0.0	0.0
100128766	4.0	15.0
3651	0.0	2.0
1	22.0	18.0
2	575670.0	69565.0
100873309	0.0	0.0
100873308	0.0	0.0
3	40.0	5.0
3641	0.0	3999.0
100873303	0.0	0.0
9	523.0	240.0
3642	7.0	1.0
100873302	0.0	0.0
3643	3418.0	6189.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	3.0	4.0
100873307	0.0	0.0
3646	19376.0	55058.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	65.0	66.0
100873304	0.0	0.0
100873332	1.0	1.0
3660	4343.0	2903.0
100873331	0.0	0.0
3661	2351.0	6033.0
100873330	0.0	0.0
285577	2.0	0.0
3662	383.0	275.0
100128756	0.0	0.0
1000	49.0	90.0
3652	917.0	855.0
100873336	0.0	8.0
100873335	0.0	1.0
100128750	263.0	149.0
3654	4620.0	18849.0
100873334	0.0	0.0
3655	14336.0	6286.0
100873333	0.0	0.0
3656	961.0	594.0
100873339	0.0	0.0
3658	3828.0	4379.0
100873338	0.0	0.0
3659	11527.0	4318.0
100873337	0.0	0.0
3670	7.0	2.0
100873321	0.0	0.0
3671	7218.0	2260.0
100873320	0.0	0.0
3672	20545.0	4137.0
285588	0.0	1.0
3673	2731.0	3308.0
1011	0.0	0.0
1010	6.0	0.0
1008	8.0	11.0
1007	0.0	0.0
1006	72.0	24.0
1005	10.0	0.0
1004	995.0	456.0
1003	33646.0	6585.0
1002	31.0	43.0
1001	817.0	5901.0
3663	884.0	492.0
100873325	2.0	0.0
3664	2554.0	5434.0
100873324	0.0	0.0
3665	1347.0	1451.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2591.0	3745.0
100873329	0.0	0.0
285590	2879.0	2627.0
100873328	0.0	1.0
3669	2062.0	1175.0
100873327	0.0	0.0
1009	15324.0	7478.0
100873326	0.0	0.0
100873350	0.0	1.0
116729	1.0	5.0
728477	11.0	2.0
3680	4108.0	1206.0
3681	19.0	29.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1365.0	1499.0
100873353	0.0	0.0
3683	7004.0	1423.0
100873352	0.0	62.0
128710	395.0	805.0
3684	3222.0	1190.0
100873351	0.0	4.0
285512	47.0	29.0
1022	914.0	3585.0
285513	2241.0	5978.0
1021	3001.0	4351.0
1020	603.0	1429.0
440299	0.0	0.0
1019	3689.0	6720.0
128709	0.0	5.0
1018	3.0	71.0
1017	1703.0	3008.0
1016	0.0	4.0
1015	33.0	1430.0
1014	9.0	15.0
1013	32.0	59.0
1012	7059.0	959.0
116730	26.0	326.0
3674	140.0	60.0
100873358	0.0	0.0
3675	33647.0	32738.0
100873357	0.0	0.0
3676	3535.0	589.0
100128731	5948.0	14028.0
100873356	0.0	0.0
3678	15872.0	18031.0
3679	2193.0	673.0
100873359	0.0	0.0
728464	166.0	19.0
728463	56.0	19.0
100128725	0.0	0.0
3690	414.0	180.0
3691	7493.0	32304.0
100873343	2.0	0.0
3692	4605.0	14873.0
3693	12379.0	8198.0
285521	1149.0	884.0
100873342	0.0	0.0
3694	8952.0	3744.0
100873341	0.0	0.0
3695	814.0	425.0
100873340	2.0	0.0
100128723	0.0	0.0
1033	95.0	4303.0
1032	706.0	487.0
285525	1.0	1.0
1031	799.0	563.0
285527	6453.0	2172.0
1030	2932.0	560.0
728468	0.0	1.0
440288	157.0	103.0
1029	137.0	41.0
440295	30.0	116.0
1028	2752.0	683.0
1027	6374.0	5326.0
1026	13965.0	13217.0
1025	3493.0	4286.0
1024	704.0	1375.0
3685	10623.0	6676.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	1925.0	3599.0
100873345	1.0	0.0
3688	48475.0	50690.0
100873344	0.0	0.0
3689	20243.0	7645.0
100873349	1.0	0.0
100873348	0.0	0.0
100873372	1.0	0.0
100873371	2.0	1.0
100873370	0.0	1.0
728498	25.0	2.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	23.0	7.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	108.0	34.0
100873374	0.0	0.0
728495	0.0	1.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	6.0	23.0
1043	5495.0	1388.0
1041	2.0	0.0
1040	2961.0	3541.0
1039	2502.0	2038.0
1038	9.0	5.0
1036	1673.0	74.0
3696	806.0	220.0
3697	20.0	3.0
100873379	0.0	0.0
3698	133.0	159.0
100873378	1.0	0.0
3699	719.0	127.0
100873377	0.0	0.0
728486	41.0	16.0
100873361	0.0	0.0
105373869	13.0	92.0
100873360	0.0	0.0
285540	135.0	40.0
100128705	2.0	3.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	4.0
100873362	0.0	0.0
100128701	1.0	3.0
1054	3156.0	4054.0
285547	0.0	0.0
1053	14.0	56.0
285548	0.0	2.0
1052	6615.0	12406.0
1051	3794.0	20800.0
728489	7.0	12.0
1050	1199.0	1090.0
100128707	0.0	4.0
1048	812.0	222339.0
1047	181.0	74.0
1046	0.0	0.0
1045	3.0	2.0
100873369	3.0	3.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	15902.0	52532.0
1063	360.0	8238.0
1062	138.0	3010.0
1061	2.0	4.0
1060	1030.0	662.0
440253	94.0	29.0
1059	6337.0	6578.0
1058	21.0	904.0
1057	3.0	8.0
85379	7723.0	3922.0
114112	593.0	385.0
1056	22.0	42.0
85377	3959.0	3878.0
85378	1958.0	2338.0
128745	1.0	0.0
85376	22.0	10.0
440248	119.0	137.0
1075	13474.0	18126.0
1074	9.0	46.0
1073	5898.0	2466.0
1072	44305.0	102403.0
1071	522.0	256.0
440243	0.0	0.0
1070	1005.0	626.0
1069	5071.0	4222.0
1068	0.0	0.0
85369	2340.0	2734.0
85366	8.0	36.0
85364	1518.0	1731.0
