id	80dfa38c-5905-4a58-bb0c-246dccc2bbc7	f69a97ec-c6c0-4450-83f1-3280f31ad447
285550	968.0	456.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	11.0	5.0
3640	43.0	22.0
3638	11458.0	11413.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	3062.0	1259.0
100873313	0.0	0.0
3632	3376.0	1515.0
100873312	1.0	1.0
100873311	0.0	0.0
3633	3174.0	2000.0
100873318	0.0	0.0
3635	3365.0	3138.0
100873317	0.0	0.0
3636	10224.0	4210.0
100128771	50.0	117.0
100873316	10.0	3.0
100873315	0.0	0.0
100128766	2.0	1.0
3651	0.0	0.0
1	27.0	31.0
2	509508.0	18703.0
100873309	0.0	0.0
100873308	0.0	0.0
3	12.0	6.0
3641	0.0	1.0
100873303	0.0	0.0
9	247.0	164.0
3642	5.0	4.0
100873302	2.0	0.0
3643	5403.0	3288.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	7.0	20.0
100873307	0.0	0.0
3646	14369.0	15155.0
100873306	0.0	1.0
100873305	0.0	0.0
3647	49.0	168.0
100873304	1.0	0.0
100873332	1.0	0.0
3660	3401.0	3274.0
100873331	0.0	0.0
3661	3844.0	5377.0
100873330	0.0	0.0
285577	2.0	0.0
3662	1794.0	145.0
100128756	0.0	0.0
1000	56.0	1655.0
3652	589.0	1047.0
100873336	0.0	2.0
100873335	0.0	0.0
100128750	530.0	26.0
3654	8037.0	14963.0
100873334	0.0	0.0
3655	11459.0	53764.0
100873333	1.0	0.0
3656	3798.0	9862.0
100873339	0.0	0.0
3658	3791.0	4699.0
100873338	0.0	0.0
3659	27920.0	10823.0
100873337	1.0	0.0
3670	2.0	0.0
100873321	0.0	0.0
3671	4068.0	11063.0
100873320	0.0	0.0
3672	13699.0	3381.0
285588	1.0	0.0
3673	8005.0	19337.0
1011	0.0	0.0
1010	0.0	5.0
1008	31.0	19.0
1007	0.0	20.0
1006	45.0	0.0
1005	5.0	0.0
1004	1359.0	146.0
1003	36557.0	2331.0
1002	56.0	12.0
1001	1531.0	77169.0
3663	2102.0	1558.0
100873325	0.0	1.0
3664	4556.0	42666.0
100873324	0.0	0.0
3665	2713.0	6733.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2544.0	10388.0
100873329	0.0	0.0
285590	5822.0	13059.0
100873328	0.0	0.0
3669	3274.0	2394.0
100873327	0.0	0.0
1009	6786.0	5387.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	5.0	1.0
728477	14.0	2.0
3680	5182.0	247.0
3681	32.0	7.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1924.0	630.0
100873353	0.0	0.0
3683	8030.0	1290.0
100873352	12.0	0.0
128710	413.0	686.0
3684	6879.0	1431.0
100873351	1.0	0.0
285512	177.0	40.0
1022	1040.0	2614.0
285513	5421.0	609.0
1021	3233.0	6290.0
1020	658.0	704.0
440299	3.0	0.0
1019	3537.0	7897.0
128709	1.0	0.0
1018	54.0	14.0
1017	2978.0	3419.0
1016	0.0	6.0
1015	11.0	5.0
1014	33.0	101.0
1013	53.0	29.0
1012	1648.0	469.0
116730	54.0	115.0
3674	346.0	30.0
100873358	0.0	0.0
3675	41311.0	128434.0
100873357	0.0	0.0
3676	1658.0	793.0
100128731	7103.0	12461.0
100873356	0.0	0.0
3678	37526.0	47268.0
3679	1176.0	285.0
100873359	0.0	0.0
728464	74.0	10.0
728463	76.0	26.0
100128725	0.0	0.0
3690	1074.0	471.0
3691	6442.0	159673.0
100873343	2.0	0.0
3692	8196.0	26904.0
3693	12405.0	39445.0
285521	868.0	708.0
100873342	0.0	0.0
3694	21176.0	9962.0
100873341	0.0	0.0
3695	682.0	219.0
100873340	1.0	0.0
100128723	0.0	0.0
1033	112.0	836.0
1032	1272.0	527.0
285525	2.0	1.0
1031	430.0	813.0
285527	4792.0	3734.0
1030	4310.0	96.0
728468	0.0	0.0
440288	118.0	159.0
1029	181.0	28.0
440295	162.0	91.0
1028	2232.0	162.0
1027	3509.0	3044.0
1026	92071.0	85629.0
1025	6476.0	5354.0
1024	1036.0	1829.0
3685	11070.0	14164.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	12428.0	789.0
100873345	0.0	0.0
3688	34159.0	35945.0
100873344	1.0	0.0
3689	25350.0	5052.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	1.0
100873370	0.0	0.0
728498	25.0	8.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	1.0	0.0
728492	69.0	39.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	110.0	27.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	9.0	144.0
1043	19643.0	759.0
1041	7.0	422.0
1040	2384.0	2508.0
1039	2748.0	1382.0
1038	6.0	2.0
1036	477.0	4.0
3696	1666.0	7086.0
3697	8.0	0.0
100873379	0.0	0.0
3698	164.0	5.0
100873378	3.0	6.0
3699	352.0	8.0
100873377	0.0	0.0
728486	52.0	30.0
100873361	0.0	1.0
105373869	5.0	217.0
100873360	0.0	0.0
285540	122.0	32.0
100128705	4.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	2.0
100873362	0.0	0.0
100128701	3.0	1.0
1054	4203.0	3402.0
285547	0.0	0.0
1053	29.0	8.0
285548	0.0	8.0
1052	25356.0	2844.0
1051	13395.0	15822.0
728489	16.0	3.0
1050	2125.0	2769.0
100128707	0.0	0.0
1048	2005.0	2152.0
1047	62.0	9.0
1046	0.0	0.0
1045	1.0	2.0
100873369	8.0	6.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	32256.0	48.0
1063	279.0	3738.0
1062	133.0	896.0
1061	3.0	0.0
1060	1287.0	767.0
440253	78.0	59.0
1059	8736.0	8055.0
1058	25.0	587.0
1057	6.0	1.0
85379	5590.0	7003.0
114112	557.0	638.0
1056	15.0	41.0
85377	4573.0	15959.0
85378	4317.0	2242.0
128745	0.0	0.0
85376	19.0	16.0
440248	511.0	200.0
1075	47782.0	36810.0
1074	21.0	15.0
1073	4452.0	1121.0
1072	69074.0	78283.0
1071	425.0	211.0
440243	0.0	2.0
1070	566.0	641.0
1069	2658.0	3324.0
1068	0.0	0.0
85369	2904.0	5445.0
85366	4.0	97.0
85364	2976.0	853.0
85365	4271.0	1588.0
85363	2406.0	2382.0
85360	1846.0	1428.0
1080	4764.0	15.0
85391	11.0	5.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	1.0	0.0
1088	8.0	1.0
153733	390.0	601.0
1087	6.0	3.0
1086	0.0	0.0
440279	0.0	0.0
1085	1.0	0.0
1084	333.0	17.0
440278	85.0	174.0
1082	0.0	1.0
403294	2.0	1.0
440275	4997.0	5153.0
1081	1.0	0.0
85397	57.0	7.0
85395	571.0	778.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	4.0	2.0
440270	1401.0	296.0
1089	169.0	21.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	82.0	5.0
285598	452.0	555.0
126133	2623.0	2801.0
128790	0.0	0.0
126129	272.0	234.0
126123	6.0	0.0
442862	0.0	0.0
126119	1320.0	2187.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	138.0	2.0
442896	0.0	0.0
114132	418.0	4.0
442897	0.0	0.0
442898	10.0	6.0
114134	1091.0	242.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	4.0
100128788	32.0	13.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	3.0
442890	0.0	0.0
442891	4.0	1.0
442892	1.0	1.0
128756	0.0	1.0
100128782	157.0	46.0
100128781	2.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	3.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	160.0	3.0
102466616	0.0	0.0
126052	0.0	0.0
151009	59.0	23.0
403227	0.0	0.0
403228	1.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	12.0	17.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1052.0	274.0
107131122	0.0	0.0
138050	11270.0	7131.0
403219	0.0	0.0
151011	7971.0	8044.0
645587	3.0	0.0
165679	8.0	28.0
126037	19.0	35.0
114049	4639.0	4425.0
106481479	1.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	1.0
106481484	0.0	0.0
106481485	1.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	3235.0	394.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3078.0	2159.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	183.0	317.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	11.0	1.0
645598	0.0	1.0
163007	5.0	2.0
114038	6.0	1.0
645591	63.0	0.0
106481495	0.0	0.0
114041	0.0	0.0
106481496	0.0	0.0
114042	2.0	0.0
106481493	0.0	0.0
114043	88.0	2.0
106481494	0.0	0.0
106481499	1.0	0.0
114044	195.0	100.0
126017	401.0	318.0
106481497	2.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	7.0
85301	1298.0	6057.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1189.0	234.0
106481459	0.0	0.0
26994	9900.0	14396.0
106481457	3.0	1.0
26995	1250.0	3087.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	9.0
403272	1.0	0.0
102466659	0.0	0.0
26999	4393.0	846.0
403273	0.0	0.0
102466658	0.0	1.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	3.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3199.0	3075.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	8.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	37.0	8.0
106481472	0.0	0.0
106481477	1.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	6.0	19.0
106481470	0.0	0.0
403252	0.0	0.0
403253	1.0	0.0
403254	0.0	0.0
126070	983.0	1146.0
403255	0.0	1.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	3.0
106481437	0.0	0.0
26974	63.0	72.0
153657	27.0	3.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	2297.0	1114.0
165631	808.0	109.0
106481436	1.0	2.0
26978	64.0	28.0
126075	894.0	274.0
106481439	0.0	0.0
403250	0.0	0.0
126074	172.0	97.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2019.0	1874.0
106481444	7.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	6324.0	1528.0
85354	0.0	0.0
85352	351.0	309.0
403241	2.0	0.0
344462	7.0	7.0
403244	0.0	0.0
403245	0.0	0.0
153642	318.0	358.0
153643	42.0	3.0
403247	0.0	0.0
403248	0.0	0.0
26985	3526.0	3298.0
106481448	0.0	0.0
26986	76838.0	150853.0
126069	68.0	52.0
106481449	0.0	0.0
126068	381.0	192.0
106481446	0.0	0.0
26983	0.0	0.0
26984	960.0	1540.0
106481447	0.0	0.0
106481451	3.0	0.0
106481452	0.0	0.0
106481450	0.0	1.0
114088	27.0	469.0
106481455	0.0	2.0
85349	363.0	66.0
106481456	1.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	10.0	4.0
106481454	1.0	0.0
403238	0.0	0.0
85344	1.0	6.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	4.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	2.0	2.0
100873392	3.0	5.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	5.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2964.0	2829.0
100873390	0.0	0.0
728556	63.0	176.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	75.0	87.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	527.0	267.0
106481423	0.0	0.0
106481420	3.0	0.0
106481421	0.0	0.0
100873399	0.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	0.0
100873380	0.0	0.0
100128804	1.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	160.0	76.0
100873384	0.0	0.0
285601	24.0	13.0
106481426	0.0	0.0
106481427	0.0	2.0
222005	1.0	1.0
63910	490.0	342.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	459.0	312.0
222008	0.0	0.0
106481428	0.0	0.0
106481429	2.0	0.0
63905	3436.0	5407.0
63904	0.0	0.0
106481430	1.0	1.0
163071	43.0	481.0
63906	1039.0	1312.0
106481433	0.0	0.0
63908	840.0	415.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	5.0	0.0
285613	134.0	101.0
63920	102.0	114.0
63923	76.0	153.0
63922	481.0	1620.0
728577	203.0	28.0
63925	2965.0	3533.0
63924	9.0	5.0
63916	4673.0	3371.0
63917	4242.0	2128.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	8.0
728564	5.0	18.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1049.0	1068.0
106481402	0.0	0.0
63931	1331.0	1226.0
106481403	0.0	2.0
63934	163.0	56.0
728567	1.0	2.0
106481408	0.0	0.0
163088	6.0	0.0
63933	2686.0	2457.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	5249.0	4545.0
163087	593.0	349.0
728568	300.0	295.0
106481407	22.0	11.0
3704	2369.0	2560.0
3705	10350.0	6879.0
63926	727.0	796.0
3706	16.0	105.0
63929	907.0	890.0
3707	6138.0	3910.0
63928	3.0	30.0
3708	7928.0	628.0
106481411	0.0	0.0
3709	4329.0	2652.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	31.0	83.0
3702	2113.0	552.0
