id	29b6e624-9539-4abc-b80f-b5c7b65948fc	57dd7a80-e226-4e21-accb-cc944923100e
285550	697.0	1325.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	13.0	4.0
3640	2.0	4.0
3638	6858.0	11753.0
100873319	0.0	0.0
100873314	0.0	1.0
3630	0.0	0.0
3631	1874.0	3553.0
100873313	0.0	0.0
3632	1773.0	1628.0
100873312	0.0	4.0
100873311	0.0	0.0
3633	1542.0	3159.0
100873318	0.0	0.0
3635	2299.0	1669.0
100873317	0.0	0.0
3636	6180.0	13947.0
100128771	20.0	88.0
100873316	4.0	16.0
100873315	0.0	0.0
100128766	2.0	6.0
3651	0.0	8.0
1	13.0	22.0
2	446640.0	42050.0
100873309	0.0	0.0
100873308	0.0	0.0
3	11.0	3.0
3641	1.0	0.0
100873303	0.0	0.0
9	206.0	1045.0
3642	2.0	4914.0
100873302	0.0	0.0
3643	3119.0	3878.0
100128764	0.0	4.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	1.0	12.0
100873307	0.0	1.0
3646	13387.0	25912.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	37.0	229.0
100873304	0.0	0.0
100873332	1.0	1.0
3660	2057.0	4214.0
100873331	0.0	0.0
3661	2080.0	4934.0
100873330	0.0	1.0
285577	3.0	2.0
3662	368.0	317.0
100128756	0.0	0.0
1000	30.0	18535.0
3652	626.0	2354.0
100873336	0.0	3.0
100873335	0.0	0.0
100128750	400.0	32.0
3654	5480.0	47464.0
100873334	0.0	0.0
3655	5007.0	56465.0
100873333	0.0	0.0
3656	778.0	359.0
100873339	0.0	0.0
3658	3004.0	9055.0
100873338	0.0	0.0
3659	8208.0	6493.0
100873337	0.0	1.0
3670	0.0	170.0
100873321	0.0	1.0
3671	3479.0	9015.0
100873320	0.0	0.0
3672	5811.0	14193.0
285588	0.0	1.0
3673	1747.0	4081.0
1011	0.0	0.0
1010	3.0	7.0
1008	12.0	3.0
1007	0.0	0.0
1006	17.0	179.0
1005	1.0	9.0
1004	565.0	4951.0
1003	11365.0	3425.0
1002	63.0	75.0
1001	1463.0	3539.0
3663	1009.0	708.0
100873325	0.0	0.0
3664	2817.0	5439.0
100873324	0.0	0.0
3665	961.0	635.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	1819.0	5871.0
100873329	0.0	0.0
285590	4558.0	5526.0
100873328	0.0	0.0
3669	1436.0	1956.0
100873327	0.0	0.0
1009	7425.0	21046.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	4.0
728477	9.0	31.0
3680	3230.0	1540.0
3681	13.0	22.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	848.0	2191.0
100873353	0.0	0.0
3683	3642.0	1413.0
100873352	1.0	0.0
128710	369.0	1493.0
3684	3591.0	1788.0
100873351	1.0	0.0
285512	24.0	35.0
1022	650.0	1791.0
285513	3176.0	4264.0
1021	1653.0	5228.0
1020	677.0	3043.0
440299	0.0	3.0
1019	3358.0	16582.0
128709	0.0	1.0
1018	9.0	44.0
1017	1658.0	6788.0
1016	1.0	0.0
1015	11.0	9.0
1014	5.0	0.0
1013	23.0	86.0
1012	2956.0	6341.0
116730	40.0	130.0
3674	366.0	45.0
100873358	0.0	0.0
3675	22859.0	4633.0
100873357	0.0	2.0
3676	1486.0	2578.0
100128731	5195.0	18523.0
100873356	0.0	0.0
3678	13868.0	15699.0
3679	813.0	432.0
100873359	0.0	0.0
728464	39.0	290.0
728463	25.0	529.0
100128725	0.0	0.0
3690	223.0	611.0
3691	3533.0	18448.0
100873343	3.0	0.0
3692	5134.0	12169.0
3693	8121.0	14910.0
285521	866.0	1534.0
100873342	0.0	0.0
3694	16867.0	1416.0
100873341	0.0	0.0
3695	354.0	693.0
100873340	1.0	1.0
100128723	0.0	0.0
1033	217.0	4238.0
1032	471.0	1547.0
285525	6.0	1.0
1031	511.0	1127.0
285527	3399.0	2616.0
1030	2565.0	1873.0
728468	0.0	1.0
440288	94.0	397.0
1029	60.0	6886.0
440295	85.0	295.0
1028	874.0	601.0
1027	2681.0	7817.0
1026	17710.0	8222.0
1025	3607.0	4005.0
1024	598.0	13480.0
3685	6299.0	15580.0
100873347	0.0	1.0
100873346	0.0	0.0
3687	4167.0	3153.0
100873345	0.0	1.0
3688	20013.0	36939.0
100873344	2.0	1.0
3689	20320.0	12248.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	4.0	1.0
100873370	0.0	0.0
728498	5.0	13.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	37.0	69.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	142.0	48.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	7.0	40.0
1043	5737.0	1139.0
1041	1.0	5.0
1040	2877.0	2080.0
1039	2083.0	4942.0
1038	2.0	3.0
1036	396.0	188.0
3696	494.0	3281.0
3697	5.0	13.0
100873379	0.0	0.0
3698	133.0	12.0
100873378	0.0	3.0
3699	188.0	275.0
100873377	0.0	0.0
728486	43.0	40.0
100873361	0.0	0.0
105373869	7.0	815.0
100873360	0.0	0.0
285540	39.0	65.0
100128705	1.0	3.0
100873365	0.0	2.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	4.0
100873362	0.0	0.0
100128701	0.0	5.0
1054	2184.0	12198.0
285547	0.0	1.0
1053	32.0	11.0
285548	0.0	21.0
1052	7326.0	1287.0
1051	4325.0	2998.0
728489	5.0	20.0
1050	1392.0	560.0
100128707	0.0	3.0
1048	389.0	462382.0
1047	81.0	269.0
1046	0.0	0.0
1045	0.0	22.0
100873369	1.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	1.0
1066	12988.0	156404.0
1063	848.0	18453.0
1062	221.0	2532.0
1061	0.0	9.0
1060	1076.0	1692.0
440253	23.0	92.0
1059	6212.0	12614.0
1058	84.0	1584.0
1057	2.0	1.0
85379	4016.0	6496.0
114112	706.0	1015.0
1056	12.0	65.0
85377	2043.0	3453.0
85378	1750.0	2360.0
128745	0.0	3.0
85376	35.0	14.0
440248	88.0	418.0
1075	28699.0	48802.0
1074	2.0	27.0
1073	3046.0	1455.0
1072	50427.0	97112.0
1071	212.0	221.0
440243	0.0	0.0
1070	644.0	1013.0
1069	1985.0	9131.0
1068	0.0	0.0
85369	1686.0	2756.0
85366	7.0	88.0
85364	1552.0	3386.0
85365	2692.0	4257.0
85363	1669.0	1187.0
85360	937.0	2046.0
1080	5955.0	50.0
85391	0.0	20.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	191.0	16.0
153733	295.0	697.0
1087	6.0	21.0
1086	0.0	0.0
440279	10.0	99.0
1085	0.0	1.0
1084	27.0	64.0
440278	48.0	198.0
1082	0.0	9.0
403294	0.0	0.0
440275	3948.0	9337.0
1081	0.0	1.0
85397	5.0	3.0
85395	382.0	982.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	2.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	1.0
440270	189.0	891.0
1089	85.0	60.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	2.0
285596	20.0	6.0
285598	213.0	796.0
126133	2258.0	2901.0
128790	0.0	2.0
126129	78.0	499.0
126123	5.0	4.0
442862	0.0	0.0
126119	887.0	1955.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	1.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	39.0	17215.0
442896	0.0	0.0
114132	230.0	88.0
442897	0.0	0.0
442898	0.0	2.0
114134	1085.0	585.0
442899	0.0	0.0
100128790	0.0	0.0
128760	2.0	8.0
100128788	23.0	104.0
100128787	1.0	0.0
440225	0.0	0.0
440224	1.0	2.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	94.0	216.0
100128781	1.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	8.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	74.0	43.0
102466616	0.0	0.0
126052	0.0	0.0
151009	57.0	136.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	13.0
645558	0.0	0.0
403229	0.0	10.0
645573	0.0	0.0
645572	0.0	0.0
645571	2.0	33.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	838.0	4140.0
107131122	0.0	0.0
138050	7566.0	5380.0
403219	0.0	0.0
151011	4842.0	8737.0
645587	0.0	2.0
165679	9.0	103.0
126037	23.0	73.0
114049	2809.0	17704.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	1.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1453.0	3818.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2230.0	3588.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	229.0	371.0
100033820	0.0	0.0
106481480	2.0	0.0
106481481	0.0	0.0
138065	4.0	3.0
645598	0.0	2.0
163007	4.0	69.0
114038	2.0	0.0
645591	6.0	1.0
106481495	0.0	0.0
114041	0.0	129.0
106481496	0.0	0.0
114042	0.0	3.0
106481493	0.0	0.0
114043	35.0	35.0
106481494	0.0	0.0
106481499	1.0	0.0
114044	75.0	369.0
126017	264.0	1192.0
106481497	0.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	1.0
85301	534.0	985.0
106481491	0.0	3.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1148.0	1726.0
106481459	0.0	0.0
26994	6367.0	10651.0
106481457	2.0	7.0
26995	1469.0	5099.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	7.0
403272	0.0	1.0
102466659	0.0	0.0
26999	4903.0	1996.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	4.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	25.0
26993	1741.0	4979.0
106481467	0.0	0.0
106481464	3.0	1.0
106481465	0.0	0.0
104310351	2.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	1.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	34.0	24.0
106481472	0.0	0.0
106481477	0.0	1.0
106481478	0.0	0.0
