id	f67f1243-3126-4dea-98bf-186ad3b3e164	2092ab0d-6040-4a09-b175-bda5ebc9998a
285550	548.0	850.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	6.0	1.0
3640	9.0	7.0
3638	4424.0	2571.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1324.0	1481.0
100873313	1.0	0.0
3632	2242.0	1572.0
100873312	0.0	0.0
100873311	0.0	0.0
3633	950.0	1039.0
100873318	0.0	0.0
3635	1824.0	1645.0
100873317	0.0	0.0
3636	4623.0	4310.0
100128771	43.0	56.0
100873316	6.0	4.0
100873315	0.0	0.0
100128766	1.0	0.0
3651	0.0	10.0
1	13.0	10.0
2	242539.0	76820.0
100873309	0.0	0.0
100873308	0.0	0.0
3	15.0	5.0
3641	2.0	0.0
100873303	0.0	0.0
9	275.0	266.0
3642	1.0	0.0
100873302	0.0	0.0
3643	2533.0	5339.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	2.0	5.0
100873307	0.0	0.0
3646	7382.0	13378.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	19.0	120.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	1788.0	2297.0
100873331	0.0	0.0
3661	2212.0	2914.0
100873330	0.0	0.0
285577	5.0	0.0
3662	465.0	574.0
100128756	0.0	0.0
1000	37.0	191.0
3652	260.0	533.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	295.0	174.0
3654	5671.0	8223.0
100873334	0.0	0.0
3655	4322.0	18523.0
100873333	0.0	0.0
3656	2180.0	567.0
100873339	0.0	0.0
3658	2305.0	2516.0
100873338	0.0	0.0
3659	13852.0	3066.0
100873337	0.0	0.0
3670	0.0	0.0
100873321	0.0	0.0
3671	1424.0	5418.0
100873320	0.0	0.0
3672	9995.0	3531.0
285588	1.0	0.0
3673	4729.0	8354.0
1011	0.0	0.0
1010	1.0	6.0
1008	3.0	6.0
1007	0.0	1.0
1006	10.0	169.0
1005	0.0	2.0
1004	1091.0	1036.0
1003	24791.0	4105.0
1002	70.0	22.0
1001	887.0	35134.0
3663	994.0	1154.0
100873325	0.0	0.0
3664	3003.0	13774.0
100873324	0.0	1.0
3665	1996.0	1055.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	931.0	4130.0
100873329	0.0	0.0
285590	5694.0	8198.0
100873328	0.0	0.0
3669	3108.0	2205.0
100873327	0.0	0.0
1009	2269.0	5649.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	3.0	1.0
728477	4.0	6.0
3680	1958.0	1014.0
3681	15.0	39.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	695.0	820.0
100873353	0.0	0.0
3683	3593.0	1304.0
100873352	0.0	12.0
128710	139.0	515.0
3684	2738.0	1117.0
100873351	0.0	6.0
285512	62.0	62.0
1022	745.0	878.0
285513	1946.0	937.0
1021	1131.0	4124.0
1020	465.0	1085.0
440299	1.0	2.0
1019	2123.0	4713.0
128709	0.0	0.0
1018	13.0	16.0
1017	1610.0	1669.0
1016	0.0	1.0
1015	10.0	32.0
1014	5.0	10.0
1013	53.0	87.0
1012	1779.0	918.0
116730	12.0	21.0
3674	116.0	55.0
100873358	0.0	0.0
3675	21791.0	14977.0
100873357	0.0	0.0
3676	987.0	632.0
100128731	4565.0	10171.0
100873356	0.0	0.0
3678	23651.0	14904.0
3679	719.0	905.0
100873359	0.0	0.0
728464	53.0	40.0
728463	24.0	44.0
100128725	0.0	1.0
3690	190.0	152.0
3691	3387.0	35303.0
100873343	1.0	0.0
3692	6113.0	11341.0
3693	5522.0	17822.0
285521	472.0	701.0
100873342	0.0	0.0
3694	12410.0	10055.0
100873341	0.0	0.0
3695	180.0	219.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	59.0	334.0
1032	797.0	859.0
285525	1.0	0.0
1031	171.0	647.0
285527	3038.0	2255.0
1030	3350.0	1740.0
728468	0.0	0.0
440288	44.0	110.0
1029	252.0	3953.0
440295	108.0	137.0
1028	1444.0	1169.0
1027	1462.0	3008.0
1026	46010.0	12573.0
1025	3549.0	3100.0
1024	463.0	1221.0
3685	7404.0	13253.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	5690.0	1571.0
100873345	0.0	0.0
3688	20185.0	24901.0
100873344	0.0	0.0
3689	16876.0	9241.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	2.0	1.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	6.0	3.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	63.0	14.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	151.0	89.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	2.0	29.0
1043	8586.0	2689.0
1041	0.0	0.0
1040	1850.0	2046.0
1039	1453.0	1373.0
1038	1.0	3.0
1036	326.0	92.0
3696	786.0	1992.0
3697	3.0	18.0
100873379	0.0	0.0
3698	69.0	55.0
100873378	2.0	1.0
3699	284.0	165.0
100873377	0.0	0.0
728486	3.0	7.0
100873361	0.0	0.0
105373869	5.0	117.0
100873360	1.0	0.0
285540	54.0	62.0
100128705	2.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	1.0
100873362	0.0	0.0
100128701	2.0	0.0
1054	3187.0	3038.0
285547	0.0	0.0
1053	10.0	9.0
285548	0.0	9.0
1052	19611.0	12570.0
1051	8731.0	5651.0
728489	7.0	2.0
1050	855.0	1321.0
100128707	0.0	0.0
1048	582.0	9578.0
1047	51.0	85.0
1046	0.0	0.0
1045	0.0	13.0
100873369	5.0	3.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	8.0
1066	13368.0	2180.0
1063	133.0	3066.0
1062	71.0	523.0
1061	2.0	1.0
1060	519.0	824.0
440253	34.0	33.0
1059	6709.0	7653.0
1058	26.0	256.0
1057	3.0	0.0
85379	3045.0	8168.0
114112	363.0	884.0
1056	11.0	2567.0
85377	2600.0	7034.0
85378	1595.0	2586.0
128745	0.0	0.0
85376	14.0	24.0
440248	79.0	93.0
1075	14746.0	19204.0
1074	4.0	6.0
1073	4023.0	1104.0
1072	45451.0	63910.0
1071	213.0	172.0
440243	0.0	0.0
1070	371.0	536.0
1069	3156.0	3623.0
1068	0.0	0.0
85369	1398.0	1893.0
85366	4.0	13.0
85364	1724.0	1404.0
85365	3102.0	1894.0
85363	1347.0	1233.0
85360	2191.0	865.0
1080	2972.0	1665.0
85391	2.0	2.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	43.0	4.0
153733	262.0	211.0
1087	2.0	730.0
1086	0.0	0.0
440279	0.0	10.0
1085	0.0	0.0
1084	118.0	64.0
440278	95.0	189.0
1082	0.0	5.0
403294	0.0	0.0
440275	2606.0	3111.0
1081	0.0	1.0
85397	10.0	7.0
85395	698.0	855.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	185.0	174.0
1089	425.0	250.0
