id	a75a9fcd-cc1d-4ef6-a213-dd468217ad5b	a092dfa4-5455-4c0d-9eb5-f3363fd680e8
285550	1125.0	1130.0
100873310	0.0	0.0
100128777	0.0	1.0
285555	8.0	8.0
3640	7.0	9.0
3638	5979.0	2574.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2491.0	1659.0
100873313	0.0	0.0
3632	2527.0	2222.0
100873312	0.0	0.0
100873311	0.0	0.0
3633	2381.0	724.0
100873318	0.0	0.0
3635	2666.0	677.0
100873317	0.0	0.0
3636	4401.0	3152.0
100128771	30.0	50.0
100873316	11.0	2.0
100873315	0.0	0.0
100128766	0.0	5.0
3651	0.0	28.0
1	12.0	5.0
2	296193.0	21674.0
100873309	0.0	0.0
100873308	0.0	0.0
3	28.0	5.0
3641	1.0	0.0
100873303	0.0	0.0
9	264.0	231.0
3642	6.0	2.0
100873302	2.0	1.0
3643	3708.0	5106.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	1.0	7.0
100873307	0.0	0.0
3646	12240.0	31163.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	48.0	164.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	3751.0	4152.0
100873331	0.0	0.0
3661	1194.0	1678.0
100873330	0.0	0.0
285577	1.0	0.0
3662	374.0	186.0
100128756	0.0	0.0
1000	63.0	542.0
3652	659.0	600.0
100873336	0.0	1.0
100873335	0.0	0.0
100128750	385.0	17.0
3654	2262.0	9396.0
100873334	0.0	0.0
3655	6605.0	42365.0
100873333	0.0	0.0
3656	534.0	869.0
100873339	0.0	0.0
3658	3364.0	3451.0
100873338	0.0	0.0
3659	8354.0	3322.0
100873337	1.0	0.0
3670	0.0	107.0
100873321	0.0	0.0
3671	2570.0	4339.0
100873320	0.0	0.0
3672	9814.0	3536.0
285588	0.0	0.0
3673	2335.0	11133.0
1011	0.0	0.0
1010	0.0	11.0
1008	50.0	13.0
1007	0.0	2.0
1006	27.0	278.0
1005	3.0	52.0
1004	711.0	8579.0
1003	17846.0	2303.0
1002	36.0	57.0
1001	294.0	33055.0
3663	1301.0	327.0
100873325	0.0	0.0
3664	2594.0	41747.0
100873324	0.0	0.0
3665	721.0	484.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	1799.0	3276.0
100873329	0.0	0.0
285590	2079.0	8551.0
100873328	0.0	0.0
3669	1147.0	550.0
100873327	0.0	0.0
1009	6675.0	12959.0
100873326	0.0	0.0
100873350	0.0	0.0
