id	779250be-012c-4e5b-9b4e-258192607c4b	4cab9f74-8294-4b98-b6b3-3594dcd83623
285550	1498.0	1297.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	13.0	21.0
3640	8.0	7.0
3638	10069.0	4477.0
100873319	0.0	0.0
100873314	2.0	0.0
3630	1.0	0.0
3631	1860.0	9554.0
100873313	0.0	0.0
3632	2064.0	1444.0
100873312	1.0	3.0
100873311	0.0	0.0
3633	2042.0	5508.0
100873318	0.0	0.0
3635	2296.0	1124.0
100873317	0.0	0.0
3636	3982.0	29025.0
100128771	38.0	64.0
100873316	19.0	31.0
100873315	0.0	0.0
100128766	2.0	0.0
3651	0.0	16.0
1	13.0	36.0
2	119639.0	47420.0
100873309	0.0	0.0
100873308	0.0	1.0
3	62.0	12.0
3641	0.0	802.0
100873303	0.0	0.0
9	444.0	46.0
3642	0.0	3.0
100873302	2.0	0.0
3643	1465.0	5737.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	2.0	3.0
100873307	0.0	0.0
3646	19142.0	16768.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	77.0	78.0
100873304	0.0	0.0
100873332	5.0	4.0
3660	2052.0	1627.0
100873331	0.0	0.0
3661	3344.0	6733.0
100873330	2.0	0.0
285577	0.0	1.0
3662	579.0	340.0
100128756	0.0	0.0
1000	122.0	49.0
3652	578.0	961.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	671.0	86.0
3654	2957.0	6387.0
100873334	0.0	0.0
3655	6510.0	137091.0
100873333	0.0	0.0
3656	1222.0	250.0
100873339	0.0	0.0
3658	2484.0	5380.0
100873338	0.0	0.0
3659	23469.0	6270.0
100873337	1.0	0.0
3670	0.0	13.0
100873321	0.0	0.0
3671	1694.0	1193.0
100873320	0.0	0.0
3672	9062.0	3204.0
285588	0.0	3.0
3673	1120.0	2956.0
1011	0.0	0.0
1010	1.0	3.0
1008	88.0	1263.0
1007	0.0	0.0
1006	28.0	21.0
1005	2.0	1.0
1004	686.0	177.0
1003	15721.0	2592.0
1002	52.0	199.0
1001	380.0	2051.0
3663	1203.0	397.0
100873325	0.0	1.0
3664	2694.0	4578.0
100873324	1.0	0.0
3665	1626.0	3510.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	518.0	5137.0
100873329	0.0	0.0
285590	909.0	8704.0
100873328	0.0	0.0
3669	4110.0	1089.0
100873327	0.0	0.0
1009	2908.0	2940.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	3.0	10.0
728477	18.0	15.0
3680	1206.0	297.0
3681	22.0	26.0
100128733	0.0	4.0
100873354	0.0	0.0
3682	1240.0	396.0
100873353	0.0	0.0
3683	3345.0	1060.0
100873352	5.0	2.0
128710	392.0	490.0
3684	1256.0	606.0
100873351	0.0	0.0
285512	311.0	237.0
1022	1190.0	4477.0
285513	2738.0	632.0
1021	1275.0	3791.0
1020	735.0	883.0
440299	1.0	1.0
1019	3474.0	4217.0
128709	0.0	0.0
1018	60.0	145.0
1017	2664.0	8860.0
1016	0.0	2.0
1015	4.0	3.0
1014	24.0	64.0
1013	35.0	5.0
1012	1592.0	136.0
116730	11.0	7.0
3674	268.0	115.0
100873358	0.0	0.0
3675	14940.0	8593.0
100873357	0.0	1.0
3676	1241.0	571.0
100128731	11641.0	9591.0
100873356	0.0	0.0
3678	16437.0	4544.0
3679	925.0	231.0
100873359	0.0	0.0
728464	44.0	21.0
728463	29.0	12.0
100128725	0.0	5.0
3690	217.0	49.0
3691	1219.0	49870.0
100873343	1.0	1.0
3692	5536.0	7555.0
3693	4685.0	9949.0
285521	1114.0	640.0
100873342	0.0	0.0
3694	17393.0	4214.0
100873341	1.0	0.0
3695	191.0	166.0
100873340	1.0	2.0
100128723	0.0	20.0
1033	114.0	561.0
1032	760.0	360.0
285525	5.0	2.0
1031	680.0	347.0
285527	4047.0	5292.0
1030	3164.0	1333.0
728468	0.0	0.0
440288	151.0	204.0
1029	203.0	978.0
440295	200.0	97.0
1028	1587.0	10374.0
1027	3979.0	4852.0
1026	28469.0	5561.0
1025	3144.0	3516.0
1024	744.0	955.0
3685	6589.0	7530.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	5364.0	1334.0
100873345	0.0	0.0
3688	21503.0	42929.0
100873344	4.0	0.0
3689	11820.0	4116.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	0.0	1.0
100873371	1.0	0.0
100873370	0.0	0.0
728498	13.0	11.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	103.0	29.0
