id	d5e1f394-fa12-4197-ab85-2e738847527e	2205b107-3cb2-46dd-b1f2-b9342df83d4a
285550	1384.0	1127.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	4.0	4.0
3640	7.0	6.0
3638	9584.0	8933.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	10.0	0.0
3631	820.0	1375.0
100873313	0.0	0.0
3632	3408.0	2586.0
100873312	0.0	1.0
100873311	0.0	1.0
3633	560.0	683.0
100873318	0.0	1.0
3635	1042.0	678.0
100873317	0.0	0.0
3636	4751.0	8918.0
100128771	54.0	49.0
100873316	4.0	2.0
100873315	0.0	0.0
100128766	2.0	0.0
3651	0.0	1.0
1	2.0	7.0
2	14847.0	28248.0
100873309	0.0	0.0
100873308	0.0	0.0
3	1.0	3.0
3641	0.0	0.0
100873303	0.0	2.0
9	1651.0	137.0
3642	43.0	747.0
100873302	0.0	0.0
3643	5701.0	6375.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	29.0	15.0
100873307	0.0	0.0
3646	20570.0	15307.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	99.0	78.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	2959.0	1702.0
100873331	0.0	0.0
3661	1872.0	2564.0
100873330	0.0	1.0
285577	15.0	129.0
3662	20.0	14.0
100128756	0.0	0.0
1000	162.0	100.0
3652	925.0	1193.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	22.0	10.0
3654	7621.0	8784.0
100873334	0.0	0.0
3655	8876.0	11499.0
100873333	0.0	1.0
3656	282.0	437.0
100873339	0.0	0.0
3658	2640.0	3777.0
100873338	0.0	0.0
3659	1778.0	1919.0
100873337	0.0	0.0
3670	406.0	335.0
100873321	0.0	0.0
3671	1569.0	1746.0
100873320	0.0	0.0
3672	3945.0	4015.0
285588	0.0	0.0
3673	2508.0	1230.0
1011	0.0	0.0
1010	3.0	0.0
1008	70.0	864.0
1007	3.0	0.0
1006	74.0	19.0
1005	150.0	1164.0
1004	221.0	162.0
1003	649.0	1389.0
1002	30.0	43.0
1001	3647.0	3787.0
3663	263.0	325.0
100873325	0.0	0.0
3664	15306.0	11650.0
100873324	0.0	0.0
3665	980.0	1463.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2696.0	2098.0
100873329	0.0	0.0
285590	1266.0	1210.0
100873328	0.0	0.0
3669	517.0	447.0
100873327	0.0	0.0
1009	883.0	825.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	103.0	1.0
728477	5.0	5.0
3680	1763.0	1468.0
3681	2.0	2.0
100128733	0.0	0.0
100873354	1.0	0.0
3682	684.0	624.0
100873353	0.0	0.0
3683	291.0	314.0
100873352	0.0	0.0
128710	489.0	810.0
3684	92.0	180.0
100873351	0.0	0.0
285512	32.0	65.0
1022	1039.0	1112.0
285513	184.0	145.0
1021	2427.0	1043.0
1020	956.0	1051.0
440299	0.0	0.0
1019	3900.0	4703.0
128709	1.0	1.0
1018	7.0	21.0
1017	1292.0	1339.0
1016	10.0	5.0
1015	31.0	14.0
1014	7.0	1.0
1013	94.0	4.0
1012	729.0	746.0
116730	10.0	11.0
3674	12.0	17.0
100873358	0.0	0.0
3675	6258.0	5547.0
100873357	0.0	2.0
3676	68.0	88.0
100128731	9302.0	8439.0
100873356	0.0	0.0
3678	3112.0	5491.0
3679	2579.0	2479.0
100873359	0.0	0.0
728464	59.0	42.0
728463	37.0	20.0
100128725	0.0	0.0
3690	88.0	153.0
3691	5999.0	4624.0
100873343	0.0	1.0
3692	8717.0	6446.0
3693	12050.0	9457.0
285521	1413.0	1466.0
100873342	0.0	0.0
3694	1406.0	557.0
100873341	0.0	0.0
3695	53.0	48.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	38.0	55.0
1032	229.0	210.0
285525	20.0	2.0
1031	412.0	383.0
285527	1869.0	2671.0
1030	359.0	373.0
728468	2.0	0.0
