id	36134979-4e1d-46d7-a019-6b14277b9f24	c1e68714-e091-45ad-a770-b60ee90b87f1
285550	1269.0	1432.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	13.0	8.0
3640	12.0	12.0
3638	6720.0	1956.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	940.0	1298.0
100873313	0.0	0.0
3632	2672.0	3347.0
100873312	1.0	2.0
100873311	0.0	0.0
3633	1012.0	967.0
100873318	0.0	0.0
3635	3345.0	1653.0
100873317	0.0	0.0
3636	5594.0	6895.0
100128771	86.0	125.0
100873316	3.0	4.0
100873315	0.0	0.0
100128766	2.0	7.0
3651	0.0	5.0
1	12.0	5.0
2	11528.0	46661.0
100873309	0.0	0.0
100873308	0.0	0.0
3	0.0	2.0
3641	0.0	0.0
100873303	0.0	0.0
9	588.0	219.0
3642	61.0	518.0
100873302	1.0	0.0
3643	8869.0	7741.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	54.0	45.0
100873307	0.0	0.0
3646	16431.0	22756.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	100.0	78.0
100873304	0.0	0.0
100873332	0.0	1.0
3660	3830.0	3119.0
100873331	0.0	0.0
3661	3478.0	2399.0
100873330	0.0	1.0
285577	1.0	32.0
3662	66.0	61.0
100128756	0.0	0.0
1000	100.0	267.0
3652	1004.0	912.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	94.0	51.0
3654	5631.0	7349.0
100873334	0.0	0.0
3655	16121.0	12194.0
100873333	1.0	0.0
3656	725.0	528.0
100873339	0.0	0.0
3658	2896.0	3410.0
100873338	0.0	0.0
3659	7822.0	3716.0
100873337	0.0	0.0
3670	496.0	672.0
100873321	0.0	0.0
3671	1423.0	4103.0
100873320	0.0	0.0
3672	618.0	5217.0
285588	0.0	0.0
3673	4842.0	2566.0
1011	0.0	0.0
1010	0.0	7.0
1008	61.0	330.0
1007	7.0	0.0
1006	67.0	28.0
1005	227.0	664.0
1004	58.0	453.0
1003	543.0	1849.0
1002	142.0	75.0
1001	5186.0	6996.0
3663	881.0	445.0
100873325	0.0	0.0
3664	26578.0	11669.0
100873324	0.0	0.0
3665	1909.0	1417.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	3560.0	4124.0
100873329	0.0	0.0
285590	1378.0	2574.0
100873328	0.0	0.0
3669	887.0	592.0
100873327	0.0	0.0
1009	332.0	2353.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	11.0	2.0
728477	9.0	6.0
3680	701.0	1902.0
3681	4.0	32.0
100128733	0.0	0.0
100873354	1.0	0.0
3682	1236.0	747.0
100873353	0.0	0.0
3683	1162.0	1036.0
100873352	0.0	0.0
128710	822.0	750.0
3684	245.0	359.0
100873351	0.0	0.0
285512	127.0	68.0
1022	1193.0	1461.0
285513	303.0	424.0
1021	1972.0	2899.0
1020	721.0	926.0
440299	0.0	2.0
1019	3518.0	4356.0
128709	0.0	0.0
1018	39.0	25.0
1017	1542.0	1481.0
1016	2.0	20.0
1015	58.0	62.0
1014	5.0	1.0
1013	2.0	3.0
1012	1378.0	1129.0
116730	24.0	56.0
3674	21.0	19.0
100873358	0.0	0.0
3675	12972.0	7514.0
100873357	0.0	0.0
3676	175.0	326.0
100128731	9734.0	8683.0
100873356	0.0	0.0
3678	1156.0	6237.0
3679	217.0	2353.0
100873359	0.0	0.0
728464	22.0	89.0
728463	7.0	30.0
100128725	0.0	0.0
3690	9.0	192.0
3691	18802.0	10381.0
100873343	0.0	0.0
3692	7846.0	5900.0
3693	9017.0	9329.0
285521	1127.0	1112.0
100873342	0.0	0.0
3694	3603.0	1167.0
100873341	0.0	0.0
3695	194.0	139.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	28.0	66.0
1032	260.0	216.0
285525	4.0	1.0
1031	306.0	566.0
285527	2904.0	3184.0
1030	1273.0	456.0
728468	0.0	0.0
440288	170.0	147.0
1029	73.0	240.0
440295	157.0	114.0
1028	2067.0	763.0
1027	4191.0	4050.0
1026	12901.0	3562.0
1025	3952.0	3817.0
1024	858.0	1092.0
3685	5389.0	6841.0
100873347	0.0	2.0
100873346	0.0	0.0
3687	341.0	625.0
100873345	1.0	1.0
3688	6003.0	11099.0
100873344	0.0	1.0
3689	1749.0	2903.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	13.0	11.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	26.0	42.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	45.0	103.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	4.0	8.0
1043	613.0	676.0
1041	0.0	1.0
1040	3019.0	1972.0
1039	1374.0	1397.0
1038	1.0	0.0
1036	44.0	118.0
3696	4596.0	3164.0
3697	0.0	0.0
