id	30f0f8c2-21be-4a29-b9b0-3507765a9e1a	cc621d8a-b1b7-4001-bd25-8bfcccb34412
285550	1242.0	1278.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	6.0	2.0
3640	12.0	5.0
3638	3679.0	6394.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2717.0	1667.0
100873313	0.0	0.0
3632	3014.0	3876.0
100873312	0.0	4.0
100873311	0.0	0.0
3633	1960.0	721.0
100873318	0.0	0.0
3635	5558.0	3053.0
100873317	0.0	0.0
3636	7089.0	11160.0
100128771	68.0	91.0
100873316	2.0	1.0
100873315	0.0	0.0
100128766	1.0	7.0
3651	0.0	0.0
1	14.0	5.0
2	286306.0	120831.0
100873309	0.0	0.0
100873308	0.0	0.0
3	16.0	4.0
3641	0.0	0.0
100873303	0.0	0.0
9	441.0	394.0
3642	31.0	954.0
100873302	0.0	0.0
3643	5689.0	5570.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	84.0	9.0
100873307	0.0	0.0
3646	17595.0	23487.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	145.0	54.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	3637.0	3583.0
100873331	0.0	0.0
3661	2195.0	2577.0
100873330	0.0	0.0
285577	0.0	38.0
3662	596.0	488.0
100128756	0.0	0.0
1000	528.0	78.0
3652	1799.0	1320.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	39.0	71.0
3654	6156.0	8356.0
100873334	0.0	0.0
3655	9415.0	5807.0
100873333	0.0	1.0
3656	810.0	662.0
100873339	0.0	0.0
3658	6256.0	5897.0
100873338	0.0	0.0
3659	4140.0	2979.0
100873337	2.0	1.0
3670	1052.0	512.0
100873321	0.0	0.0
3671	7260.0	8605.0
100873320	0.0	0.0
3672	12938.0	7277.0
285588	1.0	0.0
3673	4944.0	1908.0
1011	0.0	0.0
1010	1.0	0.0
1008	1420.0	118.0
1007	1.0	0.0
1006	70.0	3.0
1005	456.0	959.0
1004	273.0	269.0
1003	2531.0	2189.0
1002	44.0	43.0
1001	7327.0	11578.0
3663	922.0	1302.0
100873325	0.0	0.0
3664	8160.0	18134.0
100873324	0.0	0.0
3665	999.0	2260.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	4871.0	2138.0
100873329	0.0	0.0
285590	3994.0	1250.0
100873328	0.0	0.0
3669	620.0	1089.0
100873327	0.0	0.0
1009	5758.0	8918.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	14.0	0.0
728477	18.0	9.0
3680	4974.0	1702.0
3681	38.0	27.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	732.0	516.0
100873353	0.0	0.0
3683	3622.0	2576.0
100873352	0.0	0.0
128710	734.0	927.0
3684	1459.0	747.0
100873351	0.0	0.0
285512	41.0	25.0
1022	1047.0	2660.0
285513	1737.0	814.0
1021	3235.0	2007.0
1020	591.0	1515.0
440299	0.0	0.0
1019	3481.0	4941.0
128709	0.0	1.0
1018	12.0	1.0
1017	1652.0	1954.0
1016	18.0	0.0
1015	151.0	24.0
1014	0.0	0.0
1013	19.0	24.0
1012	903.0	1584.0
116730	7.0	50.0
3674	45.0	9.0
100873358	0.0	0.0
3675	10564.0	4348.0
100873357	2.0	0.0
3676	2472.0	1295.0
100128731	5569.0	12328.0
100873356	0.0	0.0
3678	6432.0	5440.0
3679	4621.0	2253.0
100873359	0.0	0.0
728464	292.0	97.0
728463	216.0	27.0
100128725	0.0	0.0
3690	494.0	169.0
3691	9843.0	2601.0
100873343	0.0	0.0
3692	3964.0	6653.0
3693	8733.0	10601.0
285521	1330.0	1860.0
100873342	0.0	0.0
3694	4601.0	499.0
100873341	0.0	0.0
3695	548.0	409.0
100873340	0.0	0.0
100128723	2.0	0.0
1033	77.0	267.0
1032	326.0	298.0
285525	4.0	0.0
1031	538.0	861.0
285527	4735.0	5859.0
1030	1530.0	1548.0
728468	0.0	0.0
440288	117.0	186.0
1029	208.0	601.0
440295	79.0	117.0
1028	1501.0	546.0
1027	5373.0	4215.0
1026	8768.0	4270.0
1025	3345.0	3884.0
1024	812.0	1245.0
3685	14267.0	16060.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	1396.0	889.0
100873345	1.0	0.0
3688	31372.0	26158.0
100873344	0.0	0.0
3689	8633.0	6053.0
100873349	0.0	2.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	3.0
100873370	0.0	0.0
728498	17.0	9.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	48.0	48.0
100873375	0.0	0.0
100128710	0.0	2.0
285533	177.0	61.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	26.0	18.0
1043	2053.0	2125.0
1041	1.0	0.0
1040	1923.0	6207.0
1039	2754.0	3765.0
1038	6.0	1.0
1036	768.0	1962.0
3696	4859.0	2368.0
3697	13.0	1.0
100873379	0.0	0.0
3698	23.0	17.0
100873378	0.0	0.0
3699	93.0	149.0
100873377	0.0	0.0
728486	21.0	5.0
100873361	0.0	0.0
105373869	16.0	20.0
100873360	0.0	0.0
285540	108.0	51.0
100128705	3.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	158.0	418.0
100873362	0.0	0.0
100128701	1.0	3.0
1054	2088.0	3348.0
285547	0.0	0.0
1053	13.0	6.0
285548	5.0	3.0
1052	6258.0	2243.0
1051	2764.0	2431.0
728489	7.0	5.0
1050	994.0	2382.0
100128707	0.0	0.0
1048	11.0	2269.0
1047	1158.0	2770.0
1046	1.0	0.0
1045	42.0	19.0
100873369	2.0	2.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	7889.0	2167.0
1063	431.0	1237.0
1062	191.0	343.0
1061	4.0	5.0
1060	2599.0	1624.0
440253	141.0	25.0
1059	4930.0	6418.0
1058	18.0	145.0
1057	2.0	0.0
85379	8304.0	5283.0
114112	791.0	683.0
1056	94.0	15.0
85377	3718.0	1836.0
85378	2735.0	1984.0
128745	0.0	0.0
85376	35.0	27.0
440248	429.0	166.0
1075	5879.0	4196.0
1074	7.0	15.0
1073	8407.0	2961.0
1072	30676.0	60875.0
1071	85.0	152.0
440243	0.0	0.0
1070	874.0	1267.0
1069	3911.0	6757.0
1068	0.0	0.0
85369	2578.0	2382.0
85366	6.0	3.0
85364	1478.0	2077.0
85365	2849.0	6599.0
85363	2260.0	1824.0
85360	2195.0	1155.0
1080	3459.0	482.0
85391	1.0	0.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	1.0
153733	654.0	886.0
1087	6.0	6.0
1086	1.0	0.0
440279	8.0	1.0
1085	0.0	0.0
1084	25.0	4.0
440278	151.0	281.0
1082	0.0	0.0
403294	0.0	0.0
440275	6650.0	10884.0
1081	8.0	94.0
85397	0.0	5.0
85395	349.0	925.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	304.0	97.0
1089	41.0	10.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	151.0	29.0
285598	852.0	269.0
126133	1699.0	1279.0
128790	0.0	1.0
126129	355.0	220.0
126123	4.0	2.0
442862	0.0	0.0
126119	681.0	1273.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	4.0	10.0
442896	0.0	0.0
114132	73.0	40.0
442897	0.0	0.0
442898	1.0	0.0
114134	1450.0	966.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	7.0
100128788	45.0	163.0
100128787	0.0	0.0
440225	0.0	0.0
440224	3.0	1.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	2.0
100128782	574.0	416.0
100128781	1.0	2.0
403230	0.0	0.0
403231	0.0	1.0
403232	0.0	0.0
645560	2.0	6.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	18.0	20.0
102466616	0.0	0.0
126052	0.0	1.0
151009	31.0	28.0
403227	0.0	0.0
403228	0.0	0.0
138046	2.0	3.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	20.0	21.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1117.0	2732.0
107131122	0.0	0.0
138050	7047.0	9961.0
403219	0.0	0.0
151011	5581.0	3345.0
645587	0.0	0.0
165679	1696.0	2502.0
126037	22.0	99.0
114049	2968.0	5701.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1220.0	855.0
100033821	2.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2313.0	2514.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	295.0	395.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	22.0	2.0
645598	1.0	0.0
163007	8.0	2.0
114038	1.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	74.0	21.0
106481496	0.0	0.0
114042	0.0	4.0
106481493	0.0	0.0
114043	7.0	0.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	172.0	174.0
126017	1570.0	1737.0
106481497	0.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	667.0	211.0
85301	2397.0	207.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1960.0	12559.0
106481459	0.0	0.0
26994	8700.0	11563.0
106481457	5.0	3.0
26995	1978.0	3233.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	4599.0	6326.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2317.0	2224.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	11.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	1.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	21.0	8.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	161.0	184.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1016.0	1637.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	5.0	18.0
106481437	0.0	0.0
26974	237.0	444.0
153657	43.0	58.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1235.0	961.0
165631	221.0	148.0
106481436	0.0	0.0
26978	7.0	24.0
126075	875.0	2450.0
106481439	0.0	0.0
403250	0.0	0.0
126074	174.0	458.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1837.0	3684.0
106481444	1.0	3.0
106481445	2.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2612.0	1016.0
85354	0.0	0.0
85352	1142.0	307.0
403241	0.0	1.0
344462	2.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	837.0	619.0
153643	8.0	218.0
403247	0.0	0.0
403248	0.0	0.0
26985	4625.0	5174.0
106481448	0.0	0.0
26986	66535.0	107855.0
126069	139.0	192.0
106481449	0.0	0.0
126068	848.0	630.0
106481446	0.0	0.0
26983	0.0	0.0
26984	877.0	1386.0
106481447	0.0	0.0
106481451	0.0	1.0
106481452	0.0	2.0
106481450	0.0	1.0
114088	136.0	23.0
106481455	0.0	0.0
85349	32.0	124.0
106481456	0.0	1.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	4.0	14.0
106481454	0.0	0.0
403238	0.0	0.0
85344	1.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	3.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	0.0
106481415	0.0	0.0
106481416	2.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3098.0	3892.0
100873390	0.0	0.0
728556	67.0	105.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	146.0	113.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	498.0	407.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	13.0	7.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
