id	f42ef7e5-39e3-4a91-b8bb-11a38d24c72b	e32272e5-a64e-482b-bb3e-b82542a643e3
285550	1107.0	1345.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	10.0	6.0
3640	1.0	0.0
3638	34837.0	9105.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1231.0	902.0
100873313	0.0	0.0
3632	4054.0	3069.0
100873312	0.0	0.0
100873311	0.0	0.0
3633	928.0	492.0
100873318	0.0	1.0
3635	821.0	529.0
100873317	0.0	0.0
3636	7171.0	9059.0
100128771	61.0	61.0
100873316	1.0	2.0
100873315	0.0	0.0
100128766	1.0	0.0
3651	0.0	0.0
1	8.0	12.0
2	30342.0	43235.0
100873309	0.0	0.0
100873308	0.0	0.0
3	5.0	1.0
3641	0.0	1.0
100873303	0.0	0.0
9	1151.0	1232.0
3642	24.0	2.0
100873302	0.0	0.0
3643	5933.0	5488.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	36.0	6.0
100873307	0.0	0.0
3646	14652.0	15523.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	146.0	66.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	2935.0	1779.0
100873331	0.0	0.0
3661	1840.0	2198.0
100873330	0.0	0.0
285577	3.0	5.0
3662	25.0	7.0
100128756	0.0	0.0
1000	850.0	361.0
3652	1374.0	1154.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	23.0	12.0
3654	8411.0	13078.0
100873334	0.0	0.0
3655	10210.0	6143.0
100873333	1.0	0.0
3656	267.0	178.0
100873339	0.0	0.0
3658	5099.0	3132.0
100873338	0.0	0.0
3659	885.0	854.0
100873337	0.0	0.0
3670	487.0	268.0
100873321	0.0	0.0
3671	2020.0	2093.0
100873320	0.0	0.0
3672	6322.0	3612.0
285588	0.0	0.0
3673	2508.0	1632.0
1011	0.0	0.0
1010	3.0	0.0
1008	161.0	147.0
1007	1.0	0.0
1006	24.0	13.0
1005	81.0	33.0
1004	437.0	138.0
1003	1270.0	1144.0
1002	41.0	9.0
1001	3650.0	1495.0
3663	351.0	339.0
100873325	0.0	0.0
3664	12625.0	8573.0
100873324	0.0	0.0
3665	879.0	1014.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	5413.0	1618.0
100873329	0.0	0.0
285590	2549.0	1563.0
100873328	0.0	0.0
3669	508.0	202.0
100873327	0.0	0.0
1009	1983.0	1260.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	6.0	1.0
728477	19.0	20.0
3680	3668.0	1810.0
3681	3.0	3.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	644.0	486.0
100873353	0.0	0.0
3683	210.0	176.0
100873352	0.0	0.0
128710	691.0	495.0
3684	263.0	157.0
100873351	0.0	0.0
285512	56.0	67.0
1022	1083.0	1031.0
285513	219.0	125.0
1021	2389.0	3543.0
1020	882.0	1143.0
440299	0.0	0.0
1019	3005.0	3735.0
128709	0.0	0.0
1018	5.0	5.0
1017	1073.0	1064.0
1016	19.0	10.0
1015	118.0	6.0
1014	1.0	0.0
1013	32.0	115.0
1012	567.0	348.0
116730	6.0	5.0
3674	17.0	15.0
100873358	0.0	0.0
3675	6639.0	3459.0
100873357	0.0	0.0
3676	274.0	95.0
100128731	6691.0	6355.0
100873356	0.0	0.0
3678	2656.0	2163.0
3679	3426.0	1816.0
100873359	0.0	0.0
728464	119.0	54.0
728463	83.0	20.0
100128725	0.0	0.0
3690	253.0	89.0
3691	5884.0	2359.0
100873343	0.0	0.0
3692	4728.0	6464.0
3693	9527.0	11415.0
285521	1453.0	1534.0
100873342	0.0	0.0
3694	626.0	199.0
100873341	0.0	0.0
3695	46.0	15.0
100873340	0.0	0.0
100128723	4.0	0.0
1033	29.0	68.0
1032	199.0	243.0
285525	0.0	0.0
1031	355.0	437.0
285527	3726.0	1822.0
1030	926.0	331.0
728468	0.0	0.0
440288	170.0	156.0
1029	61.0	37.0
440295	78.0	59.0
1028	1881.0	1094.0
1027	5000.0	3539.0
1026	3050.0	3963.0
1025	2779.0	2891.0
1024	839.0	592.0
3685	8793.0	7784.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	122.0	167.0
100873345	0.0	0.0
3688	18856.0	12656.0
100873344	1.0	0.0
3689	886.0	743.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	2.0	7.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	44.0	43.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	44.0	20.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	1.0	1.0
1043	116.0	59.0
1041	0.0	0.0
1040	4110.0	3452.0
1039	1451.0	1194.0
1038	0.0	0.0
1036	332.0	186.0
3696	2043.0	567.0
3697	0.0	0.0
100873379	0.0	0.0
3698	7.0	4.0
100873378	0.0	0.0
3699	21.0	2.0
100873377	0.0	0.0
728486	5.0	1.0
100873361	0.0	0.0
105373869	1.0	2.0
100873360	0.0	0.0
285540	102.0	56.0
100128705	0.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	177.0	341.0
100873362	0.0	0.0
100128701	2.0	1.0
1054	2261.0	2046.0
285547	0.0	0.0
1053	2.0	0.0
285548	1.0	7.0
1052	2727.0	782.0
1051	1220.0	639.0
728489	3.0	7.0
1050	1724.0	1767.0
100128707	0.0	0.0
1048	29.0	1.0
1047	6022.0	1489.0
1046	0.0	0.0
1045	97.0	6.0
100873369	2.0	1.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	1895.0	1605.0
1063	132.0	360.0
1062	100.0	104.0
1061	2.0	0.0
1060	2082.0	1055.0
440253	89.0	42.0
1059	4709.0	4628.0
1058	13.0	31.0
1057	2.0	1.0
85379	6407.0	4656.0
114112	455.0	473.0
1056	48.0	20.0
85377	3095.0	2014.0
85378	2783.0	2723.0
128745	0.0	0.0
85376	29.0	27.0
440248	460.0	142.0
1075	935.0	1007.0
1074	14.0	9.0
1073	4934.0	2140.0
1072	31298.0	41752.0
1071	23.0	106.0
440243	0.0	0.0
1070	854.0	653.0
1069	3831.0	2749.0
1068	0.0	0.0
85369	2303.0	2856.0
85366	2.0	1.0
85364	1165.0	956.0
85365	4543.0	4595.0
85363	1842.0	1483.0
85360	1060.0	601.0
1080	423.0	92.0
85391	0.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	747.0	673.0
1087	0.0	0.0
1086	0.0	0.0
440279	0.0	0.0
1085	0.0	0.0
1084	4.0	1.0
440278	187.0	163.0
1082	0.0	2.0
403294	0.0	0.0
440275	7410.0	5590.0
1081	16.0	4.0
85397	0.0	0.0
85395	443.0	580.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	1.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	252.0	138.0
1089	2.0	1.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	92.0	45.0
285598	383.0	142.0
126133	1163.0	2068.0
128790	0.0	0.0
126129	95.0	83.0
126123	13.0	0.0
442862	0.0	0.0
126119	705.0	853.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	1.0	0.0
114131	3.0	0.0
442896	0.0	0.0
114132	19.0	10.0
442897	0.0	0.0
442898	0.0	0.0
114134	770.0	491.0
442899	0.0	0.0
100128790	0.0	0.0
128760	1.0	1.0
100128788	91.0	87.0
100128787	0.0	0.0
440225	0.0	0.0
440224	3.0	9.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	0.0
128756	0.0	0.0
100128782	609.0	440.0
100128781	2.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	2.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	2.0
63982	3.0	0.0
102466616	0.0	0.0
126052	0.0	0.0
151009	91.0	132.0
403227	0.0	0.0
403228	0.0	0.0
138046	3.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	23.0	5.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	2064.0	2346.0
107131122	0.0	0.0
138050	7697.0	6803.0
403219	0.0	0.0
151011	4540.0	2192.0
645587	1.0	0.0
165679	713.0	60.0
126037	27.0	35.0
114049	3569.0	4365.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	602.0	280.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1931.0	1290.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	273.0	289.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	4.0	3.0
645598	0.0	0.0
163007	3.0	0.0
114038	0.0	0.0
